	Pellets_1_HILICneg	Pellets_10_HILICneg	Pellets_11_HILICneg	Pellets_12_HILICneg	Pellets_13_HILICneg	Pellets_14_HILICneg	Pellets_15_HILICneg	Pellets_16_HILICneg	Pellets_17_HILICneg	Pellets_18_HILICneg	Pellets_19_HILICneg	Pellets_2_HILICneg	Pellets_20_HILICneg	Pellets_21_HILICneg	Pellets_22_HILICneg	Pellets_23_HILICneg	Pellets_24_HILICneg	Pellets_25_HILICneg	Pellets_26_HILICneg	Pellets_27_HILICneg	Pellets_28_HILICneg	Pellets_29_HILICneg	Pellets_3_HILICneg	Pellets_30_HILICneg	Pellets_31_HILICneg	Pellets_32_HILICneg	Pellets_33_HILICneg	Pellets_34_HILICneg	Pellets_35_HILICneg	Pellets_36_HILICneg	Pellets_37_HILICneg	Pellets_38_HILICneg	Pellets_39_HILICneg	Pellets_4_HILICneg	Pellets_40_HILICneg	Pellets_41_HILICneg	Pellets_42_HILICneg	Pellets_43_HILICneg	Pellets_44_HILICneg	Pellets_45_HILICneg	Pellets_46_HILICneg	Pellets_47_HILICneg	Pellets_48_HILICneg	Pellets_49_HILICneg	Pellets_5_HILICneg	Pellets_50_HILICneg	Pellets_51_HILICneg	Pellets_52_HILICneg	Pellets_53_HILICneg	Pellets_54_HILICneg	Pellets_6_HILICneg	Pellets_7_HILICneg	Pellets_8_HILICneg	Pellets_9_HILICneg	id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	percent_inclusion	blank_filtered
18	3196916.727875363	2960507.628144637	3643375.817540686	2935196.196358423	2754164.066022057	3056678.879014593	1820523.8170907048	4010252.9507725895	2914212.2285494516	916441.861264728	6132847.261139075	2711348.7161396993	7557988.904570734	5505675.779114965	6524268.10488502	5584329.30926026	5510459.596448727	9644153.783047043	10005888.45509494	6116837.264944464	7256361.288765059	4664623.089760591	2140974.3636743072	6330347.25437706	7380503.678024291	5464326.7539345985	5675160.586591891	5070686.8082157625	7350967.197460366	8040425.180613333	6160407.768708657	4125315.438167506	3380114.301735551	2687721.8287572847	8290977.080690438	4621513.35581782	2768216.315116371	6668565.161698054	5089741.032593051	5813563.299100981	3156817.125984519	3119138.5057043782	3261745.6704461128	5503519.883682096	2571671.2632116596	4146660.890336444	6251248.671339419	3502726.0143786636	3109142.7682717983	4129432.5263415542	1632482.8586983455	2194929.8653414543	2624897.448528374	2279012.1702522496	F181	132.9453	151.74	150.13	153.31	1380.0	291891787.0	0.76	0.93	42.0	57.0	1.0	False
19	8548417.789245842	10435305.40661103	9278089.851213433	9755480.551844494	9640895.53900701	11052855.411323097	8345969.71870456	10275799.380651888	11008979.60143848	11416263.672129791	8455470.552976638	9353844.082546998	8453273.614734707	7156602.497624521	9251659.194892008	8346304.2980024135	13606135.756825803	6599560.240958102	8327841.921465223	11977967.72532283	10882889.797260867	9303489.050955635	12879115.95760475	3161243.338590317	8310959.105817993	7289418.364418253	9949550.72207407	7793270.43542092	10158026.652230758	7306514.3376826	8733783.182788638	10535086.563807677	10227890.192859361	8213176.364528079	13588821.418255458	8983573.354074366	9837447.37627467	11500509.997966036	11628635.858993389	14854146.970997153	13091948.537517501	15071961.069748461	15771156.623384416	10614939.402864078	9268037.626917811	18195908.452574145	11539811.387953024	19075194.890960187	14175810.827763578	8840954.848705623	11658072.395952674	12417967.166978711	9833852.539316557	9464232.869894389	F182	132.9453	206.55	204.97	208.12	1380.0	813832146.0	0.88	0.99	1806.0	59.0	1.0	False
24	537364.6744183225	908058.9125831524	590834.3741112471	900505.6397648732	843287.2711900255	857356.9304956517	1012309.4986311854	1150117.9793477776	906804.7757825725	985642.4409964219	2103356.5083181937	956392.5899064022	1035692.3568824867	2194927.8392330534	2316521.769233412	2014234.170921355	1802976.2626522798	2321585.118324487	1439027.4213230356	1281114.7989874564	2647622.7349200347	2443973.9222660754	708423.5604800595	2574614.3355674054	2015143.1085760444	2548044.761512659	2333662.387292194	2332836.5636599944	2653232.441840943	1994152.8699833076	1336800.8402587597	2106139.2786317416	1859067.6745018694	780560.5309393167	2458801.0435553663	2145171.1760585345	1940219.2423292713	0.0	1127197.8659997766	1760236.2838080283	2122670.7332153646	1117361.966258074	2904521.182341903	1415158.7654088319	1155634.024036262	1520577.415205313	1202041.3478407636	1204098.8246429737	1206229.6418769378	1245226.2729997144	873500.5232294465	551745.574945087	630015.6373566017	881748.458348384	F285	208.9731	28.68	28.02	30.25	4014.0	92500259.0	1.0	0.75	1007.0	56.0	0.9814814814814815	False
29	162698.63844662328	189318.55924018245	201860.73315617314	74456.08081582167	63190.3824441159	230048.57187516475	262376.59290143277	357849.8444419019	0.0	0.0	0.0	76181.5670290908	599290.8534651584	203406.97579248066	348349.22882301745	257839.6968435092	188067.98805490058	512447.37008382194	546451.1310321093	244515.35211437475	206040.58681750472	563468.2056692817	249027.32405242574	682041.4126886764	375766.6214591787	596767.4726423247	696816.0999030353	453752.3074130261	306901.25054403004	143476.30573842727	98374.41516802447	0.0	0.0	281413.01132094616	818763.3014306909	313661.0415720461	0.0	74565.99333658908	329994.4454863991	275712.6608661646	0.0	214997.8751348933	0.0	191188.15242040125	224424.8129756755	315919.5808542349	484278.7858674542	565860.6601907806	149938.83358652706	0.0	0.0	68540.61201107972	170667.2167585335	192973.86264967665	F316	174.9979	28.02	27.37	28.94	2702.0	16078988.0	1.0	0.97	17.0	47.0	0.8148148148148148	False
38	114978106.83687858	235935275.02908632	239947893.27371052	315177242.5530272	459885054.9120174	411903442.90620553	295891539.2882213	596039107.4007921	290310406.1577201	180639446.51144785	36368377.04166942	168269632.43935835	32676993.721430324	29377584.131050747	32032094.29881694	33915329.27970357	23136737.817271985	37542336.53435094	36914141.30595332	33936846.674758494	23138189.63387852	28094764.190105062	180821308.70107642	25505550.17541725	29063057.526517093	36477225.90641927	35659501.630489066	32877212.801406544	40010848.65514027	31543205.426802415	34520635.57470457	38467133.94749945	32649517.74709137	401816049.96008897	64813514.51809355	47341825.00837992	34491960.33241471	22142344.97596536	5817108.385687598	3991247.038839689	4303690.9301961595	4942689.006415886	5883518.7275169585	16791685.15382598	569892471.3758967	18163069.17310807	21588486.24688377	13323280.328593532	15310010.179104457	15529506.16749798	482461499.6185072	275891975.91504675	319746120.61606365	317535123.9140558	F416	175.0353	319.99	318.41	321.56	2706.0	1776410329.0	1.0	0.99	76.0	60.0	1.0	False
42	708950693.3072078	705489678.9753736	809912209.3071561	785346105.3297136	817509301.830824	805868356.2961371	808445591.7301103	756047296.1592723	784389441.2140129	762665297.2007726	11594685.28540142	668631268.9125926	12585598.281547042	10351287.26489707	13569442.776369698	14449115.267522717	9945058.823334968	7367217.21918744	10114168.874144375	13099619.889607612	7176177.627062813	12507962.902109975	687247708.2628914	6365996.466468859	5439691.3333875295	9498322.240819277	10920241.830711003	8568302.417948833	10429753.02309029	7762500.979492623	9773357.747470783	15225586.170077339	12647699.920332478	832695068.2804085	12355529.799367996	9798821.216071771	7755743.41851423	15331418.676544303	9461316.04027361	7697866.72587555	4900209.532518606	5322244.72760763	4175708.5053344932	11688815.502877813	751106013.4165604	16865622.435965657	13769693.364539264	8228324.097339195	10449124.011573048	8233433.331113148	805492941.409007	734587298.9028811	714178188.9695399	690009812.9346024	F422	175.0433	299.5	297.93	301.08	2709.0	2154249205.0	0.71	0.86	34.0	59.0	1.0	False
47	35390.107010908716	88647.29857678944	85904.41394244034	87681.04838252772	34800.775854869775	34508.32160423881	92405.40193660973	0.0	132214.70967124775	27853.55623132024	77589.13924707293	62583.969868703025	871869.7816528854	152136.71617065775	97846.05791813691	170357.8144836528	229372.1634808407	71206.46839953375	59308.33835855313	124353.10592134533	70451.32066351503	72988.82182641595	89712.88750331738	155115.30261147255	94783.97057870337	172642.07183095065	203871.89677757022	66517.42203991608	234502.97831254487	73388.62498032494	167809.9517321829	0.0	68314.0898409372	70783.91825849788	94857.28388663931	80203.9306860581	0.0	110693.59154285326	91555.67205336664	141412.72834619152	106095.2423314182	103131.09936726364	127974.52052423288	210383.27480286488	84608.88119161363	166217.50381216223	197600.43931122564	0.0	34579.731699867974	49825.11719793861	0.0	0.0	64460.33723515317	32602.9991297459	F589	209.082	35.24	33.67	36.69	4035.0	48205866.0	1.0	0.91	35.0	53.0	0.8888888888888888	False
51	755754.468681212	641888.5943468026	739476.7167654546	1030916.937486033	1831070.6728457902	1400029.880943502	1037510.204696594	1479493.1392367226	1514427.7998320574	1776647.644638608	5204535.8234759625	1260819.378502007	3206560.5372574492	3180370.4565839656	3386825.9166891137	3191081.866206936	4819803.0237004515	4976539.764009726	3425308.4188205875	4175147.169636625	4677269.681232968	4607293.120213769	1037021.810592928	3277540.8141860804	3240438.748666409	4354684.843503327	3408055.7942724214	3508021.135987651	3648357.4607597245	4159610.5357374223	3802331.687413064	3526525.7700181203	3364251.052857346	1570882.3816191584	4336343.472557879	2160481.78647966	4017308.1791046294	3266553.229986146	2719813.7669060794	4181933.946600547	3601782.6354477275	4857157.9638337875	4958585.092691266	2645822.5755672953	1196787.2418355707	2112787.7381032794	1914388.2232100824	2730665.813021515	1859656.0102540262	1915567.7919661044	1744126.8469342813	1012406.6983337349	1023416.1709053662	792091.0147782858	F617	209.0968	31.96	30.65	33.54	4038.0	156043258.0	0.89	0.88	7877.0	57.0	1.0	False
58	6394216.295266434	6500078.226648508	5750878.189816319	5826515.628100125	4604774.213250235	5244605.8113722615	5994075.414103197	4896310.239958775	4034645.776850133	3407556.9385200646	10684958.189173896	5983437.42158536	9176871.012259342	12103886.425917655	10041013.966672905	10066942.19457675	9801440.174652833	9882548.59911184	9285232.852258552	7630634.462407559	10348804.02821273	10514183.604146844	5897960.779701596	10764325.01623549	10972804.936947374	10312364.778729714	9676035.193621647	9411888.688151967	10380105.293708105	7436642.040336956	11323306.313408727	12900841.205775075	10514020.570140827	8336317.3317813445	17649639.15120696	12437956.150927236	12698323.174510255	12037878.333962621	10142490.81838405	9987755.51443093	13513836.239453217	5510053.672944955	15227620.962100618	10548743.97869564	8688434.29829876	8301402.723435012	12047072.2940636	8754454.51875426	7950228.982925037	6132524.785797518	7011742.7520595845	5139124.256994185	4861536.505283638	5591820.733873563	F699	209.1543	29.99	28.42	31.3	4042.0	571086970.0	0.83	0.85	122.0	63.0	1.0	False
59	5743819.932956177	6151859.53740491	5133750.168493554	6551538.538634786	5992089.56180615	5192204.732064087	4938591.529325586	5239165.014109061	5327605.380985667	5481883.845123232	12248690.481985046	6048306.805003537	10042901.606324501	11582981.877737474	9811839.35021039	8627056.581831187	12297478.629772237	11128292.552358665	8972070.356238378	9278950.660425011	12178494.759628337	11301342.376626655	6310837.758929998	10116111.878059253	12500953.53605122	12333678.541978354	8985411.469995905	10646586.076714862	9037502.875352431	12659290.511546357	19262218.771533627	16727760.571084157	16888511.4737181	7618606.542989001	19216718.61381824	12882724.122865949	16890142.51098345	14319516.42424455	12635332.06753952	10592388.577289706	16201554.156519594	12868742.338401863	21264659.995040845	10573822.29999284	7665196.736509501	11266350.257959083	0.0	14505026.984214898	10160322.876965662	13715728.501416417	7879100.786574868	6696512.363894716	6403986.886459615	5556029.614354289	F700	209.1543	34.06	32.49	35.64	4042.0	684698254.0	0.82	0.91	155.0	62.0	0.9814814814814815	False
