	Pellets_1_HILICpos	Pellets_10_HILICpos	Pellets_11_HILICpos	Pellets_12_HILICpos	Pellets_13_HILICpos	Pellets_14_HILICpos	Pellets_15_HILICpos	Pellets_16_HILICpos	Pellets_17_HILICpos	Pellets_18_HILICpos	Pellets_19_HILICpos	Pellets_2_HILICpos	Pellets_20_HILICpos	Pellets_21_HILICpos	Pellets_22_HILICpos	Pellets_23_HILICpos	Pellets_24_HILICpos	Pellets_25_HILICpos	Pellets_26_HILICpos	Pellets_27_HILICpos	Pellets_28_HILICpos	Pellets_29_HILICpos	Pellets_3_HILICpos	Pellets_30_HILICpos	Pellets_31_HILICpos	Pellets_32_HILICpos	Pellets_33_HILICpos	Pellets_34_HILICpos	Pellets_35_HILICpos	Pellets_36_HILICpos	Pellets_37_HILICpos	Pellets_38_HILICpos	Pellets_39_HILICpos	Pellets_4_HILICpos	Pellets_40_HILICpos	Pellets_41_HILICpos	Pellets_42_HILICpos	Pellets_43_HILICpos	Pellets_44_HILICpos	Pellets_45_HILICpos	Pellets_46_HILICpos	Pellets_47_HILICpos	Pellets_48_HILICpos	Pellets_49_HILICpos	Pellets_5_HILICpos	Pellets_50_HILICpos	Pellets_51_HILICpos	Pellets_52_HILICpos	Pellets_53_HILICpos	Pellets_54_HILICpos	Pellets_6_HILICpos	Pellets_7_HILICpos	Pellets_8_HILICpos	Pellets_9_HILICpos	id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	percent_inclusion	blank_filtered
3	7576582.987921805	7184490.72660461	5533421.931687017	4633846.561278694	7483580.25403459	6501177.28944208	7475518.378430903	7373249.941829824	6805761.986503393	9671080.902856842	1504791.0099432706	7304242.127017048	1549828.111492285	1537048.9965381797	1655795.5367393084	1449227.840720074	1061322.9661704558	1598751.0254736985	1945959.207854319	2169980.2086887737	1278207.6553398464	2243340.9083741275	7730346.195625585	1444372.2787981445	380608.19379491545	2015542.8015076271	1752636.2579222512	297809.1512780987	499582.3063409851	0.0	1518314.0754396282	2286333.935360385	1635443.95987696	4652878.272292514	494300.75937910745	761172.988490996	795943.4941744811	721762.4994455972	1122239.6134196986	1496226.8413639276	955386.7605243713	1251573.0507186672	336607.692897169	1553624.9555168261	5002079.143122218	1810232.7175256654	1586866.1278390717	1147152.8684085899	1389262.4443248196	2795594.4657239	4651785.544218642	6842334.731139491	7196000.2690657005	8687457.140188497	F10	69.0704	187.3	185.86	188.75	13.0	262137839.0	0.72	0.93	81.0	58.0	0.9814814814814815	False
25	3956801.1488719415	3517456.562952439	4311556.305396939	5199363.416091795	4004742.7304744557	3820263.184622958	4823461.110122671	4524697.545254448	3901439.641606137	3636092.6817661724	2797461.5341676273	4541665.913640393	4601295.818488586	3569379.8905627355	3499193.44422262	4232403.372006796	3074001.632731618	0.0	0.0	0.0	397324.2429034763	1883279.7748861678	5463883.222181186	0.0	407300.67571182636	1076425.7514341595	977987.5026111933	468188.26569224056	678305.2758923828	0.0	921989.3301885598	1975693.6779662124	1775647.4997070795	4036159.2568610813	1022807.8703986385	1145070.2691211894	1523999.5299676468	2549211.89314836	3077288.0946116215	2438613.714672816	0.0	3611217.6393043473	1342373.0951082346	1673679.0628658542	4234478.827427012	2639675.6229095403	2154213.1476458074	2411782.253193254	3590929.400320625	3326857.9595765383	4172939.8655564296	4284939.464284682	3499741.6049851896	3957238.091949148	F115	135.0844	33.32	31.74	34.89	1560.0	184554361.0	0.84	0.96	14.0	51.0	0.8888888888888888	False
40	289031352.0642624	252828691.8264782	266903846.77498913	262591461.90552214	255955130.57654914	223745928.37462804	252807504.69125363	267335698.91713628	238986952.18751472	229723201.08539695	425915483.0865256	304268692.7160802	490817137.59250337	492139795.3638302	532981438.41793835	525486782.5478241	512815120.5284024	460769135.308653	537227913.5284437	558480402.8171126	499066147.3541827	405687659.483699	251284412.3064374	541391058.3498079	422756134.5542467	542797218.1589094	549601804.3804067	527124822.97818524	518584433.4213038	487277017.62036145	497442903.51100194	455485547.7409636	467916451.9112571	358635820.83012843	530654034.59588706	544898836.3690523	420113474.191863	449341871.57161427	522749773.9350341	549428716.3389534	444733100.3511874	481288467.5685263	397318279.5178553	521876122.0199768	355700757.6948186	480452175.0247672	523534944.77934253	489915747.27809066	479908327.90833664	420029900.66867137	269314614.80540466	221541356.74065533	244389027.24313563	205291630.18658188	F184	218.9431	209.53	207.95	211.1	4431.0	2287081970.0	0.78	0.97	256.0	59.0	1.0	False
44	18757400.648146126	10648461.103867156	13386558.92439445	12890742.668039903	11554766.024927385	11303719.801015666	13623444.566176552	10136584.919273293	11472349.597755175	11311694.482371276	6699990.283435275	13958559.226022754	8837239.910689311	8735436.744027298	10543714.524114203	9628905.257847015	6355402.088906175	1795755.7315593597	2126291.711965463	3957504.47101712	1622369.2476917254	6060029.631353709	16219264.001260882	2187427.322920247	1980748.9613854103	3248596.472420709	3885964.870120173	2607186.00205386	2866648.234100063	2628065.6085146395	3506478.0668585226	5362914.266591563	5142406.323534964	10309963.573949285	3787206.683779359	4904564.825128191	5112860.375359232	6546991.286693442	6695525.780619406	5266104.475549185	3284723.5032797046	9070972.601193987	3581381.0315179294	6538392.197635466	0.0	7008106.384651806	6974704.864373574	5585166.099700231	9022829.364876982	7492149.314954078	10383333.2515692	11999381.708490973	12802761.621778937	12784106.816307204	F284	181.105	26.62	25.96	28.2	2977.0	559769407.0	1.0	0.88	93.0	58.0	0.9814814814814815	False
63	2147553.6396971005	1442520.7501253216	1626824.1123287438	1357094.4499360293	1029902.6490003432	793078.109288523	1132613.3112664458	1193836.3512574125	978183.3643656127	1236225.2575059794	12228024.49761246	1857331.4516746956	13929983.902400225	10144883.217402896	10784486.215417378	12245969.036050579	7792127.553773917	3085925.152893488	4621839.889465136	9811869.820024788	3972912.7607277604	11588328.177757626	2187585.735171595	4604536.638473916	7015398.4227989055	4933377.496352999	7595959.609094596	4296441.297009418	7579526.063474115	7405633.544141301	10298412.538777914	11576175.483856402	10880789.698749624	0.0	9106881.518545868	7835243.221365146	9797067.949975677	15165263.662614338	13332116.866314694	13453246.506176474	11895488.822439613	18722980.980409965	16502787.585875344	14426789.033136088	0.0	15521926.877024047	15193084.688501397	17554891.33823944	16870633.551883034	22129193.302038137	0.0	2094925.8365113141	1571142.98455569	1327512.5252262636	F436	219.0716	246.3	244.68	247.87	4455.0	431247557.0	0.96	0.99	177.0	54.0	0.9444444444444444	False
70	24568711.983502205	17944859.594346166	22697871.980621215	17008972.37734343	19871673.299683295	17150200.676931497	17372493.84783811	15879984.946722131	14969702.604749864	29116202.465360224	22698700.937346403	23339043.010520805	23585758.101676203	23147817.145613004	19569415.244530104	18672478.907176513	3718135.320858249	3758633.9072223767	6000618.431652316	13670141.624643004	4283303.9558811085	17032703.953506194	27420224.120665308	5865254.787505187	5937002.79464347	6252288.062793287	7601475.747074026	6342556.392835056	9066734.189065546	9105952.676257791	25293483.22884849	702219.4161784091	36095.048744827334	9664960.623778278	9768686.65568557	195353.0825006273	16562953.416405985	28395314.641347505	35061169.93505745	29553212.430774856	62465458.91893561	52162071.772554	35207703.11593323	29071587.084113948	10957240.396183444	22326764.53491606	25795203.999358736	149447.0979480479	50834414.12223045	106414135.0667263	14542432.706877882	33220163.152470972	21399738.34439515	20663598.464061674	F481	219.0975	361.29	359.72	362.87	4460.0	1419937060.0	1.0	0.99	22.0	58.0	1.0	False
77	5892170.402777174	10562339.443339929	9765627.784791123	10057179.167882787	11181097.70649199	12953072.324174017	4587524.310298964	5759629.28327608	9034300.507497152	10615224.404471505	4616531.19832468	4943632.457849942	3201204.8497507856	2981146.3590323757	6777485.335473087	4250369.638522511	4368638.368950226	4571014.471337788	5839000.597748108	5099859.045989854	5008580.29136497	716839.4399616583	0.0	4908833.485458075	1241874.6492165693	5487694.442583971	5136702.5229393365	0.0	0.0	2244134.949969453	3448834.863384613	6019335.597905699	6114888.558796838	0.0	4633824.739501904	9097102.274127766	0.0	2722333.557622001	7927574.920115	4409439.214214907	3684539.7109766915	8244131.308606421	6393969.952143121	6202373.845041219	8002714.032248354	7930506.959245098	10569412.450626938	7785966.786710347	6065136.821888875	5478251.931869128	5660099.94347588	8455160.417674588	6301687.407283783	7582903.211784532	F496	136.9107	208.74	207.16	209.92	1599.0	433393763.0	0.71	0.89	7663.0	54.0	0.9074074074074074	False
78	11314010439.911648	12308102398.110464	12869976504.658672	12595433087.934286	14595308005.044182	14245446003.499126	13882128191.718092	13734351997.088957	13762405863.33809	14261525775.506792	5740077319.777344	10873042031.51877	6420330835.800281	6218819255.827605	7453299417.605996	7192616065.754758	8356160188.346348	5289620322.539934	6806789833.786045	8922336884.897581	6684806504.999282	5538398955.257875	11591779475.591913	7717694341.552973	4875650643.035995	7264716376.126137	7827805135.685538	7225586852.797659	7479692500.348784	5868622716.29194	6672291811.746606	7378818213.706129	7930908520.222103	13087683606.31401	6926420169.948992	7581718389.488961	6814379910.403847	6482170312.854744	8462647741.226422	8815517312.988781	7351696256.41067	8474010912.478135	7181964914.291421	8279292327.438191	13449040881.721819	9987823307.150331	8783824632.856188	9564341477.79377	9681533059.584484	6590082972.30931	13779208199.484081	12199543684.404448	12536965866.249947	13241245699.414057	F499	136.94	209.39	207.82	210.97	1601.0	1983444956.0	1.0	1.0	30.0	59.0	1.0	False
80	17925245.296842325	9088904.377497785	14826375.24682873	12608655.871650942	11988389.04682394	15161475.22432043	10413522.470471863	11451325.581397044	10852560.250162764	14105729.960940342	3527903.8903796715	6886540.629585439	4869047.866939239	3772464.880032864	8075254.884499214	4964154.825076644	5249848.60224686	5149401.531619242	6579213.260663719	7971811.858710597	6707763.466604026	5173710.378329871	7723250.761018785	6399347.644313558	5269863.118815933	6271879.981148934	10526034.83853325	4811377.220050158	7408845.74078368	5183404.581206533	7196243.257959759	5064518.577833822	4988520.89379442	16126520.406077739	4332594.909275434	5280189.176684613	4963544.54351506	8374343.607757889	7830382.790690246	10223531.839342363	8073224.430988679	8328921.360892371	0.0	7467270.767681134	14743262.790236905	6248102.494905593	9006694.084448906	6237434.853960174	9893735.625049826	7806787.899948277	9578224.783918086	9074631.857178152	11581483.383764299	8253123.70374365	F516	136.9693	209.66	208.21	211.23	1604.0	597003270.0	0.95	0.75	4854.0	57.0	0.9814814814814815	False
81	28741967.753368173	24800463.31864333	33667571.17228686	31621866.014237564	30354254.92188201	30518451.881236237	35982029.43292276	34654787.98687101	31133904.67710842	23553259.99560727	22557514.67666636	25434685.22831744	33914915.60126778	25399379.707033094	30485925.1312089	35080848.357774064	23685034.441282153	8806000.601058077	8896034.69316428	14016042.771578968	7141991.1676383875	19041264.406022877	27283542.65030081	8424687.62763249	6519587.328061718	12978742.812427433	13737227.69318249	11312485.021677755	12943962.892601421	9849857.655572329	13154688.132963452	20637547.510804888	19011678.777733944	33954072.65359627	14056458.566223305	16090437.977171645	15643919.9416621	21049344.84711555	25585258.379456684	23001489.529172897	10705190.933671627	24256259.339147415	9144857.265962895	24408204.795353256	560807.7924417582	25226982.87454121	24914226.62465587	20912384.222013976	26085760.476358652	27444002.845029116	34593463.02675779	28852763.498501312	27663794.573525842	25530751.80413819	F518	219.1127	27.8	27.01	29.38	4463.0	497283250.0	1.0	0.99	420.0	57.0	1.0	False
