	Pellets_1_Rpneg	Pellets_10_Rpneg	Pellets_11_Rpneg	Pellets_12_Rpneg	Pellets_13_Rpneg	Pellets_14_Rpneg	Pellets_15_Rpneg	Pellets_16_Rpneg	Pellets_17_Rpneg	Pellets_18_Rpneg	Pellets_19_Rpneg	Pellets_2_Rpneg	Pellets_20_Rpneg	Pellets_21_Rpneg	Pellets_22_Rpneg	Pellets_23_Rpneg	Pellets_24_Rpneg	Pellets_25_Rpneg	Pellets_26_Rpneg	Pellets_27_Rpneg	Pellets_28_Rpneg	Pellets_29_Rpneg	Pellets_3_Rpneg	Pellets_30_Rpneg	Pellets_31_Rpneg	Pellets_32_Rpneg	Pellets_33_Rpneg	Pellets_34_Rpneg	Pellets_35_Rpneg	Pellets_36_Rpneg	Pellets_37_Rpneg	Pellets_38_Rpneg	Pellets_39_Rpneg	Pellets_4_Rpneg	Pellets_40_Rpneg	Pellets_41_Rpneg	Pellets_42_Rpneg	Pellets_43_Rpneg	Pellets_44_Rpneg	Pellets_45_Rpneg	Pellets_46_Rpneg	Pellets_47_Rpneg	Pellets_48_Rpneg	Pellets_49_Rpneg	Pellets_5_Rpneg	Pellets_50_Rpneg	Pellets_51_Rpneg	Pellets_52_Rpneg	Pellets_53_Rpneg	Pellets_54_Rpneg	Pellets_6_Rpneg	Pellets_7_Rpneg	Pellets_8_Rpneg	Pellets_9_Rpneg	id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	percent_inclusion	blank_filtered
22	229650754.21311477	185658318.7314276	208083996.67636064	213585571.9627431	150778411.5331618	147501234.47841105	192605881.7734012	173414742.12189862	140408508.19198075	179534349.30162105	139454815.8781947	249935155.00865883	169698644.05296788	141733941.47646624	207020860.36584052	175570276.7034404	173689656.83280286	77112637.58261505	86930183.79759866	112152927.21551222	83298194.90562412	189090024.8238751	219197842.72541955	93154077.1605661	104244031.85833819	120952318.89050496	118441102.61562963	123093452.94025941	129892756.96157852	103289294.8906308	100936072.53655002	168421505.53919512	183447926.4885572	137993926.65035048	115593596.65402272	123300753.91207823	141722696.7490342	137298115.15347153	177139008.5367077	171983176.7498044	141368995.5604822	175611037.34788355	183891608.68560192	68282476.09962599	132731274.53750783	171698726.16521296	189616751.67518994	162838591.58145428	173800397.98203838	182603188.3221731	161946844.5762775	213514639.6345154	192842695.76299986	276482276.42388994	F271	248.9604	21.49	19.76	23.07	4312.0	1609496471.0	1.0	0.98	15.0	62.0	1.0	False
39	3775959.9456952848	3386092.267862895	2651183.937537075	2207989.4106998346	6981185.3722118	5224644.087595927	4979724.503716995	4846813.7160078585	4225614.366076605	4410815.5393036	6387349.420649753	1812697.9780556008	4451261.6340724705	5876586.904985153	4506878.204702158	4386848.529920041	3073001.6705636443	7291914.475067661	3985583.7026542593	2478613.029901319	4711284.031874478	5918533.00932724	1805961.4274033443	5225783.173310626	6147928.104265198	4876081.079502603	3742484.2418792276	7132581.306168275	5453033.332257317	6890536.961972825	6607246.378566501	4532552.020686913	3589350.575474556	4175566.956582815	4259216.978171266	3648696.239519055	4289660.283769272	2392151.4485982186	1849303.3854327218	1562821.1953381575	3294992.6171266427	1534251.130376101	3022141.0725389654	3914405.3545000744	3569748.771106237	1592279.6222684851	2619323.4130031634	2042242.423707708	1562164.5117033685	3691874.8010430285	3171315.641166545	3063775.3184593646	3615426.033364678	3813034.831180758	F549	249.051	23.33	21.75	24.91	4323.0	206964972.0	1.0	0.96	13100.0	57.0	1.0	False
42	7693913.457818073	8256526.189773046	8164795.677138311	8280268.964827696	6996141.122780112	6078395.1490547145	7164291.282778993	6461156.010657349	5911719.500673886	6823516.554797436	5636327.847436494	6793058.252041163	5046504.8044947395	4445103.047629729	6982880.694344457	4934923.367335054	5532285.9965667175	5555768.847587649	5366384.066652601	5106275.5702887615	5660595.89745537	7073046.104391652	8588300.992910963	7098006.619992496	5471181.358421942	6557961.353823293	6165481.421333948	6339145.089632584	6342320.601076007	5618839.235468037	8602235.871070944	8627201.10941354	9109021.012351405	9029043.867019916	9021187.844899649	6903632.626546893	8514806.747469714	7236928.894759841	7652270.382905216	6958519.072577887	8337136.157451479	6912532.75259594	7885220.599984487	9216901.017913023	7740759.252119549	8341929.64560885	7939567.214128044	7923960.829807198	8605346.420146946	8422321.371246079	8939376.484870516	8911854.039024442	8951576.331365168	12574943.561241325	F597	249.1495	36.53	35.19	38.1	4328.0	420635772.0	1.0	0.92	161.0	62.0	1.0	False
43	5512382.789425108	5360824.755470179	5401267.431233595	5150980.758673635	4765521.510633088	3981489.0919783837	4027066.768806196	3979391.2466154676	3948569.532780073	4546732.912477017	3171015.578658054	6322301.256818931	2859360.8025812274	2946344.4302610075	3768347.2497864105	3189137.1890938478	2876982.6106625777	3147689.7194282413	2818714.971448724	2795919.218161498	3292154.894575462	3851930.4369181776	5805951.184903459	3411741.801012736	3100978.51713744	3583625.0638838965	3327797.7701028953	3198363.830260035	3272750.850747519	3254222.8715680856	4921366.362924362	4630435.159692865	4993597.821413296	5135604.262116477	5321813.507418047	4265913.964978171	4409174.020197183	4022985.9122195784	4819037.885095999	3859658.24962541	5100662.813845314	4065480.8237195937	4683488.588687197	5015179.25675464	3772276.540814344	4463133.244514301	4121409.5032430766	4339265.431818599	5232884.230070677	4930480.749639672	4586260.493355367	6077387.730758873	5649375.219023177	8296085.9752747	F598	249.1495	68.27	66.69	69.84	4328.0	255209751.0	0.88	0.98	56.0	62.0	1.0	False
54	9862752.54560874	8086475.939810883	9445182.596178988	9115112.158258539	6552005.604412852	6626637.468270471	7573094.601974431	7362983.505909337	6014054.8935498865	48738.29922743831	5947395.347336733	10625924.846102076	7126012.405239498	6580190.831438361	9297956.93828048	7706369.46414363	7518838.663417905	3418092.60860483	3708078.925795527	5008686.129480283	3535473.801790652	8200416.282559539	9685108.217498565	3879832.7600082047	4487059.540560749	5295356.02091304	4993642.184639339	5303935.728115607	5978654.916829484	4198205.57403673	4326669.047086066	7347200.061170204	7822118.773372645	6111487.2297869	5005469.297597561	5409996.967721646	6294565.501371256	5725259.974155059	7703123.159311804	7474072.760759975	6142408.327343533	7733501.027527685	8017830.507961239	3040842.0002027797	5850225.370145633	7543999.411141099	8683725.998214142	6700152.571777194	7751930.24314151	7956563.428555743	7076660.398118425	9351089.423675762	8332987.537301264	12416321.191153912	F650	249.9639	21.49	19.76	23.07	4340.0	371665857.0	1.0	0.97	22515.0	59.0	1.0	False
60	1168553.7048107611	1076730.8032558975	1053335.0362564374	737169.5880583498	0.0	580297.4457290891	870958.2691733872	885459.3973135492	586195.5974463185	981568.9914977173	0.0	637817.2720308851	626170.7864918706	0.0	841891.5242205737	670572.60700299	761588.9402694745	0.0	475535.44272670033	639608.1323469729	537552.0758993225	0.0	1182265.6610384923	0.0	0.0	642746.7798415489	777429.7201115381	0.0	808473.6798979572	584752.2785408584	1185199.5511534852	881208.2593917494	1024727.8825306752	1394970.5718821788	1285646.800966272	895377.0525823596	957616.6373394108	922480.1464039907	855093.8425524445	981844.1101529229	1455087.5596494938	940881.8791819697	688047.0328679106	1222019.042434158	792474.5790818172	1205794.1262139003	1264368.9354205402	1213664.121022114	1176230.463323518	613790.0535539921	1103152.6802428786	989289.3119313142	1316820.614883473	1937942.4398231069	F798	250.1527	36.4	35.59	37.97	4351.0	47243634.0	1.0	0.94	5723.0	49.0	0.8518518518518519	False
62	406089.91702419554	421766.0013319373	439443.29925686814	424861.60643890675	0.0	293632.1701388257	166250.10731897692	388277.0326683251	130391.1806457005	236811.69848977047	0.0	618796.0310095376	62106.186805795274	0.0	193465.76114698866	114540.53244349836	30278.64248004553	0.0	29539.286910669998	151609.83534726268	0.0	0.0	464799.666137343	0.0	0.0	31493.808977604553	228166.67727919872	0.0	132277.92763337345	64326.16960339245	272488.55846406653	164883.06539859643	157257.9572414201	394144.19327461574	306054.987304297	237499.05236835283	204723.43392275975	145119.4371639597	315864.9786466261	381739.25614793226	429105.6670140249	193072.3844072586	145534.06919614185	315777.36744127626	393857.6070769453	325628.2047803747	342272.9247077038	243810.7386053793	480656.3129460561	242329.2243463985	213069.92038288634	154754.2504975141	593027.0772059176	878748.0663613499	F800	250.1527	68.53	68.4	70.1	4351.0	25654106.0	0.73	0.82	1527.0	48.0	0.8333333333333334	False
69	3009728.4533914	2738105.5849306323	2724532.955504628	3088405.6144427094	1985666.2608120828	2003303.685464709	2871755.8914884194	2603324.7414973364	1889773.1456803451	2698744.2041758653	1842560.5016341966	3423993.112351356	2541876.29441408	2015128.8348417482	3180436.6118654716	2534731.7111530686	2221947.6039778665	1151226.2968291384	0.0	1594075.6679981346	1266809.9574833398	2252259.4471330317	3156694.849468292	1126185.4159832082	1503427.1230661017	0.0	1530539.8388989547	1584818.962485696	1825060.4310034288	1618634.5492217098	0.0	2198884.96029679	2486880.7884062473	1870498.6335693838	1576454.9777795025	1768056.3387990992	1886188.6119736491	1943185.3757882805	2376778.9300870504	2688196.3971123286	2028296.5350974211	2594550.384419185	2441306.7914331504	483098.0126608622	1950614.772095545	2510963.4661058798	2919577.7654589578	2467014.182771552	2677879.2718447708	2635963.910033483	1952399.7387513942	2964519.789594047	2484529.4716655947	4006444.2976725088	F886	250.9648	21.23	19.5	22.8	4362.0	117579403.0	1.0	0.96	7528.0	54.0	0.9444444444444444	False
78	1888848.7565162843	2334697.5946776443	1455041.7107133737	1439187.7217064847	3384492.0496225595	1287202.8759153038	1499666.0385089598	1849010.253871771	1088140.981254762	1363631.9184819623	569317.0968810023	610448.5499856911	0.0	758940.7855260287	0.0	0.0	0.0	2174296.292276164	987327.7461496947	1553367.8273382292	590319.876239211	946679.0267432153	1323190.2162955902	2054460.113106178	998694.7879455052	1540065.9233194818	1582897.2718433384	2219637.585593763	2199227.09833074	602529.7624396349	0.0	749381.8096384676	934929.4269353927	0.0	1692852.385374816	837668.5830008561	1150406.306196566	764903.3913800184	0.0	1160846.7482309705	0.0	1490899.8025333558	656050.2830505901	0.0	971469.5887096884	1361862.6855195106	745948.8045348028	1847243.3553820257	1558573.7468519348	1069011.6579750625	1221513.8823990496	1369046.4759256474	1996532.1945768856	2538881.158000376	F1125	163.0605	24.25	22.67	25.98	1578.0	62924934.0	1.0	0.99	5017.0	49.0	0.8333333333333334	False
92	1207100.5254147702	988263.2537804118	1112735.0887931802	882909.207414877	643512.0928212719	714737.677939199	779208.1080589426	634820.2570774332	0.0	989513.0433323828	0.0	1229057.380434044	467369.26636157394	430830.46016675985	837008.6749318746	472744.845020044	359215.9041292285	386256.0566285462	350337.6276049598	429886.6812120085	445543.8685340624	518136.4551982416	1177576.2762849622	507538.28774854046	230810.41844216877	481609.3083539758	618883.0671723866	706954.2828052156	357025.4900661206	454602.5911186704	656086.8521848813	752110.7860426657	540996.7546225288	943283.163701765	926372.9725223656	719006.7802742247	617890.2454996322	856278.1900314545	620625.9007199608	608201.9383973631	975835.8738297882	667536.8793569154	652687.1375671033	610836.5303144971	713070.011622021	810178.5705768942	568492.8569909701	596258.5948699592	776051.0360666764	944527.0557747803	890342.5578583821	968647.0909051781	976486.1073712282	1558624.0874305444	F1320	209.0968	29.39	27.82	31.12	2997.0	40271081.0	0.84	0.96	291.0	55.0	0.9629629629629629	False
