Sample Type,Name,Sample ID,Filepath,Cell Line,Differentiation,Media,Additives,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ChannelSelect,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,Blank_1,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/Blank_1.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,B:A5,2,,0,0,0,1,,,,,,,
Unknown,Blank_TCA_derivatization_1,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/Blank_TCA_derivatization_1.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,B:A1,5,,0,0,0,1,,,,,,,
Unknown,Blank_TCA_derivatization_2,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/Blank_TCA_derivatization_2.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,B:A1,5,,0,0,0,1,,,,,,,
Unknown,Blank_TCA_derivatization_3,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/Blank_TCA_derivatization_3.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,B:A1,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_1_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_1_TCA_derivatization.raw,wt,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:E5,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_10_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_10_TCA_derivatization.raw,cyp19a1 KO,ipsc,basal,dheas,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:E4,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_11_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_11_TCA_derivatization.raw,cyp19a1 KO,ipsc,basal,dheas,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:C9,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_12_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_12_TCA_derivatization.raw,cyp19a1 KO,ipsc,basal,dheas,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:D3,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_13_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_13_TCA_derivatization.raw,prlr KO,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:A5,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_14_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_14_TCA_derivatization.raw,prlr KO,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:B9,5,,0,0,0,1,,,,,,,
