m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
244.2632	36.39	0.024831881928955715	6.94855537767797		1.1134327745722175				
361.3653	119.94	0.011878197411767547	8.35189448399819		1.5024727661317918				
288.2893	34.42	0.011086758361606946	9.408421900338144	C17H37NO2	1.5521333393548282	C17 Sphinganine,Isoheptadecasphinganine	kp1104_287.282	{'Sphingolipids [SP]'}	{'Sphingoid bases [SP01]'}
288.2893	36.26	0.011878197411767547	8.48613805276261	C18H33NO	1.2925820516536355	Linoleamide	kp1103_279.2556	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
362.3685	119.55	0.011086758361606946	9.017387641511888		1.6570705130269552				
289.2926	36.39	0.024831881928955715	6.756912664640814	C18H33NO	1.5194302999529619	Linoleamide	kp1103_279.2556	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
381.3147	243.82	0.026588951024927386	6.507426435156573	C27H40O	2.794745520899582	Pentalinonsterol,Sibogol F	kp1837_380.3075	{'Sterol Lipids [ST]'}	{'Sterols [ST01]'}
388.3935	171.37	0.024831881928955715	6.73543861864742		0.9188108215608146				
399.3253	192.96	0.03628652624695	6.0554049095588525	C27H42O2	0.9813637537157192	Chabrosterol,(22Z)-1alpha-hydroxy-22,23-didehydrovitamin D3 / (22Z)-1alpha-hydroxy-22,23-didehydrocholecalciferol,(22E)-1beta-hydroxy-22,23-didehydrovitamin D3,1alpha-hydroxy-24,25-didehydrovitamin D3 / 1alpha-hydroxy-24,25-didehydrocholecalciferol,24-keto-25dehydrocholesterol,7-oxo-cholestenone,1alpha,25-dihydroxy-9,11-didehydro-3-deoxyvitamin D3 / 1alpha,25-dihydroxy-9,11-didehydro-3-deoxycholecalciferol,25-hydroxy-16,17-didehydrovitamin D3,23,24-didehydro-25-hydroxyvitamin D3 / 23,24-didehydro-25-hydroxycholecalciferol,(22Z)-1beta-hydroxy-22,23-didehydrovitamin D3 / (22Z)-1beta-hydroxy-22,23-didehydrocholecalciferol,1-oxoprevitamin D3 / 1-oxoprecholecalciferol,Subergosterone A,13E,15E,18Z,20Z-pentacosatetraen-11-ynyl acetate,calicoferol E,(22E)-1alpha-hydroxy-22,23-didehydrovitamin D3 / (22E)-1alpha-hydroxy-22,23-didehydrocholecalciferol	kp2296_398.3181	{'Sterol Lipids [ST]', 'Fatty Acyls [FA]'}	{'Fatty esters [FA07]', 'Secosteroids [ST03]', 'Sterols [ST01]'}
534.3703	235.24	0.024831881928955715	6.78695964258272		2.469445210316568				
518.3686	176.25	0.026588951024927386	6.561575836486635		0.8887824957002479				
518.4563	317.6	0.0006439471135038135	16.23699062330044		4.999670845818244				
519.4598	317.73	0.0006439471135038135	15.608425177568547		5.31204676065261				
543.3887	192.69	0.024831881928955715	-7.162963423338503		-1.3660855295530396				
546.399	176.12	0.011086758361606946	8.892608891901421		0.8945139698006308				
547.4026	176.25	0.024831881928955715	6.857184498603429		0.9297583041408934				
713.4804	36.65	0.035389043865052594	-6.142325787710182		-1.1162464020072527				
