m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
249.2403	36.52	0.019204962114275737	16.195637497708102		2.591292793570286	249.2403_M+H+			
210.1699	24.77	0.0002498771710439121	77.03103570438886		2.0114282092417	210.1699_ACN			
353.3199	152.38	0.00024783644636479666	91.80147588400476		2.6491473171440347	353.3199			
363.3042	188.1	0.046243648633625595	12.098175742618812		4.814865965657093	363.3042_M+H+			
434.3625	151.99	0.007663875372639147	23.86843427960598	C27H44O3,C27H45NO2	1.843906005197507	EnP(5,8),(6R)-6,19-epidioxy-6,19-dihydrovitamin D3,5alpha,6alpha-24S,25-diepoxy-cholesterol,(25R)-5beta-spirostan-3beta-ol,1alpha,18-dihydroxyvitamin D3 / 1alpha,18-dihydroxycholecalciferol,(5E)-1alpha,25-dihydroxyvitamin D3 / (5E)-1alpha,25-dihydroxycholecalciferol,(22S)-22,25-dihydroxyvitamin D3 / (22S)-22,25-dihydroxycholecalciferol,7alpha,24S-dihydroxycholest-4-en-3-one,(23R)-23,25-dihydroxyvitamin D3 / (23R)-23,25-dihydroxycholecalciferol,3beta,4beta-dihydroxycholest-7(8)-en-23-one,1beta,25-dihydroxy-3-epivitamin D3 / 1beta,25-dihydroxy-3-epicholecalciferol,20S-Hydroxycholestane-3,16-dione,3beta-OH-Delta7-dafachronic acid,7alpha,(25R)26-Dihydroxycholest-4-en-3-one,1alpha,25-dihydroxy-14-epivitamin D3 / 1alpha,25-dihydroxy-14-epicholecalciferol,7alpha,25-dihydroxycholestenone,(24R)-24,25-dihydroxyvitamin D3 / (24R)-24,25-dihydroxycholecalciferol,18,25-dihydroxyvitamin D3 / 18,25-dihydroxycholecalciferol,Neotigogenin,2,22,25-trideoxyecdysone,1alpha,25-dihydroxy-2-methylene-19-nor-20-epivitamin D3,3beta,4beta-dihydroxycholesta-5-ene-23-one,1alpha,25-dihydroxyvitamin D3 / 1alpha,25-dihydroxycholecalciferol / calcitriol,1alpha,25-dihydroxy-20-epivitamin D3 / 1alpha,25-dihydroxy-20-epicholecalciferol,Verrucorosteroid F,7alpha,24-dihydroxycholest-4-en-3-one,Sarsasapogenenin,3beta,27-dihydroxy-5-cholesten-7-one,3beta,4beta-dihydroxycholest-8(9)-en-23-one,Dihydromarthasterone,(6S)-6,19-epidioxy-6,19-dihydrovitamin D3,7alpha,26-dihydroxycholest-4-en-3-one,7alpha,(25S)26-Dihydroxycholest-4-en-3-one,Pharaonoid B,1beta,25-dihydroxyvitamin D3 / 1beta,25-dihydroxycholecalciferol,Subergorgiaol A,1alpha,25-Dihydroxy-previtamin D3,(25R)-25,26-dihydroxyvitamin D3 / (25R)-25,26-dihydroxycholecalciferol,25-Hydroxy-7-oxocholesterol,1alpha,25-dihydroxy-14-epiprevitamin D3 / 1alpha,25-dihydroxy-14-epiprecholecalciferol,(22R)-22,25-dihydroxyvitamin D3 / (22R)-22,25-dihydroxycholecalciferol,(23S)-23,25-dihydroxyvitamin D3 / (23S)-23,25-dihydroxycholecalciferol,DHCEO,Cholestenoic acid,(24S)-1alpha,24-dihydroxyvitamin D3 / (24S)-1alpha,24-dihydroxycholecalciferol,1alpha,25-dihydroxy-3-epivitamin D3 / 1alpha,25-dihydroxy-3-epicholecalciferol,(25S)-cholestenoic acid,Tigogenin,7-OOH-5,8-dien-3beta-ol,Dormatinone,(24R)-1alpha,24-dihydroxyvitamin D3 / (24R)-1alpha,24-dihydroxycholecalciferol,(24S)-24,25-dihydroxyvitamin D3 / (24S)-24,25-dihydroxycholecalciferol,(25S)-25,26-dihydroxyvitamin D3 / (25S)-25,26-dihydroxycholecalciferol,paricalcitol,(25S)-dafachronic acid,3alpha-OH-Delta7-dafachronic acid,1alpha,25-dihydroxy-2-methylene-19-norvitamin D3,tomatidine,22-iso-teinemine,Teinemine,soladulcidine	38669	{'Sterol Lipids [ST]'}	{'Bile acids and derivatives [ST04]', 'Sterols [ST01]', 'Secosteroids [ST03]'}
491.3737	184.39	0.01545023752375082	17.461785753826202	C30H50O5,C30H48O4	3.445494181630142	Combretanone I,1alpha,25-dihydroxy-2beta-(3-hydroxypropoxy)vitamin D3,1alpha,25-dihydroxy-2alpha-(3-hydroxypropoxy)vitamin D3,24alpha,25-dihydroxy-1alpha-hydroxymethyl-26,27-dimethyl-24a-homo-22-oxavitamin D3 / 24alpha,25-dihydroxy-1alpha-hydroxymethyl-26,27-dimethyl-24a-homo-22-oxacholecalciferol,Ganocasurarin B,Ehrensteroid B,1beta,25-dihydroxy-2beta-(3-hydroxypropoxy)vitamin D3,24alpha,25-dihydroxy-1beta-hydroxymethyl-26,27-dimethyl-24a-homo-22-oxa-3-epivitamin D3 / 24alpha,25-dihydroxy-1beta-hydroxymethyl-26,27-dimethyl-24a-homo-22-oxa-3-epicholecalciferol,Armatinol B,Penicisteroid H,Xeniasterol-b,Combretanone A,1alpha,3beta-dihydroxyergosta-5,24(28)-dien-7beta-yl acetate,Penicisteroid B,26,27-diethyl-1alpha,25-dihydroxy-20,21-didehydro-23-oxavitamin D3 / 26,27-diethyl-1alpha,25-dihydroxy-20,21-didehydro-23-oxacholecalciferol,Klyflaccisteroid F,Ganodermanontriol,Armatinol A,Pomolic acid,24R,25S-Ganodermanontriol,Salaspermic acid,Penicisteroid C,Queretaroic acid,spinosic acid A,epi-Maslinic acid,Japonicumin B,Myrrhanone B,16-Oxolycoclavanol,Maslinic acid	40503	{'Sterol Lipids [ST]', 'Prenol Lipids [PR]'}	{'Sterols [ST01]', 'Isoprenoids [PR01]', 'Secosteroids [ST03]'}
461.3735	151.72	0.024724661612245607	14.411558041777903	C28H46N2O2,C31H50O	1.3265956402977217	Stearoyl Serotonin,Ophirasterol,25-Methyl-24-isopropenyl-22E-dehydrocholesterol	42872	{'Sterol Lipids [ST]', 'Fatty Acyls [FA]'}	{'Fatty amides [FA08]', 'Sterols [ST01]'}
513.3106	253.04	0.00368117498857814	33.845687528752286	C27H47NO6S	6.368540787662754	N-methyltaurodeoxycholic acid	44483	{'Sterol Lipids [ST]'}	{'Steroid conjugates [ST05]'}
516.3547	25.29	0.00368117498857814	33.02194047265547		4.9153767135638375	516.3547			
548.1461	227.72	0.010953514904718015	19.705438755701735		2.818607746766723	548.1461			
