m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
315.1739	79.21	0.049672737105035794	-9.79828539285655		-3.0467319273517752				
261.1095	28.73	0.049672737105035794	11.370898431503367		1.097497500005197				
344.1358	41.01	0.049672737105035794	-13.995051266331997		-0.7821611756323321				
523.2994	186.26	0.049672737105035794	-10.632131087788254		-2.612543027067428				
524.303	186.13	0.049672737105035794	-12.714099765143375		-2.7476723161527516				
586.4314	192.69	0.006866727916724927	-31.96091516760948		-7.130875691650306				
627.3612	209.16	0.049672737105035794	-11.797242654037479		-2.675141925247061				
628.3649	209.16	0.049672737105035794	-10.241577034253945		-3.5105057358304634				
568.3565	186.0	0.049672737105035794	-10.01667547556598		-2.5369060901621445				
672.4194	209.16	0.049672737105035794	-9.749818899700665		-3.406772188481142				
673.4228	209.03	0.049672737105035794	-10.659130585191859		-3.105891489263808				
731.4244	230.65	0.049672737105035794	-10.359335627615483		-2.688176246848748				
732.4277	230.65	0.049672737105035794	-12.112068705371035		-2.7962414966635727				
776.4824	230.65	0.049672737105035794	-10.323321032187934		-2.4439429711052654				
777.4857	230.52	0.049672737105035794	-10.41222434563214		-2.4121789083861387				
