m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
240.2683	78.69	0.002373478133935737	-24.919768778857637		-6.719679609482043				
315.1739	79.21	0.002373478133935737	-28.74563644009028		-2.6559219743896385				
327.1411	27.15	0.04887804528952049	-7.596173608230434		-0.8843285522175997				
334.3374	78.69	0.002373478133935737	-26.926041343534937		-7.740383274929055				
268.2996	120.07	0.002373478133935737	-22.35783857834581		-7.766820389027259				
269.136	24.51	0.002642611103714994	-20.370194011464577		-2.4286151691865463				
346.2161	92.12	0.03130246883440706	-9.029338097672095		-1.3606989619197662				
346.2161	95.97	0.03553254737285004	-8.598913078573547		-1.3178426540881851				
347.2911	26.76	0.046268824227154955	-7.79268549345124		-1.2446771182898893				
360.2383	29.65	0.01046649163729978	-12.755020062357115		-0.6401845065151832				
361.3653	119.94	0.002642611103714994	-19.382071692504187		-4.986103085290061				
362.3685	119.55	0.0037108131371850887	-17.1432839465879		-5.2769736506805955				
413.1779	26.1	0.002373478133935737	-40.148494087438344	C20H28O9	-3.7532395034039894	Austrobuxusin K	kp1445_412.1719	{'Prenol Lipids [PR]'}	{'Isoprenoids [PR01]'}
415.2793	233.01	0.04587068932045949	-7.922466758982755		-0.24154117317857882				
419.1696	27.15	0.029586133802905205	-9.31757563604688		-0.5482818952643278				
419.2342	134.31	0.03130246883440706	-9.04648097245979		-3.7974107111541606				
431.1781	200.74	0.002373478133935737	-22.376315037418205		-1.7427221638004404				
432.1814	200.74	0.0038262964295253357	-16.820784734583984		-1.7827305962548081				
443.3879	201.26	0.04935093277320196	-7.508853381192534	C30H50O2	-0.7258782463225835	thalianol epoxide,32-hydroxylanosterol,Betulin,7alpha-Theonellasterol,7-hydroperoxy-squalene,30:5(12Z,15Z,18Z,21Z,24Z),30:5(15Z,18Z,21Z,24Z,27Z),Fern-9(11)-ene-2alpha,2beta-diol,Diepoxysqualene,10-hydroperoxy-squalene,Perviridisinol C,(8R)-3-oxo-8-hydroxypolypoda13E,17E,21-triene,11-hydroperoxy-squalene,5beta,6beta-epoxygorgosterol,3-hydroperoxy-squalene,2-hydroperoxy-squalene,6-hydroperoxy-squalene,(+)-22(29)-Hopen-6alpha-21beta-diol,Cycloarta-23-ene-3beta,25-diol,22R-hydroxycycloartenol	kp1832_442.3802	{'Prenol Lipids [PR]', 'Sterol Lipids [ST]', 'Fatty Acyls [FA]'}	{'Sterols [ST01]', 'Fatty Acids and Conjugates [FA01]', 'Isoprenoids [PR01]'}
452.2484	32.58	0.04043932873978371	-8.24991497983732		-0.550406737882259				
385.1635	30.17	0.012331144739851158	-12.11009479115061		-0.8363425252563026				
459.2195	27.42	0.04887804528952049	-7.577333592830219		-0.7062990528589808				
388.3935	171.37	0.006847513602380045	-14.358170116608095		-2.3712271461584002				
399.3253	192.96	0.003407826321400453	-17.7234968266018	C27H42O2	-3.550331825211229	(22Z)-1alpha-hydroxy-22,23-didehydrovitamin D3 / (22Z)-1alpha-hydroxy-22,23-didehydrocholecalciferol,1-oxoprevitamin D3 / 1-oxoprecholecalciferol,24-keto-25dehydrocholesterol,1alpha,25-dihydroxy-9,11-didehydro-3-deoxyvitamin D3 / 1alpha,25-dihydroxy-9,11-didehydro-3-deoxycholecalciferol,1alpha-hydroxy-24,25-didehydrovitamin D3 / 1alpha-hydroxy-24,25-didehydrocholecalciferol,(22E)-1alpha-hydroxy-22,23-didehydrovitamin D3 / (22E)-1alpha-hydroxy-22,23-didehydrocholecalciferol,(22Z)-1beta-hydroxy-22,23-didehydrovitamin D3 / (22Z)-1beta-hydroxy-22,23-didehydrocholecalciferol,calicoferol E,23,24-didehydro-25-hydroxyvitamin D3 / 23,24-didehydro-25-hydroxycholecalciferol,13E,15E,18Z,20Z-pentacosatetraen-11-ynyl acetate,Subergosterone A,25-hydroxy-16,17-didehydrovitamin D3,(22E)-1beta-hydroxy-22,23-didehydrovitamin D3,7-oxo-cholestenone,Chabrosterol	kp2296_398.3181	{'Sterol Lipids [ST]', 'Fatty Acyls [FA]'}	{'Secosteroids [ST03]', 'Sterols [ST01]', 'Fatty esters [FA07]'}
496.3112	27.02	0.020533342049634834	-10.424704347272515		-2.3887788621115824				
510.8556	20.3	0.002642611103714994	20.417410550002455		1.7346926627785386				
227.1753	24.51	0.034314613512099176	-8.745428787606771	C12H14O	-2.992609157043784	2,4,6,8,10-dodecapentaenal	kp151_174.105	{'Fatty Acyls [FA]'}	{'Fatty aldehydes [FA06]'}
523.2994	186.26	0.003174892467480949	-18.26700486892964		-2.372109572265046				
524.303	186.13	0.002373478133935737	-22.615549094193874		-2.4481015260465107				
627.3612	209.16	0.002373478133935737	-32.787951173580836		-2.584987065722302				
628.3649	209.16	0.013054574621765786	-11.820105487785469		-2.888197882381796				
568.3565	186.0	0.002642611103714994	-19.724699818663147		-2.3052289690218153				
569.3604	186.0	0.002373478133935737	-30.370764967624698		-2.4544326387886137				
672.4194	209.16	0.002642611103714994	-19.962426898610076		-2.4310952618369583				
673.4228	209.03	0.002642611103714994	-19.908927013322124		-2.5339854481229764				
690.4701	204.41	0.046268824227154955	-7.800072214991639		-0.8758189428344103				
731.4244	230.65	0.002373478133935737	-22.803795429785385		-2.363242669811875				
732.4277	230.65	0.002373478133935737	-24.77272632169458		-2.378887669278118				
704.4988	220.21	0.026981854180703577	9.627059845714404		2.701977330844887				
776.4824	230.65	0.002373478133935737	-22.646906065712493		-2.359139279944266				
777.4857	230.52	0.002642611103714994	-19.4604286836174		-2.4487151130185616				
