m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
293.8683	22.27	0.02621806864138201	7.685585546383444		3.6655790538481288	293.8683			
121.0649	65.25	0.031134145545683996	-7.115868305410922	C8H8O	-0.7229789438215519	Lentialexin	11351	{'Fatty Acyls [FA]'}	{'Fatty alcohols [FA05]'}
298.2737	36.91	0.011023161207562013	-11.16958411409355	C18H32O2,C18H33NO,C18H35NO2	-2.7856706109126996	11Z,15Z-octadecadienoic acid,Ethyl (Z,Z)-11,13-hexadecadienoate,9,13-octadecadienoic acid,7Z,10Z-octadecadienoic acid,5,10-octadecadienoic acid,4Z,8Z-octadecadienoic acid,Cilienic acid,Taxoleic acid,14,17-Octadecadienoic acid,6,11-octadecadienoic acid,3Z,7Z-octadecadienoic acid,6Z,9Z-octadecadienoic acid,Chaulmoogric acid,12E,16E-octadecadienoic acid,10Z,12E-Hexadecadienyl acetate,11-Hexadecynyl acetate,4E,8E-octadecadienoic acid,6E,10E-octadecadienoic acid,11E,13Z-Octadecadienoic acid,4R-methyl-7Z,11Z-heptadecadienoic acid,3Z,12Z-octadecadienoic acid,2Z,5Z-octadecadienoic acid,17-octadecynoic acid,8-octadecynoic acid,16:2(2E,4E)(5Me,7Me[S]),11-cis-Linoleic acid,11Z,14E-Hexadecadienyl acetate,15-octadecynoic acid,Linoelaidic acid,12Z,15Z-octadecadienoic acid,Malvalic acid,4Z,11Z-octadecadienoic acid,13E,17-octadecadienoic acid,2-Cyclopentene-1S-tridecanoic acid,(S)-laballenic acid,16-methyl-9Z,12Z-heptadecadienoic acid,(Z)-3,7-Dimethyl-2,6-octadienyl octanoate,3Z,6Z-octadecadienoic acid,12-octadecynoic acid,Stearolic acid,11E,13Z-Hexadecadienyl acetate,5Z,9E-octadecadienoic acid,11-octadecynoic acid,6E,12E-octadecadienoic acid,Vaccelenic acid,5E,12Z-octadecadienoic acid,7,10-Octadecadienoic acid,2Z,6Z-octadecadienoic acid,3-octadecynoic acid,7Z,11Z-Hexadecadienyl acetate,16:2(2E,4E)(4Me,6Me[S]),Rumenic acid,7Z,11E-Hexadecadienyl acetate,13,16-Octadecadienoic acid,9Z-octadecen-4R-olide,10Z,13Z-octadecadienoic acid,Mikusch's acid,5E,12E-octadecadienoic acid,Ephedrenic acid,7Z,11Z-octadecadienoic acid,10-octadecynoic acid,11Z,14Z-octadecadienoic acid,8,12-octadecadienoic acid,14Z,17-octadecadienoic acid,9-octadecenolide,13Z,16Z-octadecadienoic acid,5,6-octadecadienoic acid,10Z,12E-Octadecadienoic acid,5,11-octadecadienoic acid,Linoleic acid,6,8-octadecadienoic acid,6E,11Z-Hexadecadienyl acetate,11Z,13E-Hexadecadienyl acetate,Sebaleic acid,4,9-octadecadienoic acid,10E,12Z-octadecadienoic acid,4Z,7Z-octadecadienoic acid,Adiantic acid,10E,12Z-Hexadecadienyl acetate,Ricinenic acid,3Z,9Z-Octadecadienoic acid,13-octadecynoic acid,9-octadecen-4-olide,9E,12Z-octadecadienoic acid,10E,14E-octadecadienoic acid,10Z,14Z-octadecadienoic acid,5Z,12Z-octadecadienoic acid,16-octadecynoic acid,10E,12E-Hexadecadienyl acetate,5E,9Z-octadecadienoic acid,4-octadecynoic acid,8E,10E-octadecadienoic acid,7-trans,9-cis-octadecadienoic acid,11Z,13Z-Hexadecadienyl acetate,6E,9E-octadecadienoic acid,5Z,12E-octadecadienoic acid,3E,7E-octadecadienoic acid,8,11-octadecadienoic acid,14-octadecynoic acid,10,13-Octadecadienoic acid,5-octadecynoic acid,(R)-laballenic acid,(E)-3,7-Dimethyl-2,6-octadienyl octanoate,9E,11Z-Hexadecadienyl acetate,Tariric acid,2-octadecynoic acid,8Z,11Z-octadecadienoic acid,4E,6Z-Hexadecadienyl acetate,2,4-octadecadienoic acid,16-methyl-6Z,9Z-heptadecadienoic acid,7E,12E-octadecadienoic acid,4-Methyl-7,11-heptadecadienoic acid,9Z,12E-octadecadienoic acid,2E,6E-octadecadienoic acid,10Z,12Z-octadecadienoic acid,7-octadecynoic acid,8Z,10Z-Hexadecadienyl acetate,Mangold's acid,6E,11Z-octadecadienoic acid,11E,13E-Hexadecadienyl acetate,Linoleamide,(4E,8E,d18:2) sphingosine,4E,14Z-Sphingadiene,Lepadin D,3-ketosphingosine,Palmitoleoyl-EA,(4E,8Z,d18:2) sphingosine	11592	{'Sphingolipids [SP]', 'Fatty Acyls [FA]'}	{'Fatty amides [FA08]', 'Fatty esters [FA07]', 'Octadecanoids [FA02]', 'Sphingoid bases [SP01]', 'Fatty Acids and Conjugates [FA01]'}
298.2737	48.78	0.008762594318995828	-12.151965083515458	C18H32O2,C18H33NO,C18H35NO2	-2.9008787007169303	11Z,15Z-octadecadienoic acid,Ethyl (Z,Z)-11,13-hexadecadienoate,9,13-octadecadienoic acid,7Z,10Z-octadecadienoic acid,5,10-octadecadienoic acid,4Z,8Z-octadecadienoic acid,Cilienic acid,Taxoleic acid,14,17-Octadecadienoic acid,6,11-octadecadienoic acid,3Z,7Z-octadecadienoic acid,6Z,9Z-octadecadienoic acid,Chaulmoogric acid,12E,16E-octadecadienoic acid,10Z,12E-Hexadecadienyl acetate,11-Hexadecynyl acetate,4E,8E-octadecadienoic acid,6E,10E-octadecadienoic acid,11E,13Z-Octadecadienoic acid,4R-methyl-7Z,11Z-heptadecadienoic acid,3Z,12Z-octadecadienoic acid,2Z,5Z-octadecadienoic acid,17-octadecynoic acid,8-octadecynoic acid,16:2(2E,4E)(5Me,7Me[S]),11-cis-Linoleic acid,11Z,14E-Hexadecadienyl acetate,15-octadecynoic acid,Linoelaidic acid,12Z,15Z-octadecadienoic acid,Malvalic acid,4Z,11Z-octadecadienoic acid,13E,17-octadecadienoic acid,2-Cyclopentene-1S-tridecanoic acid,(S)-laballenic acid,16-methyl-9Z,12Z-heptadecadienoic acid,(Z)-3,7-Dimethyl-2,6-octadienyl octanoate,3Z,6Z-octadecadienoic acid,12-octadecynoic acid,Stearolic acid,11E,13Z-Hexadecadienyl acetate,5Z,9E-octadecadienoic acid,11-octadecynoic acid,6E,12E-octadecadienoic acid,Vaccelenic acid,5E,12Z-octadecadienoic acid,7,10-Octadecadienoic acid,2Z,6Z-octadecadienoic acid,3-octadecynoic acid,7Z,11Z-Hexadecadienyl acetate,16:2(2E,4E)(4Me,6Me[S]),Rumenic acid,7Z,11E-Hexadecadienyl acetate,13,16-Octadecadienoic acid,9Z-octadecen-4R-olide,10Z,13Z-octadecadienoic acid,Mikusch's acid,5E,12E-octadecadienoic acid,Ephedrenic acid,7Z,11Z-octadecadienoic acid,10-octadecynoic acid,11Z,14Z-octadecadienoic acid,8,12-octadecadienoic acid,14Z,17-octadecadienoic acid,9-octadecenolide,13Z,16Z-octadecadienoic acid,5,6-octadecadienoic acid,10Z,12E-Octadecadienoic acid,5,11-octadecadienoic acid,Linoleic acid,6,8-octadecadienoic acid,6E,11Z-Hexadecadienyl acetate,11Z,13E-Hexadecadienyl acetate,Sebaleic acid,4,9-octadecadienoic acid,10E,12Z-octadecadienoic acid,4Z,7Z-octadecadienoic acid,Adiantic acid,10E,12Z-Hexadecadienyl acetate,Ricinenic acid,3Z,9Z-Octadecadienoic acid,13-octadecynoic acid,9-octadecen-4-olide,9E,12Z-octadecadienoic acid,10E,14E-octadecadienoic acid,10Z,14Z-octadecadienoic acid,5Z,12Z-octadecadienoic acid,16-octadecynoic acid,10E,12E-Hexadecadienyl acetate,5E,9Z-octadecadienoic acid,4-octadecynoic acid,8E,10E-octadecadienoic acid,7-trans,9-cis-octadecadienoic acid,11Z,13Z-Hexadecadienyl acetate,6E,9E-octadecadienoic acid,5Z,12E-octadecadienoic acid,3E,7E-octadecadienoic acid,8,11-octadecadienoic acid,14-octadecynoic acid,10,13-Octadecadienoic acid,5-octadecynoic acid,(R)-laballenic acid,(E)-3,7-Dimethyl-2,6-octadienyl octanoate,9E,11Z-Hexadecadienyl acetate,Tariric acid,2-octadecynoic acid,8Z,11Z-octadecadienoic acid,4E,6Z-Hexadecadienyl acetate,2,4-octadecadienoic acid,16-methyl-6Z,9Z-heptadecadienoic acid,7E,12E-octadecadienoic acid,4-Methyl-7,11-heptadecadienoic acid,9Z,12E-octadecadienoic acid,2E,6E-octadecadienoic acid,10Z,12Z-octadecadienoic acid,7-octadecynoic acid,8Z,10Z-Hexadecadienyl acetate,Mangold's acid,6E,11Z-octadecadienoic acid,11E,13E-Hexadecadienyl acetate,Linoleamide,(4E,8E,d18:2) sphingosine,4E,14Z-Sphingadiene,Lepadin D,3-ketosphingosine,Palmitoleoyl-EA,(4E,8Z,d18:2) sphingosine	11593	{'Sphingolipids [SP]', 'Fatty Acyls [FA]'}	{'Fatty amides [FA08]', 'Fatty esters [FA07]', 'Octadecanoids [FA02]', 'Sphingoid bases [SP01]', 'Fatty Acids and Conjugates [FA01]'}
298.31	92.25	0.004052881050622939	-18.507381463677948	C19H36O	-3.499238988108253	6S,7R-Epoxy-9Z-nonadecene,10-Nonadecen-2-one,7-Ethyl-4-heptadecen-6-one,10Z-Nonadecen-2-one,9S,10R-Epoxy-6Z-nonadecene,2-methyl-7R,8S-Epoxy-17-octadecene,12Z-Nonadecen-9-one,10Z-Nonadecenal,6R,7S-Epoxy-9Z-nonadecene,9Z-Nonadecenal	11628	{'Fatty Acyls [FA]'}	{'Oxygenated hydrocarbons [FA12]', 'Fatty aldehydes [FA06]'}
189.0732	22.14	0.026537785502350003	7.629474865600634	C6H14O5	0.26844023101277514	1-Deoxy-D-glucitol	12550	{'Fatty Acyls [FA]'}	{'Fatty alcohols [FA05]'}
309.1459	25.97	0.03776925082383663	-6.659928866310529	C18H22O3	-2.8562473351465254	(Z)-16-oxo-octadeca-9,17-dien-12,14-diynoic acid,(E)-15,16-dihydrominquartynoic acid,16-Ketoestradiol,16b-Hydroxyestrone,4-hydroxyestrone,11beta-hydroxyestrone,2-Hydroxyestrone,8R,9R-epoxy-octadec-4,6,16-triynoic acid,8R,9R-epoxy-13Z,15Z-eicosadien-4,6-diynoic acid,16alpha-hydroxyestrone	14193	{'Sterol Lipids [ST]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Steroids [ST02]'}
312.2032	36.26	0.023333857247246605	-8.227127254600138	C21H26O2	-3.438918527729477	Cannabinol	kp298_310.1926	{'Polyketides [PK]'}	{'Aromatic polyketides [PK13]'}
314.305	79.87	0.008762594318995828	-12.151559414826679	C19H36O2,C19H39NO2	-3.089329446543889	10-methylene-octadecanoic acid,10E-nonadecenoic acid,7Z-nonadecenoic acid,Dihydrosterculic acid,5Z-Nonadecenoic acid,18:1(12E)(11Me),7-Ethylheptadecane-4,6-dione,2-octyl-cyclopropaneoctanoic acid,4-heptyl-2-methyl-2-undecenoic acid,19:1(13Z),7-Methyloctyl (Z)-4-decenoate,19:1(6Z),19:1(9Z),18:1(7Z)(17Me),methyl oleate,2,5-dimethyl-2-heptadecenoic acid,17-methyl-6Z-octadecenoic acid,2-nonadecenoic acid,Lactobacillic acid,7E-nonadecenoic acid,11Z-Heptadecenyl acetate,19:1(11Z),8,9-Methylene-octadecanoic acid,Isopropyl 9Z-hexadecenoate,19:1(16Z),18:1(13Z)(17Me),10Z-nonadecenoic acid,10-methyl-9Z-octadecenoic acid,13-Cyclohexyltridecanoic acid,11-methyl-12Z-octadecenoic acid,19:1(12Z),Margaroyl-EA	15696	{'Fatty Acyls [FA]'}	{'Oxygenated hydrocarbons [FA12]', 'Fatty amides [FA08]', 'Fatty esters [FA07]', 'Fatty Acids and Conjugates [FA01]'}
315.1739	79.21	0.01030670923221455	-11.504282000736461		-3.240844226703839	315.1739			
