m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
298.2737	48.78	0.033746614973693675	-10.259673404547303	C18H35NO2	-2.0870101512947414	3-ketosphingosine,(4E,8E,d18:2) sphingosine,(4E,8Z,d18:2) sphingosine,Lepadin D,Palmitoleoyl-EA,4E,14Z-Sphingadiene	kp178_297.2664	{'Sphingolipids [SP]', 'Fatty Acyls [FA]'}	{'Sphingoid bases [SP01]', 'Fatty amides [FA08]'}
299.2771	48.78	0.03283772636818946	-10.669320360111419	C18H35NO2	-2.1566652202542045	3-ketosphingosine,(4E,8E,d18:2) sphingosine,(4E,8Z,d18:2) sphingosine,Lepadin D,Palmitoleoyl-EA,4E,14Z-Sphingadiene	kp178_297.2664	{'Sphingolipids [SP]', 'Fatty Acyls [FA]'}	{'Sphingoid bases [SP01]', 'Fatty amides [FA08]'}
255.1233	0.66	0.02852132135293995	-13.14989120393482		-1.2442527488175088				
334.2945	49.96	2.888597329384618e-05	125.68873789431895		3.073015857941389				
344.1717	0.66	0.014222320436054151	-20.194092781452618		-1.1374578993670994				
346.1868	0.66	0.033746614973693675	-10.138849669403012		-1.1200800809360736				
280.2632	48.78	0.033746614973693675	-9.93502119502977	C18H33NO	-2.085372495371171	Linoleamide	kp1105_279.2559	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
281.2665	48.78	0.037895773986209004	-9.258764815977338	C18H33NO	-2.0530742884952	Linoleamide	kp1105_279.2559	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
284.2945	77.64	0.033746614973693675	-9.786779736879144	C18H37NO	-0.8837177766181163	Bacillamidin G,Stearamide	kp1181_283.2872	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
417.3359	151.99	0.02852132135293995	12.840114190488622		2.0802031432983696				
418.3392	152.12	0.02852132135293995	12.477530402335242		2.153771416513461				
420.2318	177.04	0.03941231324231154	-9.068124483004615		-2.5985539171591796				
152.0567	22.27	0.046443038336299	-8.515612405213718		-3.336773245697909				
439.3391	182.03	0.03128170174989758	-11.180358436844202		-3.92760878339001				
441.3546	209.68	0.03434276215822351	-9.603591016002666	C27H47NO2	-3.548663806149527	Type IV cyanolipid 22:1 ester,N-(2-methoxy-ethyl)-16,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine,N-(2R-methyl-3-hydroxy-ethyl)-16,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine,Type III cyanolipid 22:1 ester,N-(2-hydroxy-2S-methyl-ethyl)-16,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine	kp1550_417.3616	{'Fatty Acyls [FA]'}	{'Fatty esters [FA07]', 'Fatty amides [FA08]'}
381.3147	243.82	0.03120107850561061	11.464472385483612	C27H40O	3.0044876613769667	Pentalinonsterol,Sibogol F	kp1837_380.3075	{'Sterol Lipids [ST]'}	{'Sterols [ST01]'}
464.4457	272.27	0.02852132135293995	-13.662732254396174		-2.938767376991862				
490.4612	275.03	0.03120107850561061	-11.402470747228898		-3.1313310138199952				
491.4647	275.03	0.03120107850561061	-11.681484894789266		-3.149231292759808				
530.4539	275.16	0.033746614973693675	-9.899984420200077	C32H61NO3	-3.21073894101972	Cer(d14:2(4E,6E)/18:0),Cer(d14:1/18:1),Cer(d18:2/14:0),Cer(d18:2(4E,8E)/14:0)	kp2526_507.4646	{'Sphingolipids [SP]'}	{'Ceramides [SP02]'}
508.4718	275.16	0.03283772636818946	-10.839937982378236	C32H61NO3	-3.1304443483966153	Cer(d14:2(4E,6E)/18:0),Cer(d14:1/18:1),Cer(d18:2/14:0),Cer(d18:2(4E,8E)/14:0)	kp2526_507.4646	{'Sphingolipids [SP]'}	{'Ceramides [SP02]'}
509.4753	274.9	0.033746614973693675	-9.758863049720553	C32H61NO3	-3.2095014087288973	Cer(d14:2(4E,6E)/18:0),Cer(d14:1/18:1),Cer(d18:2/14:0),Cer(d18:2(4E,8E)/14:0)	kp2526_507.4646	{'Sphingolipids [SP]'}	{'Ceramides [SP02]'}
512.4941	308.92	0.02852132135293995	-12.637297204576075	C32H63NO3	-1.979216423736034	Cer(d18:1/14:0),N-myristoyl-3-oxosphinganine,Cer(d14:1/18:0)	kp2569_509.4803	{'Sphingolipids [SP]'}	{'Ceramides [SP02]'}
228.2685	58.39	0.013547579617598938	22.640403269727834		2.472683047002249				
173.096	243.82	0.04013025896723574	8.933976866271825		3.37090182246866				
678.6757	508.64	0.016359221622130535	-17.431586054545775	C44H87NO3	-2.826682267963889	Cer(d18:1/26:0),Cer(d18:0/26:1(17Z))	kp3992_677.6682	{'Sphingolipids [SP]'}	{'Ceramides [SP02]'}
1176.704	291.75	0.016359221622130535	17.13489385832634	C57H104N2O21	1.894661422011655	GM3(d18:1/16:0)	kp6628_1152.7107	{'Sphingolipids [SP]'}	{'Acidic glycosphingolipids [SP06]'}
