m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
298.2737	48.78	0.01574255198970936	-10.720476951370253	C18H32O2,C18H33NO,C18H35NO2	-2.2416706956801775	11Z,15Z-octadecadienoic acid,Ethyl (Z,Z)-11,13-hexadecadienoate,9,13-octadecadienoic acid,7Z,10Z-octadecadienoic acid,5,10-octadecadienoic acid,4Z,8Z-octadecadienoic acid,Cilienic acid,Taxoleic acid,14,17-Octadecadienoic acid,6,11-octadecadienoic acid,3Z,7Z-octadecadienoic acid,6Z,9Z-octadecadienoic acid,Chaulmoogric acid,12E,16E-octadecadienoic acid,10Z,12E-Hexadecadienyl acetate,11-Hexadecynyl acetate,4E,8E-octadecadienoic acid,6E,10E-octadecadienoic acid,11E,13Z-Octadecadienoic acid,4R-methyl-7Z,11Z-heptadecadienoic acid,3Z,12Z-octadecadienoic acid,2Z,5Z-octadecadienoic acid,17-octadecynoic acid,8-octadecynoic acid,16:2(2E,4E)(5Me,7Me[S]),11-cis-Linoleic acid,11Z,14E-Hexadecadienyl acetate,15-octadecynoic acid,Linoelaidic acid,12Z,15Z-octadecadienoic acid,Malvalic acid,4Z,11Z-octadecadienoic acid,13E,17-octadecadienoic acid,2-Cyclopentene-1S-tridecanoic acid,(S)-laballenic acid,16-methyl-9Z,12Z-heptadecadienoic acid,(Z)-3,7-Dimethyl-2,6-octadienyl octanoate,3Z,6Z-octadecadienoic acid,12-octadecynoic acid,Stearolic acid,11E,13Z-Hexadecadienyl acetate,5Z,9E-octadecadienoic acid,11-octadecynoic acid,6E,12E-octadecadienoic acid,Vaccelenic acid,5E,12Z-octadecadienoic acid,7,10-Octadecadienoic acid,2Z,6Z-octadecadienoic acid,3-octadecynoic acid,7Z,11Z-Hexadecadienyl acetate,16:2(2E,4E)(4Me,6Me[S]),Rumenic acid,7Z,11E-Hexadecadienyl acetate,13,16-Octadecadienoic acid,9Z-octadecen-4R-olide,10Z,13Z-octadecadienoic acid,Mikusch's acid,5E,12E-octadecadienoic acid,Ephedrenic acid,7Z,11Z-octadecadienoic acid,10-octadecynoic acid,11Z,14Z-octadecadienoic acid,8,12-octadecadienoic acid,14Z,17-octadecadienoic acid,9-octadecenolide,13Z,16Z-octadecadienoic acid,5,6-octadecadienoic acid,10Z,12E-Octadecadienoic acid,5,11-octadecadienoic acid,Linoleic acid,6,8-octadecadienoic acid,6E,11Z-Hexadecadienyl acetate,11Z,13E-Hexadecadienyl acetate,Sebaleic acid,4,9-octadecadienoic acid,10E,12Z-octadecadienoic acid,4Z,7Z-octadecadienoic acid,Adiantic acid,10E,12Z-Hexadecadienyl acetate,Ricinenic acid,3Z,9Z-Octadecadienoic acid,13-octadecynoic acid,9-octadecen-4-olide,9E,12Z-octadecadienoic acid,10E,14E-octadecadienoic acid,10Z,14Z-octadecadienoic acid,5Z,12Z-octadecadienoic acid,16-octadecynoic acid,10E,12E-Hexadecadienyl acetate,5E,9Z-octadecadienoic acid,4-octadecynoic acid,8E,10E-octadecadienoic acid,7-trans,9-cis-octadecadienoic acid,11Z,13Z-Hexadecadienyl acetate,6E,9E-octadecadienoic acid,5Z,12E-octadecadienoic acid,3E,7E-octadecadienoic acid,8,11-octadecadienoic acid,14-octadecynoic acid,10,13-Octadecadienoic acid,5-octadecynoic acid,(R)-laballenic acid,(E)-3,7-Dimethyl-2,6-octadienyl octanoate,9E,11Z-Hexadecadienyl acetate,Tariric acid,2-octadecynoic acid,8Z,11Z-octadecadienoic acid,4E,6Z-Hexadecadienyl acetate,2,4-octadecadienoic acid,16-methyl-6Z,9Z-heptadecadienoic acid,7E,12E-octadecadienoic acid,4-Methyl-7,11-heptadecadienoic acid,9Z,12E-octadecadienoic acid,2E,6E-octadecadienoic acid,10Z,12Z-octadecadienoic acid,7-octadecynoic acid,8Z,10Z-Hexadecadienyl acetate,Mangold's acid,6E,11Z-octadecadienoic acid,11E,13E-Hexadecadienyl acetate,Linoleamide,(4E,8E,d18:2) sphingosine,4E,14Z-Sphingadiene,Lepadin D,3-ketosphingosine,Palmitoleoyl-EA,(4E,8Z,d18:2) sphingosine	11593	{'Sphingolipids [SP]', 'Fatty Acyls [FA]'}	{'Fatty amides [FA08]', 'Fatty esters [FA07]', 'Octadecanoids [FA02]', 'Sphingoid bases [SP01]', 'Fatty Acids and Conjugates [FA01]'}
298.31	92.25	0.01949320930705492	-9.746287405050815	C19H36O	-1.976991923355154	6S,7R-Epoxy-9Z-nonadecene,10-Nonadecen-2-one,7-Ethyl-4-heptadecen-6-one,10Z-Nonadecen-2-one,9S,10R-Epoxy-6Z-nonadecene,2-methyl-7R,8S-Epoxy-17-octadecene,12Z-Nonadecen-9-one,10Z-Nonadecenal,6R,7S-Epoxy-9Z-nonadecene,9Z-Nonadecenal	11628	{'Fatty Acyls [FA]'}	{'Oxygenated hydrocarbons [FA12]', 'Fatty aldehydes [FA06]'}
299.2771	48.78	0.013871861005793018	-11.310781383481443	C18H35NO2	-2.279223074384788	(4E,8E,d18:2) sphingosine,4E,14Z-Sphingadiene,Lepadin D,3-ketosphingosine,Palmitoleoyl-EA,(4E,8Z,d18:2) sphingosine	kp119_297.2664	{'Sphingolipids [SP]', 'Fatty Acyls [FA]'}	{'Sphingoid bases [SP01]', 'Fatty amides [FA08]'}
314.305	79.87	0.011785818952830826	-12.363826362596223	C19H36O2,C19H39NO2	-2.2665532036096394	10-methylene-octadecanoic acid,10E-nonadecenoic acid,7Z-nonadecenoic acid,Dihydrosterculic acid,5Z-Nonadecenoic acid,18:1(12E)(11Me),7-Ethylheptadecane-4,6-dione,2-octyl-cyclopropaneoctanoic acid,4-heptyl-2-methyl-2-undecenoic acid,19:1(13Z),7-Methyloctyl (Z)-4-decenoate,19:1(6Z),19:1(9Z),18:1(7Z)(17Me),methyl oleate,2,5-dimethyl-2-heptadecenoic acid,17-methyl-6Z-octadecenoic acid,2-nonadecenoic acid,Lactobacillic acid,7E-nonadecenoic acid,11Z-Heptadecenyl acetate,19:1(11Z),8,9-Methylene-octadecanoic acid,Isopropyl 9Z-hexadecenoate,19:1(16Z),18:1(13Z)(17Me),10Z-nonadecenoic acid,10-methyl-9Z-octadecenoic acid,13-Cyclohexyltridecanoic acid,11-methyl-12Z-octadecenoic acid,19:1(12Z),Margaroyl-EA	15696	{'Fatty Acyls [FA]'}	{'Oxygenated hydrocarbons [FA12]', 'Fatty amides [FA08]', 'Fatty esters [FA07]', 'Fatty Acids and Conjugates [FA01]'}
137.0709	22.41	0.03968220408249972	7.267239083236715		1.758418209142743	137.0709_M+H+			
255.1233	0.66	0.011560796275353946	-12.68536132553146	C13H18O5	-1.3550752527470067	3,4-dimethyl-5-carboxyethyl-2-furanbutanoic acid,4-methyl-5-carboxyethyl-2-furanpentanoic acid,methyl 4-[2-(2-formyl-vinyl)-3-hydroxy-5-oxo-cyclopentyl]-butanoate	17282	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]'}
334.2945	49.96	3.261265035150322e-05	146.3609231100086	C18H36O4,C18H37NO3	3.049279767935012	7,8-dihydroxy stearic acid,5,6-dihydroxy stearic acid,threo-9,10-Dihydroxystearic acid,12,13-dihydroxy stearic acid,4,14-dihydroxy-octadecanoic acid,(9S,10S)-9,10-dihydroxyoctadecanoic acid,9,10-dihydroxystearic acid,6,7-dihydroxy stearic acid,1-O-(2R-methoxy-4Z-tetradecenyl)-sn-glycerol,15,16-dihydroxy-octadecanoic acid,9,14-dihydroxy-octadecanoic acid,9R,10S-dihydroxy-stearic acid,MG(13:0(2Me,12Me)/0:0),MG(14:0(13Me)/0:0),13,14-dihydroxy-octadecanoic acid,2,3-dihydroxy stearic acid,10,11-dihydroxy stearic acid,MG(15:0/0:0),1-O-(2R-hydroxy-4Z-pentadecenyl)-sn-glycerol,9S,10R-dihydroxy-stearic acid,11,12-dihydroxy stearic acid,8,9-dihydroxy stearic acid,9,12-dihydroxy stearic acid,6-hydroxysphingosine,4-hydroxy-8cis-sphingenine,Dehydrophytosphingosine	20615	{'Sphingolipids [SP]', 'Glycerolipids [GL]', 'Glycerophospholipids [GP]', 'Fatty Acyls [FA]'}	{'Glycerophosphocholines [GP01]', 'Octadecanoids [FA02]', 'Sphingoid bases [SP01]', 'Monoradylglycerols [GL01]', 'Fatty Acids and Conjugates [FA01]'}
146.0924	22.14	0.0018582823910399966	25.452185558082178	C5H8N2O2	2.734710996540665	4-amino-4-cyano-butanoic acid,2-amino-4-cyano-butanoic acid	21985	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]'}
344.1717	0.66	0.004765820963255658	-18.276092736489467		-1.189044346872894	344.1717_HCl, 2x charged			
346.1868	0.66	0.01949320930705492	-9.740159344639768	C16H24O7	-1.1517576412713737	tetranor-PGDM,Prostaglandin M,Tetranor-PGEM	23842	{'Fatty Acyls [FA]'}	{'Eicosanoids [FA03]'}
