m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
298.2737	48.78	0.015148465341979634	-14.456215401709832	C18H32O2,C18H33NO,C18H35NO2	-1.900689470117353	11Z,15Z-octadecadienoic acid,Ethyl (Z,Z)-11,13-hexadecadienoate,9,13-octadecadienoic acid,7Z,10Z-octadecadienoic acid,5,10-octadecadienoic acid,4Z,8Z-octadecadienoic acid,Cilienic acid,Taxoleic acid,14,17-Octadecadienoic acid,6,11-octadecadienoic acid,3Z,7Z-octadecadienoic acid,6Z,9Z-octadecadienoic acid,Chaulmoogric acid,12E,16E-octadecadienoic acid,10Z,12E-Hexadecadienyl acetate,11-Hexadecynyl acetate,4E,8E-octadecadienoic acid,6E,10E-octadecadienoic acid,11E,13Z-Octadecadienoic acid,4R-methyl-7Z,11Z-heptadecadienoic acid,3Z,12Z-octadecadienoic acid,2Z,5Z-octadecadienoic acid,17-octadecynoic acid,8-octadecynoic acid,16:2(2E,4E)(5Me,7Me[S]),11-cis-Linoleic acid,11Z,14E-Hexadecadienyl acetate,15-octadecynoic acid,Linoelaidic acid,12Z,15Z-octadecadienoic acid,Malvalic acid,4Z,11Z-octadecadienoic acid,13E,17-octadecadienoic acid,2-Cyclopentene-1S-tridecanoic acid,(S)-laballenic acid,16-methyl-9Z,12Z-heptadecadienoic acid,(Z)-3,7-Dimethyl-2,6-octadienyl octanoate,3Z,6Z-octadecadienoic acid,12-octadecynoic acid,Stearolic acid,11E,13Z-Hexadecadienyl acetate,5Z,9E-octadecadienoic acid,11-octadecynoic acid,6E,12E-octadecadienoic acid,Vaccelenic acid,5E,12Z-octadecadienoic acid,7,10-Octadecadienoic acid,2Z,6Z-octadecadienoic acid,3-octadecynoic acid,7Z,11Z-Hexadecadienyl acetate,16:2(2E,4E)(4Me,6Me[S]),Rumenic acid,7Z,11E-Hexadecadienyl acetate,13,16-Octadecadienoic acid,9Z-octadecen-4R-olide,10Z,13Z-octadecadienoic acid,Mikusch's acid,5E,12E-octadecadienoic acid,Ephedrenic acid,7Z,11Z-octadecadienoic acid,10-octadecynoic acid,11Z,14Z-octadecadienoic acid,8,12-octadecadienoic acid,14Z,17-octadecadienoic acid,9-octadecenolide,13Z,16Z-octadecadienoic acid,5,6-octadecadienoic acid,10Z,12E-Octadecadienoic acid,5,11-octadecadienoic acid,Linoleic acid,6,8-octadecadienoic acid,6E,11Z-Hexadecadienyl acetate,11Z,13E-Hexadecadienyl acetate,Sebaleic acid,4,9-octadecadienoic acid,10E,12Z-octadecadienoic acid,4Z,7Z-octadecadienoic acid,Adiantic acid,10E,12Z-Hexadecadienyl acetate,Ricinenic acid,3Z,9Z-Octadecadienoic acid,13-octadecynoic acid,9-octadecen-4-olide,9E,12Z-octadecadienoic acid,10E,14E-octadecadienoic acid,10Z,14Z-octadecadienoic acid,5Z,12Z-octadecadienoic acid,16-octadecynoic acid,10E,12E-Hexadecadienyl acetate,5E,9Z-octadecadienoic acid,4-octadecynoic acid,8E,10E-octadecadienoic acid,7-trans,9-cis-octadecadienoic acid,11Z,13Z-Hexadecadienyl acetate,6E,9E-octadecadienoic acid,5Z,12E-octadecadienoic acid,3E,7E-octadecadienoic acid,8,11-octadecadienoic acid,14-octadecynoic acid,10,13-Octadecadienoic acid,5-octadecynoic acid,(R)-laballenic acid,(E)-3,7-Dimethyl-2,6-octadienyl octanoate,9E,11Z-Hexadecadienyl acetate,Tariric acid,2-octadecynoic acid,8Z,11Z-octadecadienoic acid,4E,6Z-Hexadecadienyl acetate,2,4-octadecadienoic acid,16-methyl-6Z,9Z-heptadecadienoic acid,7E,12E-octadecadienoic acid,4-Methyl-7,11-heptadecadienoic acid,9Z,12E-octadecadienoic acid,2E,6E-octadecadienoic acid,10Z,12Z-octadecadienoic acid,7-octadecynoic acid,8Z,10Z-Hexadecadienyl acetate,Mangold's acid,6E,11Z-octadecadienoic acid,11E,13E-Hexadecadienyl acetate,Linoleamide,(4E,8E,d18:2) sphingosine,4E,14Z-Sphingadiene,Lepadin D,3-ketosphingosine,Palmitoleoyl-EA,(4E,8Z,d18:2) sphingosine	11593	{'Sphingolipids [SP]', 'Fatty Acyls [FA]'}	{'Fatty amides [FA08]', 'Fatty esters [FA07]', 'Octadecanoids [FA02]', 'Sphingoid bases [SP01]', 'Fatty Acids and Conjugates [FA01]'}
299.2771	48.78	0.04583402288713884	-7.548180449004853	C18H35NO2	-2.5554925222658262	(4E,8E,d18:2) sphingosine,4E,14Z-Sphingadiene,Lepadin D,3-ketosphingosine,Palmitoleoyl-EA,(4E,8Z,d18:2) sphingosine	kp119_297.2664	{'Sphingolipids [SP]', 'Fatty Acyls [FA]'}	{'Sphingoid bases [SP01]', 'Fatty amides [FA08]'}
300.8836	22.54	0.04139594921313734	7.98189540057006		2.015185045936967	300.8836			
243.0158	23.19	0.02496795093378605	10.521048722741154		3.359162569968529	243.0158			
188.1756	23.19	0.02198274925980427	-11.101904833403589		-1.5859573343485813	188.1756_M+H+			
124.1203	28.47	0.03923688169156775	8.270909117904097		1.880321323204754	124.1203_M+H+			
244.2632	41.14	0.045806838372184265	-7.660600856230199	C15H30O	-1.680547979876156	Pentadecan-2-one,9-pentadecen-1-ol,pentadecanal,3-Ethyltridecan-2-one,7-Ethyltridecan-6-one,13-methyltetradecanal	13253	{'Fatty Acyls [FA]'}	{'Oxygenated hydrocarbons [FA12]', 'Fatty alcohols [FA05]', 'Fatty aldehydes [FA06]'}
246.1276	47.47	0.01320195511182732	18.98618388900857		1.440818915559177	246.1276_M+H+			
309.2279	33.1	0.019800956760371233	-11.809686634908822		-1.6733820386457765	309.2279_M+H+, 2x charged			
316.2842	36.52	0.022694437375421612	-10.894177307254221	C18H34O3,C18H35NO2,C18H37NO3	-1.9575690609063514	12R-HOME(10E),11S-HOME(12E),11S-HOME(12Z),Ricinoleic acid,11-HOME(9),12R-HOME(9E),10-HOME(8),7-keto-stearic acid,17-oxo-octadecanoic acid,9-HOME(10E),10(S)-hydroxy-8E-octadecenoic acid,9R,10S-epoxy-stearic acid,Isoricinoleic acid,Lactarinic acid,9-HOME(10Z),8R-HOME(9Z),12S-HOME(13Z),12R-HOME(13E),14-oxo-octadecanoic acid,13S-HOME(11E),8Z-decen-4,6-diynoic acid,10R-HOME(11Z),9-keto stearic acid,2R-hydroxy-oleic acid,11-oxo-octadecanoic acid,11-hydroxy-12E-octadecenoic acid,2-oxo-octadecanoic acid,4-keto stearic acid,11R-HOME(12E),5-HOME(2),12S-HOME(9E),13-oxo-octadecanoic acid,10(R)-hydroxy-8Z-octadeceneic acid,15-oxo-octadecanoic acid,9R-HOME(12E),17-HOME(9Z),10R-HOME(8E),16-methyl-10-oxo-heptadecanoic acid,2-Hydroxyoleic acid,10-hydroxy-12Z-octadecenoic acid,12S-HOME(10E),12-HOME(10E),10-keto stearic acid,9S,10R-epoxy-stearic acid,12R-HOME(13Z),13R-HOME(11E),3-keto stearic acid,9R-HOME(12Z),10-hydroxy-11E-octadecenoic acid,8-oxo-octadecanoic acid,13-HpOME(14E),8-HOME(9),2-methyl-4-oxo-heptadecanoic acid,12S-HOME(13E),Lycaonic acid,10-hydroxy-12E-octadecenoic acid,19-HOME(9Z),12S-HOME(9Z),6R,7S-epoxy-octadecanoic acid,9,10-epoxystearic acid,Ricinelaidic acid,11-cycloheptyl,2R-hydroxyundecanoic acid,9-hydroxy-11Z-Octadecenoic acid,Isoricinoleic Acid,5-keto stearic acid,11R-HOME(12Z),9R-HOME(10E),16-oxo-octadecanoic acid,9-HOME(12),10S-HOME(11Z),(4E,8E,d18:2) sphingosine,4E,14Z-Sphingadiene,Lepadin D,3-ketosphingosine,Palmitoleoyl-EA,(4E,8Z,d18:2) sphingosine,6-hydroxysphingosine,4-hydroxy-8cis-sphingenine,Dehydrophytosphingosine	16166	{'Sphingolipids [SP]', 'Fatty Acyls [FA]'}	{'Fatty amides [FA08]', 'Octadecanoids [FA02]', 'Sphingoid bases [SP01]', 'Fatty Acids and Conjugates [FA01]'}
