m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
170.0811	23.98	0.0008051626132877125	35.95392268267517		4.838265124207624				
268.2116	24.51	0.029852946563655076	6.708793157492264		1.188315935425468				
218.9817	22.8	0.04200221855568356	5.648708304133019		2.2110446108288713				
219.1127	21.88	0.04277886806615189	5.570235869810124		3.336284245131395				
219.1127	24.51	0.03554518614960135	6.12683097252504		2.5526023038964816				
120.0809	24.51	0.01828513162252491	7.975647097186521		1.602234159030779				
274.0836	26.37	0.0408963571765046	-5.724765963101441		-0.5979348986198936				
174.938	22.67	0.009850367087439443	9.89428106366383		2.1268190342571813				
121.0843	24.77	0.04200221855568356	5.641540415316532	C21H39NO5	1.8115251074261423	N-palmitoyl glutamic acid	kp7993_385.282	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
175.0014	23.06	0.009135302309650702	10.250297926128399		2.5076623002244887				
274.2737	34.15	0.005778469444893526	-12.296720801771373		-3.9337842869320454				
175.119	24.51	0.028620181512973984	6.803937593210875		2.488207293751554				
124.0587	23.33	0.0023808402446902415	18.431206661445955		7.074966252493056				
226.1913	0.79	0.04212045465303859	-5.618342068380423		-2.36896269361047				
227.1753	0.66	0.034757417861710854	-6.21921085670579		-2.3034026694038268				
227.1753	24.51	0.045676033753963195	5.373013336910423		2.3061172351981547				
228.2685	58.39	0.00019101960477633378	58.58119014368299		4.668168581499593				
283.0939	24.38	0.008758100741907431	10.493412019150973		1.587793817630022				
182.0811	23.06	0.032874955350714344	6.399570187536175		2.185656532946492				
233.0783	22.8	0.03222612239072932	6.48394190300375		2.6347424512439552				
284.2945	77.64	0.001648794456268558	24.795096608300042	C13H23NO6	2.338846769855458	O-adipoylcarnitine	kp469_289.1534	{'Fatty Acyls [FA]'}	{'Fatty esters [FA07]'}
285.1096	24.24	0.01568724899952278	8.543977083319938		1.8936041746253345				
285.2979	77.51	0.0037525715032502975	15.822596364967838		2.196633658725677				
133.1052	23.98	0.04015929737793312	5.7786046812252705		2.1048763080408115				
287.0888	24.24	0.009998879463650504	9.818397433993232		1.4310064880732156				
288.2893	34.42	0.02287492437101875	7.460125821919276		1.2549616411105582				
185.1648	0.79	0.028620181512973984	-6.81057048165235		-2.841574919814601				
238.2276	0.79	0.04916782970106787	-5.203515875101754		-2.0240018369207				
189.0732	22.14	0.024834124787592827	-7.25334259514003		-0.9946374132212981				
240.1804	24.51	0.016480469733195665	8.34210601653116		1.2078936706289127				
240.2683	78.69	0.002202132957363032	20.717949317497915		6.59854013867637				
241.1838	24.51	0.007175309851940789	11.272854025805803		1.3797402468005977				
299.0886	24.24	0.04583216923401181	5.344044091066466		1.1714452827198159				
242.9253	22.67	0.024834124787592827	7.23237660111938		1.4103183401667927				
299.35	64.46	0.023928835819964245	7.348768465463278		1.7846627762191396				
301.1044	24.51	0.00576237496502958	12.619581397978381		1.5470641901292268				
246.2426	27.42	0.012911334311447616	-9.086397841114133	C14H26O3	-2.5089601647166084	10-keto myristic acid,3-oxo-tetradecanoic acid,12-hydroxy-13-tetradecenoic acid,12-methyl-10-oxo-tridecanoic acid,14-hydroxy-12-tetradecenoic acid,7-Oxotetradecanoic acid,4-keto myristic acid,13-keto myristic acid,6-oxo-tetradecanoic acid,14-hydroxy-12Z-tetradecenoic acid,14-hydroxy-5Z-tetradecenoic acid,2-oxo-tetradecanoic acid	kp6812_242.188	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]'}
307.892	20.04	0.04010662752994271	-5.872758296429797		-2.8726509830895672				
147.0764	23.85	0.03061173268321027	6.609424616650808		5.798329296191458				
311.0887	24.11	0.043208131414068915	5.510726188299782		1.63813605580145				
313.1044	24.24	0.00576237496502958	12.582579839208034		1.6041939524834206				
152.0567	22.41	0.04399343465226475	5.461445533169485		1.663610232481897				
254.2476	36.52	0.031771637567336634	-6.526108771486873		-1.4145763155110131				
257.0571	26.37	0.028620181512973984	-6.8076017027271885		-0.6268397525289977				
258.0605	26.37	0.04285733760006853	-5.534312619364988		-0.5789591124205273				
158.1651	23.85	0.04015929737793312	5.856268149482911		2.8131648394356823				
158.9639	21.75	0.034757417861710854	6.232517482318414		0.8120490914877045				
327.1201	24.24	0.005537656778932189	13.263901944229168		1.8868475783490268				
