m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
219.1023	34.14	0.03510511912691926	6.7973420487539675		1.8894707591733315				
236.0783	32.04	0.04196245854483595	6.52383283158174		5.8386779790851016				
465.3044	205.29	0.0010421502296689101	13.133453539621533	C27H46O4S	0.966145831969385	cholesterol sulfate	kp566_466.3116	{'Sterol Lipids [ST]'}	{'Steroid conjugates [ST05]'}
466.3077	205.16	0.0008449825720692767	15.012486066945694	C27H46O4S	0.995555461355309	cholesterol sulfate	kp566_466.3116	{'Sterol Lipids [ST]'}	{'Steroid conjugates [ST05]'}
467.2985	205.16	0.02820287160421258	7.234493826622247	C27H42O4F2	1.886071289117094	(6RS)-6,19-epidioxy-24,24-difluoro-25-hydroxy-6,19-dihydrovitamin D3	kp582_468.3066	{'Sterol Lipids [ST]'}	{'Secosteroids [ST03]'}
523.2633	205.16	0.0008449825720692767	17.135812209592444		2.5640888497783223				
533.291	205.03	0.0010421502296689101	13.124772594746899	C33H42O6	0.931148069787529	Vitixanthin	kp721_534.2986	{'Prenol Lipids [PR]'}	{'Isoprenoids [PR01]'}
382.3327	207.16	0.02947769881222097	7.082097600674999		2.4931732170859				
484.1556	129.93	0.02820287160421258	7.2323644083955365		2.8516512192696695				
446.9056	1.96	0.0008449825720692767	14.67725488453892		5.663267330788399				
450.3589	119.11	0.0008449825720692767	14.371956287473497	C27H49NO4	1.9936791260448885	(11Z,14Z)-eicosadienoylcarnitine	kp917_451.3663	{'Fatty Acyls [FA]'}	{'Fatty esters [FA07]'}
601.2799	205.03	0.007089854508319051	9.426007981485103		2.461979099053078				
724.4877	603.15	0.006796434524301413	9.682182596069008		2.8330931060504625				
724.9893	602.36	0.02820287160421258	7.346827275376265		1.8452801657029987				
