m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
281.2486	193.95	0.027626110975607708	-8.254005182432541	C18H34O2	-1.6275119919630008	10-Octadecenoic acid,Ethyl 9-hexadecenoate,4-octadecylenic acid,3-octadecylenic acid,Cyclopentanetridecanoic acid,7-Hexadecenyl acetate,15E-octadecenoic acid,trans-2-oleic acid,2Z-octadecenoic acid,17-octadecenoic acid,Methyl 14-methyl-8Z-hexadecenoate,5Z-Hexadecenyl acetate,18:1(14E),17:1(6)(9Me),7Z-octadecenoic acid,3Z-octadecenoic acid,trans-12-elaidic acid,17:1(4)(15Me),4Z-octadecenoic acid,7E-octadecenoic acid,Isooctadecenoic acid,trans-8-elaidic acid,11Z-Hexadecenyl acetate,9Z-Hexadecenyl acetate,15Z-octadecenoic acid,7Z-Hexadecenyl acetate,10E-octadecenoic acid,Petroselinic acid,13Z-octadecenoic acid,Dihydromalvalic acid,5Z-octadecenoic acid,11-Cycloheptylundecanoic acid,Oleic acid,Methyl 14-methyl-8E-hexadecenoate,ethyl 9Z-hexadecenoate,18:1(13E),cis-10-oleic acid,cis-8-oleic acid,17:1(12)(7Me),5E-Hexadecenyl acetate,9E-Hexadecenyl acetate,10Z-Hexadecenyl acetate,ethyl 7Z-hexadecenoate,2-methyl-16-heptadecenoic acid,17:1(4)(16Me),cis-12-oleic acid,6E-Hexadecenyl acetate,3Z-Hexadecenyl acetate,Petroselaidic acid,trans-vaccenic acid,16Z-octadecenoic acid,12Z-Hexadecenyl acetate,11E-Hexadecenyl acetate,Thalictric acid,cis-vaccenic acid,18-Octadecanolide,8E-Hexadecenyl acetate,9-elaidic acid,18:1(14Z),16E-octadecenoic acid	kp237_282.2559	{'Fatty Acyls [FA]'}	{'Fatty esters [FA07]', 'Fatty Acids and Conjugates [FA01]'}
282.2521	194.08	0.020981820126883224	-10.68824922676849	C18H34O2	-3.8769778334791383	10-Octadecenoic acid,Ethyl 9-hexadecenoate,4-octadecylenic acid,3-octadecylenic acid,Cyclopentanetridecanoic acid,7-Hexadecenyl acetate,15E-octadecenoic acid,trans-2-oleic acid,2Z-octadecenoic acid,17-octadecenoic acid,Methyl 14-methyl-8Z-hexadecenoate,5Z-Hexadecenyl acetate,18:1(14E),17:1(6)(9Me),7Z-octadecenoic acid,3Z-octadecenoic acid,trans-12-elaidic acid,17:1(4)(15Me),4Z-octadecenoic acid,7E-octadecenoic acid,Isooctadecenoic acid,trans-8-elaidic acid,11Z-Hexadecenyl acetate,9Z-Hexadecenyl acetate,15Z-octadecenoic acid,7Z-Hexadecenyl acetate,10E-octadecenoic acid,Petroselinic acid,13Z-octadecenoic acid,Dihydromalvalic acid,5Z-octadecenoic acid,11-Cycloheptylundecanoic acid,Oleic acid,Methyl 14-methyl-8E-hexadecenoate,ethyl 9Z-hexadecenoate,18:1(13E),cis-10-oleic acid,cis-8-oleic acid,17:1(12)(7Me),5E-Hexadecenyl acetate,9E-Hexadecenyl acetate,10Z-Hexadecenyl acetate,ethyl 7Z-hexadecenoate,2-methyl-16-heptadecenoic acid,17:1(4)(16Me),cis-12-oleic acid,6E-Hexadecenyl acetate,3Z-Hexadecenyl acetate,Petroselaidic acid,trans-vaccenic acid,16Z-octadecenoic acid,12Z-Hexadecenyl acetate,11E-Hexadecenyl acetate,Thalictric acid,cis-vaccenic acid,18-Octadecanolide,8E-Hexadecenyl acetate,9-elaidic acid,18:1(14Z),16E-octadecenoic acid	kp237_282.2559	{'Fatty Acyls [FA]'}	{'Fatty esters [FA07]', 'Fatty Acids and Conjugates [FA01]'}
295.9547	22.94	0.032246133185261025	-7.594981180354796		-0.6907703022797307				
315.137	32.3	0.025708756536527294	9.174075185202724		1.1863030081858845				
250.1527	68.13	0.03697096311589119	-6.914999747657103	C15H22O3	-2.961718218415916	Proversilin A,(+)-Armillarin,Macrophyllic acid D,Fecapentaene-12,Macrophyllic acid B,dihydrosporogen-AO-1,Pentalenic acid,1-deoxy-11beta-hydroxypentalenic acid,Mumiamicin,Ngaione (-),Macrophyllic acid C,Macrophyllic acid E	kp586_250.1567	{'Prenol Lipids [PR]', 'Glycerolipids [GL]', 'Fatty Acyls [FA]'}	{'Isoprenoids [PR01]', 'Monoradylglycerols [GL01]', 'Fatty Acids and Conjugates [FA01]'}
336.9419	23.2	0.024969143104071077	-9.48720930394806		-0.804622022010566				
392.8958	23.46	0.032246133185261025	-7.6394608687575225		-1.7569453440412701				
398.9511	20.55	0.0006993040540718592	-39.674504920224784		-4.045467523087609				
168.0658	23.72	0.0065566917722470345	16.87337455004947		2.1139502788900515				
404.9292	23.07	0.04401657686339473	-6.4143738973758095		-1.043074517830405				
