m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
250.9648	21.23	0.017706567714253062	-12.589737621581792		-0.7321440018991261				
113.9879	21.75	0.04844706128429507	-7.835253479633768		-0.5795472897178158				
281.2486	194.08	0.04641945554801285	-8.10321888572819		-1.1026546231628238				
282.2521	194.21	0.03662501366603906	-9.089356716950347		-1.0749887269588072				
492.3463	212.28	0.007928198887173343	-19.133583025148017		-2.8507894010052723				
441.3375	212.41	0.017706567714253062	-12.818040295942577		-1.2402037135001684				
442.3409	212.41	0.03609790721167048	-9.505594174497439		-1.2007280740461788				
502.2946	89.75	0.03609790721167048	-9.33221757552063		-0.8136642843293522				
452.2785	94.76	0.016593319083214653	-13.945222891035376		-1.3911507193554407				
556.875	22.41	0.019004390461143793	11.949474704704294		2.7296649838379423				
561.3797	206.63	0.0005568078388886483	-48.44493473443398		-3.568705251668593				
568.8401	22.02	0.0005568078388886483	41.27898225116128		4.317310057321027				
572.2442	201.35	0.04641945554801285	-8.05957742699977		-0.8803678178319885				
586.2602	212.41	0.009771000023601628	-16.87770178094592		-1.2900580171810603				
887.5064	274.2	0.042865454981011235	-8.54398257826412		-1.211442477812529				
794.5071	285.91	0.03593613160880572	-9.84157309953305		-1.6912067499499948				
