m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
113.9879	21.75	0.015777073996079104	-11.857380327350478		-0.6217862138545094				
281.2486	193.95	0.04275814355478247	-7.746060477412155	C18H34O2	-1.208372060979773	17-octadecenoic acid,9-elaidic acid,5Z-octadecenoic acid,Dihydromalvalic acid,17:1(6)(9Me),17:1(12)(7Me),Methyl 14-methyl-8E-hexadecenoate,ethyl 9Z-hexadecenoate,trans-2-oleic acid,trans-12-elaidic acid,11-Cycloheptylundecanoic acid,8E-Hexadecenyl acetate,16E-octadecenoic acid,Thalictric acid,7Z-octadecenoic acid,trans-8-elaidic acid,3Z-Hexadecenyl acetate,Petroselaidic acid,12Z-Hexadecenyl acetate,16Z-octadecenoic acid,4-octadecylenic acid,9Z-Hexadecenyl acetate,cis-8-oleic acid,cis-vaccenic acid,13Z-octadecenoic acid,3Z-octadecenoic acid,18-Octadecanolide,Methyl 14-methyl-8Z-hexadecenoate,7Z-Hexadecenyl acetate,cis-10-oleic acid,15E-octadecenoic acid,18:1(13E),18:1(14Z),4Z-octadecenoic acid,10-Octadecenoic acid,11E-Hexadecenyl acetate,Cyclopentanetridecanoic acid,7-Hexadecenyl acetate,2-methyl-16-heptadecenoic acid,Oleic acid,Isooctadecenoic acid,trans-vaccenic acid,11Z-Hexadecenyl acetate,2Z-octadecenoic acid,15Z-octadecenoic acid,ethyl 7Z-hexadecenoate,18:1(14E),10Z-Hexadecenyl acetate,3-octadecylenic acid,Petroselinic acid,cis-12-oleic acid,7E-octadecenoic acid,17:1(4)(15Me),6E-Hexadecenyl acetate,Ethyl 9-hexadecenoate,9E-Hexadecenyl acetate,5E-Hexadecenyl acetate,10E-octadecenoic acid,17:1(4)(16Me),5Z-Hexadecenyl acetate	kp93_282.2559	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]'}
282.0846	21.89	0.015353001956552726	-12.037690750798076		-0.9855821512348903				
282.2521	194.08	0.022206680217396482	-10.006545253236684	C18H34O2	-1.173219756278094	17-octadecenoic acid,9-elaidic acid,5Z-octadecenoic acid,Dihydromalvalic acid,17:1(6)(9Me),17:1(12)(7Me),Methyl 14-methyl-8E-hexadecenoate,ethyl 9Z-hexadecenoate,trans-2-oleic acid,trans-12-elaidic acid,11-Cycloheptylundecanoic acid,8E-Hexadecenyl acetate,16E-octadecenoic acid,Thalictric acid,7Z-octadecenoic acid,trans-8-elaidic acid,3Z-Hexadecenyl acetate,Petroselaidic acid,12Z-Hexadecenyl acetate,16Z-octadecenoic acid,4-octadecylenic acid,9Z-Hexadecenyl acetate,cis-8-oleic acid,cis-vaccenic acid,13Z-octadecenoic acid,3Z-octadecenoic acid,18-Octadecanolide,Methyl 14-methyl-8Z-hexadecenoate,7Z-Hexadecenyl acetate,cis-10-oleic acid,15E-octadecenoic acid,18:1(13E),18:1(14Z),4Z-octadecenoic acid,10-Octadecenoic acid,11E-Hexadecenyl acetate,Cyclopentanetridecanoic acid,7-Hexadecenyl acetate,2-methyl-16-heptadecenoic acid,Oleic acid,Isooctadecenoic acid,trans-vaccenic acid,11Z-Hexadecenyl acetate,2Z-octadecenoic acid,15Z-octadecenoic acid,ethyl 7Z-hexadecenoate,18:1(14E),10Z-Hexadecenyl acetate,3-octadecylenic acid,Petroselinic acid,cis-12-oleic acid,7E-octadecenoic acid,17:1(4)(15Me),6E-Hexadecenyl acetate,Ethyl 9-hexadecenoate,9E-Hexadecenyl acetate,5E-Hexadecenyl acetate,10E-octadecenoic acid,17:1(4)(16Me),5Z-Hexadecenyl acetate	kp93_282.2559	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]'}
181.9758	21.62	0.009613508155461428	-15.348258961197336		-0.7934548872106681				
134.0462	22.94	0.0408519859873954	-7.908869287862466	C4H9NO4	-0.807284066492798	(+)-threo-2-Amino-3,4-dihydroxybutanoic acid	kp140_135.0534	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]'}
240.9135	25.04	0.006120629379629749	19.768412034216446		1.1146393874199028				
305.2487	186.07	0.032105922516637325	-8.55021132442585	C20H34O2	-1.8368961941930593	2-Cyclopentene-1-pentadecenoic acid,18-methyl-8Z,11Z,14Z-nonadecatrienoic acid,8Z,12E,14Z-eicosatrienoic acid,ETrE(5Z, 8Z, 11Z),5Z,9Z,12Z-Eicosatrienoic acid,9Z,11Z,14Z-Eicosatrienoic acid,Bishomocolumbinic acid,3Z,6Z,9Z-Eicosatrienoic acid,(E,E)-3,7,11-Trimethyl-2,6,10-dodecatrienyl pentanoate,7E,13E,17Z-Eicosatrienoic acid,7Z,10Z,13Z-eicosatrienoic acid,Bishomopinolenic acid,5,8,11-eicosatrienoic acid,20:3(5Z,13Z,16Z),eicosa-5Z,8Z,14Z-trienoic acid,7,11,14-Eicosatrienoic acid,(E,E)-3,7,11-Trimethyl-2,6,10-dodecatrienyl 3-methylbutanoate,7,10,13-Eicosatrienoic acid,plaunotol,bishomo-gamma-linolenic acid,Dihomo-alpha-linolenic acid,2E,4E,8Z-eicosatrienoic acid,5E,11Z,14Z-Eicosatrienoic acid,3Z,6Z,9Z-Octadecatrienyl acetate,2-Cyclopentene-1-pentadec-9c-enoic acid,11,14,17-eicosatrienoic acid,Sciadonic acid,Oncobic acid,(5Z,9E,14Z)-icosa-5,9,14-trienoic acid,9Z,12Z,15Z-Octadecatrienyl acetate	kp212_306.256	{'Prenol Lipids [PR]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]', 'Isoprenoids [PR01]'}
309.28	222.54	0.029815599107089124	-8.854698595403697	C20H38O2	-1.6506383216095273	6Z-Eicosenoic acid,(E)-3,7-Dimethyl-6-octenyl 3,7-dimethyl-2,6-octadienoate,20:1(7Z),16Z-eicosenoic acid,Pentyl pentadec-11-enoate,13-eicosenoic acid,20-Eicosanolide,13E-Octadecenyl acetate,15-eicosenoic acid,Gadelaidic acid,trans-gondoic acid,2Z-Phytenoic Acid,6-methyl-9-heptadecenoic acid,14Z-eicosenoic acid,cis-gondoic acid,13-Cycloheptyltridecanoic acid,cis-Gadoleic acid,15Z-eicosenoic acid,5E-eicosenoic acid,5Z-eicosenoic acid,2E-Phytenic acid,13Z-Octadecenyl acetate,8Z-eicosenoic acid,Ethyl oleate,3E-Eicosenoic acid,17Z-octadecenoic acid,Paullinic acid,11Z-Octadecenyl acetate,9Z-Octadecenyl acetate,2E-Phytenoic acid,2E-Octadecenyl acetate,Prostanoic acid skeleton,9-Octadecenyl acetate,10Z-Eicosenoic acid,16-methyl-9E-nonadecenoic acid	kp230_310.2873	{'Prenol Lipids [PR]', 'Fatty Acyls [FA]'}	{'Eicosanoids [FA03]', 'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]', 'Isoprenoids [PR01]'}
248.9604	21.36	0.03611578741287514	-8.243408320259189		-0.7228640762742202				
