m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
264.9346	22.8	0.004791648014896334	13.946206237413895		1.9575331784197516				
269.249	199.1	0.02425607936955712	-7.733631075292479		-5.574178036240461				
128.9585	22.67	0.0007535341697785577	28.44145890548888		2.3970265264315103				
226.9658	23.07	0.04043858965924162	6.081392937140349		1.1207717779449453				
130.0864	23.72	0.03322563221248074	6.743425917743488		3.3503083662374955				
130.9565	22.94	0.0007195855519443709	30.188287484203354		2.7736564396182892				
227.9665	22.94	0.0372539997578411	6.387551024059308		1.114951556766382				
183.1385	35.59	0.03841429273124513	6.2316370983505385		1.0367441458623539				
193.0864	30.44	0.01324720545120103	-9.671416223595706		-0.4995213116704953				
195.1385	35.33	0.040468657809505655	5.98959189201865	C12H20O2	0.2473090002241527	cis,cis-dodeca-3,6-dienoic acid,5E,7E-dodecadienoic acid,Phialomustin B,8E,10E-dodecadienoic acid,5-Dodecen-11-olide,beta-Terpinyl acetate,2Z,8E-dodecadienoic acid,2Z,8Z-dodecadienoic acid,Linalyl acetate,Aleprylic acid,3Z,5E-Decadienyl acetate,S-Cucujolide II,2E,8Z-dodecadienoic acid,2E,4E-dodecadienoic acid,cis-3-Hexenyl cis-3-hexenoate,Cucujolide VIII,(Z)-4-Hydroxy-6-dodecenoic acid lactone,cis-3-Hexenyl trans-2-hexenoate,3,7-Dimethyl-2Z,6-octadienyl acetate,ethyl 2E,4Z-decadienoate,(1R,2S,4R)-(+)-Bornyl acetate,(E)-2-Hexenyl (Z)-3-hexenoate,gamma-Terpinyl acetate,Buibuilactone,Isopropyl 2,4-dimethyl-2E,4E-heptadienoate,8-dodecynoic acid,Allyl 3-cyclohexylpropionate,(E)-2-Hexenyl (E)-2-hexenoate,(R)-(-)-phialomustin B,11-dodecynoic acid,8E-Hydroxy-4,8-dimethyl-4,9-decadienal,3E,5E-Decadienyl acetate,5-dodecynoic acid,Methyl 2-undecynoate,8Z,10E-dodecadienoic acid,(1S,2R,4S)-(-)-Bornyl acetate,6-dodecynoic acid,7-dodecynoic acid,4-dodecynoic acid,3,7-Dimethyl-2E,6-octadienyl acetate,7Z,9-Decadienyl acetate,Ethyl (E)-7,9-decadienoate,2E,8E-dodecadienoic acid,2E,6Z-dodecadienoic acid,7Z,9E-dodecadienoic acid,Cucujolide II,alpha-Terpinyl acetate,3-dodecynoic acid,9-dodecynoic acid,10-dodecynoic acid	kp496_196.1457	{'Prenol Lipids [PR]', 'Fatty Acyls [FA]'}	{'Fatty aldehydes [FA06]', 'Fatty esters [FA07]', 'Fatty Acids and Conjugates [FA01]', 'Isoprenoids [PR01]'}
256.92	1.17	0.040267564075041146	-6.120048275504854		-1.016996735674784				
332.9221	22.8	0.016651473584948798	9.031509620209665		1.6494164580899096				
210.9121	23.59	0.04046385047909305	6.019301379091781		1.1810019877265212				
400.9094	22.67	0.035864121308446156	6.5279182710941095		1.4668520729171597				
168.0658	23.72	0.0011889930932275565	23.810412353611422		5.1089541443692035				
458.0012	37.45	0.01785973479689947	-8.790285023890705		-2.6183973961088327				
459.3271	219.26	0.012198441138255212	10.070945716007056		3.563535463054734				
465.3044	205.29	0.0007195855519443709	-30.598291690272553	C27H46O4S	-2.0170498044402017	cholesterol sulfate	kp1334_466.3116	{'Sterol Lipids [ST]'}	{'Steroid conjugates [ST05]'}
466.3077	205.16	0.0007195855519443709	-33.62384550501188	C27H46O4S	-1.991717076126072	cholesterol sulfate	kp1334_466.3116	{'Sterol Lipids [ST]'}	{'Steroid conjugates [ST05]'}
468.8968	21.49	0.0022305974580261964	18.268978518126396		2.3092759710678905				
