m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
113.9879	21.75	0.03657148757359167	4.561195062432933		0.6966455437493053	113.9879			
264.9346	22.8	0.0024517839720359647	10.974477878791866		1.552200068868899	264.9346_K/H			
116.0707	1.96	0.0005359795107302921	18.067254106000433		2.560984276489773	116.0707			
116.0707	23.86	0.0029249781256412465	10.34454735194091		5.174882811984769	116.0707			
266.0896	22.8	1.993633105779817e-05	58.574489732899906		4.858177495783856	266.0896_HCl			
266.9325	22.8	0.005904769474768498	8.265622771467516		5.696740251510578	266.9325			
216.0309	23.99	0.04192425132716539	4.334871686637147		1.5759117420263777	216.0309			
267.2334	1.96	0.022560288225979108	5.362613119233379	C17H32O2,C17H34O3	3.309317436540269	Methyl 9Z-hexadecenoate,Isopropyl 5Z-tetradecenoate,16:1(6Z)(15Me),8Z-Pentadecenyl acetate,9E-heptadecenoic acid,Isopropyl 9Z-tetradecenoate,2Z-heptadecenoic acid,7-Ethylpentadecane-4,6-dione,17:1(12Z),10Z-Pentadecenyl acetate,10Z-heptadecenoic acid,16:1(10Z)(15Me),15-methyl-11-Hexadecenoic acid,14R-methyl-8Z-hexadecenoic acid,9,10-Methylenehexadecanoic acid,7-heptadecenoic acid,Methyl 7E-hexadecenoate,7-methyl-6E-hexadecenoic acid,Methyl 8Z-hexadecenoate,11-Cycloheptyldecanoic acid,7,8-methylenehexanoic acid,12Z-Pentadecenyl acetate,Margaroleic acid,9E-Pentadecenyl acetate,10-methyl-9-hexadecenoic acid,11-Heptadecenoic acid,9-methyl-10Z-hexadecenoic acid,17:1(11Z),Civetic acid,16:1(9Z)(15Me),16-heptadecenoic acid,6Z-heptadecenoic acid,1-methylpropyl-tridecanolide,Methyl 7Z-hexadecenoate,3-heptadecenoic acid,8E-heptadecenoic acid,5-Ethylpentadecane-2,4-dione,14S-methyl-8Z-hexadecenoic acid,14-methyl-8E-hexadecenoic acid,7Z-heptadecenoic acid,2-heptadecylenic acid,11-Cyclohexylundecanoic acid,16:1(8Z)(15Me),10E-heptadecenoic acid,12E-Pentadecenyl acetate,(Z)-11-Hexadecenyl formate,Isopropyl 7Z-tetradecenoate,7R,8S-methylenehexanoic acid,9Z-Pentadecenyl acetate,cis-9,10-methylene-hexadecanoic acid,15-methyl-11Z-hexadecenoic acid,17-hydroxy-heptadecanoic acid,3-hydroxypalmitic acid methyl ester,(R)-2-methoxyhexadecanoic acid,2-hydroxy-3-methylhexadecanoic acid,2-methoxy-hexadecanoic acid,Avocadene,2-hydroxy-heptadecanoic acid	7354	{'Fatty Acyls [FA]'}	{'Fatty alcohols [FA05]', 'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]', 'Oxygenated hydrocarbons [FA12]'}
118.0499	23.72	0.026341301601605496	5.1036534535337035		2.2565050878179775	118.0499			
173.0084	23.86	0.01843447264376343	5.753463927709027	C6H8O7	1.6758532556185344	diketo-gulonic acid,2,5-didehydro-D-gluconic acid	7611	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]'}
