m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
131.0702	272.39	0.04328615270374183	12.080468353226717		2.4040273375320425		
139.0777	200.99	0.04620139844176096	11.673375729949106	C7H8N2O	1.4325201263857075	N-Methylnicotinamide,4-Hydroxy-benzamidine,3-Aminobenzamide,2-Aminobenzamide,1,2-Diacylglycerol-Bile-PC-pool,4-Acetyl-2-methylpyrimidine,2-Methylnicotinamide,5-Methylnicotinamide,2-Acetyl-3-methylpyrazine,Benzamidoxime,4-Aminobenzamide,Benzohydrazide	kp191_136.0636
183.1856	29.38	0.002844894223856115	31.587023227920753		2.6525122346651706		
238.1912	198.6	0.0027254037529171374	35.06216164790093		4.364445186167744		
345.0456	276.75	0.028806506860830614	14.310600292018956	C10H15N2O8P	1.5031758602866425	thymidine 3'-monophosphate,5-Thymidylic acid	kp1188_322.0554
327.6858	467.08	0.01605232834809779	18.378666970014585		1.8052522024832989		
327.6858	467.87	0.01605232834809779	17.97527800092583		1.9518922754836119		
349.0542	317.14	0.040963846211702855	12.78759101390072	C10H13N4O8P,C9H17O12P	4.0909975086973915	[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate,Inosinic acid,Inosine 2'-phosphate,Glucose-6-phosphate lactate,2-O-(6-Phospho-alpha-mannosyl)-D-glycerate	kp1297_348.0465
402.0937	289.28	0.0007604554628234404	61.49426390620462	C13H21N3O8S,C13H21N3O8S	6.394835880128605	(R)-S-lactoylglutathionate(1-),S-Lactoylglutathione,2-Amino-5-[[1-[carboxymethyl(2-hydroxypropanoyl)amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,(R)-S-lactoylglutathionate(1-),S-Lactoylglutathione,2-Amino-5-[[1-[carboxymethyl(2-hydroxypropanoyl)amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid	kp1489_379.1043
360.1638	297.05	0.008989841890940481	22.00838237169204	C15H23N5O4	1.5351183731233853	Tyrosyl-Arginine,Kyotorphin,Arginyltyrosine	kp1083_337.1746
361.1978	256.43	0.04914494816307871	-11.340010256187854	C17H24N6O3	-1.7325950841189837	Tryptophyl-Arginine,Arginyltryptophan	kp1595_360.1909
380.1118	311.1	0.026237202300571288	15.157866326677775	C13H21N3O8S,C13H21N3O8S	7.856891790726895	(R)-S-lactoylglutathionate(1-),S-Lactoylglutathione,2-Amino-5-[[1-[carboxymethyl(2-hydroxypropanoyl)amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,(R)-S-lactoylglutathionate(1-),S-Lactoylglutathione,2-Amino-5-[[1-[carboxymethyl(2-hydroxypropanoyl)amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid	kp1657_379.1044
440.1847	27.93	0.04328615270374183	12.171548506557755	C23H25N5O2	3.357869452232247	BENZOYLARGININE-2-NAPHTHYLAMIDE,Benzoyl-DL-arginine-naphthylamide	kp1513_403.199
443.1882	295.19	0.0033204268116954804	29.232704746681478	C23H31Cl2NO3	7.959008559822326	(17-Hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl) N,N-bis(2-chloroethyl)carbamate,Estramustine	kp1675_439.1702
457.9089	279.77	0.0027254037529171374	33.42258569596195		3.1408631037331887		
768.4039	258.01	0.04328615270374183	12.035091998712305		1.9937503915770698		
841.4041	268.94	0.0022825511327931934	39.71396979972486		3.4767107807662967		
740.3564	268.54	0.028806506860830614	14.234543230477147		1.1196694487451708		
631.3765	146.47	0.02126397802328741	16.343201684063462		3.61791749171395		
639.3426	204.54	0.0007604554628234404	57.88222956045618		3.938421481740342		
