m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
137.1001	200.99	0.009751051034982082	26.354948266794246		4.077445797196088	None	
179.881	213.73	0.0330187074263593	-14.22528662308799		-0.4005570716982376	None	
149.9564	206.64	0.013902916508192524	20.792310608426416		4.890552882808953	None	
309.1078	258.27	0.0016726521970059876	46.606028357224595		1.059545798998034	None	
313.0639	362.34	0.0012770595753357782	55.189820752846856	C10H14N2O8	1.1594519386434037	Glutamic acid glutamate	kp1184_290.0747
346.9777	321.77	0.018368629387435217	18.874112345456957		7.213302890130294	346.9777_M+H+	
374.1303	269.07	0.027146045548641376	15.7049295236992		5.243755543462445	374.1303_Na/H	
386.0257	305.2	0.0330187074263593	14.238678596146935		1.043888828699231	386.0257_M+H+	
423.0392	370.51	0.0037231836672682295	35.48863556437963		1.515363407308957	423.0392_M+H+	
424.1016	416.61	0.00992317564047198	25.06441686802486	C18H21N3O5S2,C14H21N3O10S	5.109210766508255	Prinomastat,S-(1,2-Dicarboxyethyl)glutathione	kp1871_423.0943
498.2375	303.09	0.019846793603948643	17.67609404368414		1.1634437433546658	498.2375_K/H, 2x charged	
581.041	420.58	0.027146045548641376	15.986896972326011	C15H22N2O18P2,C15H22N2O18P2	1.9803315903570073	[(2R,3S,4R,5R)-5-(2,4-Dioxopyrimidin-1-yl)-4-hydroxy-2-[[hydroxy(phosphonooxy)phosphoryl]oxymethyl]oxolan-3-yl] (3S,4R,5S)-3,4,5,6-tetrahydroxy-2-oxohexanoate,(2R,3R,4R,5S,6R)-6-[[[(2S,3R,4R,5R)-5-(2,4-Dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid,Uridine diphosphate glucuronic acid,UDP-L-iduronate,UDP-D-galacturonic acid,[(2R,3S,4R,5R)-5-(2,4-Dioxopyrimidin-1-yl)-4-hydroxy-2-[[hydroxy(phosphonooxy)phosphoryl]oxymethyl]oxolan-3-yl] (3S,4R,5S)-3,4,5,6-tetrahydroxy-2-oxohexanoate,(2R,3R,4R,5S,6R)-6-[[[(2S,3R,4R,5R)-5-(2,4-Dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid,Uridine diphosphate glucuronic acid,UDP-L-iduronate,UDP-D-galacturonic acid	kp2111_580.034
665.0382	370.12	0.03340133136265228	13.979109725217686		2.577316732193193	None	
591.092	378.0	0.00031126138934640913	93.44209493879471	C16H25N5O15P2	5.511055314441972	ADP-Mannose,GDP-L-fucose,GDP-fucose,ADP-glucose,GDP-D-Rhamnose	kp2338_589.081
598.0676	420.58	0.039587786843489126	13.20449089500956		1.6765817424416305	598.0676_M+H+	
605.3567	35.42	0.0330187074263593	14.425568762431702		1.421381134967266	605.3567_M+H+	
606.0838	399.53	0.019741419402796383	18.093216206632597	C16H25N5O16P2	6.204491398311831	GDP-glucose,Guanosine diphosphate mannose	kp2602_605.0772
554.0777	361.69	0.010148665697529598	23.59109133534471		2.800157340362471	None	
617.1586	366.05	0.010148665697529598	23.184095736883897	C20H31N4O16P,C20H31N4O16P	2.6661271324870697	[(2R,3S,4R,5R)-5-(4-Amino-2-oxopyrimidin-1-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] (2S,4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylate,Cytidine 5'-monophosphate-N-acetylneuraminic acid,Cmp-nana,[(2R,3S,4R,5R)-5-(4-Amino-2-oxopyrimidin-1-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] (2S,4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylate,Cytidine 5'-monophosphate-N-acetylneuraminic acid,Cmp-nana	kp2708_614.1463
