m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
204.0978	332.17	0.011842579333353084	-7.309456203376231	C7H13N3O4	-2.461948860757378	Asparaginylalanine,Glycyl-Gamma-glutamate,Alanylasparagine,Glycyl-Glutamine,Glutaminylglycine	kp34_203.0905
205.0682	215.86	0.013482052253626716	-6.091417624651796		-1.406154503702755		
207.0798	243.37	0.011842579333353084	-6.4372845081743435	C7H14N2O3S,C15H10O	-2.111849020257125	Aldicarb sulfoxide,Glycyl-Methionine,Methionyl-Glycine,9-Anthraldehyde,Diphenylcyclopropenone,ANTHRACENECARBOXALDEHYDE	kp174_206.0724
208.1009	301.26	0.02504158025493822	-4.461285720308408	C7H14N2O5	-1.4170256523534484	Threonylserine,Serylthreonine,(2S)-2-Amino-3-[(2S,3R)-2-amino-3-hydroxybutanoyl]oxypropanoic acid,(2S,3R)-2-Amino-3-[(2S)-2-amino-3-hydroxypropanoyl]oxybutanoic acid	kp176_206.0902
135.0845	33.45	0.04253003029268786	-3.648700665631474	C5H11NO3	-2.2328056465924284	Amyl nitrate,N-Lactoyl ethanolamine,3-Hydroxynorvaline,L-2-Amino-5-hydroxypentanoic acid,1,4-Dideoxy-1,4-imino-D-ribitol	kp202_133.0739
210.1416	28.07	0.04930724938167783	-3.4304079197130766		-0.46273708044664374		
137.0594	28.07	0.022889005396923068	-4.673845689423677		-1.2218619866681948		
174.0386	145.81	0.006299843049754137	-9.30259087223518	C5H9NO2S,C5H9NO2S	-3.346443710986218	Thiomorpholine 3-carboxylate,2-Methylthiazolidine-4-carboxylic acid,Thiomorpholine 3-carboxylate,2-Methylthiazolidine-4-carboxylic acid	kp296_147.0357
87.0445	282.94	0.03252224086948784	4.082738989208977		1.0659698533788209		
175.1077	246.43	0.020258240515085194	-4.967713505879083	C7H14N2O3	-1.3799277502596574	Glycylvaline,N(5)-Acetylornithine,Formyllysine,L-Theanine,val-gly,Gly-Norvaline,Valylglycine,N2-Acetylornithine,N5-Acetylornithine	kp338_174.1004
139.9146	207.56	0.04962527341717134	3.4157396203193837		0.33344716848117884		
140.0106	265.26	0.011842579333353084	-6.478656209470314	H3O4P,C2H3KO2	-1.5935525241327042	Phosphate,Potassium acetate	kp3740_97.977
91.0587	254.97	0.04205938466156449	-3.666697674363003	C3H7NO2	-1.7656716765566038	D-Alanine,(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein),Sarcosine,2-Nitropropane,(2S)-2-Amino-3-hydroxypropanal,beta-Alanine,Lactamide,Methyl glycinate,N-Hydroxymethyl-N-methylformamide,Dimethylcarbamic acid,L-Alanine,Ethyl carbamate,1-Nitropropane	kp112_89.0478
96.9281	211.36	0.029993221082453957	4.2020339790169805		0.55583722011216		
