m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
219.0975	361.29	0.011251545953498705	-8.662042056181848		-2.6116259316500106		
219.1168	307.95	0.004116559983521705	-14.057114340559185	C2H8N2O2S	-2.053172980569638	2-Aminoethanesulfonamide	kp3292_124.0306
219.1168	318.33	0.047296049716140716	-4.611312263893772	C2H8N2O2S	-1.12192361412189	2-Aminoethanesulfonamide	kp3293_124.0306
219.1338	271.47	0.003505782692494882	-15.166620812218836		-2.0692988744608556		
138.0549	356.04	0.019322984656335574	6.871296986250141		1.2189313412209835		
220.0927	333.88	0.025726099410295678	-6.093421022567871		-1.6043215972665301		
221.1131	280.3	0.0011760918692291778	-26.711762263751606		-1.842001072094554		
78.9562	206.9	0.004536311383866213	13.385563676178165		0.5012358766266658		
78.9562	212.94	0.02095116869194681	6.682996222845036		0.7549184888816427		
85.0289	324.92	0.019322984656335574	6.887729561704138		2.2473202758058726		
144.9275	206.64	0.003505782692494882	15.181401592960343		1.0085149453133297		
144.9275	213.33	0.008666902676381361	10.189527030464058		0.9650645179726389		
186.0872	318.59	0.04756748628772718	-4.581146434902199		-0.9197027053337621		
187.0713	318.46	0.03635166211111845	-5.204502040520747		-0.980065033471547		
187.0713	325.84	0.007486457744018531	-11.022219073750644		-3.1361328836171722		
187.0713	355.22	0.04129545153053995	-4.875050359403453		-1.1585965534255287		
146.1175	330.99	0.008666902676381361	10.143759481288397		1.2840466230447092		
225.0466	216.52	0.0034958942840198565	15.506332357840703		0.7036645684437275		
91.0587	254.97	0.04395889437633979	-4.744691879492548		-1.8112591953831263		
190.0821	315.57	0.04550724356319613	-4.674350692257982		-1.1366007153648923		
190.0821	339.79	0.01599729012577693	-7.468323434208433		-2.3296063630100328		
97.0288	370.65	0.031167567227613914	5.561126044530912		1.2407840583594947		
97.0288	420.28	0.012484962848421587	8.281256865173635		2.406905465081671		
190.9926	274.49	0.002137969158889298	20.30517804243306		1.975339590244097		
191.1025	296.0	0.0007195966030421145	-39.9733221297689		-2.1646180991945947		
