m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
206.1004	166.03	0.036826783387562706	8.164309538499658	C11H12N2O2	0.6931163146242874	Idazoxan,4-Hydroxyantipyrine,D-Tryptophan,L-Tryptophan,(±)-Tryptophan,S-nirvanol,3h-Indole-3-propanoic acid,a-amino-,3-Hydroxymethylantipyrine,Nirvanol,Ethotoin	kp76_204.0897
170.0599	166.03	0.035853738675250955	8.623626172436254		0.5896121170787652		
77.9273	209.53	0.047640576693979655	6.490346818143		0.27957427573764804		
210.1416	28.07	0.035853738675250955	-8.751894998192515		-0.661254928885139		
136.94	209.26	0.04738107943970644	6.63917396442477	H3O4P,C2H3KO2	0.3245550586501267	Phosphate,Potassium acetate	kp274_97.977
137.0709	200.99	0.035853738675250955	8.729233321759093	C7H8N2O	1.179376180929605	1,2-Diacylglycerol-Bile-PC-pool,2-Acetyl-3-methylpyrazine,Benzohydrazide,5-Methylnicotinamide,4-Acetyl-2-methylpyrimidine,N-Methylnicotinamide,3-Aminobenzamide,4-Aminobenzamide,2-Methylnicotinamide,Benzamidoxime,2-Aminobenzamide,4-Hydroxy-benzamidine	kp286_136.0636
137.9433	209.39	0.042586987841964366	7.147329607003546	H3O4P,C2H3KO2	0.3299447477176365	Phosphate,Potassium acetate	kp274_97.977
138.9381	209.39	0.045415087726004603	6.8228102055717095		0.3219843249560377		
139.9415	209.26	0.042586987841964366	7.176329107363643		0.3921321039622896		
91.0587	254.97	0.03727691004381447	7.771788046084801	C3H7NO2	0.4178821607324714	D-Alanine,beta-Alanine,Lactamide,N-Hydroxymethyl-N-methylformamide,Sarcosine,Dimethylcarbamic acid,Methyl glycinate,1-Nitropropane,2-Nitropropane,L-Alanine,Ethyl carbamate,(2S)-2-Amino-3-hydroxypropanal,(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)	kp112_89.0478
216.0631	299.55	0.047640576693979655	-6.496838609243356	C5H14NO6P	-0.6296908680803028	sn-glycero-3-Phosphoethanolamine,Glycerylphosphorylethanolamine	kp417_215.0557
218.1134	307.95	0.04925708074631933	-6.2826374218012075	C6H12N2O4	-0.5776121488990427	Serylalanine,Threonylglycine,Alanylserine,Glycyl-Threonine,(2S)-2-Amino-3-[(2S)-2-aminopropanoyl]oxypropanoic acid,Ethylenediamine-N,N'-diacetic acid,N5-formyl-N5-hydroxy-L-ornithine	kp468_176.0796
147.1014	26.88	0.035853738675250955	-8.69997111038741	C7H14O3	-0.7098220362710848	2-[(Tetrahydrofurfuryl)oxy]ethanol,3-hydroxyheptanoic acid,(+/-)-Ethyl 2-hydroxy-2-methylbutyrate,Methyl (±)-3-hydroxyhexanoate,Methyl DL-Leucate,(-)-Butyl L-lactate,3-Hydroxyisoheptanoic acid,Butyl lactate,Ethyl 2-hydroxyisovalerate	kp487_146.0941
219.1168	307.82	0.03727691004381447	-7.696088712879467	C6H12N2O4	-0.7986796784636994	Serylalanine,Threonylglycine,Alanylserine,Glycyl-Threonine,(2S)-2-Amino-3-[(2S)-2-aminopropanoyl]oxypropanoic acid,Ethylenediamine-N,N'-diacetic acid,N5-formyl-N5-hydroxy-L-ornithine	kp468_176.0796
220.9014	209.39	0.032781990225064755	9.74215520990733		0.38828730402482137		
221.9047	209.13	0.03727691004381447	7.706339692815194		0.44518227779792596		
188.0706	166.16	0.03727691004381447	7.663594727583411	C11H9NO2,C6H10ClN5	0.5960975465092737	Indoleacrylic acid,6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine	kp682_187.0633
226.1648	28.07	0.03727691004381447	-7.920841256468043		-0.6453259723335556		
189.0738	166.29	0.03727691004381447	7.924607477095967	C11H9NO2,C6H10ClN5	0.6057753426061545	Indoleacrylic acid,6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine	kp682_187.0633
118.0613	260.53	0.0057044553228149655	20.789108140261025	C3H7N3O2	1.5357460250378452	Guanidoacetic acid,n-ethyl-n'-nitrosourea,1-Ethyl-1-nitrosourea,(Diaminomethylideneamino) acetate	kp711_117.0541
195.0028	299.29	0.045415087726004603	-6.769764649943458	C3H9O6P	-0.46412311725328337	Glycerol 3-phosphate,Glycerophosphoric acid,beta-Glycerophosphoric acid	kp3676_172.0136
234.917	209.39	0.04907281355918739	6.412618423679758		0.3439910716070287		
237.9184	209.53	0.04539518010594978	6.904751647874645		0.36850781092286056		
235.0923	371.7	0.01570556411748735	-14.127086908525643		-0.4806360723969547		
270.1909	28.2	0.042586987841964366	-7.129258174724681		-0.5788319723207138		
238.045	299.42	0.04925708074631933	-6.3137227363548485	C5H14NO6P	-0.38258251824045786	sn-glycero-3-Phosphoethanolamine,Glycerylphosphorylethanolamine	kp417_215.0557
238.9131	209.26	0.03800779622354161	7.464736336502366		0.3656040366228481		
240.1803	26.88	0.036826783387562706	-8.317948614233856	C12H20O4	-0.6617709715746329	Butanedioic acid, octenyl-,5-Heptyltetrahydro-2-oxo-3-furancarboxylic acid,Traumatic acid	kp557_228.1359
274.1871	379.97	0.036826783387562706	-8.376417856937055	C11H23N5O3	-0.5535543494142523	Valyl-Arginine,Arginylvaline,Valylarginine	kp1005_273.1799
241.1837	26.88	0.036826783387562706	-8.18308829205874	C12H20O4	-0.6713774294489419	Butanedioic acid, octenyl-,5-Heptyltetrahydro-2-oxo-3-furancarboxylic acid,Traumatic acid	kp557_228.1359
200.1029	307.95	0.045415087726004603	-6.859744741770801	C6H10N2O3	-0.6070483929207384	N-Nitrosobis(2-oxopropyl)amine,Oxiracetam,3-Propoxy-1H-pyrazole-4,5-diol,1-(Hydroxymethyl)-5,5-dimethyl-2,4-imidazolidinedione	kp691_158.0691
304.2996	28.07	0.004230685133757696	-23.46602473986904		-6.506163158949509		
304.2996	33.84	0.005791979359633687	-19.920400615666118		-6.970196336935945		
201.0869	307.82	0.047640576693979655	-6.5492354037470895	C8H12N2O4	-0.5720322369003128	1-(2-Hydroxyethoxy)methyl-5-methyluracil,(3S,8As)-7-hydroxy-3-(hydroxymethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione	kp1051_200.0791
305.3029	28.07	0.0015243642405914095	-45.39117827458661		-6.733811771265486		
305.3029	33.84	0.027322357013871354	-11.267193808150205		-9.117758432452359		
246.1811	362.34	0.03727691004381447	-7.638139281788176		-0.8127455033305786		
332.3308	28.07	0.009235795516037667	-17.119848765078313		-6.239044978180633		
332.3308	33.58	0.02849592617885531	-10.841642297949535		-7.356864230438418		
281.0952	318.46	0.047640576693979655	-6.509054732427287	C8H20NO6P	-0.7807293050212465	Glycerophosphocholine,Glycerylphosphorylcholine	kp1177_257.1028
247.1844	361.95	0.036826783387562706	-8.203368814294134		-1.0872269274677748		
333.3343	28.07	0.02849592617885531	-10.594722668656125		-6.5290707771797685		
248.124	308.22	0.045415087726004603	-6.744982279814963	C9H17N3O5	-0.6486248178882086	Threoninyl-Gamma-glutamate,Glutaminylthreonine,Threonylglutamine	kp902_247.1166
251.0427	243.37	0.04539518010594978	-6.909434748479571		-1.0354238774102669		
284.2065	27.41	0.035853738675250955	-8.905699039543546	C14H19NO2	-0.7569467390939195	Thalictroidine,Norketobemidone,Normeperidine,Methylphenidate,Piperoxan,Dexmethylphenidate	kp96_233.1414
252.0725	303.75	0.02688047141573494	-11.53142989776682		-0.7923500665935421		
285.2099	27.41	0.03327986297810268	-9.421812122181562	C14H19NO2	-0.8015974026419208	Thalictroidine,Norketobemidone,Normeperidine,Methylphenidate,Piperoxan,Dexmethylphenidate	kp96_233.1414
318.8781	209.13	0.035853738675250955	8.865572247538289	C8H4Cl6	0.4694409356825311	1,4-Bis(trichloromethyl)benzene	kp1207_309.8436
286.2114	27.41	0.016900784726627194	-13.250876236472344	C14H19NO2	-1.0061887714788753	Thalictroidine,Norketobemidone,Normeperidine,Methylphenidate,Piperoxan,Dexmethylphenidate	kp96_233.1414
319.8817	209.13	0.04925708074631933	6.287494239057143	C8H4Cl6	0.39493156133742957	1,4-Bis(trichloromethyl)benzene	kp1207_309.8436
339.1856	297.19	0.032781990225064755	-9.632443473611017	C15H23N5O4	-0.9928396519964693	Arginyltyrosine,Tyrosyl-Arginine,Kyotorphin	kp1439_337.1746
254.1961	26.62	0.035853738675250955	-8.689292001693692		-0.88666658630763		
328.2326	27.8	0.03727691004381447	-7.985486490230613	C13H26O6	-0.9961655736460031	(x)-2-Heptanol glucoside	kp997_278.1722
353.0055	224.53	0.03800779622354161	-7.480446936530288		-0.20222886103186966		
353.1452	273.17	0.0018949861720999233	-36.13116553008808		-2.559981480442925		
401.1588	317.8	0.04925708074631933	-6.295008154969142	C22H24O7	-0.6069351901671141	Hemiariensin,[2-(4-Acetoxy-3-methoxy-phenyl)-7-methoxy-5-methyl-2,3-dihydrobenzofuran-3-yl]methyl acetate,Isoyatein,Italipyrone	kp1931_400.1513
267.18	27.41	0.032781990225064755	-9.568303595394264	C14H22O2S	-0.7227433531436454	2,6-Dimethyl-3-[(2-methyl-3-furanyl)thio]-4-heptanone,4-[(2-Methyl-3-furanyl)thio]-5-nonanone	kp851_254.133
406.1315	258.4	0.02849592617885531	-10.448757058474527	C14H25NO11,C15H29NO6S2	-0.5962946322084548	beta-1,4-Mannosyl-N-acetylglucosamine,Thomsen-friedenreich antigen,N-Acetyllactosamine,Lacto-N-biose I,Poly-N-acetyllactosamine,Galbeta1-3GIcNAcbeta,N-[(2R,3R,4R,5R)-3,5,6-Trihydroxy-1-oxo-4-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhexan-2-yl]acetamide,7-methylthioheptyldesulfoglucosinolate	kp1806_383.1423
384.1145	303.75	0.01570556411748735	-14.115004719659357	C14H17N5O8	-0.7850735884195181	Succinyladenosine,N6-Succinyl Adenosine	kp2036_383.1066
391.0478	221.24	0.02849592617885531	-10.62566698240326		-1.8445888779109296		
430.302	302.17	0.03727691004381447	-7.798935896231575		-3.70274040404969		
520.3324	35.68	0.028753203077379205	-10.280329042595717		-0.2582742066616426		
431.1186	299.55	0.045415087726004603	-6.803943786822926	C20H19FN4O4S	-1.0849675089424515	5-(1,1-Dioxido-1,2-thiazinan-2-yl)-N-(4-fluorobenzyl)-8-hydroxy-1,6-naphthyridine-7-carboxamide	kp1976_430.1109
515.2124	318.85	0.04925708074631933	-6.36146220334677		-2.412262960001229		
652.4107	36.6	0.047640576693979655	-6.5973891134595775		-0.6214708747470183		
754.5094	224.26	0.03611731337422058	-8.53372423944786		-0.5717331952811868		
761.5164	224.13	0.04260706971658375	-7.092292837467777		-0.3954514899694317		
608.3846	36.21	0.03727691004381447	-7.58637445028063		-0.5680066345473165		
564.3585	35.94	0.03727691004381447	-7.6086148870537516		-0.38614761714086754		
959.0146	224.53	0.0027589906321537567	-29.703535944640794		-1.9668606484022924		
966.023	224.4	0.0035871585808608885	-25.871024203407416		-2.04220987673974		
568.9236	324.4	0.01570556411748735	-13.802939831366011		-4.936740351727938		
