m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
204.0978	318.46	0.03281004889451436	-4.389225871241738	C7H13N3O4	-1.1908808685766097	Glutaminylglycine,Glycyl-Glutamine,Asparaginylalanine,Glycyl-Gamma-glutamate,Alanylasparagine	kp15_203.0905
204.0978	332.17	0.01602461159166792	-7.195636421492263	C7H13N3O4	-2.907112896974837	Glutaminylglycine,Glycyl-Glutamine,Asparaginylalanine,Glycyl-Gamma-glutamate,Alanylasparagine	kp17_203.0905
205.0682	215.86	0.018805942242932583	-6.1178366571402645		-1.5491704343391248	205.0682_M+H+	
131.0815	254.71	0.020504115418339113	-5.568961476423331	C3H7NO2	-1.3175433422211142	Methyl glycinate,N-Hydroxymethyl-N-methylformamide,(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein),Ethyl carbamate,beta-Alanine,L-Alanine,1-Nitropropane,D-Alanine,Dimethylcarbamic acid,Lactamide,(2S)-2-Amino-3-hydroxypropanal,Sarcosine,2-Nitropropane	kp62_89.0478
131.1179	273.04	0.004178946427564437	-10.946868765243199	C6H14N2O	-1.4444504412263157	2,6-Diaminohexanal,N-(2-Hydroxyethyl)piperazine,N-Acetylputrescine,N-Nitrosomethylamylamine,N-Nitrosodipropylamine,L-isoleucinamide,(S)-2-Amino-4-methylpentanamide,N-Amyl-N-methylnitrosamine	kp74_130.1106
168.0655	47.5	0.03309470094419808	-4.347904313761357	C8H9NO3	-2.249925907390118	3alpha,4,5,7alpha-Tetrahydro-5-hydroxy-1H-isoindole-1,3(2H)-dione,Pyridoxal,3-Methoxyanthranilate,N-(4-Hydroxyphenyl)glycine,2-Hydroxy-N-(2-hydroxyphenyl)acetamide,Isopyridoxal,3alpha,4,7,7alpha-Tetrahydro-4-hydroxy-1H-isoindole-1,3(2H)-dione,4-Hydroxyphenylglycine	kp75_167.0584
132.0655	255.78	0.032323876427528764	4.434329677513751	C5H9NO3	1.87872765961189	Glutaramic acid,4-Amino-5-oxo-pentanoic acid,3-Hydroxyproline,L-Glutamic gamma-semialdehyde,5-Hydroxyproline,5-Aminolevulinic acid,cis-4-Hydroxy-D-proline,2-Amino-4-oxopentanoic acid,Trans-3-hydroxy-L-proline,N-Acetyl-beta-alanine,4-Hydroxyproline,1-Hydroxypyrrolidine-3-carboxylic acid,N-Acetyl-DL-alanine,5-Amino-2-oxopentanoic acid,cis-4-Hydroxyproline,N-Acetyl-L-alanine,N-Hydroxy-L-proline,3-Hydroxy-L-proline,Propionylglycine	kp79_131.0582
207.0798	243.37	0.018123176890381003	-6.334957304398411	C7H14N2O3S,C15H10O	-2.599510318999201	Aldicarb sulfoxide,Methionyl-Glycine,Glycyl-Methionine,9-Anthraldehyde,ANTHRACENECARBOXALDEHYDE,Diphenylcyclopropenone	kp93_206.0724
207.0975	300.86	0.03646089586070069	-4.206642333530957	C7H14N2O5	-1.4446702169615975	Serylthreonine,Threonylserine,(2S)-2-Amino-3-[(2S,3R)-2-amino-3-hydroxybutanoyl]oxypropanoic acid,(2S,3R)-2-Amino-3-[(2S)-2-amino-3-hydroxypropanoyl]oxybutanoic acid	kp95_206.0902
208.1009	301.26	0.03218813881400418	-4.4487537414637925	C7H14N2O5	-1.579351591803018	Serylthreonine,Threonylserine,(2S)-2-Amino-3-[(2S,3R)-2-amino-3-hydroxybutanoyl]oxypropanoic acid,(2S,3R)-2-Amino-3-[(2S)-2-amino-3-hydroxypropanoyl]oxybutanoic acid	kp95_206.0902
134.0812	33.32	0.02338860649150198	-5.2888746555797175	C5H11NO3	-1.1930850501294294	N-Lactoyl ethanolamine,1,4-Dideoxy-1,4-imino-D-ribitol,Amyl nitrate,L-2-Amino-5-hydroxypentanoic acid,3-Hydroxynorvaline	kp121_133.0739
136.0757	168.92	0.032914488764105534	-4.3662095495233055	C8H9NO	-0.5981778239652655	2-Phenylacetamide,2-Acetyl-6-methylpyridine,N-benzylformamide,m-Toluamide,2-Acetyl-5-methylpyridine,2'-Aminoacetophenone,5-(2-Furanyl)-3,4-dihydro-2H-pyrrole,4-Acetyl-3-methylpyridine,N-Acetylarylamine,2,3-Dihydro-1H-pyrrolizine-5-carboxaldehyde,4-Aminoacetophenone,2-Aminoacetophenone,2-Acetyl-4-methylpyridine,4-Acetyl-2-methylpyridine	kp165_135.0684
210.1416	28.07	0.048636395509405704	-3.7255896674762026	C9H20O5	-0.4651307271806786	5S,6S-epoxy-15R-hydroxy-ETE	kp159_208.131
173.092	297.32	0.02579914696735254	-4.927079725012254	C7H12N2O3	-1.6529818318180993	Glycyl-D-proline,Glycylproline,Prolylglycine	kp178_172.0847
137.0594	28.07	0.02864687658522415	-4.634100870432308		-1.1769065292350156	None	
173.1284	178.64	0.03679639549457376	-4.195379891646037	C6H13NO2	-2.1285168979768514	Beta-Leucine,L-Isoleucine,L-Leucine,D-Leucine,3-Amino-4-methylpentanoic acid,Alanine betaine,beta-alanine betaine,L-Valine, methyl ester,1-Hydroxy-5,5-dimethylpyrrolidin-2-ol,3-Aminocaproic acid,(±)-erythro-Isoleucine,N-methylvaline,DL-Norleucine,Aminocaproic acid,N-(2-Hydroxyethyl)-morpholine,6-Deoxyfagomine,L-Norleucine,L-Alloisoleucine	kp105_131.0946
174.0386	145.81	0.006801500257138726	-9.374226366375895		-3.6144207463475375	174.0386_M+H+	
87.0445	282.94	0.04117462164031244	3.994972187890044		1.225006188260604	None	
175.1077	246.43	0.02564684844802778	-4.980227511896883	C7H14N2O3	-1.4552962184069038	L-Theanine,N(5)-Acetylornithine,Gly-Norvaline,val-gly,N2-Acetylornithine,Glycylvaline,Formyllysine,Valylglycine,N5-Acetylornithine	kp227_174.1004
140.0106	265.26	0.018123176890381003	-6.259090681599692	H3O4P,C2H3KO2	-1.6620432117150479	Phosphate,Potassium acetate	kp3101_97.977
140.0681	227.81	0.04953335332548121	3.6783140983563154		0.43491579967489713	140.0681_M+H+	
176.1159	364.58	0.022365426447094175	-5.403191687080044		-3.710447081483249	176.1159_M+H+	
96.9281	211.36	0.03491589860896124	4.2647624770515105		0.6369427313365996	None	
178.0903	298.37	0.025413145491136675	-5.021828934056619	C6H12N2O4	-1.798678533210115	Threonylglycine,(2S)-2-Amino-3-[(2S)-2-aminopropanoyl]oxypropanoic acid,Ethylenediamine-N,N'-diacetic acid,Glycyl-Threonine,N5-formyl-N5-hydroxy-L-ornithine,Alanylserine,Serylalanine	kp250_176.0798
178.0903	314.12	0.018805942242932583	-6.069290170382052	C6H12N2O4	-1.9227385377004325	Threonylglycine,(2S)-2-Amino-3-[(2S)-2-aminopropanoyl]oxypropanoic acid,Ethylenediamine-N,N'-diacetic acid,Glycyl-Threonine,N5-formyl-N5-hydroxy-L-ornithine,Alanylserine,Serylalanine	kp252_176.0798
215.139	242.19	0.04072914302520104	-4.017861730672001	C10H18N2O3	-2.199747735332547	Prolyl-Valine,Tert-butyl N-[2-(prop-2-enamido)ethyl]carbamate,Valylproline,Dethiobiotin	kp280_214.1317
