m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
204.0866	356.04	0.023830618066971763	5.661313736145143	C8H13NO5,C9H17NS2	1.1683292845710085	N-acetyl-L-2-aminoadipate(2-),Adipoylglycine,1-Isothiocyanato-7-(methylthio)heptane	kp14_203.0792
204.0978	318.46	0.04636576787058494	-4.278096277976824	C7H13N3O4	-1.0656892391867991	Glutaminylglycine,Glycyl-Glutamine,Asparaginylalanine,Glycyl-Gamma-glutamate,Alanylasparagine	kp15_203.0905
204.0978	332.17	0.007474239415299682	-9.303274576370226	C7H13N3O4	-2.4169562744415813	Glutaminylglycine,Glycyl-Glutamine,Asparaginylalanine,Glycyl-Gamma-glutamate,Alanylasparagine	kp17_203.0905
205.0682	215.86	0.020319952598910743	-6.045128496347539		-1.1509304593384897	205.0682_M+H+	
205.0818	355.22	0.010902280965539506	-7.777980669334225	C7H12N2O5,C7H12N2O5	-0.9639602855735845	Aspartyl-Alanine,Alanyl-Aspartic acid,Alanylaspartic acid,gamma-Glutamylglycine,Glutamylglycine,L-beta-aspartyl-L-alanine,Glycyl-Glutamate,Aspartyl-Alanine,Alanyl-Aspartic acid,Alanylaspartic acid,gamma-Glutamylglycine,Glutamylglycine,L-beta-aspartyl-L-alanine,Glycyl-Glutamate	kp34_204.0745
131.0338	324.4	8.378501367786095e-05	72.75777832845688	C5H6O4	1.9870791158911452	Pentenedioic acid,2,5-Dioxopentanoate,(Z)-4-Methoxy-4-oxobut-2-enoic acid,Itaconic acid,Glutaconic acid,2-Methylbut-2-enedioic acid,Gamma-delta-Dioxovaleric acid,Mesaconic acid,Citraconic acid,Methyl hydrogen fumarate,2-Hydroxyglutaric acid lactone	kp2972_130.0265
206.0716	215.86	0.022722465203606657	-5.777293151023071		-1.3003751926928544	206.0716_M+H+	
132.0655	255.78	0.032984605165924816	4.9315731601553505	C5H9NO3	2.5717886158657564	Glutaramic acid,4-Amino-5-oxo-pentanoic acid,3-Hydroxyproline,L-Glutamic gamma-semialdehyde,5-Hydroxyproline,5-Aminolevulinic acid,cis-4-Hydroxy-D-proline,2-Amino-4-oxopentanoic acid,Trans-3-hydroxy-L-proline,N-Acetyl-beta-alanine,4-Hydroxyproline,1-Hydroxypyrrolidine-3-carboxylic acid,N-Acetyl-DL-alanine,5-Amino-2-oxopentanoic acid,cis-4-Hydroxyproline,N-Acetyl-L-alanine,N-Hydroxy-L-proline,3-Hydroxy-L-proline,Propionylglycine	kp79_131.0582
207.0798	243.37	0.00500458440622387	-11.108084583645672	C7H14N2O3S,C15H10O	-2.589451412552556	Aldicarb sulfoxide,Methionyl-Glycine,Glycyl-Methionine,9-Anthraldehyde,ANTHRACENECARBOXALDEHYDE,Diphenylcyclopropenone	kp93_206.0724
207.0975	300.86	0.003287818734850981	-12.819569605517732	C7H14N2O5	-1.5739083481387084	Serylthreonine,Threonylserine,(2S)-2-Amino-3-[(2S,3R)-2-amino-3-hydroxybutanoyl]oxypropanoic acid,(2S,3R)-2-Amino-3-[(2S)-2-amino-3-hydroxypropanoyl]oxybutanoic acid	kp95_206.0902
169.9857	220.85	0.020053935742012065	6.087469222866679		2.5521581118621732	169.9857_M+H+	
208.1009	301.26	0.007163687726705925	-9.536916431100584	C7H14N2O5	-1.724715821295277	Serylthreonine,Threonylserine,(2S)-2-Amino-3-[(2S,3R)-2-amino-3-hydroxybutanoyl]oxypropanoic acid,(2S,3R)-2-Amino-3-[(2S)-2-amino-3-hydroxypropanoyl]oxybutanoic acid	kp95_206.0902
78.9562	206.64	0.006458262183944428	9.939665553326236		0.5043819757636925	None	
78.9562	213.07	0.012733607211171416	7.303771716197483		0.7211657314355229	None	
