m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
204.0866	356.04	0.027438078089767306	6.92981368218018	C8H13NO5,C9H17NS2	1.444289055199775	N-acetyl-L-2-aminoadipate(2-),Adipoylglycine,1-Isothiocyanato-7-(methylthio)heptane	kp28_203.0792
204.0978	332.17	0.029679441624454475	-6.518821501215252	C7H13N3O4	-1.6917905613956492	Asparaginylalanine,Glycyl-Gamma-glutamate,Alanylasparagine,Glycyl-Glutamine,Glutaminylglycine	kp34_203.0905
131.0338	324.4	0.00921981402556941	15.456568004047513	C5H6O4	2.5723893743353266	2-Methylbut-2-enedioic acid,Pentenedioic acid,Itaconic acid,Citraconic acid,Gamma-delta-Dioxovaleric acid,Methyl hydrogen fumarate,(Z)-4-Methoxy-4-oxobut-2-enoic acid,Mesaconic acid,Glutaconic acid,2-Hydroxyglutaric acid lactone,2,5-Dioxopentanoate	kp235_130.0266
207.0798	243.37	0.019610051155663968	-8.673657584189543	C7H14N2O3S,C15H10O	-1.8714562341464216	Methionyl-Glycine,Aldicarb sulfoxide,Glycyl-Methionine,9-Anthraldehyde,ANTHRACENECARBOXALDEHYDE,Diphenylcyclopropenone	kp174_206.0724
169.9857	220.85	0.02735694778921215	6.993579743682696		2.946006889349441		
85.0289	325.05	0.027438078089767306	6.90465540393769		2.5601467787745094		
137.0709	200.99	0.025465540812542715	7.1952931947529235	C7H8N2O	2.408387876343653	2-Methylnicotinamide,3-Aminobenzamide,Benzamidoxime,Benzohydrazide,2-Aminobenzamide,4-Aminobenzamide,N-Methylnicotinamide,5-Methylnicotinamide,2-Acetyl-3-methylpyrazine,4-Hydroxy-benzamidine,4-Acetyl-2-methylpyrimidine,1,2-Diacylglycerol-Bile-PC-pool	kp286_136.0636
174.0386	145.81	0.021790389631784344	-8.158744102321329	C5H9NO2S,C5H9NO2S	-2.544495187842667	2-Methylthiazolidine-4-carboxylic acid,Thiomorpholine 3-carboxylate,2-Methylthiazolidine-4-carboxylic acid,Thiomorpholine 3-carboxylate	kp296_147.0357
138.0549	355.65	0.018107872883702913	9.620521361303974	C5H4O2	1.5967010717457448	Protoanemonin,2H-Pyran-2-one,2-Furancarboxaldehyde	kp312_96.0213
138.0742	201.12	0.0226150447794376	7.748046002167881	C7H8N2O	2.43551675142643	2-Methylnicotinamide,3-Aminobenzamide,Benzamidoxime,Benzohydrazide,2-Aminobenzamide,4-Aminobenzamide,N-Methylnicotinamide,5-Methylnicotinamide,2-Acetyl-3-methylpyrazine,4-Hydroxy-benzamidine,4-Acetyl-2-methylpyrimidine,1,2-Diacylglycerol-Bile-PC-pool	kp286_136.0636
139.0753	200.86	0.04253858960188832	5.700677226820385		1.955587625462499		
175.1077	246.43	0.04253858960188832	-5.636810319228516	C7H14N2O3	-1.08469347110481	Valylglycine,Gly-Norvaline,Formyllysine,L-Theanine,N(5)-Acetylornithine,Glycylvaline,N2-Acetylornithine,N5-Acetylornithine,val-gly	kp338_174.1004
176.111	246.3	0.04791085828352049	-5.40417816117062	C7H14N2O3	-1.066748298741512	Valylglycine,Gly-Norvaline,Formyllysine,L-Theanine,N(5)-Acetylornithine,Glycylvaline,N2-Acetylornithine,N5-Acetylornithine,val-gly	kp338_174.1004
97.0288	370.51	0.024038345892701936	7.398648484808928	C5H4O2	1.433270943953982	Protoanemonin,2H-Pyran-2-one,2-Furancarboxaldehyde	kp387_96.0215
215.0649	145.29	0.019333044355430234	-8.777059137163645		-2.63868927514941		
144.0655	356.3	0.0420545361927459	5.741668601149986	C6H9NO3	1.0991772897354117	Vinylacetylglycine,5-ethyl-5-methyl-2,4-oxazolidinedione,Trimethadione,N-Ethylmaleamic acid,methoprolol,6-Oxopiperidine-2-carboxylic acid	kp406_143.0582
217.0818	325.45	0.039655512610876485	-5.909436048941971		-0.9563656824798343		
