m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
69.0704	187.3	0.0026474454482590132	-15.625300970604329		-0.660340460146216		
219.0716	246.3	0.0006007076809265014	-31.827559504378794		-2.3800177987595106		
219.0975	361.29	0.023466666260646935	-5.964388770657233		-1.0990606351489731		
136.94	209.39	0.013271606194945254	7.419976918448124		0.2552306570524081		
219.1168	307.95	0.00012772964415454257	-57.583471376449246	C2H8N2O2S	-2.722785341536266	2-Aminoethanesulfonamide	kp3292_124.0306
219.1168	318.33	8.439997355965718e-05	-71.55921409698834	C2H8N2O2S	-6.203970421009188	2-Aminoethanesulfonamide	kp3293_124.0306
219.1338	232.57	0.002662059637238737	-15.475593758330422		-2.4136421042726717		
137.9433	209.39	0.01497137811832753	7.061500021296618		0.2651041226488111		
138.9381	209.39	0.012483819448131928	7.639063916991163		0.25145785561893774		
139.0977	202.7	0.014750615293005765	-7.173171552357924		-0.6962039530855009		
220.0927	333.88	0.0018431622420884955	-18.97512813729713		-2.0146962681397937		
139.9415	209.26	0.046430663398970846	4.688714447079952	C9H11NO2	0.3000727209109755	2-Amino-3-(4-hydroxyphenyl)propanal,D-Phenyl alanine,4-Ethoxybenzamide,Ethyl 2-aminobenzoate,N-(4-Methoxyphenyl)acetamide,1-Isopropyl-4-nitrobenzene,Gentiatibetine,(3,5-Dimethylphenyl)carbamic acid,Methyl N-methylanthranilate,4-Hydroxy-1-(3-pyridinyl)-1-butanone,D-Phenylalanine,3-Pyridinebutanoic acid,Ethyl 3-aminobenzoate,4-(Dimethylamino)benzoic acid,N,N-Dimethylanthranilic acid,Benzocaine,Norsalsolinol,Benzyl glycinate,Ethenzamide,5-(3-Pyridyl)-2-hydroxytetrahydrofuran,Phenyl-Alanine,L-Phenylalanine	kp63_165.0789
140.0106	265.26	0.015564612870800059	-6.930425949771708		-0.4672010665553046		
140.9362	209.13	0.01857099360142448	6.484101613911127		0.2563476219653644		
220.9014	209.39	0.0349315914798184	5.190774095127491		0.27115852447820643		
221.0178	318.59	0.029368926248948348	-5.5308122098896595		-0.9267745181926337		
221.0768	376.29	0.012483819448131928	-7.648416861221467	C4H5N3O	-1.0782032882553203	3-Aminopyrazin-2-ol,Cytosine,Imexon,1H-Imidazole-4-carboxamide	kp445_111.0434
221.1131	280.3	0.00012772964415454257	-56.77182840690534		-3.6627793874820753		
77.9273	209.53	0.009784501685947564	8.288327888923474		0.30488902250491634		
221.9047	209.53	0.017481321564504125	6.674436151143715		0.4384977005363524		
80.9935	209.39	0.004862449386323466	10.988108970864362		0.27161248238551394		
81.9883	209.39	0.005805688858915822	10.277365167938777		0.25173813750411256		
87.0548	324.53	0.012633658932029003	7.5569476362118815		1.1733043390635736		
187.0713	318.46	0.03378748821874211	-5.253599214831254		-1.4912090973742735		
187.0713	355.22	0.03388867182217149	-5.242100638532202		-0.999133711695098		
224.1109	177.59	0.012433794241947262	-7.705921712430786		-1.8165662999213446		
146.1175	330.99	0.01688063457930917	-6.748277636291818		-0.8004108203383922		
190.0821	315.57	0.01857099360142448	-6.512091655784179		-1.2009821435515278		
190.0821	339.79	0.008144912621442398	-8.957284604600524		-1.2781799290278393		
226.0797	297.58	0.04837358695122655	-4.616048832683107		-1.5954027703454194		
226.0797	332.04	0.00895482839527574	-8.554194330151113		-0.8247893115132037		
190.9926	274.49	0.004862449386323466	11.034047594415659		0.540016186959555		
191.1025	296.0	0.0006006758940666601	-33.25052572044234		-1.4773826797836378		
150.0773	205.06	0.004363607275461168	-11.883125692984045		-1.4094595341923544		
98.9846	265.26	0.018280018357677362	-6.5630842491570425		-0.523526551425622		
192.106	295.74	0.0006007076809265014	-31.618126494239707		-5.013383834097791		
152.0373	252.61	0.018777537629091647	-6.415555844281585		-0.3381070053220796		
229.1546	320.03	0.004839283343766874	-11.299206036308632		-1.7168794390596958		
195.0028	299.42	0.006910134414915776	-9.45290110723133		-1.1223078135645714		
195.0798	275.7	0.041480474769013925	-4.91215031892589	C7H14O3	-0.6381424306141668	(+/-)-Ethyl 2-hydroxy-2-methylbutyrate,2-[(Tetrahydrofurfuryl)oxy]ethanol,Ethyl 2-hydroxyisovalerate,Butyl lactate,(-)-Butyl L-lactate,Methyl DL-Leucate,3-hydroxyheptanoic acid,Methyl (±)-3-hydroxyhexanoate,3-Hydroxyisoheptanoic acid	kp339_146.0941
230.1134	323.08	0.03233785242013265	-5.343542361034352		-0.7301037725385129		
232.1291	281.89	0.005309254698053816	-10.635714951597338		-3.9937547196203447		
198.0526	299.55	0.0030082490397757055	-14.384191852648042		-1.2974637618327662		
233.087	227.81	0.04510896239434308	-4.733771717353696		-4.167634572453327		
233.087	231.39	0.022458063018231333	-6.057186855201209		-2.1886362482196837		
233.1494	33.84	0.00895482839527574	-8.58571350916225		-1.6615952622523054		
161.092	293.87	0.0015988210189220196	-20.112069592272395		-1.5554128819084916		
235.0923	371.96	0.003031949832100042	-14.07752334645236		-1.1476367198755888		
235.1115	316.49	0.0024204287682261538	-16.084493454227285		-3.8627910486888766		
235.1481	400.19	0.014750615293005765	-7.1618490071053795		-2.5579420914134126		
200.1029	307.95	0.0015657309533426249	-21.387507514305188		-1.6066964256256782		
162.0953	293.87	0.003687335146981624	-12.930532627992266		-1.9605196472939248		
201.0869	308.08	0.0019371145797241677	-17.842230789436577		-1.5555228457926837		
201.0869	344.25	0.02414977962825915	-5.903703254601444		-1.3487988098788932		
163.0712	315.04	0.009919977631681136	-8.242063270344682		-1.2548721093393418		
238.045	299.42	0.0032495993064858533	-13.704176708084837		-0.7612331147185181		
164.0741	315.04	0.014735782560519127	-7.190823177801342		-1.309213898024776		
238.1267	27.8	0.015214135517619408	-7.019384689100904		-3.1113526935063227		
118.0613	260.11	0.012483819448131928	7.664036987195447		0.6664039101875296		
239.0483	299.55	0.0087316683498379	-8.662331457943745		-0.8602600865261465		
239.1023	227.68	0.021116710910402865	-6.1777361546230205		-5.237090565339951		
203.1026	307.69	0.006692238074996513	-9.576333806683282		-1.121509398821594		
204.0243	246.95	0.019515558747176226	6.330019161631582		0.44409086022433186		
204.0978	331.91	0.008376364013543941	-8.80706013714162		-0.9812922196558027		
240.0953	308.08	0.006452695234430608	-9.713173732507885		-3.227173743152674		
240.0953	317.8	0.00016564690037346888	-48.898995995768814		-2.530545689667921		
122.9246	209.39	0.01860517113879828	6.460944938331999		0.2604898153958217		
205.1182	261.32	0.004862449386323466	-10.982565263229997		-1.8967736278705232		
241.1015	252.87	0.024992814865191646	-5.8316490809166925		-0.33987831038127325		
124.9227	209.53	0.030061616475809225	5.479847541470992		0.25673820022946003		
124.9998	319.51	0.00400453971966006	-12.509399767001216	C6H14N4O	-1.490285999584195	2-[(4S)-4-Amino-5-oxopentyl]guanidine	kp3240_158.1171
242.0746	333.62	0.0017005838301678165	-19.606783734050275		-2.1123312029963053		
242.0997	185.2	0.014919458107399199	-7.092228834375471		-0.9239219026981651		
242.1047	252.61	0.03285001543692156	-5.302269334708385		-0.32122165795608026		
207.0798	243.24	0.0019371145797241677	-17.82067386912466	C8H15N3O5	-1.412619108296603	Serylglutamine,Threonylasparagine,Asparaginyl-Threonine,Glutaminylserine,Serinyl-Gamma-glutamate	kp624_233.1009
