m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
165.0755	315.04	0.03186181917555523	-6.147789732678613		-2.48015456212077	None	
204.0978	332.17	0.011173243120839399	-9.763281770223054	C7H13N3O4	-0.9577198111383005	Glutaminylglycine,Glycyl-Glutamine,Asparaginylalanine,Glycyl-Gamma-glutamate,Alanylasparagine	kp17_203.0905
204.1058	307.69	0.007143275230663779	-11.869080229360026	C8H14N2O4	-1.1555388803831121	Alanylhydroxyproline,Hydroxyprolyl-Alanine,L-Coprine,Serylproline,Prolyl-Serine	kp856_202.0952
166.0263	319.38	0.014863682223422488	-8.60269857074971	C3H5ClO3,C2H5O4P	-1.3564678048555336	3-Chloro-2-hydroxypropanoic acid,phosphonoacetaldehyde	kp3300_123.9925
205.0818	355.22	0.042745606514285536	-5.358722000040613	C7H12N2O5,C7H12N2O5	-1.1968813757259937	Aspartyl-Alanine,Alanyl-Aspartic acid,Alanylaspartic acid,gamma-Glutamylglycine,Glutamylglycine,L-beta-aspartyl-L-alanine,Glycyl-Glutamate,Aspartyl-Alanine,Alanyl-Aspartic acid,Alanylaspartic acid,gamma-Glutamylglycine,Glutamylglycine,L-beta-aspartyl-L-alanine,Glycyl-Glutamate	kp34_204.0745
205.0818	372.75	0.025113658596875456	-6.862309013411805	C7H12N2O5,C7H12N2O5	-0.7411753732150537	Aspartyl-Alanine,Alanyl-Aspartic acid,Alanylaspartic acid,gamma-Glutamylglycine,Glutamylglycine,L-beta-aspartyl-L-alanine,Glycyl-Glutamate,Aspartyl-Alanine,Alanyl-Aspartic acid,Alanylaspartic acid,gamma-Glutamylglycine,Glutamylglycine,L-beta-aspartyl-L-alanine,Glycyl-Glutamate	kp36_204.0745
205.1182	261.58	0.006215475363336218	-12.849885201586543	C8H16N2O4	-1.7193364724178046	N6-Carboxymethyllysine,N6-Acetyl-5S-hydroxy-L-lysine,n-carboxymethyllysine,Carboxy methyl lysine,3,4-Dihydroxy-2-hydroxymethyl-1-pyrrolidinepropanamide,[(2S)-6-Amino-1-methoxy-1-oxohexan-2-yl]carbamic acid,Valylserine,N-(3-Amino-2-hydroxy-3-oxopropyl)-L-valine,Serylvaline,2-[(2S)-2,6-Diaminohexanoyl]oxyacetic acid,epsilon-(Carboxymethyl)lysine	kp38_204.1106
131.0702	27.67	0.03736112389211613	5.689258096805062		0.65232735109592	None	
206.085	355.22	0.033794582679744695	-5.98056418183777	C7H12N2O5,C7H12N2O5	-1.2668495048677322	Aspartyl-Alanine,Alanyl-Aspartic acid,Alanylaspartic acid,gamma-Glutamylglycine,Glutamylglycine,L-beta-aspartyl-L-alanine,Glycyl-Glutamate,Aspartyl-Alanine,Alanyl-Aspartic acid,Alanylaspartic acid,gamma-Glutamylglycine,Glutamylglycine,L-beta-aspartyl-L-alanine,Glycyl-Glutamate	kp34_204.0745
206.085	372.75	0.02247689421995039	-7.21489413239592	C7H12N2O5,C7H12N2O5	-0.7466862673554893	Aspartyl-Alanine,Alanyl-Aspartic acid,Alanylaspartic acid,gamma-Glutamylglycine,Glutamylglycine,L-beta-aspartyl-L-alanine,Glycyl-Glutamate,Aspartyl-Alanine,Alanyl-Aspartic acid,Alanylaspartic acid,gamma-Glutamylglycine,Glutamylglycine,L-beta-aspartyl-L-alanine,Glycyl-Glutamate	kp36_204.0745
131.1179	273.04	0.027896810203661526	-6.58744087055012	C6H14N2O	-0.5047922910919524	2,6-Diaminohexanal,N-(2-Hydroxyethyl)piperazine,N-Acetylputrescine,N-Nitrosomethylamylamine,N-Nitrosodipropylamine,L-isoleucinamide,(S)-2-Amino-4-methylpentanamide,N-Amyl-N-methylnitrosamine	kp74_130.1106
168.0322	255.78	0.03571513932391182	5.794248615078587		1.4166239397377964	None	
132.0655	301.78	0.033385792284575846	6.008026341591435		0.3640345669931726	None	
132.0768	259.45	0.02793851647399708	-6.5719205718872455	C4H9N3O2	-0.4983382640116929	Creatine,N-Propyl-N-nitrosourea,Asparaginamide,Beta-Guanidinopropionic acid	kp81_131.0693
207.0239	243.5	0.0034881157145399866	22.042322969303708		1.8643957150212955	None	
207.0239	245.64	0.0042302442840847065	17.86730081471476		2.2926993715865116	None	
132.1212	273.04	0.02984655930444231	-6.346150646161837	C6H14N2O	-0.5356595571833864	2,6-Diaminohexanal,N-(2-Hydroxyethyl)piperazine,N-Acetylputrescine,N-Nitrosomethylamylamine,N-Nitrosodipropylamine,L-isoleucinamide,(S)-2-Amino-4-methylpentanamide,N-Amyl-N-methylnitrosamine	kp74_130.1106
207.0798	243.37	0.00558944934484339	-14.755744506036802	C7H14N2O3S,C15H10O	-1.5140246582438834	Aldicarb sulfoxide,Methionyl-Glycine,Glycyl-Methionine,9-Anthraldehyde,ANTHRACENECARBOXALDEHYDE,Diphenylcyclopropenone	kp93_206.0724
207.0975	300.86	0.00178274865618044	-34.73914090973588	C7H14N2O5	-1.4820105440361324	Serylthreonine,Threonylserine,(2S)-2-Amino-3-[(2S,3R)-2-amino-3-hydroxybutanoyl]oxypropanoic acid,(2S,3R)-2-Amino-3-[(2S)-2-amino-3-hydroxypropanoyl]oxybutanoic acid	kp95_206.0902
133.0737	259.59	0.02793851647399708	-6.546794189817428		-0.48487192425112013	None	
169.0858	27.8	0.04756063228009916	5.1293272910190035		0.2583452950532106	None	
133.0799	259.45	0.029935937630359042	-6.335773068325304	C4H9N3O2	-0.5076938755141072	Creatine,N-Propyl-N-nitrosourea,Asparaginamide,Beta-Guanidinopropionic acid	kp81_131.0693
208.9985	65.62	0.043491466149385115	5.312753101228373		2.476265389236193	208.9985_M+H+	
81.9883	209.39	0.04519009864971008	5.230928722005829		0.27127920523588145	81.9883_M+H+	
136.0392	358.54	0.0050538961570379985	16.068161932340473		0.7419452769117818	None	
173.0209	265.13	0.033705370837494746	-5.988650287945635		-0.4585968677198089	None	
173.0209	299.42	0.0064187752015434155	-12.680585416537483	C3H9O6P	-1.7105978811646487	Glycerophosphoric acid,Glycerol 3-phosphate,beta-Glycerophosphoric acid	kp3019_172.0136
173.0557	339.92	0.014863682223422488	-8.60678537225686		-1.073435730604885	None	
173.092	297.32	0.02928527995833712	-6.401932567537885	C7H12N2O3	-0.46510237470709725	Glycyl-D-proline,Glycylproline,Prolylglycine	kp178_172.0847
173.1284	178.64	0.01586355706162627	-8.338706690944498	C6H13NO2	-0.569069083219059	Beta-Leucine,L-Isoleucine,L-Leucine,D-Leucine,3-Amino-4-methylpentanoic acid,Alanine betaine,beta-alanine betaine,L-Valine, methyl ester,1-Hydroxy-5,5-dimethylpyrrolidin-2-ol,3-Aminocaproic acid,(±)-erythro-Isoleucine,N-methylvaline,DL-Norleucine,Aminocaproic acid,N-(2-Hydroxyethyl)-morpholine,6-Deoxyfagomine,L-Norleucine,L-Alloisoleucine	kp105_131.0946
174.0953	297.32	0.03775431947023788	-5.668831445835767	C7H12N2O3	-0.4751267426971779	Glycyl-D-proline,Glycylproline,Prolylglycine	kp178_172.0847
138.9381	209.39	0.0453075395136527	5.224355769855486		0.25655787811411557	138.9381_M+H+	
175.0154	24.91	0.006557861747784636	12.475873361002323		1.2382386112147614	None	
212.0528	300.47	0.024450815492758116	6.976084948898789	C13H9NS	1.7085963516145313	Benzo[d][2,1]benzothiazepine	kp3039_211.0454
212.0641	339.92	0.009756975831526632	-10.381148640910208	C6H11N3O4	-1.1564404300187583	Citramide,Caracemide,Asparaginylglycine,Glycyl-Asparagine,Glycylglycylglycine	kp218_189.0748
175.1077	246.43	0.00492932918754138	-16.776608224183672	C7H14N2O3	-2.147857232450548	L-Theanine,N(5)-Acetylornithine,Gly-Norvaline,val-gly,N2-Acetylornithine,Glycylvaline,Formyllysine,Valylglycine,N5-Acetylornithine	kp227_174.1004
139.0977	202.43	0.019600583050881647	-7.601313891273436	C6H10N4	-0.5976030343517493	Pentetrazol,Pentenyltetrazol	kp228_138.0904
140.0106	265.26	0.03144575329551087	-6.177864594214158	H3O4P,C2H3KO2	-0.5481004431546452	Phosphate,Potassium acetate	kp3101_97.977
176.0553	300.34	0.02427212846948139	-7.000802135064865	C6H9NO5	-0.30635487197516653	Alanine pyruvate,N-Acetyl-L-aspartic acid,Dimethyloxalylglycine,N-Formyl-L-glutamic acid,2-Amino-3-oxoadipate,D-N-(Carboxyacetyl)alanine	kp373_175.048
213.0481	360.77	0.04724701292342369	-5.144263425651913	C6H10N2O5	-1.953480443863544	N-carbamoylglutamic Acid,L-beta-aspartyl-L-glycine,Glycyl-Aspartate,Carglumic acid,Aspartyl-Glycine	kp519_190.0588
213.0481	377.61	0.048823912644439485	-5.062634437589908	C6H10N2O5	-0.5551651064953056	N-carbamoylglutamic Acid,L-beta-aspartyl-L-glycine,Glycyl-Aspartate,Carglumic acid,Aspartyl-Glycine	kp520_190.0588
213.0869	308.08	0.043237220174675045	-5.329983992013009		-1.9938173893770141	None	
213.0903	257.09	0.040675678963515295	-5.4898170901941805	C14H12O2	-0.4441275108428471	3-Biphenylacetic acid,Diphenylacetic acid,2-([1,1'-Biphenyl]-2-yl)acetic acid,Felbinac,Benzoin,5-Styrylresorcinol,Benzyl benzoate,4,4'-Dihydroxystilbene	kp3057_212.083
97.0652	27.8	0.019600583050881647	7.59543545611743	C6H8O	0.40413186206908236	2-Methyl-2-cyclopenten-1-one,3-Methyl-2-cyclopenten-1-one,2-Cyclohexen-1-one,(E,E)-2,4-Hexadienal,2,5-Dimethylfuran,2-Ethylfuran,2,3-Dimethylfuran,2,4-Dimethylfuran,Hexa-trans-2-cis-4-dien-1-al,3-Ethylfuran	kp269_96.0579
