m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
172.072	53.0	0.009292456044282534	23.507593180765152	C6H11N3O3,C6H13N3O4	1.8559506164944928	2-Oxoarginine,4-Hydroxycitrulline	12816
175.0353	319.85	0.030874107489151724	14.278484173228259	C5H8N2O5,C8H12S	1.9114791069544843	Ureidosuccinic acid,L-3-Amino-2-(oxalylamino)propanoic acid,L-2-Amino-3-(oxalylamino)propanoic acid,3,4-Diethylthiophene	14454
213.0767	171.5	0.0007627106987051822	52.353986164730806	C10H16O6	2.963235864368171	Glycerol 1-propanoate diacetate	18563
220.0068	90.66	0.019701894088612573	17.561588774332446	C10H9NO4S	4.6583688686828	7-Amino-4-hydroxy-2-naphthalenesulfonic acid	20193
220.0068	94.08	0.04193731227252187	12.52698786456641	C10H9NO4S	1.2769007375578774	7-Amino-4-hydroxy-2-naphthalenesulfonic acid	20194
220.0068	95.13	0.0005195347788282084	63.788878011533534	C10H9NO4S	4.757489477347894	7-Amino-4-hydroxy-2-naphthalenesulfonic acid	20195
220.0068	96.6	0.0282249150855861	15.61275065671477	C10H9NO4S	1.9578500211262977	7-Amino-4-hydroxy-2-naphthalenesulfonic acid	20196
271.8889	44.96	0.019701894088612573	17.71751650957497		1.4671885114145127	271.8889	
228.0512	352.61	0.009292456044282534	23.934610214529535	C5H13N2O6P,C9H11NO6	3.1027785630539313	L-2-Aminoethyl seryl phosphate,4,5-seco-dopa	24708
249.0355	247.18	0.04999728720813478	11.621014847387414	C10H14O3S,C9H17O5PS	1.559213729288249	Ethyl 3-[(2-furanylmethyl)thio]propanoate,Methyl 3-[(diethoxyphosphorothioyl)oxy]but-2-enoate	25019
284.9484	96.6	0.009292456044282534	25.532074281390706	C9H8Cl2O4,C7H6O8S	3.3274318928922817	3,5-Dichloro-4-hydroxy-2-methoxy-6-methylbenzoic acid,3,5-dihydroxy-4-(sulfooxy)benzoic acid,Gallic acid 3-sulfate	30549
340.02	193.78	0.028939529867461383	15.143725935436118	C8H12N5O6P	3.2842997879535325	Acyclovir monophosphate	41258
417.9504	60.52	0.030874107489151724	14.335533806234727	C11H14ClN3O4S3	2.101562163420212	Althiazide	41759
427.0043	349.98	0.03588816778178941	13.250897572277621	C10H14N4O11P2	5.29840226832793	IDP	44957
371.1197	235.99	0.03588816778178941	13.342672720495251	C14H22N4O9	2.0642343353268764	Epitalon	45325
371.1197	245.21	0.0005195347788282084	72.41080523848314	C14H22N4O9	1.7147049163216543	Epitalon	45326
463.1613	28.02	0.04915463382981619	11.84376403107517	C18H28N4O8,C23H28O10	1.0372909876430043	Pyridinoline,Enhydrin,PSF-A	53617
686.9585	219.41	0.019701894088612573	17.657233620868983		3.5082452304846807	686.9585	
