m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
159.9856	227.56	0.03437174546236558	5.218235792776498	C8H5NO2S	3.414444147570638	thiol-maleimide	5764
122.0213	219.81	0.04356501166504807	4.435126031917494		0.8264497663290093	122.0213	
160.0799	293.59	0.03668626137590624	-4.896896774320805		-1.3599974509254622	160.0799_M-H-	
161.056	314.86	0.01812772306859096	-7.840627420117916	C5H10N2O4,C3H7N5O3	-2.191477625740667	Glycyl-Serine,Serylglycine,O-Glycylserine,L-4-Hydroxyglutamine,(2S)-2-Amino-5-aminooxy-5-oxopentanoic acid,Glutamine hydroxamate,N-Ethyl-N'-nitro-N-nitrosoguanidine	6543
162.0592	315.0	0.030077826200401565	-6.002131961962263	C6H13NO2S,C6H13NO2S	-2.6457177429015424	S-(2-carboxypropyl)-Cysteamine,S-Propyl-L-cysteine,Cysteine isopropyl ester,Homomethionine,N,N-Diethyl-1-methylsulfinylformamide,(R)-Propyl 2-amino-3-mercaptopropanoate,Methionine methyl ester,S-Methyl-L-methioninate,N-Methyl-L-methionine,DL-Ethionine,S-(2-carboxypropyl)-Cysteamine,S-Propyl-L-cysteine,Cysteine isopropyl ester,Homomethionine,N,N-Diethyl-1-methylsulfinylformamide,(R)-Propyl 2-amino-3-mercaptopropanoate,Methionine methyl ester,S-Methyl-L-methioninate,N-Methyl-L-methionine,DL-Ethionine	6843
193.0647	275.21	0.008921903764699382	-10.13871327178846		-2.344412434555611	193.0647_M-H-	
129.1023	244.69	0.04464106821451347	-4.331706163932575	C4H11N5	-1.1329865474185326	1,1-Dimethylbiguanide	8401
196.8848	367.45	0.0409094793466486	4.614072792272977		1.2303026218728519	196.8848	
167.8333	152.13	0.03627831232213134	4.950698317701354		0.7537356389384833	167.8333	
168.8313	152.13	0.03612831293285834	4.981556610760229		0.42484159730524595	168.8313	
96.921	152.4	0.04356501166504807	4.404964822314969		0.5371402089462478	96.921_Na/H	
199.072	214.56	0.04495384536598969	-4.312591084110486	C8H14N2O5,C8H12N2O4	-1.6317629969553025	N-gamma-L-Glutamyl-D-alanine,gamma-Glutamylalanine,Hydroxyprolyl-Serine,Serylhydroxyproline,Glutamylalanine,Alanylglutamic acid,(3S,8As)-7-hydroxy-3-(hydroxymethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione,1-(2-Hydroxyethoxy)methyl-5-methyluracil	11730
101.0709	301.08	0.0339308213053051	-5.386968160529086	C2H7N5	-1.8220674498722857	Biguanide	12569
172.0354	270.35	0.012928981849753229	-9.07425587403205	C6H6N2O4	-3.10792783774556	1,6-Dinitrocyclohexa-1,4-diene,1,5-Dinitrocyclohexa-1,4-diene	kp222_170.0323
101.9798	228.21	0.04495384536598969	4.311791001470278		2.0184185787931277	101.9798	
201.0876	307.51	0.0262335927621236	-6.545381857566694	C8H16N2O5,C8H14N2O4	-2.5166213693593633	Threonylthreonine,N(epsilon)-(Carboxymethyl)hydroxylysine,N-Acetyl-b-glucosaminylamine,Serylproline,Hydroxyprolyl-Alanine,Prolyl-Serine,L-Coprine,Alanylhydroxyproline	12789
202.0828	307.38	0.031255449629157536	-5.628553424700886	C7H13N3O4	-1.4523119379542813	Glycyl-Glutamine,Asparaginylalanine,Alanylasparagine,Glycyl-Gamma-glutamate,Glutaminylglycine	13309
202.0828	332.23	0.013059664140432954	-8.834778526975734	C7H13N3O4	-2.4139350908542845	Glycyl-Glutamine,Asparaginylalanine,Alanylasparagine,Glycyl-Gamma-glutamate,Glutaminylglycine	13312
173.0924	244.82	0.04368092263225116	-4.379498165510051	C7H14N2O3	-0.9874478817663359	Glycylvaline,Gly-Norvaline,N(5)-Acetylornithine,N2-Acetylornithine,val-gly,Valylglycine,N5-Acetylornithine,L-Theanine,Formyllysine	13585
203.0668	372.83	0.042933303156029154	-4.485199885978515	C7H12N2O5,C7H12N2O5,C10H16S,C7H14N2O6	-0.7941443160517032	L-beta-aspartyl-L-alanine,Glycyl-Glutamate,gamma-Glutamylglycine,Glutamylglycine,Alanyl-Aspartic acid,Aspartyl-Alanine,Alanylaspartic acid,L-beta-aspartyl-L-alanine,Glycyl-Glutamate,gamma-Glutamylglycine,Glutamylglycine,Alanyl-Aspartic acid,Aspartyl-Alanine,Alanylaspartic acid,2-Hexylthiophene,beta-D-Glucopyranosylurea,Glucosamine, N-carbamoyl-(6CI)	13857
141.9136	1.83	0.0006620033347003321	21.178938268097816		2.8873435200846806	141.9136_M-H-	
174.0957	244.42	0.041918140525108005	-4.579296659907279	C7H14N2O3	-0.97289496903797	Glycylvaline,Gly-Norvaline,N(5)-Acetylornithine,N2-Acetylornithine,val-gly,Valylglycine,N5-Acetylornithine,L-Theanine,Formyllysine	kp341_174.0996
174.1069	364.95	0.04321108941942098	-4.469370610848146	C7H17N3S	-3.0495382770940154	4-(Dimethylamino)butyl carbamimidothioate	14078
142.0224	189.55	0.0424826482828842	4.547383790774983		1.4591276450421589	142.0224	
205.0648	242.06	0.027828518548764884	-6.21382415549863	C7H14N2O3S	-2.069279098830947	Methionyl-Glycine,Glycyl-Methionine,Aldicarb sulfoxide	14571
143.0453	302.0	0.01867541154295876	-7.681640521145654		-0.8811538581642893	143.0453	
206.0858	300.95	0.03612831293285834	-5.025656712931593	C8H17NO3S,C8H17NO3S	-1.3677744810023817	N-Cyclohexyltaurine,l-Felinine,N-Cyclohexyltaurine,l-Felinine	15141
176.075	297.66	0.03437174546236558	-5.222815401025178		-1.2745225824518833	176.075	
176.075	313.68	0.03713276347822043	-4.87675214114703		-1.5675999158730392	176.075	
177.8875	367.32	0.0029912188152403747	15.314937131015695		3.6089945071162717	177.8875	
209.0968	29.07	0.04334832285391812	4.450303606547648	C15H16O2,C13H11N3,C15H14O	0.6424754711610525	bis(Benzyloxy)methane,Nabumetone,(S)-Curzeone,(2S)-2-(3,8-Dimethylazulen-5-yl)propanoic acid,Bisphenol A,N-(4-Pyridinyl)-1H-indol-1-amine,9-Hydrazinoacridine,Proflavine,1,3-Diphenyl-2-propanone,Lactaroviolin,Isoflavan,Flavan,1,3-Diphenyl-1-propanone	16431
179.0118	106.48	0.021032475556368592	7.186042674332372	C6H8O4,C6H11ClO5,C6H8O4	4.099302674755661	4-Ethoxy-4-oxobut-2-enoic acid,Triacetic acid,Maleic acid homopolymer,3-Hexenedioic acid,3-Methylglutaconic acid,3,6-Dimethyl-1,4-dioxane-2,5-dione,Dimethyl but-2-enedioate,1,1-Cyclobutanedicarboxylic acid,Methylglutamic acid,trans-2-Hexenedioic acid,2-Oxopropyl 2-oxopropanoate,(E)-2-Methylglutaconic acid,Ethyl hydrogen fumarate,2-Ethylbut-2-enedioic acid,3-Hydroxyadipic acid 3,6-lactone,Dimethyl fumarate,2,3-Dimethylbut-2-enedioic acid,Dimethyl maleate,2-Chloro-DG,4-Ethoxy-4-oxobut-2-enoic acid,Triacetic acid,Maleic acid homopolymer,3-Hexenedioic acid,3-Methylglutaconic acid,3,6-Dimethyl-1,4-dioxane-2,5-dione,Dimethyl but-2-enedioate,1,1-Cyclobutanedicarboxylic acid,Methylglutamic acid,trans-2-Hexenedioic acid,2-Oxopropyl 2-oxopropanoate,(E)-2-Methylglutaconic acid,Ethyl hydrogen fumarate,2-Ethylbut-2-enedioic acid,3-Hydroxyadipic acid 3,6-lactone,Dimethyl fumarate,2,3-Dimethylbut-2-enedioic acid,Dimethyl maleate	16802
116.0028	151.87	0.042701925622456276	4.522493609272838		1.1458356932786309	116.0028	
150.0413	142.36	0.04321108941942098	-4.462039189343151	C5H13NS2	-4.04956528587174	(S)-2-Amino-4-methylsulfanyl-butane-1-thiol	17512
151.0604	164.38	0.025321497371582135	-6.676354906353175	C5H12O5	-4.432876322911113	D-Xylitol,L-Arabitol,Xylitol,Ribitol,L-2-(Hydroxymethyl)-1,2,3,4-butanetetrol,D-Arabitol	kp483_152.0677
152.995	212.45	0.03437174546236558	-5.316735294573232	C4H6O4	-1.0673573931555254	xi-3-Hydroxy-2-oxobutanoic acid,Erythrono-1,4-lactone,4-Hydroxy-2-oxobutanoic acid,Methylmalonic acid,Succinic acid,Threonolactone	18112
152.995	264.15	0.04426361894892739	-4.353267275501591	C4H6O4	-3.5608267748955242	xi-3-Hydroxy-2-oxobutanoic acid,Erythrono-1,4-lactone,4-Hydroxy-2-oxobutanoic acid,Methylmalonic acid,Succinic acid,Threonolactone	18113
219.0619	376.24	0.04321108941942098	-4.45837689183302	C7H12N2O6	-1.440417058951173	L-beta-aspartyl-L-serine,Aspartyl-Serine,Glycine glutamate,Serylaspartic acid	19577
215.067	244.03	0.0424826482828842	-4.538376791304901	C8H14N2O6	-1.7645106512422934	gamma-Glutamylserine,Threoninyl-Aspartate,Threonylaspartic acid,Tris(carboxymethyl)ethylenediamine,L-beta-aspartyl-L-threonine,Glutamylserine,Serylglutamic acid,Aspartyl-Threonine,Glutamine lactate,N-(Carboxymethyl)-N-(2-((carboxymethyl)amino)ethyl)glycine	19926
215.1397	172.68	0.03627831232213134	-4.95356446295546	C10H20N2O3	-1.547470454233629	Valylvaline	20161
220.0224	208.65	0.012928981849753229	9.00050508781953	C6H15O4P,C6H15O4P,C8H15KO2	2.451591818294201	Diisopropylphosphate,TRIETHYL PHOSPHATE,Diisopropylphosphate,TRIETHYL PHOSPHATE,Potassium octanoate	kp552_182.0702
216.0986	307.51	0.03557071138272461	-5.094626493122203	C8H15N3O4,C6H12N6O3	-1.301205436694353	Glutaminylalanine,Alanylglutamine,N-alpha-Acetyl-L-citrulline,Alanyl-Gamma-glutamate,2-(2-Aminopropanylamino)-4-carbamoylbutyric acid,Trimethylolmelamine	20743
217.0481	194.57	0.04464106821451347	-4.331981791215299	C6H14O6	-1.4144688956037754	3-Hydroxymethyl xylitol,Mannitol,L-Iditol,Galactitol,D-Iditol,Sorbitol	21332
185.0925	290.18	0.03437174546236558	-5.209464096117047	C8H14N2O3,C8H16N2O4	-1.4585037222521002	Alanylproline,Prolyl-Alanine,epsilon-(Carboxymethyl)lysine,2-[(2S)-2,6-Diaminohexanoyl]oxyacetic acid,[(2S)-6-Amino-1-methoxy-1-oxohexan-2-yl]carbamic acid,Valylserine,N-(3-Amino-2-hydroxy-3-oxopropyl)-L-valine,Serylvaline,3,4-Dihydroxy-2-hydroxymethyl-1-pyrrolidinepropanamide,Carboxy methyl lysine,n-carboxymethyllysine,N6-Acetyl-5S-hydroxy-L-lysine,N6-Carboxymethyllysine	21372
217.0826	361.67	0.007985838373739635	-11.464102721880787	C8H14N2O5	-2.066649483561161	N-gamma-L-Glutamyl-D-alanine,gamma-Glutamylalanine,Hydroxyprolyl-Serine,Serylhydroxyproline,Glutamylalanine,Alanylglutamic acid	21509
218.0779	334.07	0.031255449629157536	-5.638381272585956	C7H13N3O5,C10H17NS	-1.2273007765377848	Serylasparagine,Asparaginyl-Serine,2-Butyl-5-ethyl-4-methylthiazole,2,4-Dimethyl-5-pentylthiazole,2,5-Diethyl-4-propylthiazole,4,5-Dimethyl-2-pentylthiazole,4-Butyl-5-propylthiazole,2,5-Dipropyl-4-methylthiazole,4-Butyl-2-ethyl-5-methylthiazole,4-Ethyl-2-pentylthiazole,2,4-Diethyl-5-propylthiazole,2-Butyl-4-propylthiazole	21719
221.0928	173.6	0.007985838373739635	-11.077813878049891	C9H11N5O2,C11H14N2O3	-1.9947353431863242	2'-Deoxysepiapterin,Glycyl-Phenylalanine,Phenylalanyl-Glycine,Phenylalanylglycine	22078
222.0962	173.6	0.007985838373739635	-10.927528293283535	C12H19NO2S,C12H17NOS	-2.0797849254304595	2-(4-Methyl-5-thiazolyl)ethyl hexanoate,2,5-Dimethoxy-4-(ethylthio)phenethylamine,TILETAMINE	22467
159.0766	293.46	0.04289759523096884	-4.494227237366492		-1.2397778811796414	159.0766_M-H-	
244.0316	192.2	0.04471079099709832	-4.325742852227849		-2.7291030689688185	244.0316	
244.0316	196.14	0.04368092263225116	-4.391440070091064		-4.015081602968831	244.0316	
223.0978	173.6	0.031255449629157536	-5.605822965324307	C12H16O4,C13H14N4O,C12H18O5	-2.8032855225554307	Diplosporin,Alongside,Dhelwangin,Acoramone,senkyunolide I,2-Ethoxy-4-(4-methyl-1,3-dioxolan-2-yl)phenol,3',4',5'-Trimethoxycinnamyl alcohol,Vanillin 1,2-butylene glycol acetal,Isoacoramone,1,5-Diphenylcarbazide,2-(Ethoxymethyl)-1h-Imidazo[4,5-C]quinolin-4-Amine,N',N'-Diphenylhydrazinecarbohydrazide,Diethylene glycol dimethacrylate	22920
244.1665	363.11	0.04321108941942098	-4.463081601931366	C11H23N3O3	-1.5452344576017687	Valyllysine,Lysylvaline	22958
188.067	339.71	0.007985838373739635	-11.894659585712784	C6H11N3O4,C12H12S	-2.0145406117201716	Asparaginylglycine,Glycyl-Asparagine,Citramide,Caracemide,Glycylglycylglycine,(Z)-1-(Methylthio)-5-phenyl-1-penten-3-yne	23100
245.0431	264.41	0.031255449629157536	-5.597162042818262	C8H10N4O3,C7H14O7,C6H15O8P,C11H7N3O4,C9H16N2O3S2	-1.2928574202587164	1,3,7-Trimethyluric acid,1,3,9-Trimethyluric acid,Caffeinol,L-galacto-2-Heptulose,d-Glycero-d-galacto-heptose,Crocose,D-altro-D-manno-Heptose,(3R,5R,6R)-1,2,3,5,6,7-Hexahydroxyheptan-4-one,D-manno-2-Heptulose,MANNOHEPTULOSE,Sedoheptulose,Glycerophosphoglycerol,7-Methoxycoumarin-3-carbonyl azide,Ethanethioic acid, S-(2-(((2R)-2-(acetylamino)-3-mercapto-1-oxopropyl)amino)ethyl)ester	23333
245.1142	308.3	0.03045500252349743	-5.82971907255223	C10H18N2O5	-1.2734976167769894	Aspartyl-Isoleucine,Valylglutamic acid,gamma-Glutamylvaline,Aspartyl-Leucine,Leucyl-Aspartate,Isoleucyl-Aspartate,L-beta-aspartyl-L-leucine,Glutamylvaline	23432
245.1142	313.81	0.03437174546236558	-5.186203165499539	C10H18N2O5	-1.0476461448171328	Aspartyl-Isoleucine,Valylglutamic acid,gamma-Glutamylvaline,Aspartyl-Leucine,Leucyl-Aspartate,Isoleucyl-Aspartate,L-beta-aspartyl-L-leucine,Glutamylvaline	23433
225.0991	363.64	0.016678525280684555	-8.318053979834183	C9H14N4O3	-2.199378699750824	Histidylalanine,Alanylhistidine,Histidinyl-Alanine,Carnosine,Nimorazole,beta-Alanyl-L-histidine,Alanyl-Histidine	23697
246.0464	264.41	0.03612831293285834	-5.0184682341452564	C11H14ClNO,C11H15Cl2NO	-1.4204383984879598	7-Hydroxylorcaserin,1-Hydroxylorcaserin,4-(4-chlorophenyl)-4-hydroxypiperidine,N-Hydroxylorcaserin,5-Hydroxylorcaserin,Dichloroisoproterenol	23701
