m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
175.0353	319.99	0.0354322927423026	6.653555799046331		1.6477845760546614		
209.1543	34.06	0.02505645423486751	8.486399979666944		0.3555901747730452		
176.075	313.81	0.02023884239986835	-9.641090168670727		-1.4959665276230005		
83.0492	247.18	0.03285785241122239	6.936508988728282		2.435758923059833		
215.0514	298.98	0.043510475858776466	-6.000369138608815		-1.0599206381640798		
215.1397	172.81	0.014361078877007183	-13.683270693129266	C6H11FO6	-2.491135352024312	(2R,3S,4R,5R)-2,3,4,5,6-Pentahydroxyhexanoyl Fluoride,(2R,4R,5R)-1-Fluoro-1,2,4,5,6-pentahydroxyhexan-3-one	kp988_198.0539
216.0986	307.64	0.02068907517499834	-9.091427832679912	C7H6O5,C8H10S2	-1.333779614961589	Gallic acid,2,4,6-Trihydroxybenzoic acid,2,3,4-Trihydroxybenzoic acid,Benzyl methyl disulfide	kp218_170.022
217.1383	401.22	0.016264841614463357	-12.181197601072665		-2.1813570765706842		
218.0779	334.2	0.04307898110470945	-6.1278336299353775		-1.4065025753127927		
218.103	182.16	0.02516685821096599	-8.338848092101259		-0.3878869910474201		
146.0813	182.16	0.02023884239986835	-9.485905838669467		-0.404565162436338		
219.1063	182.16	0.021818778295008875	-8.851448379648025		-0.39652060280441503		
189.0591	300.68	0.046069494943322874	5.797409352576935		0.7587859846043727		
222.0962	173.47	0.046069494943322874	-5.770656464923974		-1.7635025285387442		
190.0908	295.3	0.016264841614463357	-12.129056710927838		-1.6134457200986922		
155.0817	260.6	0.007637869282038598	-19.13646587871347		-2.1455166698720625		
115.0866	293.46	0.043436461855122135	-6.039703192194228		-3.1295049035412834		
193.0647	275.21	0.045098872267155705	-5.858209401621226		-0.813983528525533		
159.0766	293.59	0.03478914250223193	-6.7636389439428966		-1.0918360385024215		
230.1144	277.7	0.0012776653168183666	-39.51701813951601		-5.29024573781005		
230.1144	281.25	0.0354322927423026	-6.670750454090874		-2.4713041002070923		
159.9914	206.68	0.03602903974962048	6.601116788210476		0.26943613356641194		
160.0799	293.59	0.043510475858776466	-5.983728047686015		-1.4321247964322623		
161.0449	242.59	0.01870742379911645	10.294528309589008		1.5318444926189443		
234.0811	372.17	0.02516685821096599	-8.280541451792686		-0.9006262651713399		
235.1086	142.09	0.026047831422241142	-8.040598957950802		-4.163203586197447		
235.1086	182.16	0.028230340278935458	-7.515038699313631		-3.7330983736435552		
199.072	214.56	0.028230340278935458	-7.6129110224744085		-1.3043152569622016		
129.0377	324.98	0.037423612161624244	6.502743529894612		0.6292912548355964		
129.1023	244.56	0.02023884239986835	-9.433894945871018		-3.509226896047018		
129.1023	259.82	0.0017730314891322887	-30.594478910824712		-3.6967562123596345		
201.124	194.43	0.028230340278935458	-7.524857448739026		-1.8510540282233379		
204.1066	260.47	0.007637869282038598	-19.32033347504283		-3.3753527957528604		
265.0943	273.11	0.016597576076630132	-11.314124871804108		-1.6214117087630164		
205.0648	241.93	0.02023884239986835	-9.321028896414514		-1.2852314605581086		
242.0783	319.07	0.016597576076630132	-11.48149490443606		-1.40379656692728		
242.1509	408.08	0.028230340278935458	-7.64365309723598		-1.1274331126345984		
206.0573	357.47	0.0433638270269152	6.0978720330411145		1.3477455549465738		
206.0858	301.08	0.04013344827615166	-6.34772111446501		-2.7907591051574343		
267.0988	234.02	0.028541931381312516	-7.4304967568456695		-1.3128519655403572		
172.0354	270.35	0.02068907517499834	-9.115425657802833		-1.2643175869098506		
268.1022	234.02	0.037423612161624244	-6.490134407609155		-1.4661445216214304		
244.1414	385.17	0.044798049195474005	-5.919104543092575		-1.38718884962611		
245.0778	290.44	0.017090047612579554	-10.862256523925174	C12H21N3O6	-1.5913598230741357	N5-Acetyl-N2-gamma-L-glutamyl-L-ornithine,N-(N-(3-Amino-3-carboxypropyl)-3-amino-3-carboxypropyl)azetidine-2-carboxylic acid,NOTA	kp3456_303.1431
245.0778	306.33	0.025251248505009254	-8.147898948957096		-0.4393608749218849		
292.1669	276.13	0.040708123473653324	-6.2925279477133635	C6H9O9P	-2.0009082683365946	[(5R)-5-[(1S)-1,2-Dihydroxyethyl]-2,4-dioxooxolan-3-yl] dihydrogen phosphate,[(2R)-2-[(1S)-1,2-Dihydroxyethyl]-4,5-dioxooxolan-3-yl] dihydrogen phosphate,Vitamin C phosphate	kp1041_255.9984
270.7981	152.79	0.02850932690777593	7.463818295296603		0.5154758986715287		
246.1095	307.64	0.03285785241122239	-6.957360662117938		-1.0574041292309637		
174.0957	244.56	0.02153566419538634	-8.936213845805744		-2.3572742777599203		
247.0935	359.57	0.017090047612579554	-10.848913590828923		-1.3019776977184883		
247.1493	388.72	0.016597576076630132	-11.295419558223555		-1.3446802687914392		
320.1727	243.9	0.015150948350435242	-12.978298581984333		-2.7736259825024554		
295.0936	317.36	0.030779110540068842	-7.195109768053777		-1.2086556851754509		
295.1128	256.93	0.014361078877007183	-14.133698673338532		-2.7822637278006006		
249.0913	197.06	0.016597576076630132	-11.665025036067412		-2.3164902243967695		
249.0913	201.42	0.03285785241122239	-6.9515150943814215		-3.0219661823346993		
296.0517	298.98	0.02068907517499834	-9.08675111392227		-1.7603064923483416		
296.097	317.36	0.033767082013288825	-6.860732625208839		-1.1455803321109492		
275.0887	392.66	0.02516685821096599	-8.258701039568004		-0.9914751189902091		
252.107	178.59	0.0007147025602673682	-54.366681642035836		-4.76380233428565		
276.092	392.66	0.027317871283644535	-7.862073881783719		-1.0335760841174952		
253.1446	34.06	0.04133705127303174	6.23615593067222		0.33536831673277234		
278.1147	196.14	0.040708123473653324	-6.282237162778841		-1.295804599321265		
330.123	194.57	0.026953913387401714	-7.928805725085847		-0.9983643649935416		
302.1471	422.09	0.043436461855122135	-6.053527689617799		-0.879498109969628		
330.9191	146.46	0.03119459849062883	7.113578150543636		0.42920143483903317		
331.1261	369.55	0.015150948350435242	-13.11642599234447		-2.255819503681799		
256.1303	308.82	0.02023884239986835	-9.887451119202051		-1.439562495561173		
281.1145	201.03	0.02524782186237499	-8.190638189349025	C14H20N4O3S	-1.2965731753706606	3-Methylsulfonyl-4-piperidin-1-ylbenzoyl guanidine	kp1412_324.125
281.1145	204.05	0.046069494943322874	-5.7450923241844825	C15H15N7O2	-1.6921548618620506	Deoxyaminopteroic acid	kp1424_325.1282
304.0787	375.59	0.02023884239986835	9.531157354231263		1.3309756315872292		
304.1305	166.11	0.028230340278935458	-7.5262726674432905		-1.9807901453244838		
333.1069	178.59	0.01000886997178397	-17.191139546007058		-3.323438724596034		
333.7997	151.21	0.01850885963614072	10.521876384073813		0.44423596432501		
258.146	237.83	0.035020900742474034	-6.721148003021863		-2.026734364828851		
335.1363	234.81	0.028230340278935458	-7.690330351499166		-3.260183864823585		
335.7966	151.21	0.030542860939156997	7.23874504484708		0.3897617133269833		
259.0688	225.32	0.048854783148117704	-5.6379610085438605		-4.049126262985862		
259.13	305.15	0.028230340278935458	-7.5846354771679		-1.2309103907342198		
259.13	311.32	0.045098872267155705	-5.8697295683643524		-1.0192307967642549		
259.1494	237.96	0.02516685821096599	-8.271198352688355		-2.4310738393576514		
286.0683	375.59	0.02023884239986835	9.831261667241066		1.3441887730660156		
260.1041	183.48	0.02516685821096599	-8.241088544368758		-2.4952726684563515		
309.1289	245.21	0.045098872267155705	-5.8600705591337166		-2.6088956085017365		
287.1477	404.51	0.02023884239986835	-9.637251476150661		-2.416062927781841		
288.1316	424.72	0.028230340278935458	-7.538506193686227		-1.0283634964223722		
262.057	360.88	0.043436461855122135	6.0544350521388335	C11H15N5O5	1.1056577511420613	1-Methylguanosine,3'-O-Methylguanosine,2-Methylguanosine,Nelarabine,2'-C-Methylguanosine	kp3356_297.1068
262.0763	396.23	0.01870742379911645	-10.32751021800046		-1.2648954241208656		
289.0445	321.43	0.046069494943322874	-5.7505379056442845		-1.964297654085346		
343.1299	162.41	0.02023884239986835	-9.38351601880679		-2.884020312403038		
316.1165	319.2	0.017090047612579554	-11.081185534236775		-1.4197259135922415		
317.1186	319.2	0.014361078877007183	-13.825313089950946		-1.4130862576209537		
387.2083	194.43	0.046069494943322874	-5.777443931659102		-3.2686984953232816		
361.0438	209.57	0.014249245760343246	15.197786172509788		4.463039555304688		
361.0742	231.26	0.04136958886709977	-6.21507758459645		-4.729455545543956		
391.0849	231.26	0.030223898417900397	-7.288461097652044		-3.5659620595806008		
399.1443	307.51	0.015511474231347832	-12.675664027617389		-1.0789974027346716		
399.1443	312.24	0.016597576076630132	-11.398401058626506		-0.833202958986746		
373.1925	214.95	0.02023884239986835	-9.764893236489458		-2.2578121835576823		
429.1944	27.37	0.043510475858776466	6.001353965591977		1.3091439687589848		
431.195	27.5	0.03478914250223193	6.757082172006636		1.3497479771091783		
377.0691	260.34	0.014361078877007183	-13.711365190507678		-2.9306643586765873		
441.064	234.28	0.03119459849062883	-7.116398661130311		-2.616664405268324		
568.2055	298.85	0.0017730314891322887	-30.807757596412397		-3.770781391096186		
