m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
124.0063	218.23	0.03319041167463199	7.891447292337696		1.1839761026277067	124.0063_M-H-	
192.816	142.62	0.0005226756345665935	44.40259180991541		3.843960465660075	192.816	
131.0533	184.13	0.03319041167463199	-7.873790105115078	C6H12OS	-0.5831594137514777	S-Methyl 3-methylthiobutyrate,3-Mercapto-2-methylpentanal,4-Mercapto-4-methyl-2-pentanone,1-Methylthiopentan-3-one,4-(Methylthio)-2-pentanone,3-mercapto-4-methyl-2-pentanone,2,5-Dimethyl-3-mercaptotetrahydrofuran	9000
197.0619	225.59	0.009742915506337064	15.692153935495872	C10H12ClNO	2.8861000597736925	Beclamide,Clephedrone	10257
135.9795	270.48	0.007243997601643255	17.39989681683497	C4H8Se	2.869165516079022	Methyl 2-propenyl selenide	11047
201.0013	228.61	0.04675856049039911	-6.6589968592598785	C7H13Cl3	-1.8974946604572445	1,1,1-Trichloroheptane	12606
141.9136	1.83	0.020382710630466063	11.416163686453462		2.1038610526005783	141.9136_M-H-	
111.0553	163.98	0.04675856049039911	-6.6747387860774	C3H5N5	-2.629153886288538	1,3,5-Triazine-2,4-diamine	15308
145.0133	274.03	0.031110142587606773	8.274663109605545		0.9214845472621143	145.0133_M-H-	
207.087	300.95	0.00013340372888826196	83.11361956779983	C8H16O6	6.990342185848855	Ethyl beta-D-fructofuranoside,Ethyl glucoside,Dambonitol,Ethyl beta-D-glucopyranoside	15709
208.8777	162.14	0.03237050139879907	8.094023609953734		2.7546901849817225	208.8777	
146.0813	182.16	0.04675856049039911	6.7892892353941185		1.121975011610477	146.0813_M-H-	
177.8875	367.32	0.00048628121794159985	54.334945778633184		3.1377395530599586	177.8875	
178.833	152.13	0.0022798446707536714	28.854279778195277		3.509073840640628	178.833	
148.049	324.71	0.023675752535988744	10.482457667300194	C4H8N2O4	3.233742191864021	(3S)-3-Amino-4-aminooxy-4-oxobutanoic acid,beta-Aspartylhydroxamate,Hydroxylated lecithin,Amino aspartic acid	16763
