m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
160.0799	293.59	0.04862228395333303	-6.026453409208089		-1.6902161138974243	160.0799_M-H-	
161.0449	242.72	0.012309740697701937	17.426944662901008	C6H12O6,C6H10O5	1.5445237920591417	Dihydroxyacetone (dimer),3-Deoxyarabinohexonic acid,D-chiro-Inositol,Allose,L-Sorbose,alpha-D-Glucose,Glycoprotein-phospho-D-mannose,cis-Inositol,(3R,4R,5R)-1,3,4,5,6-Pentahydroxyhexan-2-one,alpha-D-Galactofuranose,scyllo-Inositol,Glucose,epi-Inositol,L-Gulose,D-Fructofuranose,D-Galactose,D-Fructose,D-Tagatose,beta-D-Galactose,alpha-D-Allofuranose,Levoinositol,L-Galactose,D-Mannose,(2R,4S,5S)-1,2,4,5,6-Pentahydroxyhexan-3-one,muco-Inositol,(2R,3R,4R,5R)-2,3,4,5,6-Pentahydroxyhexanal,neo-Inositol,D-Gulose,myo-Inositol,allo-Inositol,D-Psicose,D-Glucose,Glycerol pyruvate,1-Rhamnono-1,4-lactone,2-(2-Hydroxy-1-oxopropoxy)propionic acid,2,5-Anhydro-D-mannose,2(R)-Hydroxyadipic acid,2-Hydroxy-2-ethylsuccinic acid,1,5,6-Trihydroxyhexane-2,3-dione,D-1-Deoxy-erythro-hexo-2,3-diulose,3-Hydroxymethylglutaric acid,Lichenin,D-1,5-Anhydrofructose,3-Hydroxyadipic acid,Conduritol epoxide,Levoglucosan,3-Hydroxy-2-methylglutaric acid,2-Hydroxyadipic acid,(2S)-2-[(2S,3S,4R)-3,4-Dihydroxyoxolan-2-yl]-2-hydroxyacetaldehyde,3-Deoxyglucosone,Diethyl dicarbonate	6527
161.0449	245.47	0.0352401051450527	7.167388345778121	C6H12O6,C6H10O5	1.543540723031132	Dihydroxyacetone (dimer),3-Deoxyarabinohexonic acid,D-chiro-Inositol,Allose,L-Sorbose,alpha-D-Glucose,Glycoprotein-phospho-D-mannose,cis-Inositol,(3R,4R,5R)-1,3,4,5,6-Pentahydroxyhexan-2-one,alpha-D-Galactofuranose,scyllo-Inositol,Glucose,epi-Inositol,L-Gulose,D-Fructofuranose,D-Galactose,D-Fructose,D-Tagatose,beta-D-Galactose,alpha-D-Allofuranose,Levoinositol,L-Galactose,D-Mannose,(2R,4S,5S)-1,2,4,5,6-Pentahydroxyhexan-3-one,muco-Inositol,(2R,3R,4R,5R)-2,3,4,5,6-Pentahydroxyhexanal,neo-Inositol,D-Gulose,myo-Inositol,allo-Inositol,D-Psicose,D-Glucose,Glycerol pyruvate,1-Rhamnono-1,4-lactone,2-(2-Hydroxy-1-oxopropoxy)propionic acid,2,5-Anhydro-D-mannose,2(R)-Hydroxyadipic acid,2-Hydroxy-2-ethylsuccinic acid,1,5,6-Trihydroxyhexane-2,3-dione,D-1-Deoxy-erythro-hexo-2,3-diulose,3-Hydroxymethylglutaric acid,Lichenin,D-1,5-Anhydrofructose,3-Hydroxyadipic acid,Conduritol epoxide,Levoglucosan,3-Hydroxy-2-methylglutaric acid,2-Hydroxyadipic acid,(2S)-2-[(2S,3S,4R)-3,4-Dihydroxyoxolan-2-yl]-2-hydroxyacetaldehyde,3-Deoxyglucosone,Diethyl dicarbonate	6528
192.0508	256.93	0.026828746645906357	8.789368723914361		3.664295546305741	192.0508	
162.0481	242.72	0.02729837494663541	8.685286738889001	C13H6	1.8383327761019004	1-Tridecene-3,5,7,9,11-pentayne	6834
162.0481	245.21	0.0352401051450527	7.146089198927035	C13H6	1.9207368815259507	1-Tridecene-3,5,7,9,11-pentayne	6835
78.9592	380.32	0.047450584865315906	6.156491549363806	H3O4P,CHClO2,HO3P,C2H3KO2	1.5831222136636054	Phosphate,Chlorocarbonic acid,Metaphosphoric acid,Potassium acetate	7133
194.0122	319.46	0.020740324111131123	13.175653200419852	C5H11NO6S	1.479292887485542	Taurine lactate	7774
129.0377	324.84	0.048282884677997205	6.104126953578531	C6H10OS,C6H12O2S,C6H12O2S	0.7126498125398939	2-[(Methylthio)methyl]-2-butenal,2-Ethyldihydro-3(2H)-thiophenone,S-2-Propenyl propanethioate,Ethyl 3-mercaptobutyrate,(+/-)-3-Mercapto-1-butyl acetate,Ethyl 3-(methylthio)propanoate,3-(Methylthio)propyl acetate,3-Mercapto-3-methylbutyl formate,Propyl 2-mercaptopropionate,Methyl 2-(methylthio)butyrate,Methyl 4-(methylthio)butyrate,Methyl 3-(methylthio)butanoate,2,4,6-Trimethyl-1,3,5-dioxathiane,Methylthiomethyl butyrate,Ethyl 3-mercaptobutyrate,(+/-)-3-Mercapto-1-butyl acetate,Ethyl 3-(methylthio)propanoate,3-(Methylthio)propyl acetate,3-Mercapto-3-methylbutyl formate,Propyl 2-mercaptopropionate,Methyl 2-(methylthio)butyrate,Methyl 4-(methylthio)butyrate,Methyl 3-(methylthio)butanoate,2,4,6-Trimethyl-1,3,5-dioxathiane,Methylthiomethyl butyrate	8111
130.0612	258.24	0.03323313861559348	-7.481283129217588		-0.41491906347338414	130.0612_M-H-	
196.0722	255.75	0.0352401051450527	-7.148927103735308	C8H11N3O3,C8H13N3O4	-0.7415659158744958	N-Acetylhistidine,(+/-)-(E)-Ethyl-2-[(E)-hydroxyimino]-5-nitro-3-hexeneamide	9612
169.0693	50.21	0.02460228220262912	-9.7187649336848	C8H11NO3	-0.8209944759002035	Norepinephrine,6-Hydroxydopamine,5-Hydroxydopamine,Pyridoxine,6-Acetyl-2,3-dihydro-2-(hydroxymethyl)-4(1H)-pyridinone	kp197_169.0732
135.0442	36.82	0.037485774588185236	6.910730791659607	C6H5N3O	0.41539530091471377	1-Hydroxybenzotriazole	10974
136.0477	48.64	0.03854826743404212	6.808602412189986	C8H8O2	0.5480937458540538	4-(2-Furanyl)-3-buten-2-one,Methyl benzoate,M-toluic Acid,3-Methoxybenzaldehyde,2-Hydroxy-4-methylbenzaldehyde,2-Hydroxyacetophenone,4-Methoxybenzaldehyde,2-Methoxybenzaldehyde,Oxonol,2'-Hydroxyacetophenone,alpha-Methyl-2-furanacrolein,4-Methylbenzoic acid,4-Hydroxyphenylacetaldehyde,2-Methylbenzoic acid,Benzyl formate,3-(5-Methyl-2-furyl)prop-2-enal,Phenylacetic acid,3-(3-Furanyl)-2-methyl-2-propenal,1,4-Benzodioxane,Phenyl acetate	kp227_136.0518
170.9763	313.81	0.04405401748842401	6.404866149170637	C6H6O5S	0.4442115543087759	2,5-Dihydroxybenzenesulfonic Acid,Hydroquinone sulfate,Resorcinol sulfate,Pyrocatechol sulfate	11478
199.072	214.56	0.035432766925072794	-7.117589166854803	C8H14N2O5,C8H12N2O4	-1.509770875512789	N-gamma-L-Glutamyl-D-alanine,gamma-Glutamylalanine,Hydroxyprolyl-Serine,Serylhydroxyproline,Glutamylalanine,Alanylglutamic acid,(3S,8As)-7-hydroxy-3-(hydroxymethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione,1-(2-Hydroxyethoxy)methyl-5-methyluracil	11730
199.072	396.1	0.024740586904431573	-9.637911102042546	C8H14N2O5,C8H12N2O4	-1.343902824735867	N-gamma-L-Glutamyl-D-alanine,gamma-Glutamylalanine,Hydroxyprolyl-Serine,Serylhydroxyproline,Glutamylalanine,Alanylglutamic acid,(3S,8As)-7-hydroxy-3-(hydroxymethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione,1-(2-Hydroxyethoxy)methyl-5-methyluracil	11738
172.0354	270.35	0.04661810728932657	-6.225202398523275	C6H6N2O4	-1.2211690951295466	1,6-Dinitrocyclohexa-1,4-diene,1,5-Dinitrocyclohexa-1,4-diene	kp222_170.0323
201.124	194.57	0.033706651598726364	-7.30877616999809	C9H18N2O3	-1.751140905731205	Alanylleucine,DL-Alanyl-DL-leucine,N-Acetylisoputreanine,Alanylisoleucine,n2-Acetyl,n6-methyllysine,Leucyl-Alanine,Isoleucyl-Alanine,Leucylalanine	12886
172.5372	270.48	0.048917039058382156	-5.980603555014017	C21H14O5	-1.3578288833378167	3-O-Methylfluorescein	kp4391_346.0825
202.0352	330.78	0.031483908389896335	-8.218152759234217	C5H6N4O5,C8H10FNO2S,C8H10FNO2S	-0.6353103132943971	2-Oxo-4-hydroxy-4-carboxy-5-ureidoimidazole,2-Oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline,4-(2-Aminoethyl)benzenesulfonyl fluoride,2-(2-Aminoethyl)benzenesulfonyl fluoride,4-(2-Aminoethyl)benzenesulfonyl fluoride,2-(2-Aminoethyl)benzenesulfonyl fluoride	13155
202.0717	291.36	0.049951069360257	-5.8852172859993575	C8H15NO6,C8H13NO5	-1.0028639972578048	Aldehydo-N-acetyl-D-glucosamine,(2R,5S)-5-Amino-1,2,6,7-tetrahydroxyoctane-3,4-dione,N-((2R,3R,4R,5R)-3,4,5,6-Tetrahydroxy-1-oxohexan-2-yl)acetamide,N-Acetylgalactosamine,Avenic acid B,2-(Acetylamino)-2-deoxy-alpha-D-mannopyranose,N-Acetylmannosamine,N-Acetyl-b-D-galactosamine,N-Acetyl-D-glucosamine,beta-N-Acetylglucosamine,N-acetyl-L-2-aminoadipate(2-),Adipoylglycine	13291
202.0828	307.38	0.03323313861559348	-7.4921971348508904	C7H13N3O4	-1.0887181703466418	Glycyl-Glutamine,Asparaginylalanine,Alanylasparagine,Glycyl-Gamma-glutamate,Glutaminylglycine	13309
173.0924	244.82	0.028126102232056985	-8.549052517385388	C7H14N2O3	-2.030000530944193	Glycylvaline,Gly-Norvaline,N(5)-Acetylornithine,N2-Acetylornithine,val-gly,Valylglycine,N5-Acetylornithine,L-Theanine,Formyllysine	13585
108.0114	251.78	0.020740324111131123	13.73477945569928		0.7347323565565134	108.0114	
203.1032	260.34	0.021306681912435652	-11.997335297016093	C8H16N2O4	-1.8803397393091679	epsilon-(Carboxymethyl)lysine,2-[(2S)-2,6-Diaminohexanoyl]oxyacetic acid,[(2S)-6-Amino-1-methoxy-1-oxohexan-2-yl]carbamic acid,Valylserine,N-(3-Amino-2-hydroxy-3-oxopropyl)-L-valine,Serylvaline,3,4-Dihydroxy-2-hydroxymethyl-1-pyrrolidinepropanamide,Carboxy methyl lysine,n-carboxymethyllysine,N6-Acetyl-5S-hydroxy-L-lysine,N6-Carboxymethyllysine	13904
204.1066	260.47	0.021306681912435652	-11.667829705592785	C8H16N2O4	-2.999747939898885	epsilon-(Carboxymethyl)lysine,2-[(2S)-2,6-Diaminohexanoyl]oxyacetic acid,[(2S)-6-Amino-1-methoxy-1-oxohexan-2-yl]carbamic acid,Valylserine,N-(3-Amino-2-hydroxy-3-oxopropyl)-L-valine,Serylvaline,3,4-Dihydroxy-2-hydroxymethyl-1-pyrrolidinepropanamide,Carboxy methyl lysine,n-carboxymethyllysine,N6-Acetyl-5S-hydroxy-L-lysine,N6-Carboxymethyllysine	kp354_204.1105
175.0353	319.85	0.04211356340227759	6.545403115976182	C5H8N2O5,C8H12S	1.5018194585165396	Ureidosuccinic acid,L-3-Amino-2-(oxalylamino)propanoic acid,L-2-Amino-3-(oxalylamino)propanoic acid,3,4-Diethylthiophene	14454
