m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
223.1541	24.72	0.02893727519857776	9.951694319378579		0.6730266263613736				
243.183	20.65	0.01985508581145951	13.261308789605579		1.4124127319788613				
309.1472	26.3	0.03955481450866096	8.303624331683858		2.624873256892535				
316.2118	21.57	0.03754263289534344	8.522304486223852		1.1615654910338975				
317.2151	21.44	0.04567289717247545	7.859685911234644		1.2198205812260738				
202.1803	21.44	0.01626918053516648	17.376052584157506	C10H16O	2.397706940482749	Limonene-1,2-epoxide,sabinol,(+)-Piperitone,(+)-beta-thujone,(1R,4S)-Iso-dihydrocarvone,(1R,4S)-fenchone,(4R,6R)-cis-Carveol,S-ipsdienol,(-)-cis-sabinol,2E,9-Decadienal,R-ipsdienol,Thujone,(+)-cis-sabinol,(1S,4R)-Iso-dihydrocarvone,(+)-Pulegone,(-)-trans-Isopiperitenol,(+)-Camphor,4,7-decadienal,(-)-beta-thujone,Myrtenol,Pinocarveol,(1R,4R)-Dihydrocarvone,(+)-cis-Isopulegone,Neral,2-Methyl-5-isopropylhexa-2Z,5-dienal,3E,7Z-Decadien-2-one,2,6-decadienal,Fenchone,2-Methyl-6-methylene-2E,7-octadien-1-ol,2,4-decadienal,(4R)-limonene 1alpha,2alpha-epoxide,Geranial,(-)-Perillyl alcohol,(1S,4S)-Dihydrocarvone,(-)-trans-Carveol,2E,4Z-Decadienal,alpha-Pinene-oxide	kp592_152.1203	{'Prenol Lipids [PR]', 'Fatty Acyls [FA]'}	{'Fatty alcohols [FA05]', 'Oxygenated hydrocarbons [FA12]', 'Fatty aldehydes [FA06]', 'Isoprenoids [PR01]'}
207.1171	46.05	0.01713559470840642	-15.680627010823223		-1.2775202752209758				
329.157	24.86	0.04916620341168044	7.543871491317738		1.428671430667226				
208.1203	46.05	0.019676185402814968	-14.549180191148798		-1.3265196719256238				
265.1223	42.22	0.01713559470840642	-15.476731492542493		-0.8714016249597307				
368.3523	259.73	0.023829840265044186	10.98754184039211		2.2907871788736784				
371.2045	27.48	0.046493371365912646	7.77961439893187		1.0209282879439243				
380.228	28.27	0.03955481450866096	8.215160152734509		0.8913691542805928				
385.1834	25.77	0.0317387509185005	9.479800211999851		1.1507940365211482				
415.2797	233.24	0.03626643692685208	8.767610148831402		1.2556211977704201				
416.2462	168.05	0.01626918053516648	-18.42264593730341		-3.6528936730615857				
416.2851	233.1	0.04729942288038912	7.702410787790657		1.7026973367620784				
418.2436	28.27	0.023829840265044186	11.02288144817628		1.0953720908594882				
361.2353	66.23	0.023829840265044186	10.96532063932117	C20H34O4	1.7968432703478427	5,6-dihydroxy-8,11,14-eicosatrienoic acid,11-deoxy-PGE1,Pileadimenthenol B,10,11-dihydro-leukotriene B4,11-deoxy-PGF2beta,6,7-dihydro-12-epi-LTB4,(+/-)14,15-DiHETrE,(+/-)8,9-DiHETrE,6-(13-hydroxytetradecyl)benzene-1,2,4-triol,Pileadimenthenol A,8,9-dihydroxy-5,11,14-eicosatrienoic acid,Sclerophytin A,12-keto-10,11,14,15-tetrahydro-LTB4,(+/-)11,12-DiHETrE,(+/-)5,6-DiHETrE,8R,9S-cis-epoxy-10S-hydroxy-eicosa-11Z,14Z-dienoic acid,11-deoxy-PGF2a	kp6834_338.2456	{'Prenol Lipids [PR]', 'Polyketides [PK]', 'Fatty Acyls [FA]'}	{'Eicosanoids [FA03]', 'Isoprenoids [PR01]', 'Phenolic lipids [PK15]'}
393.2313	26.43	0.025415353943965758	10.573825555425987		1.7146625254243624				
430.2225	105.75	0.022510304938732448	11.58187398216538		3.1425569184499835				
431.095	28.53	0.019882668241797487	12.677419100613255		2.2525257708010393				
431.1786	200.59	0.036445931761386476	-8.698686871855955		-1.2251035906607477				
432.0983	28.53	0.03198616621476112	9.315468774873901		2.8093538510480407				
432.1818	200.72	0.03955481450866096	-8.208722581928267		-1.3763856410453634				
433.1021	28.4	0.01626918053516648	19.36362857326341		4.128055793814003				
473.3989	317.6	0.01626918053516648	18.02947307245604	C31H52O3	3.041901193348327	1alpha-butyl-1beta,25-dihydroxyvitamin D3,26,27-diethyl-1alpha,25-dihydroxyvitamin D3 / 26,27-diethyl-1alpha,25-dihydroxycholecalciferol,1beta-butyl-1alpha,25-dihydroxyvitamin D3 / 1beta-butyl-1alpha,25-dihydroxycholecalciferol,Theonellasterol D,Galaxaurol D,1alpha,25-dihydroxy-26,27-dimethyl-24a,24b-dihomovitamin D3	kp2570_472.3922	{'Sterol Lipids [ST]'}	{'Sterols [ST01]', 'Secosteroids [ST03]'}
474.4025	317.86	0.02692623000049264	10.320553502304138	C31H52O3	3.365837974458266	1alpha-butyl-1beta,25-dihydroxyvitamin D3,26,27-diethyl-1alpha,25-dihydroxyvitamin D3 / 26,27-diethyl-1alpha,25-dihydroxycholecalciferol,1beta-butyl-1alpha,25-dihydroxyvitamin D3 / 1beta-butyl-1alpha,25-dihydroxycholecalciferol,Theonellasterol D,Galaxaurol D,1alpha,25-dihydroxy-26,27-dimethyl-24a,24b-dihomovitamin D3	kp2570_472.3922	{'Sterol Lipids [ST]'}	{'Sterols [ST01]', 'Secosteroids [ST03]'}
401.264	224.55	0.04934001274374366	7.498204775151916		1.0583666126267062				
441.1315	29.58	0.031103452438039515	9.685163791199063	C23H22O6	2.4350545364674083	Barbigerone,Dehydrodihydrorotenone,Myriconol,Rotenone,Muxiangrin I,(-)-cis-Deguelin,Purpurin,Robustic acid methyl ether,8-C-Methylvellokaempferol 3,5-dimethyl ether	kp2328_394.1412	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
409.2562	33.81	0.03955481450866096	-8.215409800778913		-0.8302051583237819				
526.4472	264.61	0.01626918053516648	22.03933821292173		1.4514803082817167				
489.3128	194.38	0.03198616621476112	9.249535689398684		1.218179730706094				
490.4257	317.6	0.01713559470840642	15.972066117879752		3.0807685248281302				
533.3875	63.58	0.02893727519857776	9.97386333413148		1.3858871190445186				
539.3913	196.37	0.04916620341168044	7.549933037135029		0.9025886474714682				
576.4115	63.05	0.03464324750870276	8.995337152332002		1.0352984929145705				
540.4265	258.16	0.022510304938732448	11.497785025041102		1.4665073244584015				
577.4132	62.66	0.03754263289534344	8.559435685964417		1.0775575779848197				
498.4157	264.48	0.019723771664207534	13.946370450123725		1.4341060732807271				
459.2654	177.53	0.03134169863060668	9.58691191766915		1.2052404071016092				
547.4722	323.38	0.01626918053516648	22.17136633142533	C35H62O4	1.688135071400005	Mayolene-17,bacteriohopane-32,33,34,35-tetrol,Dieposabadelin	kp3337_546.4649	{'Prenol Lipids [PR]', 'Polyketides [PK]', 'Fatty Acyls [FA]'}	{'Hopanoids [PR04]', 'Annonaceae acetogenins [PK03]', 'Fatty esters [FA07]'}
503.371	264.09	0.019882668241797487	12.720819185959064		1.3703272237172541				
548.4758	323.38	0.024333412974803896	10.797158408791482	C35H62O4	2.241555070712721	Mayolene-17,bacteriohopane-32,33,34,35-tetrol,Dieposabadelin	kp3337_546.4649	{'Prenol Lipids [PR]', 'Polyketides [PK]', 'Fatty Acyls [FA]'}	{'Hopanoids [PR04]', 'Annonaceae acetogenins [PK03]', 'Fatty esters [FA07]'}
585.4493	306.55	0.019723771664207534	13.602134532935679	C35H62O5	1.9416023696711875	bacteriohopane-31,32,33,34,35-pentol,DG(14:1(9Z)/18:2(9Z,12Z)/0:0)[iso2],Lepirenin,DG(15:1(9Z)/17:2(9Z,12Z)/0:0)[iso2],Dotistenin,DG(14:0/18:3(9Z,12Z,15Z)/0:0)[iso2],DG(12:0/20:3(8Z,11Z,14Z)/0:0)[iso2]	kp3416_562.4605	{'Prenol Lipids [PR]', 'Glycerolipids [GL]', 'Polyketides [PK]'}	{'Hopanoids [PR04]', 'Annonaceae acetogenins [PK03]', 'Diradylglycerols [GL02]'}
594.4735	289.79	0.02214357260020157	12.15473892433237	C35H60O5	1.7045124003949574	DG(14:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2],DG(12:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]	kp3368_560.4456	{'Glycerolipids [GL]'}	{'Diradylglycerols [GL02]'}
599.4286	289.79	0.019723771664207534	13.867928923938683	C35H60O6	1.8175883641976327	beta-Sitosterol 3-O-beta-D-galactopyranoside,Sitosteryl glucoside,glucoclionasterol	kp3719_576.4399	{'Sterol Lipids [ST]'}	{'Sterols [ST01]'}
515.3286	198.47	0.03626643692685208	8.799661090449774		1.1666274326662283				
564.4989	323.64	0.022510304938732448	11.637523940680413		1.9516991332076365				
518.4572	317.6	0.03198616621476112	9.33545673408108		3.7692297247168334				
696.4756	256.84	0.02241639596200556	11.950364973423826		1.1136512861303878				
680.4521	256.58	0.01985508581145951	13.093210022512576		1.086665095435162				
