m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
226.9602	3.61	0.014857567602715184	15.586361524910266		1.553618953033709				
311.2005	37.22	0.025066765154067305	-12.530244026704684	C21H26O2	-4.128683394456619	Cannabinol	kp750_310.1931	{'Polyketides [PK]'}	{'Aromatic polyketides [PK13]'}
342.9302	20.52	0.0324077931068457	10.68564569826575		2.5779927135127636				
397.9673	3.08	0.026908646675701735	11.734413562779705		2.088814108775363				
398.9652	3.21	0.013505993618870466	16.693201886499043		1.7221915885862344				
473.2441	218.35	0.014857567602715184	15.559747437118434		1.9183820705480947				
473.2538	158.43	0.0007828708215349826	64.60377712408068		1.6199784604711986				
474.3789	203.34	0.007488376377390028	20.08656158877444		2.270650725878429				
531.8711	163.94	0.026908646675701735	11.953578938704062		1.509816332058893				
533.3875	165.95	0.026908646675701735	11.501137054740406		1.6835001530932416				
577.4132	163.15	0.026908646675701735	11.892338967608143		1.8204011136634435				
533.8855	165.95	0.018428657062064865	14.34356622818114		1.7389747908901576				
577.9131	163.15	0.004401589482019242	25.93444615316634		2.407044099368136				
489.8608	168.45	0.014857567602715184	15.896837802220245		2.9168481497526386				
497.2725	26.04	0.007223750095407367	20.682514118640512		3.707496170943916				
597.4087	159.87	0.013405239058020694	17.019261336345025		2.8086248108754646				
599.4243	161.84	0.045361449174045096	9.661782646382262		2.0440125033068597				
509.3569	165.43	0.026908646675701735	11.846970901617466		1.7814028665771495				
622.485	328.25	0.004401589482019242	25.400644508350652		6.246040070208963				
637.3482	215.34	0.001607604612639087	37.58155791936034		3.242435023568568				
811.5475	267.14	0.022701338657372627	13.276789830711284		3.0046974475667607				
752.5478	304.95	0.0007828708215349826	56.606734805075284	C40H79O10P	3.648797161708785	PG(15:0/19:0),PG(18:0/16:0),PG(13:0/21:0),PG(12:0/22:0),PG(22:0/12:0),PG(17:0/17:0),PG(20:0/14:0),PG(14:0/20:0),PG(19:0/15:0),PG(21:0/13:0),PG(16:0/18:0)	kp3655_750.5374	{'Glycerophospholipids [GP]'}	{'Glycerophosphoglycerols [GP04]'}
695.0118	309.31	0.0013704741346987827	41.36362532085725		1.3312171761349099				
754.0618	304.03	0.02446529302477901	12.844037473842565		1.052361290664642				
661.136	284.65	0.026908646675701735	11.385469834487244	C30H27O17	5.7829233504660404		kp3954_659.1252	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
667.1224	212.85	0.0186181382416078	14.130061196538364		1.3534633146554356				
717.5268	306.02	0.006916957026535615	21.45508801751689	C39H74NO8P	4.703624297617951	PC(18:2(9Z,12Z)/13:0),PC(14:0/17:2(9Z,12Z)),PE(19:1(9Z)/15:1(9Z)),PC(15:1(9Z)/16:1(9Z)),PE(20:2(11Z,14Z)/14:0),PE(16:1(9Z)/18:1(9Z)),PE(17:0/17:2(9Z,12Z)),PE(14:1(9Z)/20:1(11Z)),PE(16:0(9Cp)/16:0(9Cp)),PC(13:0/18:2(9Z,12Z)),PE(18:1(9Z)/16:1(9Z)),PC(16:1(9Z)/15:1(9Z)),PC(17:2(9Z,12Z)/14:0),PE(20:1(11Z)/14:1(9Z)),PE(18:2(9Z,12Z)/16:0),PE(15:1(9Z)/19:1(9Z)),PE(17:2(9Z,12Z)/17:0),PE(12:0/22:2(13Z,16Z)),PE(17:1(9Z)/17:1(9Z)),PE(22:2(13Z,16Z)/12:0),PE(14:0/20:2(11Z,14Z)),PE(16:0/18:2(9Z,12Z)),PC(17:1(9Z)/14:1(9Z)),PC(14:1(9Z)/17:1(9Z))	kp4370_715.5149	{'Glycerophospholipids [GP]'}	{'Glycerophosphocholines [GP01]', 'Glycerophosphoethanolamines [GP02]'}
900.6263	264.88	0.026908646675701735	11.579969711066752		1.820238909539679				
900.6263	267.4	0.006916957026535615	21.373175154505592		1.8713166329834934				
900.6263	268.98	0.004401589482019242	25.18681806084304		1.3281774137443385				
730.0329	307.86	0.026908646675701735	11.545486496715826		0.6076047545676602				
868.6002	169.24	0.00320588801654626	30.196515730290646	C48H86NO10P	4.956585834268207	PS(20:3(8Z,11Z,14Z)/22:1(11Z)),PS(20:2(11Z,14Z)/22:2(13Z,16Z)),PS(20:0/22:4(7Z,10Z,13Z,16Z)),PS(22:1(11Z)/20:3(8Z,11Z,14Z)),PS(22:0/20:4(5Z,8Z,11Z,14Z)),PS(22:4(7Z,10Z,13Z,16Z)/20:0),PS(20:4(5Z,8Z,11Z,14Z)/22:0),PS(22:2(13Z,16Z)/20:2(11Z,14Z))	kp4811_867.595	{'Glycerophospholipids [GP]'}	{'Glycerophosphoserines [GP03]'}
1112.8021	441.38	0.0324077931068457	10.722091917752207		1.2520781411083632				
1112.8021	442.82	0.02446529302477901	12.740188223227038		1.4085400333495244				
1135.8635	312.06	0.04842275058756034	9.4359567462007		1.0122255002748695				
896.619	238.12	0.026908646675701735	11.374111196917887		4.565661375792386				
962.6587	232.71	0.015641653939706852	15.149101604597236		1.5582741481856495				
1048.8235	348.51	0.04338417020188991	9.841501852422997		0.5991226527798617				
1050.6877	221.0	0.0013704741346987827	44.36069722595835		3.9857151996592037				
