m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
114.0666	22.62	0.015588043157211696	-16.893546657511337		-3.4972737403250704				
179.0638	31.05	0.014298610719596642	-19.440109016658788		-3.0461838450033127				
182.1037	22.23	0.011598844183212255	-22.5376675998485		-2.2711075838761587				
234.2217	25.12	0.0052849701689212025	-30.40276037346525		-5.791189355847317				
133.0762	24.86	0.0009639532034700918	-55.3940200172177		-4.400871749924079				
137.0458	22.36	0.04230523570452494	-11.330525012087666		-2.0193503932969534				
304.1755	31.05	0.014298610719596642	-18.09208163950798		-4.847525159686782				
200.1434	35.78	0.04571217674921615	-10.746556362132782		-2.948779877925091				
152.0568	22.23	0.04571217674921615	-10.401602900395456		-2.136085390958648				
370.368	198.73	0.04571217674921615	-10.424356750452867	C23H47NO2	-0.7390793982980775	Penazetidine A	kp1231_369.3607	{'Sphingolipids [SP]'}	{'Sphingoid bases [SP01]'}
371.2794	37.22	0.04230523570452494	11.19275726502194		1.3356945848566006				
386.1867	28.27	0.014298610719596642	17.952240659696816		2.410584930022381				
426.4307	264.61	0.018319499948099907	-15.677963439358159		-0.9282796630808576				
526.4105	217.04	0.04747125134870432	10.141036210806263		1.7492846289062456				
449.2456	210.61	0.04230523570452494	12.220002801151		1.632820317724999				
535.1899	184.78	0.04230523570452494	11.315632714160069		1.5609307541523982				
577.4132	163.15	0.04230523570452494	11.757232085586988		1.5009671334013746				
