m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
120.0811	24.59	0.03016364693900544	-8.272837017578592		-1.7716968156791815	120.0811_M+H+			
274.0945	29.45	0.0002391436151217058	53.39467807970268		6.411557728599787	274.0945_M+H+			
274.0945	46.71	0.01418539917083546	11.005417174671805		1.7249494119074313	274.0945_M+H+			
274.0945	221.4	0.04844183366576097	6.921291217717403		1.7737707725798906	274.0945_M+H+			
121.0844	24.59	0.03273692934725334	-7.952947688595943		-1.7236570465801542	121.0844_M+H+			
188.0707	24.59	0.023217131477470964	-9.16135969959268		-1.9284749458913062	188.0707_ACN			
190.0863	24.86	0.0037360086132314087	-18.29775222051869		-1.8040017297970934	190.0863_ACN			
243.183	20.65	0.01390275359565696	11.135928733172006		1.313227788418029	243.183_M+H+, 2x charged			
250.0385	24.46	0.024555793749121382	-8.923773623855132		-1.9243779409078172	250.0385_ACN			
311.2216	28.4	0.04632202483804059	-7.0632370074420825		-1.2372898109980426	311.2216_HCl, 2x charged			
313.2373	37.35	0.0305543474350894	-8.168147016138152		-1.423087727339233	None			
146.0601	24.59	0.0162023917553692	-10.377754685488933		-1.942759663210765	146.0601_M+H+, 2x charged			
257.1144	21.84	0.018401029470832348	9.880722130628534		1.3207225123131288	None			
202.1803	21.44	0.021325733130951048	9.451378111612414	C11H23NO2	1.4081498186839525	11-amino-undecanoic acid	kp901_201.1729	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]'}
150.0551	23.94	0.043832888794674986	-7.221987455449831		-2.4129672381116833	150.0551_M+H+			
205.0972	24.33	0.02444504381675448	-8.986118424385603		-1.909554346465363	205.0972_M+H+			
326.2172	24.72	0.03016364693900544	8.285981821302094		0.8264727124036497	326.2172_M+H+, 2x charged			
326.3053	140.92	0.004125691849575232	-17.602859808277753		-2.0552938151997537	None			
265.1798	57.51	0.0031332704734710515	-19.4227767048777		-1.9950113667578293	None			
267.145	22.49	0.04632202483804059	-7.051541181580592		-2.332952303942207	267.145_M+H+			
364.233	22.49	0.04584184743292218	-7.103432681381802		-2.514832900005601	364.233_M+H+, 2x charged			
157.0762	24.59	0.02513964112285128	-8.819219417746815		-3.1716757890045777	None			
369.1694	55.54	0.04842286699416759	-6.937380416007587		-3.293696027035388	369.1694_M+H+			
341.2933	67.41	0.017252952128756917	10.119301644616774		2.9659249963162573	None			
377.2009	193.72	0.024390933598223297	-9.017778540304397		-1.6181651291754058	377.2009_ACN			
378.2088	193.98	0.015640370868952355	-10.58028642657563		-1.954378122904064	378.2088_M+H+			
379.3182	193.85	0.017252952128756917	10.110801763203355	C22H44O3	1.6105890566778776	Phellonic acid,(+)-3-hydroxy behenic,13-hydroxy-docosanoic acid,2-hydroxy behenic,13-methoxy-heneicosanoic acid	kp6519_356.329	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]'}
380.2087	194.11	0.017575279823276804	-10.03037753672568		-2.6985457514505136	380.2087_M+H+			
165.0912	317.86	0.007122237237133243	13.831070640054396	C10H12O2	2.524140329070896	Methyl 3-phenylpropanoate,2,4-decadiynoic acid	kp1358_164.0836	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]'}
383.3309	254.87	0.003996710235009977	-17.86464419803702	C27H42O	-1.2890348272036682	4,6-cholestadienone,Glaucasterol,Zymosterone,3,5-cholestadien-7-one,1,4-cholestadienone,25-Dehydrovitamin D3,24-Dehydroprevitamin D3,7-dehydro-desmosterol,Nephtheasteroid A,24,25-didehydrovitamin D3 / 24,25-didehydrocholecalciferol	kp1381_382.3237	{'Sterol Lipids [ST]'}	{'Sterols [ST01]', 'Secosteroids [ST03]'}
166.0864	24.59	0.02265293478445566	-9.267482715746754		-1.7161123141105712	166.0864_M+H+			
167.0896	24.86	0.030825462993257443	-8.12024064730597		-1.6922924445465632	167.0896_M+H+			
167.093	22.62	0.006677099281531282	-14.149888607077871		-2.257881437233298	167.093_M+H+			
168.0963	22.62	0.0056225888981635	-15.261936047046923		-2.694088077488388	168.0963_M+H+			
412.4149	203.48	0.04269226687596957	7.289800254728262	C26H53NO2,C27H41D7O2	0.3330745101196868	Lignoceroyl-EA,6alpha-hydroxycholestanol(d7)	kp1546_411.4077	{'Sterol Lipids [ST]', 'Fatty Acyls [FA]'}	{'Fatty amides [FA08]', 'Sterols [ST01]'}
394.2166	163.68	0.004465835114733412	-16.567591956236626		-2.8951111512943797	394.2166_M+H+			
394.2166	167.27	0.0015905239141572297	-26.646171009747068		-2.7924919355818396	394.2166_M+H+			
396.2319	193.98	0.017252952128756917	-10.17091916790996		-2.0130545928910664	396.2319_M+H+			
417.3366	152.76	0.0031332704734710515	19.75307915454196	C27H44O3	6.980012338950662	Verrucorosteroid F,5alpha,6alpha-24S,25-diepoxy-cholesterol,1alpha,25-dihydroxy-3-epivitamin D3 / 1alpha,25-dihydroxy-3-epicholecalciferol,1alpha,25-Dihydroxy-previtamin D3,2,22,25-trideoxyecdysone,7-OOH-5,8-dien-3beta-ol,EnP(5,8),(24R)-24,25-dihydroxyvitamin D3 / (24R)-24,25-dihydroxycholecalciferol,(24S)-1alpha,24-dihydroxyvitamin D3 / (24S)-1alpha,24-dihydroxycholecalciferol,3beta-OH-Delta7-dafachronic acid,7alpha,24-dihydroxycholest-4-en-3-one,Cholestenoic acid,1beta,25-dihydroxyvitamin D3 / 1beta,25-dihydroxycholecalciferol,(25R)-25,26-dihydroxyvitamin D3 / (25R)-25,26-dihydroxycholecalciferol,3beta,4beta-dihydroxycholesta-5-ene-23-one,7alpha,(25S)26-Dihydroxycholest-4-en-3-one,DHCEO,Neotigogenin,(25S)-25,26-dihydroxyvitamin D3 / (25S)-25,26-dihydroxycholecalciferol,1alpha,25-dihydroxy-2-methylene-19-norvitamin D3,(23S)-23,25-dihydroxyvitamin D3 / (23S)-23,25-dihydroxycholecalciferol,3beta,4beta-dihydroxycholest-7(8)-en-23-one,7alpha,26-dihydroxycholest-4-en-3-one,Dihydromarthasterone,(22R)-22,25-dihydroxyvitamin D3 / (22R)-22,25-dihydroxycholecalciferol,18,25-dihydroxyvitamin D3 / 18,25-dihydroxycholecalciferol,1beta,25-dihydroxy-3-epivitamin D3 / 1beta,25-dihydroxy-3-epicholecalciferol,(24R)-1alpha,24-dihydroxyvitamin D3 / (24R)-1alpha,24-dihydroxycholecalciferol,1alpha,25-dihydroxy-14-epivitamin D3 / 1alpha,25-dihydroxy-14-epicholecalciferol,Dormatinone,1alpha,18-dihydroxyvitamin D3 / 1alpha,18-dihydroxycholecalciferol,(23R)-23,25-dihydroxyvitamin D3 / (23R)-23,25-dihydroxycholecalciferol,1alpha,25-dihydroxy-14-epiprevitamin D3 / 1alpha,25-dihydroxy-14-epiprecholecalciferol,(22S)-22,25-dihydroxyvitamin D3 / (22S)-22,25-dihydroxycholecalciferol,1alpha,25-dihydroxyvitamin D3 / 1alpha,25-dihydroxycholecalciferol / calcitriol,Tigogenin,3beta,4beta-dihydroxycholest-8(9)-en-23-one,(6R)-6,19-epidioxy-6,19-dihydrovitamin D3,(24S)-24,25-dihydroxyvitamin D3 / (24S)-24,25-dihydroxycholecalciferol,(25S)-cholestenoic acid,(25S)-dafachronic acid,3alpha-OH-Delta7-dafachronic acid,7alpha,(25R)26-Dihydroxycholest-4-en-3-one,Subergorgiaol A,(6S)-6,19-epidioxy-6,19-dihydrovitamin D3,Sarsasapogenenin,(5E)-1alpha,25-dihydroxyvitamin D3 / (5E)-1alpha,25-dihydroxycholecalciferol,20S-Hydroxycholestane-3,16-dione,25-Hydroxy-7-oxocholesterol,7alpha,24S-dihydroxycholest-4-en-3-one,(25R)-5beta-spirostan-3beta-ol,Pharaonoid B,1alpha,25-dihydroxy-20-epivitamin D3 / 1alpha,25-dihydroxy-20-epicholecalciferol,7alpha,25-dihydroxycholestenone,1alpha,25-dihydroxy-2-methylene-19-nor-20-epivitamin D3,paricalcitol,3beta,27-dihydroxy-5-cholesten-7-one	kp1637_416.329	{'Sterol Lipids [ST]'}	{'Bile acids and derivatives [ST04]', 'Sterols [ST01]', 'Secosteroids [ST03]'}
417.3366	239.17	0.0031332704734710515	19.406334367524703	C27H44O3	4.1335345541024715	Verrucorosteroid F,5alpha,6alpha-24S,25-diepoxy-cholesterol,1alpha,25-dihydroxy-3-epivitamin D3 / 1alpha,25-dihydroxy-3-epicholecalciferol,1alpha,25-Dihydroxy-previtamin D3,2,22,25-trideoxyecdysone,7-OOH-5,8-dien-3beta-ol,EnP(5,8),(24R)-24,25-dihydroxyvitamin D3 / (24R)-24,25-dihydroxycholecalciferol,(24S)-1alpha,24-dihydroxyvitamin D3 / (24S)-1alpha,24-dihydroxycholecalciferol,3beta-OH-Delta7-dafachronic acid,7alpha,24-dihydroxycholest-4-en-3-one,Cholestenoic acid,1beta,25-dihydroxyvitamin D3 / 1beta,25-dihydroxycholecalciferol,(25R)-25,26-dihydroxyvitamin D3 / (25R)-25,26-dihydroxycholecalciferol,3beta,4beta-dihydroxycholesta-5-ene-23-one,7alpha,(25S)26-Dihydroxycholest-4-en-3-one,DHCEO,Neotigogenin,(25S)-25,26-dihydroxyvitamin D3 / (25S)-25,26-dihydroxycholecalciferol,1alpha,25-dihydroxy-2-methylene-19-norvitamin D3,(23S)-23,25-dihydroxyvitamin D3 / (23S)-23,25-dihydroxycholecalciferol,3beta,4beta-dihydroxycholest-7(8)-en-23-one,7alpha,26-dihydroxycholest-4-en-3-one,Dihydromarthasterone,(22R)-22,25-dihydroxyvitamin D3 / (22R)-22,25-dihydroxycholecalciferol,18,25-dihydroxyvitamin D3 / 18,25-dihydroxycholecalciferol,1beta,25-dihydroxy-3-epivitamin D3 / 1beta,25-dihydroxy-3-epicholecalciferol,(24R)-1alpha,24-dihydroxyvitamin D3 / (24R)-1alpha,24-dihydroxycholecalciferol,1alpha,25-dihydroxy-14-epivitamin D3 / 1alpha,25-dihydroxy-14-epicholecalciferol,Dormatinone,1alpha,18-dihydroxyvitamin D3 / 1alpha,18-dihydroxycholecalciferol,(23R)-23,25-dihydroxyvitamin D3 / (23R)-23,25-dihydroxycholecalciferol,1alpha,25-dihydroxy-14-epiprevitamin D3 / 1alpha,25-dihydroxy-14-epiprecholecalciferol,(22S)-22,25-dihydroxyvitamin D3 / (22S)-22,25-dihydroxycholecalciferol,1alpha,25-dihydroxyvitamin D3 / 1alpha,25-dihydroxycholecalciferol / calcitriol,Tigogenin,3beta,4beta-dihydroxycholest-8(9)-en-23-one,(6R)-6,19-epidioxy-6,19-dihydrovitamin D3,(24S)-24,25-dihydroxyvitamin D3 / (24S)-24,25-dihydroxycholecalciferol,(25S)-cholestenoic acid,(25S)-dafachronic acid,3alpha-OH-Delta7-dafachronic acid,7alpha,(25R)26-Dihydroxycholest-4-en-3-one,Subergorgiaol A,(6S)-6,19-epidioxy-6,19-dihydrovitamin D3,Sarsasapogenenin,(5E)-1alpha,25-dihydroxyvitamin D3 / (5E)-1alpha,25-dihydroxycholecalciferol,20S-Hydroxycholestane-3,16-dione,25-Hydroxy-7-oxocholesterol,7alpha,24S-dihydroxycholest-4-en-3-one,(25R)-5beta-spirostan-3beta-ol,Pharaonoid B,1alpha,25-dihydroxy-20-epivitamin D3 / 1alpha,25-dihydroxy-20-epicholecalciferol,7alpha,25-dihydroxycholestenone,1alpha,25-dihydroxy-2-methylene-19-nor-20-epivitamin D3,paricalcitol,3beta,27-dihydroxy-5-cholesten-7-one	kp1638_416.3284	{'Sterol Lipids [ST]'}	{'Bile acids and derivatives [ST04]', 'Sterols [ST01]', 'Secosteroids [ST03]'}
407.2355	205.31	0.004212889581391059	-17.284529164763754		-2.723911721186248	407.2355_M+H+			
473.3989	317.6	0.0018868445562400596	24.66638960826121	C31H52O3	4.875361340363028	1beta-butyl-1alpha,25-dihydroxyvitamin D3 / 1beta-butyl-1alpha,25-dihydroxycholecalciferol,26,27-diethyl-1alpha,25-dihydroxyvitamin D3 / 26,27-diethyl-1alpha,25-dihydroxycholecalciferol,Galaxaurol D,1alpha,25-dihydroxy-26,27-dimethyl-24a,24b-dihomovitamin D3,1alpha-butyl-1beta,25-dihydroxyvitamin D3,Theonellasterol D	kp1908_472.3922	{'Sterol Lipids [ST]'}	{'Sterols [ST01]', 'Secosteroids [ST03]'}
428.2547	146.32	0.0017265880629024019	-25.768154502359934		-2.6422860249622317	None			
474.4025	317.86	0.005671565530101759	15.150584697285584	C31H52O3	5.730751291580901	1beta-butyl-1alpha,25-dihydroxyvitamin D3 / 1beta-butyl-1alpha,25-dihydroxycholecalciferol,26,27-diethyl-1alpha,25-dihydroxyvitamin D3 / 26,27-diethyl-1alpha,25-dihydroxycholecalciferol,Galaxaurol D,1alpha,25-dihydroxy-26,27-dimethyl-24a,24b-dihomovitamin D3,1alpha-butyl-1beta,25-dihydroxyvitamin D3,Theonellasterol D	kp1908_472.3922	{'Sterol Lipids [ST]'}	{'Sterols [ST01]', 'Secosteroids [ST03]'}
429.2269	37.35	0.03273692934725334	7.956772724738203		0.29937675546590725	429.2269_Na/H, 2x charged			
477.2113	24.2	0.03544212072804356	7.731270788685684		3.7110006194265015	None			
431.095	28.53	0.0031332704734710515	19.555312414119502		3.646572075409786	431.095_M+H+			
432.0983	28.53	0.006556451336069389	14.320639931990504		4.5044351979812305	432.0983_M+H+			
527.3636	231.0	0.01588510646883395	-10.475639875873789		-2.789573762034017	527.3636_M+H+			
433.1021	28.4	0.0005198290056036266	38.79660474497213		6.780959346234468	433.1021_M+H+			
481.3308	193.33	0.005939515271723191	-14.89916074757961		-2.297251939760958	481.3308_M+H+, 2x charged			
482.4049	113.61	0.015213739083746613	-10.73123570537702		-4.483357604760538	482.4049_M+H+			
530.8691	122.7	0.030326879425825036	8.217935535970234		2.6184162118087198	None			
530.8691	126.92	0.013807515364390484	11.29477081552381		4.551285161531322	None			
530.8691	128.63	0.0008429674706672082	32.625974344069995		4.763505188308216	None			
530.8691	130.86	0.01235558311898184	11.762531468488346		4.355254441106508	None			
530.8691	164.07	0.03972521501023949	7.44793791153843		4.930137134963509	530.8691_M+H+			
437.2585	193.85	0.01588510646883395	-10.465955718416067		-1.985512019440634	437.2585_ACN			
531.3694	163.42	0.00010708210814509039	77.38555618309667		5.116796233351227	None			
485.3163	205.18	0.025517164370719006	-8.760551159480613		-2.3894120910438126	485.3163_M+H+			
531.8711	163.94	0.006677099281531282	14.123314950138129		1.2163308840200564	531.8711_M+H+			
485.3583	21.05	0.0028797383334845075	20.817777265001464		4.326352181485799	485.3583_M+H+			
532.2077	193.72	0.0365907154060686	-7.647993408405094		-2.2774578727115404	532.2077_M+H+			
438.2618	193.98	0.021325733130951048	-9.46855590571694		-2.3845094435930996	438.2618_ACN			
438.3788	114.4	0.004729490203129057	-16.11182900866446		-5.874541075099078	438.3788_M+H+			
533.8855	165.95	0.004237267135204351	17.151930966892632		5.685466627411888	None			
489.8608	168.45	0.004465835114733412	16.531644488257072		2.2276576163638993	None			
490.4257	317.6	0.0025495809408453197	22.087413843743285		5.114486345714365	490.4257_M+H+			
539.3913	196.37	0.03016364693900544	-8.308903535395098	C28H55NO6	-1.0672789068524224	MGTS(18:0/0:0)	kp2473_501.403	{'Glycerolipids [GL]'}	{'Betaine monoradylglycerols [GL06]'}
447.3835	270.29	0.02265293478445566	-9.247827781314623	C29H50O3	-1.6733239214723419	13'hydroxy-alpha-tocopherol,24-hydroperoxy-24-vinylcholesterol,(20S)-Stigmasta-5-ene-3beta,7alpha,20-triol,Nebrosteroid M	kp2528_446.3763	{'Sterol Lipids [ST]', 'Prenol Lipids [PR]'}	{'Quinones and hydroquinones [PR02]', 'Sterols [ST01]'}
597.4087	159.87	0.0003791120572383079	42.839437219595546		2.227293382358365	None			
598.0462	129.42	0.01390275359565696	11.103393747949665		4.894066065419764	None			
598.0462	286.64	0.002265612247406634	23.235964651916447		3.4496133146128543	None			
453.077	28.4	0.0025428857277960994	22.330292002033406		3.018570318588356	453.077_Na/H			
456.2896	193.98	0.013708666408550379	-11.406653978244089		-2.1683761132702735	456.2896_M+H+			
457.2923	193.98	0.03972521501023949	-7.448424153756866		-2.162916477304929	457.2923_M+H+			
509.3569	165.43	0.024681416564335413	8.886591134479046		1.2255880808198718	509.3569_M+H+, 2x charged			
510.392	202.95	0.01235558311898184	-11.795962981952577		-2.435850399211617	510.392_HCl			
553.3825	162.37	0.0002391436151217058	50.52598817704047		2.3414019924635063	553.3825_M+H+, 2x charged			
511.3725	167.27	0.0031332704734710515	19.93866024624716		2.6848831674868485	511.3725_M+H+, 2x charged			
511.8734	167.13	5.9910740064887e-05	96.15906133223571		6.913290704783275	511.8734_M+H+, 2x charged			
513.2435	153.94	0.004212889581391059	17.382966932850042		1.791898362686922	513.2435_Na/H			
513.2435	162.76	0.0002391436151217058	52.330139778331215		2.4048452657297226	513.2435_Na/H			
555.3981	164.6	0.0015428647372136366	27.217630159223166		2.0983048222547502	555.3981_M+H+, 2x charged			
517.4371	316.95	4.0191747577730225e-05	117.59284709925869		6.296372092968626	None			
619.4653	327.98	0.030250374034197773	8.24486359755131		3.1137577802991743	619.4653_M+H+			
518.4572	317.6	0.008315512420005382	13.237611198503497		5.344354242244428	518.4572_M+H+			
628.4711	320.1	0.014667112621119785	10.871697001486499		1.9732049808652725	628.4711_M+H+, 2x charged			
621.9827	328.11	0.0003791120572383079	43.31358705692116		3.831860694606341	None			
630.4866	320.23	0.01390275359565696	11.171742653919225		2.0461865251849396	630.4866_M+H+			
684.9992	292.31	0.004465835114733412	16.553315038312306		1.4818493017580252	None			
686.509	292.18	0.0002391436151217058	51.721961585430485		4.658557266577908	686.509_M+H+			
642.487	299.4	0.002783802933646629	21.391775735850324		1.7186479452438732	642.487_M+H+, 2x charged			
694.4831	195.03	0.01390275359565696	-11.183669730962157		-1.6214071989984618	694.4831_M+H+			
813.0763	275.98	0.009725518662084898	12.664079507792398		2.263945970443574	813.0763_M+H+, 2x charged			
813.0763	355.79	0.006364956220886098	14.497539796216106		3.708263592743375	813.0763_HCl			
695.4866	195.03	0.01089604130063204	-12.249162412898714		-1.5952571196294194	695.4866_M+H+			
820.55	230.87	0.0037252785687850883	-18.441739570131	C46H78NO9P	-3.9738025790462252	PS(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	kp3869_819.5443	{'Glycerophospholipids [GP]'}	{'Glycerophosphoserines [GP03]'}
829.6084	173.07	0.004535909127615162	16.37529777044424		2.590965681305967	829.6084_M+H+, 3x charged			
663.4918	319.44	0.034793713154115634	7.787917299461713		2.765993426690926	663.4918_M+H+			
664.4305	162.23	0.004729490203129057	-16.029307749548142		-3.0995012492710394	664.4305_M+H+			
664.4945	319.18	0.0008337909232765954	33.249434062063195		3.451206275264159	664.4945_M+H+			
666.511	318.92	0.002821187582621816	21.118350169805506		3.3020037731791696	666.511_M+H+			
710.0354	311.54	0.0007949405793169199	34.23676966089116		3.7954923197371926	None			
711.4811	210.32	0.0002391436151217058	54.09124086206782		4.757005178061124	711.4811_Na/H			
711.4811	377.76	0.015373512794452216	10.664525311836451		3.4103397082795066	711.4811_Na/H			
711.4811	461.0	0.013807515364390484	11.336738582061129		3.0063614438548765	None			
778.4058	151.71	0.024555793749121382	-8.938698707949541		-3.4242101905502835	778.4058_Na/H			
848.3373	288.87	0.028989121217620664	8.450079281091273		1.683263234421002	848.3373_M+H+			
720.8261	225.88	0.0305543474350894	8.159759438561476		1.2059169271453243	720.8261_M+H+, 3x charged			
730.0329	307.86	0.0002391436151217058	50.323943784518626		3.874699861328182	730.0329_M+H+			
791.9068	431.48	0.0018868445562400596	24.60329455947367		2.858426352087978	791.9068_M+H+, 3x charged			
791.9068	432.8	0.0043674914317716005	16.917742574469237		2.6446296044742397	None			
791.9068	434.24	0.044437794446555066	7.179020942399573		2.2897297087672683	791.9068_ACN, 3x charged			
732.0483	307.73	0.0031332704734710515	19.521443936145733		1.6127109402115423	None			
868.6002	169.24	2.6044847686030803e-06	277.1948061924279	C48H86NO10P	4.458001535838907	PS(22:2(13Z,16Z)/20:2(11Z,14Z)),PS(20:3(8Z,11Z,14Z)/22:1(11Z)),PS(20:2(11Z,14Z)/22:2(13Z,16Z)),PS(22:1(11Z)/20:3(8Z,11Z,14Z)),PS(20:0/22:4(7Z,10Z,13Z,16Z)),PS(20:4(5Z,8Z,11Z,14Z)/22:0),PS(22:4(7Z,10Z,13Z,16Z)/20:0),PS(22:0/20:4(5Z,8Z,11Z,14Z))	kp4814_867.595	{'Glycerophospholipids [GP]'}	{'Glycerophosphoserines [GP03]'}
916.4978	444.4	0.04781275904411263	6.976483302319561		2.1959159027791095	None			
916.5672	230.22	0.006006380602946024	14.78386087375421		1.9949009330803662	916.5672_Na/H			
896.619	238.12	0.0015428647372136366	27.41945219156487		3.837293010163835	896.619_M+H+, 2x charged			
960.6826	168.97	0.034793713154115634	7.792679157788284		2.1378618527901097	960.6826_M+H+			
960.7713	361.3	0.02952824604639419	8.386421138950043		3.411868118694521	None			
