m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
219.1024	34.81	0.0024557616903309893	20.59562576434592		2.3242567672582766				
220.1467	34.81	0.00019063014251603628	55.54215125851653		3.9826982571317355				
220.1467	77.48	0.008995012736869888	11.5616660167262		5.047942072549558				
159.0556	25.04	0.018814872856182906	8.610430426648941		0.8676515903059077				
192.1025	28.87	0.0017653208386071541	24.01146378977529		1.8539655217320572				
221.0969	37.19	0.007292073082803034	12.420308437648437		1.5700382471591219				
118.0499	23.73	0.006395554330741365	13.166380293998703		1.0197535443709604				
193.0864	26.12	0.006395554330741365	13.047861376067452		1.3099578211147396				
193.0864	31.13	0.04680755903216252	6.3876804280200155		0.6271007286768793				
161.0238	28.35	0.005202650324888772	15.105257786994143		3.6123536730442645				
194.0817	37.58	0.013848669916695184	9.921951596288004		1.3134314072426818				
223.8856	193.77	0.049439603929817534	6.244140604850212		0.8592524508282935				
196.1418	36.4	0.014812925467364546	9.483498938241189	C12H20O2	2.4570286139009596	6-dodecynoic acid,(1R,2S,4R)-(+)-Bornyl acetate,Cucujolide VIII,3,7-Dimethyl-2E,6-octadienyl acetate,beta-Terpinyl acetate,gamma-Terpinyl acetate,7-dodecynoic acid,5E,7E-dodecadienoic acid,(R)-(-)-phialomustin B,3-dodecynoic acid,7Z,9-Decadienyl acetate,Methyl 2-undecynoate,8-dodecynoic acid,4-dodecynoic acid,11-dodecynoic acid,Aleprylic acid,(Z)-4-Hydroxy-6-dodecenoic acid lactone,8E-Hydroxy-4,8-dimethyl-4,9-decadienal,Cucujolide II,2Z,8E-dodecadienoic acid,cis-3-Hexenyl cis-3-hexenoate,(1S,2R,4S)-(-)-Bornyl acetate,3,7-Dimethyl-2Z,6-octadienyl acetate,2Z,8Z-dodecadienoic acid,2E,6Z-dodecadienoic acid,2E,8Z-dodecadienoic acid,5-dodecynoic acid,Linalyl acetate,Isopropyl 2,4-dimethyl-2E,4E-heptadienoate,alpha-Terpinyl acetate,(E)-2-Hexenyl (Z)-3-hexenoate,2E,4E-dodecadienoic acid,cis-3-Hexenyl trans-2-hexenoate,cis,cis-dodeca-3,6-dienoic acid,8Z,10E-dodecadienoic acid,3E,5E-Decadienyl acetate,9-dodecynoic acid,ethyl 2E,4Z-decadienoate,Ethyl (E)-7,9-decadienoate,S-Cucujolide II,Buibuilactone,2E,8E-dodecadienoic acid,7Z,9E-dodecadienoic acid,3Z,5E-Decadienyl acetate,Phialomustin B,(E)-2-Hexenyl (E)-2-hexenoate,10-dodecynoic acid,Allyl 3-cyclohexylpropionate,5-Dodecen-11-olide,8E,10E-dodecadienoic acid	kp52_196.1457	{'Prenol Lipids [PR]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty aldehydes [FA06]', 'Isoprenoids [PR01]', 'Fatty esters [FA07]'}
226.0177	25.04	0.007507744047544685	12.285527869640768		2.8446582497000996				
204.0856	24.26	0.006395554330741365	13.042497551202585		1.6623232703209183				
235.0763	37.45	0.010029765580271901	11.114685235345291		1.7635098286080648				
235.0763	41.55	0.014064736294201416	9.77799512581595		2.189674672913746				
135.0442	25.17	0.005202650324888772	15.114484384912576		0.6801911757245627				
135.0442	27.03	0.042002354298546755	6.6124488183988355		0.7141211987928848				
237.0919	1.84	0.025808922023769786	-7.850702751663031	C16H14O2	-1.2737958483833332		kp217_238.0992	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
237.0919	37.58	0.004190377192940417	17.29570885223148	C16H14O2	1.691211120911916		kp218_238.0992	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
237.0919	42.2	0.005790352752590631	13.916409521155755	C16H14O2	1.8444076286253086		kp219_238.0992	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
237.1133	34.54	0.0019898609388260967	22.438538401974455		1.6159842163603848				
209.0968	37.58	0.005039305005077823	15.415022175796846	C15H14O	1.8687852529346287	p-methoxystilbene,Dihydrochalcone	kp223_210.1041	{'Polyketides [PK]'}	{'Aromatic polyketides [PK13]', 'Flavonoids [PK12]'}
209.0968	41.41	0.005790352752590631	13.850628061349388	C15H14O	1.8238184329490856	p-methoxystilbene,Dihydrochalcone	kp224_210.1041	{'Polyketides [PK]'}	{'Aromatic polyketides [PK13]', 'Flavonoids [PK12]'}
238.0953	37.58	0.004553903229995464	16.28787561360966	C16H14O2	1.7748229133785927		kp218_238.0992	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
238.0953	41.94	0.005469896824185733	14.657989905879791	C16H14O2	1.7992654398890906		kp219_238.0992	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
239.0713	31.13	0.026947932523291234	7.737800668075989	C15H12O3	1.2958795284828035	2'-beta-Dihydroxychalcone,Chrysophanic acid 9-anthrone	kp235_240.0786	{'Polyketides [PK]'}	{'Aromatic polyketides [PK13]', 'Flavonoids [PK12]'}
175.0587	24.65	0.013852199085685232	9.887540815867776		2.1229938908337296				
211.1124	29.4	0.00460524373739263	15.992426377511169		1.6724861394972343				
212.0052	23.99	0.040976974177627155	6.683857925362334		1.7824770175897946				
177.055	25.31	0.01432946662015592	9.615133406457755		0.9166029435560326				
215.0711	34.41	0.017502672820684562	8.890253647879831		2.3886008179560747				
249.0228	28.87	0.00460524373739263	16.14918176952371		6.129105515984616				
249.1496	37.58	0.02800269087731662	7.622082404672411	C15H22O3	0.914889427360631	Mumiamicin,Macrophyllic acid B,Proversilin A,dihydrosporogen-AO-1,(+)-Armillarin,Macrophyllic acid C,1-deoxy-11beta-hydroxypentalenic acid,Macrophyllic acid D,Ngaione (-),Fecapentaene-12,Macrophyllic acid E,Pentalenic acid	kp301_250.1567	{'Prenol Lipids [PR]', 'Glycerolipids [GL]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Isoprenoids [PR01]', 'Monoradylglycerols [GL01]'}
249.1496	69.44	0.014126930528625035	9.735562212635774	C15H22O3	0.7094396075152254	Mumiamicin,Macrophyllic acid B,Proversilin A,dihydrosporogen-AO-1,(+)-Armillarin,Macrophyllic acid C,1-deoxy-11beta-hydroxypentalenic acid,Macrophyllic acid D,Ngaione (-),Fecapentaene-12,Macrophyllic acid E,Pentalenic acid	kp302_250.1567	{'Prenol Lipids [PR]', 'Glycerolipids [GL]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Isoprenoids [PR01]', 'Monoradylglycerols [GL01]'}
250.1527	37.45	0.013437231641450664	10.076894637026989	C15H22O3	0.9669532940894108	Mumiamicin,Macrophyllic acid B,Proversilin A,dihydrosporogen-AO-1,(+)-Armillarin,Macrophyllic acid C,1-deoxy-11beta-hydroxypentalenic acid,Macrophyllic acid D,Ngaione (-),Fecapentaene-12,Macrophyllic acid E,Pentalenic acid	kp301_250.1567	{'Prenol Lipids [PR]', 'Glycerolipids [GL]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Isoprenoids [PR01]', 'Monoradylglycerols [GL01]'}
252.0735	26.38	0.03695413345123847	-6.966491193457305		-2.09462277041769				
185.1542	29.92	0.006009090806161738	13.62165802096017	C11H22O2	1.940283204071676	5R-methyl-decanoic acid,9:0(8Me,8Me),9-methyl-decanoic acid,Methyl 3,7-dimethyl-6-octenoate,Anteisoundecanoic acid,Undecylic acid,6-methyl-decanoic acid,5-methyl-decanoic acid,Hexyl 3-methylbutanoate,Nonyl acetate,Butyl heptanoate,Ethyl nonanoate,3,3-dimethyl-nonanoic acid,7-methyl-decanoic acid,Hexyl 2-methylbutanoate,Octyl propanoate,2-Hydroxyundecan-6-one,decyl formate,ethyl 4-methyl-octanoate,Isopropyl octanoate,2-methyl-decanoic acid,Isobutyl enanthate,Methyl decanoate,3,7-Dimethyl-6-octenyl formate,4-methyl-decanoic acid,3-methyl-decanoic acid,valeryl hexanoate,3-Methylbutyl hexanoate,4,8-dimethyl-nonanoic acid,2-Methylbutyl hexanoate,4-Methyloctyl acetate,Heptyl butyrate	kp2746_186.1615	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]', 'Oxygenated hydrocarbons [FA12]'}
253.0178	25.85	0.006395554330741365	12.996193635927842		1.574583580330298				
254.9758	24.91	0.000507271336205756	38.7610042120198		2.282761843569755				
217.0174	24.91	0.021884620636481715	8.23714632888471		1.968523664343973				
255.1967	37.32	0.03326977727711133	7.208702044879227		0.8029438620178873				
255.1967	116.73	0.042002354298546755	6.621172964000143		1.714124538758245				
217.0504	27.43	0.03695413345123847	6.990475076245182		1.101321663744244				
217.9755	24.52	0.008556966814991183	11.738125106449392		2.5969382590291765				
283.1191	24.91	0.0005381605587338191	37.080404416505964	C14H20O6	2.893136606024914	karalicin,3-carboxy-4-methyl-5-(4-hydroxypentyl)-2-furanpropanoic acid	kp2800_284.1259	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty alcohols [FA05]'}
283.2556	194.82	0.014300246818455849	9.656124989251387	C18H34O2	1.3990462956735144	13Z-octadecenoic acid,10Z-Hexadecenyl acetate,2-methyl-16-heptadecenoic acid,4-octadecylenic acid,trans-8-elaidic acid,cis-10-oleic acid,9E-Hexadecenyl acetate,16E-octadecenoic acid,3-octadecylenic acid,12Z-Hexadecenyl acetate,Thalictric acid,Cyclopentanetridecanoic acid,8E-Hexadecenyl acetate,cis-vaccenic acid,6E-Hexadecenyl acetate,Ethyl 9-hexadecenoate,15Z-octadecenoic acid,7-Hexadecenyl acetate,7E-octadecenoic acid,17:1(12)(7Me),Isooctadecenoic acid,4Z-octadecenoic acid,18:1(14Z),17:1(4)(15Me),10E-octadecenoic acid,10-Octadecenoic acid,5Z-Hexadecenyl acetate,3Z-Hexadecenyl acetate,cis-12-oleic acid,7Z-Hexadecenyl acetate,ethyl 9Z-hexadecenoate,18:1(14E),ethyl 7Z-hexadecenoate,Petroselaidic acid,11-Cycloheptylundecanoic acid,Methyl 14-methyl-8E-hexadecenoate,trans-2-oleic acid,3Z-octadecenoic acid,trans-vaccenic acid,11Z-Hexadecenyl acetate,15E-octadecenoic acid,Methyl 14-methyl-8Z-hexadecenoate,18:1(13E),2Z-octadecenoic acid,Petroselinic acid,16Z-octadecenoic acid,5E-Hexadecenyl acetate,9-elaidic acid,trans-12-elaidic acid,18-Octadecanolide,Dihydromalvalic acid,Oleic acid,5Z-octadecenoic acid,7Z-octadecenoic acid,9Z-Hexadecenyl acetate,17:1(4)(16Me),cis-8-oleic acid,17-octadecenoic acid,17:1(6)(9Me),11E-Hexadecenyl acetate	kp624_282.2561	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]'}
284.005	26.38	0.00019063014251603628	55.19545219764986		1.49449597811941				
284.0931	27.95	0.006009090806161738	13.575218262620972		2.055876747092377				
284.9976	26.51	0.01601776803339664	9.223905714684339		0.9665761358290013				
285.2073	51.15	0.04468070946791546	-6.485745415086586		-1.596348936828484				
365.2255	194.16	0.0014438875556298898	25.910051651340996		1.9031895445883116				
365.2369	89.59	0.002230319106501514	21.509013500156538		2.0671859168331466				
264.8911	27.56	0.014302493523141183	9.637698944331527		1.8464965702596317				
265.181	37.71	0.04893015427340198	-6.26987790638772		-1.2452659701922144				
265.8391	220.79	0.03695413345123847	6.965057872586768		0.4781834622179204				
291.0701	29.4	0.006395554330741365	13.129352093805464		1.6039009910720523				
292.0735	29.4	0.005149149447946059	15.263558898399898		1.6440318201534865				
369.3013	233.03	0.0041967617144925105	17.003645930443415	C22H42O4	1.5059008274846128	3-Acetoxy-eicosanoic acid,FAHFA(2:0/2-O-20:0),Phellogenic acid,FAHFA(12:0/3-O-10:0),hexanedioic acid,1,6-bis[(2R)-ethylhexyl] ester,FAHFA(10:0/3-O-12:0),FAHFA(8:0/3-O-14:0),FAHFA(14:0/3-O-8:0)	kp486_370.3086	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]'}
267.0876	36.27	0.014064736294201416	9.771810282911341		1.7572566270084558				
329.1244	24.52	0.0013965007773518094	26.40280355997897		2.0511417264936824				
329.1549	37.19	0.014126930528625035	9.723320210325408		1.5864679955328285				
267.9857	24.39	0.01307852725955578	10.17985394700908		1.4117774139234882				
293.0658	29.4	1.1022103456609279e-05	154.64995745699068		2.750477837215417				
330.1584	37.06	0.0005501694891644609	35.478326788483436		3.09224620757832				
370.3048	182.57	0.006395554330741365	13.186517925755279	C22H42O4	4.691477545309542	3-Acetoxy-eicosanoic acid,FAHFA(2:0/2-O-20:0),Phellogenic acid,FAHFA(12:0/3-O-10:0),hexanedioic acid,1,6-bis[(2R)-ethylhexyl] ester,FAHFA(10:0/3-O-12:0),FAHFA(8:0/3-O-14:0),FAHFA(14:0/3-O-8:0)	kp485_370.3086	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]'}
370.3048	233.3	0.0010921029603529761	28.88898192694594	C22H42O4	5.075672227304452	3-Acetoxy-eicosanoic acid,FAHFA(2:0/2-O-20:0),Phellogenic acid,FAHFA(12:0/3-O-10:0),hexanedioic acid,1,6-bis[(2R)-ethylhexyl] ester,FAHFA(10:0/3-O-12:0),FAHFA(8:0/3-O-14:0),FAHFA(14:0/3-O-8:0)	kp486_370.3086	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]'}
269.1398	35.07	0.02800269087731662	7.613137485435249		0.8606278172368285				
270.2442	191.93	0.00460524373739263	15.960444459477765		2.254190067150752				
371.1503	26.51	0.009602126399449806	11.343126707205775		2.110402952017708				
373.1448	37.19	0.01491192606531732	9.43022185204797		0.8545762373962411				
300.9746	24.39	0.005790352752590631	13.826795624300418		5.202395062381935				
277.8681	376.54	0.00019063014251603628	58.41554094183392		2.852124842346244				
277.8681	411.62	0.03179747866209557	7.317244399177783		2.3256840703229376				
277.8681	420.02	0.017303995473186038	8.94693049484989		3.2101354954342813				
301.2175	117.12	0.0026658928444244097	19.947274137774464	C20H30O2	0.9819134266520919	2E,5Z,8Z,11Z,14Z-eicosapentaenoic acid,Neoabietic acid,8-[1]-ladderane octanoic acid,Clavuperoxylide B,Kempene 1,ent-pimara-8(14)-15-dien-19-oic acid,isopimaric acid,Dysokusone E,9-cis-13,14-dihydroretinoic acid,17-Methyltestosterone,Abietic acid,5Z,7E,9E,14Z,17Z-eicosapentaenoic acid,5,6-dehydro arachidonic acid,9beta-pimara-7,15-dien-19-oic acid,Magdalenic acid,Stenbolone,EPA,(+)-12-Isocopalene-15,16-dial,5Z,8Z,11E,14Z,17Z-eicosapentaenoic acid,5E,8Z,11Z,14Z,16Z-eicosapentaenoic acid,5Z,11Z,14Z-Eicosatrien-8-ynoic acid,Methenolone,(+)-Luricularic acid,13,14-dihydroretinoic acid,7Z,10Z,13Z,16Z,19Z-eicosapentaenoic acid,5Z,8Z,11E,14Z,17E-eicosapentaenoic acid,ent-kaur-16-en-19-oic acid,8-[5]-ladderane-octanoic acid,7,8-Epoxybasm-4-en-6-one,(-)-Sacculatal,Bosseopentaenoic acid,8,13-Abietadien-18-oic acid,5Z,8Z,14Z-Eicosatrien-11-ynoic acid,5E,7E,9E,14Z,17Z-eicosapentaenoic acid,4,8,12,15,18-eicosapentaenoic acid,Vitamin A3	kp590_302.2248	{'Sterol Lipids [ST]', 'Prenol Lipids [PR]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Eicosanoids [FA03]', 'Isoprenoids [PR01]', 'Steroids [ST02]'}
302.2209	117.25	1.1022103456609279e-05	153.58158227601325	C20H30O2	1.5510999691211325	2E,5Z,8Z,11Z,14Z-eicosapentaenoic acid,Neoabietic acid,8-[1]-ladderane octanoic acid,Clavuperoxylide B,Kempene 1,ent-pimara-8(14)-15-dien-19-oic acid,isopimaric acid,Dysokusone E,9-cis-13,14-dihydroretinoic acid,17-Methyltestosterone,Abietic acid,5Z,7E,9E,14Z,17Z-eicosapentaenoic acid,5,6-dehydro arachidonic acid,9beta-pimara-7,15-dien-19-oic acid,Magdalenic acid,Stenbolone,EPA,(+)-12-Isocopalene-15,16-dial,5Z,8Z,11E,14Z,17Z-eicosapentaenoic acid,5E,8Z,11Z,14Z,16Z-eicosapentaenoic acid,5Z,11Z,14Z-Eicosatrien-8-ynoic acid,Methenolone,(+)-Luricularic acid,13,14-dihydroretinoic acid,7Z,10Z,13Z,16Z,19Z-eicosapentaenoic acid,5Z,8Z,11E,14Z,17E-eicosapentaenoic acid,ent-kaur-16-en-19-oic acid,8-[5]-ladderane-octanoic acid,7,8-Epoxybasm-4-en-6-one,(-)-Sacculatal,Bosseopentaenoic acid,8,13-Abietadien-18-oic acid,5Z,8Z,14Z-Eicosatrien-11-ynoic acid,5E,7E,9E,14Z,17Z-eicosapentaenoic acid,4,8,12,15,18-eicosapentaenoic acid,Vitamin A3	kp590_302.2248	{'Sterol Lipids [ST]', 'Prenol Lipids [PR]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Eicosanoids [FA03]', 'Isoprenoids [PR01]', 'Steroids [ST02]'}
341.0206	21.1	0.012232660235067557	10.423002731473286		2.4466267681415843				
341.0206	24.65	0.0005501694891644609	36.296163686440366		5.427529724221168				
341.1184	37.58	0.0041967617144925105	16.942674546363452		1.7549722343414693				
341.1184	41.55	0.0044857267545386275	16.52747528916249		1.7861980968469524				
282.0775	27.82	0.02381217347336276	8.043951220049777		1.4393427999844164				
383.317	197.74	0.008118829206003394	12.012514474062113	C23H44O4	0.8937624048805191	Tetrahydropersin,Tricosanedioic acid	kp631_384.3243	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty alcohols [FA05]'}
384.2219	51.42	0.005404834654051908	14.830742470929698		2.596463570343971				
342.1219	37.58	0.0027280755366543073	19.703057230170018		2.0238886238904144				
342.1219	41.81	0.005469896824185733	14.640633036614629		1.7869117366090563				
283.0014	26.51	0.025808922023769786	7.861082245947617		0.9258517834908169				
283.0825	37.32	0.001926392825164579	22.950443753088603		2.2067607357662773				
343.1342	34.41	0.0041967617144925105	16.955298307816836		1.3842171004072732				
343.1342	42.33	0.006395554330741365	13.010728872117182		1.5872654841391416				
386.2375	67.34	0.011444152826396454	10.672688973056758	C20H37NO4S	1.4825680142943085	N-linoleoyl taurine	kp682_387.2448	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
388.2532	93.53	0.005765555938875148	14.124154846385709	C20H39NO4S	1.2987293538542417	N-oleoyl taurine	kp710_389.2605	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
413.2223	230.67	0.009870977347580917	11.23694682926659		4.297841090572929				
389.2566	93.4	0.0044857267545386275	16.501366565308725	C20H39NO4S	1.3948627319744311	N-oleoyl taurine	kp710_389.2605	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
390.0444	32.7	0.005608442689828259	14.445673977548898		2.0487918214370886				
311.2959	230.8	0.01772762012854637	8.816571553353425	C20H40O2	0.8268568733607999	6,14-dimethyl-octadecanoic acid,Octadecyl acetate,tetradecyl hexanoate,14-Methylpentadecyl isobutyrate,decyl decanoate,Isoarachidic acid,7-Methyloctyl 9-methyldecanoate,3,7-Dimethyl-6-octenyl 3,7-dimethyl-6-octenoate,2,14-dimethyl-octadecanoic acid,4,16-dimethyl-octadecanoic acid,hexyl tetradecanoate,6,16-dimethyl-octadecanoic acid,12,17-dimethyl-octadecanoic acid,Phytanic acid,4,14-dimethyl-octadecanoic acid,3D,7D,11D-Phytanic acid,Ethyl stearate,dodecyl octanoate,19:0(11Me),Arachidic acid,3,7-Dimethyl-6-octenyl decanoate,3-Methylbutyl pentadecanoate,17-methyl-nonadecanoic acid,2,11-dimethylstearic acid,hexadecyl butyrate	kp737_312.3033	{'Prenol Lipids [PR]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]', 'Isoprenoids [PR01]'}
391.198	25.04	0.0016947518120314028	24.459830324504132		2.220687384439149				
415.1348	161.38	0.016500915773969595	9.128366253998182		1.6680068559442525				
312.2996	224.72	0.03974325710411697	6.7575563449494505	C20H40O2	3.665639727574149	6,14-dimethyl-octadecanoic acid,Octadecyl acetate,tetradecyl hexanoate,14-Methylpentadecyl isobutyrate,decyl decanoate,Isoarachidic acid,7-Methyloctyl 9-methyldecanoate,3,7-Dimethyl-6-octenyl 3,7-dimethyl-6-octenoate,2,14-dimethyl-octadecanoic acid,4,16-dimethyl-octadecanoic acid,hexyl tetradecanoate,6,16-dimethyl-octadecanoic acid,12,17-dimethyl-octadecanoic acid,Phytanic acid,4,14-dimethyl-octadecanoic acid,3D,7D,11D-Phytanic acid,Ethyl stearate,dodecyl octanoate,19:0(11Me),Arachidic acid,3,7-Dimethyl-6-octenyl decanoate,3-Methylbutyl pentadecanoate,17-methyl-nonadecanoic acid,2,11-dimethylstearic acid,hexadecyl butyrate	kp736_312.3033	{'Prenol Lipids [PR]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]', 'Isoprenoids [PR01]'}
351.2213	66.55	0.03172514751323114	7.332561972362107		0.9454427774841321				
313.0182	28.35	0.005039305005077823	15.48730019684245		1.3560902291443462				
313.1198	27.56	0.014854017192628126	9.456694847631795		1.2209357586445257				
417.156	27.03	0.03897399894932108	6.802499767740902		0.6826368727298444				
314.0215	28.22	0.00567620868351883	14.269355426651922		1.7873510791633542				
418.1594	27.03	0.03789943774579976	6.881990836166297		0.7931103169437215				
394.3328	194.03	0.013921851063214469	9.855187436745208		1.7093429109606113				
354.3017	175.32	0.0083417589384566	11.871567159245856		2.107579815045561				
