m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
211.9535	22.29	0.02776247399792581	15.316508751682495		5.233355717909582				
341.1794	31.65	0.027061518774096304	16.564789081824248		1.5227402949198598				
431.9305	20.97	0.02776247399792581	15.182351322417503		1.8270916154934795				
459.8842	21.63	0.010211614035673066	27.110024165810646		5.054437262445456				
608.247	275.33	0.010211614035673066	31.460504596252573		2.3413604136810875				
646.8568	21.24	0.02776247399792581	15.749712051429725		5.1257330759624935				
652.3262	188.91	0.011718436198393762	24.252911134624238		3.595832468798392				
537.901	21.24	0.018181575218511815	19.695345690163855		2.4603261888165733				
656.8857	21.1	0.011718436198393762	23.032798585785553		5.646586265245276				
550.9305	20.97	0.010211614035673066	29.380987236830727		2.4217188677983508				
844.4557	328.98	0.027061518774096304	16.591367301138177		4.8684186639451195				
1067.2567	242.92	0.03449361053283025	14.054218210236609		2.1514800947132926				
