m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
219.8915	220.39	0.021517126332888013	6.258297869228971		0.5425305233800941				
221.8885	220.52	0.014756711059766203	7.457032379106495		0.5508687044554677				
223.8856	220.52	0.014847433948357946	6.9391763762647285		0.6251392198469681				
225.0614	22.02	0.00806222771940135	8.513208809785604		0.9423472688679091				
226.0648	22.02	0.007928275644250943	9.030520570944956		1.274426666437634				
164.0709	24.52	0.02185060921210473	6.151633499000894		0.7116585638683581				
236.0962	25.57	0.00806222771940135	-8.510250421191806		-4.7196765421313565				
209.082	31.13	0.014847433948357946	-7.023225405362074		-0.6457621914035627				
174.0554	24.78	0.023014064319511286	6.058913023577604		0.6072176127731979				
242.0518	21.76	0.027576640961012172	5.827689564474988		1.4165843556645221				
215.0325	22.15	0.014756711059766203	7.2160431828330305	C6H12O6	0.828609822142699	Fuconic acid	kp8_180.0627	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]'}
179.0554	22.02	0.008114224904543927	8.404555859828706	C6H12O6	0.9335359228963434	Fuconic acid	kp8_180.0627	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]'}
144.0446	25.57	0.004073387877080663	-10.628786535842165		-2.1218676572933894				
216.0358	22.15	0.014756711059766203	7.232102504407744	C6H12O6	0.9046963037131768	Fuconic acid	kp8_180.0627	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]'}
252.0735	26.38	0.008635003238960806	-8.234736108645947		-2.4601094904880796				
217.0293	22.15	0.014847433948357946	6.939113747544169		0.8117987610556305				
187.0065	24.65	0.029816647169993292	5.681229478247423		1.0880863398023948				
258.9821	23.34	0.014756711059766203	7.237296659965887		1.3333238140487822				
260.9802	20.97	0.04637957906850329	5.165255250537901		0.9759231141018141				
260.9802	23.47	0.018863443392791956	6.475387385456409		1.426065332620027				
265.8391	220.79	0.014847433948357946	6.927207238391578		0.718086867007159				
293.0494	21.24	0.021517126332888013	6.21124107051303		1.8027966701470923				
267.8363	220.39	0.021517126332888013	6.212018505453818		0.7538117937106037				
329.27	220.65	0.0009915451722924973	13.4826039632957	C19H38O4	0.836363738403314	1-O-(2R-methoxy-4Z-pentadecenyl)-sn-glycerol,MG(16:0/0:0/0:0),MG(16:0/0:0/0:0)[rac],MG(0:0/16:0/0:0),1-O-(2R-hydroxy-4Z-hexadecenyl)-sn-glycerol	kp1102_330.2763	{'Glycerolipids [GL]'}	{'Monoradylglycerols [GL01]'}
301.2386	190.09	0.014756711059766203	7.148690082861772	C17H34O4	0.6652685320606935	1-O-(2R-hydroxy-4Z-tetradecenyl)-sn-glycerol,3,4-dihydroxy-4-methylhexadecanoic acid	kp950_302.2454	{'Glycerolipids [GL]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Monoradylglycerols [GL01]'}
281.2487	194.95	0.005686766488994711	9.872637018950051	C18H34O2	0.5551597809288467	Cyclopentanetridecanoic acid,cis-8-oleic acid,11Z-Hexadecenyl acetate,17:1(12)(7Me),5Z-Hexadecenyl acetate,2-methyl-16-heptadecenoic acid,10-Octadecenoic acid,10Z-Hexadecenyl acetate,9-elaidic acid,15Z-octadecenoic acid,7-Hexadecenyl acetate,Dihydromalvalic acid,16E-octadecenoic acid,6E-Hexadecenyl acetate,17-octadecenoic acid,cis-10-oleic acid,cis-vaccenic acid,trans-2-oleic acid,trans-8-elaidic acid,18:1(13E),9E-Hexadecenyl acetate,4-octadecylenic acid,10E-octadecenoic acid,16Z-octadecenoic acid,trans-vaccenic acid,5Z-octadecenoic acid,Petroselinic acid,18:1(14Z),Methyl 14-methyl-8E-hexadecenoate,Ethyl 9-hexadecenoate,4Z-octadecenoic acid,2Z-octadecenoic acid,13Z-octadecenoic acid,11-Cycloheptylundecanoic acid,8E-Hexadecenyl acetate,7E-octadecenoic acid,trans-12-elaidic acid,7Z-octadecenoic acid,Methyl 14-methyl-8Z-hexadecenoate,15E-octadecenoic acid,ethyl 7Z-hexadecenoate,17:1(4)(15Me),Isooctadecenoic acid,Thalictric acid,17:1(4)(16Me),cis-12-oleic acid,18:1(14E),3Z-Hexadecenyl acetate,ethyl 9Z-hexadecenoate,Petroselaidic acid,12Z-Hexadecenyl acetate,Oleic acid,3-octadecylenic acid,11E-Hexadecenyl acetate,5E-Hexadecenyl acetate,18-Octadecanolide,7Z-Hexadecenyl acetate,9Z-Hexadecenyl acetate,17:1(6)(9Me),3Z-octadecenoic acid	kp1285_282.2561	{'Fatty Acyls [FA]'}	{'Fatty esters [FA07]', 'Fatty Acids and Conjugates [FA01]'}
313.2388	79.72	0.014756711059766203	-7.122640405192743	C18H34O4	-4.365984480232317	8R,11S-DiHOME,18-hydroxy-9R,10S-epoxy-stearic acid,5S,8R-DiHOME,2-keto-3-hydroxyoctadecanoic acid,9-HpOME,13R-HpOME(11E),12R-HpOME(13E),8R-HpOME,9-Hydroxy-10-ketooctadecanoic acid,3-Acetoxy-palmitic acid,10-Hydroxy-9-ketooctadecanoic acid,7-HpOME(5E),8-HpOME(6E),12S-HpOME(13E),14R-HpOME(12E),12S-HpOME(13Z),7S,10S-diHOME,10-HpOME,7S,8S-DiHOME(9Z),11R-HpOME,10R-HpOME(11Z),(9Z)-(7S,8S)-Dihydroxyoctadecenoic acid,12,13-DiHOME(9),6-HpOME(7E),Octadecanedioic acid,9,10-DiHOME(12),13S-HpOME(11E),14S-HpOME(12E),Turneroic acid,9,13-DiHOME(11),11-HpOME(9Z),7,10-dihydroxy-8E-octadecenoic acid,9-HpOME(7E),11-HpOME,9,13-DiHOME(10),12-HpOME(10E),9,10-DiHOME,18-hydroxy-9S,10R-epoxy-stearic acid,12R-HpOME(13Z),8-HpOME,10S-HpOME,12,13-DiHOME,12,13-Dihydroxyoleic acid	kp1528_314.2461	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Octadecanoids [FA02]'}
429.0806	28.35	9.48509136600469e-06	30.263274937736806	C21H18O10	2.339478890210586	Derhamnosylmaysin,Coumestrol 3-O-glucoside,Chrysin 7-glucuronide	kp1921_430.088	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
430.0839	28.48	1.471502474131382e-06	43.681205673167014	C21H18O10	3.254110977590244	Derhamnosylmaysin,Coumestrol 3-O-glucoside,Chrysin 7-glucuronide	kp1921_430.088	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
404.0157	21.63	0.02185060921210473	6.138604994206023		0.6082199395119368				
404.0157	23.2	0.023820279729795002	5.998131974163751		0.6760950884043417				
406.0203	23.2	0.016248442246508198	6.707399550130311		1.0415368205088669				
435.0277	23.2	0.030544535224394258	5.6143466314797115		0.7300996789478056				
