m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
209.082	31.13	0.009487232496299262	-20.180714948755472		-1.9011917040682142				
144.0446	25.57	0.01861345079182357	-15.451013465436993		-3.798937447406413				
249.0228	28.87	0.009487232496299262	19.741459150088154		7.1321972940977645				
299.2594	174.8	0.009487232496299262	-20.32936601791934	C18H36O3	-1.4855748539985605	DL-11-hydroxy stearic acid,11-methoxy-heptadecanoic acid,2R-hydroxy-stearic acid,DL-3-hydroxy stearic acid,(S)-3-hydroxystearic acid,DL-8-hydroxy stearic acid,14-hydroxy stearic acid,12R-hydroxy-octadecanoic acid,DL-4-hydroxy stearic acid,15-hydroxy stearic acid,13R-hydroxy-octadecanoic acid,DL-6-hydroxy stearic acid,Rosilic acid,DL-13-hydroxy stearic acid,9S-hydroxy-octadecanoic acid,2-hydroxystearate,DL-5-hydroxy stearic acid,9-methoxy-heptadecanoic acid,(R)-10-hydroxystearic acid,17-hydroxy stearic acid,16-hydroxy stearic acid,18-hydroxy stearic acid,9R-hydroxy-octadecanoic acid,DL-12-hydroxy stearic acid,3R-hydroxy-octadecanoic acid,DL-2-hydroxy stearic acid,DL-7-hydroxy stearic acid,DL-9-hydroxy stearic acid,3-hydroxy-16-methyl-heptadecanoic acid	kp1063_300.2667	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Octadecanoids [FA02]'}
307.2645	200.78	0.02252411478015947	-14.147991506887253	C20H36O2	-3.6451342878337485	8Z,11Z-eicosadienoic acid,Dihomotaxoleic acid,8,11-Eicosadienoic acid,2E,13Z-Octadecadienyl acetate,5E,11Z-Eicosadienoic acid,20:2(5Z,13Z),5,11-Eicosadienoic acid,Eicos-7-ynoic acid,7E,13E-Eicosadienoic acid,11Z,15Z-eicosadienoic acid,20:2(5Z,9Z),sclareol,(Z)-3,7-Dimethyl-2,6-octadienyl decanoate,4Z,7Z-eicosadienoic acid,Methyl nonadeca-15,17-dienoate,11,14-eicosadienoic acid,20:2(7Z,14Z),(Z,Z)-10,14-eicosadienoic acid,Phlomic acid,Dihomolinoleic acid,20:2(6,11),2Z,13Z-Octadecadienyl acetate,3Z,13Z-Octadecadienyl acetate,6-Eicosynoic acid,Keteleeronic acid,Hormelic acid,(E)-3,7-Dimethyl-2,6-octadienyl decanoate,6Z,9Z-Eicosadienoic acid,9Z,12Z-Octadecadienyl acetate,2Z,13E-Octadecadienyl acetate,20:2(5Z,15Z),3Z,13E-Octadecadienyl acetate,7Z,12Z-eicosadienoic acid,11,13-Eicosadienoic acid,3E,13E-Octadecadienyl acetate,3E,13Z-Octadecadienyl acetate	kp1240_308.2719	{'Prenol Lipids [PR]', 'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]', 'Isoprenoids [PR01]'}
281.2487	194.95	0.00869605622712202	-23.232985107121277	C18H34O2	-2.8992344213755636	15E-octadecenoic acid,12Z-Hexadecenyl acetate,ethyl 9Z-hexadecenoate,Methyl 14-methyl-8Z-hexadecenoate,ethyl 7Z-hexadecenoate,17:1(6)(9Me),10-Octadecenoic acid,18:1(14Z),4Z-octadecenoic acid,Oleic acid,cis-8-oleic acid,4-octadecylenic acid,17:1(12)(7Me),2-methyl-16-heptadecenoic acid,cis-10-oleic acid,3-octadecylenic acid,Dihydromalvalic acid,Ethyl 9-hexadecenoate,10E-octadecenoic acid,18-Octadecanolide,9E-Hexadecenyl acetate,2Z-octadecenoic acid,trans-2-oleic acid,Petroselinic acid,7-Hexadecenyl acetate,Petroselaidic acid,11-Cycloheptylundecanoic acid,17:1(4)(15Me),5Z-Hexadecenyl acetate,Thalictric acid,6E-Hexadecenyl acetate,7Z-Hexadecenyl acetate,trans-12-elaidic acid,17-octadecenoic acid,8E-Hexadecenyl acetate,trans-vaccenic acid,11E-Hexadecenyl acetate,7E-octadecenoic acid,cis-12-oleic acid,9Z-Hexadecenyl acetate,16Z-octadecenoic acid,16E-octadecenoic acid,13Z-octadecenoic acid,5Z-octadecenoic acid,18:1(14E),7Z-octadecenoic acid,11Z-Hexadecenyl acetate,5E-Hexadecenyl acetate,trans-8-elaidic acid,Methyl 14-methyl-8E-hexadecenoate,Isooctadecenoic acid,17:1(4)(16Me),9-elaidic acid,Cyclopentanetridecanoic acid,15Z-octadecenoic acid,10Z-Hexadecenyl acetate,cis-vaccenic acid,18:1(13E),3Z-Hexadecenyl acetate,3Z-octadecenoic acid	kp1285_282.2561	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]'}
313.2388	79.72	0.00474037194423455	-29.08706004911121	C18H34O4	-4.415781642396709	8-HpOME(6E),9-HpOME,7,10-dihydroxy-8E-octadecenoic acid,18-hydroxy-9R,10S-epoxy-stearic acid,9-Hydroxy-10-ketooctadecanoic acid,Octadecanedioic acid,13S-HpOME(11E),12S-HpOME(13E),2-keto-3-hydroxyoctadecanoic acid,6-HpOME(7E),12,13-DiHOME,7S,8S-DiHOME(9Z),9,13-DiHOME(10),11-HpOME,12R-HpOME(13Z),12,13-DiHOME(9),13R-HpOME(11E),3-Acetoxy-palmitic acid,8R-HpOME,12R-HpOME(13E),10R-HpOME(11Z),10-Hydroxy-9-ketooctadecanoic acid,11-HpOME(9Z),12S-HpOME(13Z),10-HpOME,9-HpOME(7E),14R-HpOME(12E),12,13-Dihydroxyoleic acid,Turneroic acid,14S-HpOME(12E),7-HpOME(5E),7S,10S-diHOME,9,10-DiHOME,11R-HpOME,9,10-DiHOME(12),18-hydroxy-9S,10R-epoxy-stearic acid,10S-HpOME,5S,8R-DiHOME,(9Z)-(7S,8S)-Dihydroxyoctadecenoic acid,8R,11S-DiHOME,9,13-DiHOME(11),8-HpOME,12-HpOME(10E)	kp1528_314.2461	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Octadecanoids [FA02]'}
315.2542	52.34	0.027562462577404603	-13.145252777878481		-5.454004250449801				
427.3218	202.09	0.04593470844779952	-11.302725858975338		-2.7636494672741385				
429.0806	28.35	0.004305335607660043	32.98858050345936	C21H18O10	3.659746975065243	Derhamnosylmaysin,Chrysin 7-glucuronide,Coumestrol 3-O-glucoside	kp1921_430.088	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
430.0839	28.48	2.8217236442538838e-05	138.07665546592554	C21H18O10	4.516127668038994	Derhamnosylmaysin,Chrysin 7-glucuronide,Coumestrol 3-O-glucoside	kp1921_430.088	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
468.1824	194.16	0.01861345079182357	-15.213473297459513		-1.9084079292399316				
472.1768	193.77	0.01861345079182357	-15.95028479019591		-2.7245028594250478				
