m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
190.0364	1.05	0.0037611651354636805	22.34683109858914		3.2155053797715	None			
164.0709	24.52	0.03770573283483	-9.078631992336451		-1.705199281777297	164.0709_M-H-			
203.0822	24.39	0.013620015517101462	-13.120493185447232		-1.9742120639938214	203.0822_M-H-			
236.999	157.01	0.035947736211928205	-9.361084176385093		-1.3204501491253637	236.999_HCl, 3x charged			
209.082	31.13	0.004488965875044845	-19.714520280908527		-1.9802199558265166	None			
144.0446	25.57	0.009443729251700833	-15.26554035187268		-3.9757111740857027	144.0446_M-H-			
249.0228	28.87	0.004488965875044845	19.654654486007328		7.486975661300541	None			
187.0381	156.36	0.019339016145626456	11.546589846902396		2.867849918194123	None			
187.0381	158.98	0.002228442496071551	30.277000419264354		3.0598282994666857	None			
187.0381	161.78	0.004000102514021205	21.255894982227982		3.8316523327883036	None			
187.0381	198.79	0.03494735783122013	9.474835202354532		3.5246018124928415	None			
187.0381	203.28	0.013620015517101462	13.191303515856504		1.783534105613704	None			
187.0381	483.84	0.021365282052856822	11.030256365595367		1.2027374488727123	None			
187.0381	717.62	0.004488965875044845	20.224800438290345		3.1996054248048473	None			
217.931	24.26	0.026921131052716336	10.235509349070606		2.090747264616674	217.931_M-H-			
219.0144	23.2	0.01158189982693714	14.158853613587397		2.916668457219421	None			
284.9976	26.51	0.03770573283483	-9.083493184324764		-1.7319409640265206	None			
365.2182	35.2	0.0200036250157877	11.28635214021636		1.2704243630036487	None			
291.0701	29.4	0.018807671039980368	-11.784938353290205		-3.452628495464751	291.0701_M-H-			
369.3013	182.44	0.003207389747463276	-24.498934174303372	C22H42O4	-3.328739642500775	FAHFA(10:0/3-O-12:0),hexanedioic acid,1,6-bis[(2R)-ethylhexyl] ester,FAHFA(14:0/3-O-8:0),FAHFA(8:0/3-O-14:0),3-Acetoxy-eicosanoic acid,FAHFA(2:0/2-O-20:0),Phellogenic acid,FAHFA(12:0/3-O-10:0)	kp482_370.3086	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]'}
268.0032	1.71	0.04678611943593988	-8.471619688058855		-2.199606713137392	None			
294.0299	24.26	0.0200036250157877	-11.277813142116392		-1.851924899545935	294.0299_M-H-			
299.2594	174.8	0.004488965875044845	-19.730306757374528	C18H36O3	-1.4195525283701755	DL-4-hydroxy stearic acid,2-hydroxystearate,DL-6-hydroxy stearic acid,13R-hydroxy-octadecanoic acid,DL-8-hydroxy stearic acid,DL-7-hydroxy stearic acid,DL-2-hydroxy stearic acid,12R-hydroxy-octadecanoic acid,9S-hydroxy-octadecanoic acid,16-hydroxy stearic acid,18-hydroxy stearic acid,11-methoxy-heptadecanoic acid,DL-11-hydroxy stearic acid,DL-5-hydroxy stearic acid,3-hydroxy-16-methyl-heptadecanoic acid,2R-hydroxy-stearic acid,DL-3-hydroxy stearic acid,DL-13-hydroxy stearic acid,(S)-3-hydroxystearic acid,(R)-10-hydroxystearic acid,DL-9-hydroxy stearic acid,9R-hydroxy-octadecanoic acid,15-hydroxy stearic acid,3R-hydroxy-octadecanoic acid,17-hydroxy stearic acid,9-methoxy-heptadecanoic acid,Rosilic acid,14-hydroxy stearic acid,DL-12-hydroxy stearic acid	kp558_300.2667	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Octadecanoids [FA02]'}
337.2388	77.22	0.009508721908719578	-15.116805921895041	C20H34O4	-3.413295426847821	11-deoxy-PGE1,8R,9S-cis-epoxy-10S-hydroxy-eicosa-11Z,14Z-dienoic acid,10,11-dihydro-leukotriene B4,(+/-)8,9-DiHETrE,6,7-dihydro-12-epi-LTB4,(+/-)11,12-DiHETrE,5,6-dihydroxy-8,11,14-eicosatrienoic acid,8,9-dihydroxy-5,11,14-eicosatrienoic acid,Pileadimenthenol A,12-keto-10,11,14,15-tetrahydro-LTB4,Sclerophytin A,(+/-)14,15-DiHETrE,(+/-)5,6-DiHETrE,11-deoxy-PGF2beta,11-deoxy-PGF2a,Pileadimenthenol B,6-(13-hydroxytetradecyl)benzene-1,2,4-triol	kp561_338.2459	{'Polyketides [PK]', 'Prenol Lipids [PR]', 'Fatty Acyls [FA]'}	{'Eicosanoids [FA03]', 'Isoprenoids [PR01]', 'Phenolic lipids [PK15]'}
341.27	127.14	0.007465203953907871	-16.778929246774155		-7.139713368787541	None			
281.2487	194.95	0.0037611651354636805	-22.094982638881984	C18H34O2	-2.96990137014717	15E-octadecenoic acid,3Z-octadecenoic acid,trans-12-elaidic acid,4Z-octadecenoic acid,cis-12-oleic acid,17:1(4)(15Me),Oleic acid,cis-vaccenic acid,10Z-Hexadecenyl acetate,11-Cycloheptylundecanoic acid,7Z-Hexadecenyl acetate,17:1(4)(16Me),ethyl 9Z-hexadecenoate,Ethyl 9-hexadecenoate,6E-Hexadecenyl acetate,18:1(13E),18:1(14E),10E-octadecenoic acid,15Z-octadecenoic acid,13Z-octadecenoic acid,3-octadecylenic acid,16E-octadecenoic acid,Isooctadecenoic acid,trans-vaccenic acid,18-Octadecanolide,7Z-octadecenoic acid,cis-8-oleic acid,10-Octadecenoic acid,11Z-Hexadecenyl acetate,Methyl 14-methyl-8Z-hexadecenoate,7-Hexadecenyl acetate,Petroselaidic acid,5E-Hexadecenyl acetate,18:1(14Z),ethyl 7Z-hexadecenoate,7E-octadecenoic acid,17:1(12)(7Me),4-octadecylenic acid,16Z-octadecenoic acid,Cyclopentanetridecanoic acid,9-elaidic acid,Petroselinic acid,Thalictric acid,5Z-octadecenoic acid,11E-Hexadecenyl acetate,8E-Hexadecenyl acetate,12Z-Hexadecenyl acetate,9Z-Hexadecenyl acetate,17:1(6)(9Me),Dihydromalvalic acid,17-octadecenoic acid,2-methyl-16-heptadecenoic acid,2Z-octadecenoic acid,9E-Hexadecenyl acetate,3Z-Hexadecenyl acetate,trans-2-oleic acid,trans-8-elaidic acid,5Z-Hexadecenyl acetate,cis-10-oleic acid,Methyl 14-methyl-8E-hexadecenoate	kp620_282.2561	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Fatty esters [FA07]'}
