m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
221.1544	34.94	0.03858861997200732	8.456806258822196	C14H22O2	0.3763160736421405	R-cucujolide V,Cucujolide X,7E,9E,11-Dodecatrienyl acetate,S-cucujolide V,9Z-Dodecen-7-ynyl acetate,7Z,9E,11-Dodecatrienyl acetate,7E,9Z,11-Dodecatrienyl acetate	kp98_222.1617	{'Fatty Acyls [FA]'}	{'Fatty esters [FA07]'}
133.0133	1.84	0.028527054927958106	-9.5655068693061		-2.600033621113674				
237.0919	37.58	0.00172192073342371	30.319587931425676	C16H14O2	1.8048079811013835		kp441_238.0992	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
237.0919	42.2	0.008382381544643817	14.91649391230065	C16H14O2	1.7952757231774328		kp442_238.0992	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
209.0968	37.58	0.003312644487240318	22.017603795239022	C15H14O	1.845491095102183	Dihydrochalcone,p-methoxystilbene	kp454_210.1041	{'Polyketides [PK]'}	{'Flavonoids [PK12]', 'Aromatic polyketides [PK13]'}
209.0968	41.41	0.003328940662467243	20.91679455849783	C15H14O	1.780757122582731	Dihydrochalcone,p-methoxystilbene	kp455_210.1041	{'Polyketides [PK]'}	{'Flavonoids [PK12]', 'Aromatic polyketides [PK13]'}
238.0953	37.58	0.0006760988946506763	47.29712230984468	C16H14O2	1.846952243402221		kp441_238.0992	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
238.0953	41.94	0.006106248876283057	16.71924173003209	C16H14O2	1.8322293616298886		kp442_238.0992	{'Polyketides [PK]'}	{'Flavonoids [PK12]'}
174.0554	24.78	0.02819731374869271	-9.65746402219295		-1.1862829137411808				
144.0446	25.57	0.010252924957687697	-13.913833667783067		-3.256344633883021				
249.0228	28.87	0.003312644487240318	22.374139377976142		7.483099378916453				
255.1967	37.32	0.029268768040232408	-9.421287985112645		-3.252007790006971				
187.0065	24.65	0.036746133254195006	-8.63636481940789		-2.3866133299158605				
258.9821	23.34	0.018791463468135122	-11.108369465088058		-1.744093315147694				
287.0888	21.89	0.022132840253274	10.421429957084259		3.0309669318879777				
287.0888	23.2	0.011883476318457278	13.008334060121317		3.0194703514181676				
299.2594	174.8	0.027198903816825114	9.813706443827394	C18H36O3	0.9656182362318759	DL-4-hydroxy stearic acid,DL-8-hydroxy stearic acid,2R-hydroxy-stearic acid,12R-hydroxy-octadecanoic acid,15-hydroxy stearic acid,3-hydroxy-16-methyl-heptadecanoic acid,DL-6-hydroxy stearic acid,13R-hydroxy-octadecanoic acid,(R)-10-hydroxystearic acid,11-methoxy-heptadecanoic acid,Rosilic acid,DL-5-hydroxy stearic acid,14-hydroxy stearic acid,3R-hydroxy-octadecanoic acid,9S-hydroxy-octadecanoic acid,(S)-3-hydroxystearic acid,9R-hydroxy-octadecanoic acid,2-hydroxystearate,DL-2-hydroxy stearic acid,16-hydroxy stearic acid,DL-7-hydroxy stearic acid,DL-9-hydroxy stearic acid,DL-12-hydroxy stearic acid,9-methoxy-heptadecanoic acid,18-hydroxy stearic acid,DL-11-hydroxy stearic acid,17-hydroxy stearic acid,DL-13-hydroxy stearic acid,DL-3-hydroxy stearic acid	kp1063_300.2667	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]', 'Octadecanoids [FA02]'}
271.2281	116.46	0.0022244784101936818	27.494905817060257	C16H32O3	2.243028006502641	8-Hydroxypalmitic acid,15-hydroxy-hexadecanoic acid,14S-hydroxy-hexadecanoic acid,Juniperic acid,(+)-15S-hydroxy-hexadecanoic acid,Kerrolic acid,3S-hydroxypalmitic acid,14-hydroxy palmitic acid,2R-hydroxypalmitic acid,Jalapinolic acid,5S-hydroxy-hexadecanoic acid,3-hydroxy-hexadecanoic acid,3R-hydroxypalmitic acid,2-hydroxy palmitic acid,8S-hydroxy-hexadecanoic acid,5R-hydroxy-hexadecanoic acid,11-hydroxy palmitic acid,9-methoxy-pentadecanoic acid,2S-hydroxypalmitic acid,7R-hydroxy-hexadecanoic acid,5-hydroxy-hexadecanoic acid	kp1065_272.2354	{'Fatty Acyls [FA]'}	{'Fatty Acids and Conjugates [FA01]'}
373.1448	34.28	0.008315292309517757	15.109188949879005		1.171907752089055				
281.2487	194.95	0.0006017471650785924	-54.00423331799813	C18H34O2	-3.2988312215077364	17:1(6)(9Me),cis-8-oleic acid,16Z-octadecenoic acid,17:1(12)(7Me),7Z-Hexadecenyl acetate,Petroselinic acid,Methyl 14-methyl-8Z-hexadecenoate,4Z-octadecenoic acid,cis-10-oleic acid,trans-8-elaidic acid,18-Octadecanolide,5Z-Hexadecenyl acetate,7-Hexadecenyl acetate,ethyl 7Z-hexadecenoate,9-elaidic acid,Oleic acid,3-octadecylenic acid,Isooctadecenoic acid,11Z-Hexadecenyl acetate,2Z-octadecenoic acid,Methyl 14-methyl-8E-hexadecenoate,18:1(14E),9E-Hexadecenyl acetate,Ethyl 9-hexadecenoate,15E-octadecenoic acid,17:1(4)(16Me),15Z-octadecenoic acid,Thalictric acid,cis-12-oleic acid,ethyl 9Z-hexadecenoate,3Z-octadecenoic acid,10E-octadecenoic acid,10-Octadecenoic acid,5E-Hexadecenyl acetate,11E-Hexadecenyl acetate,9Z-Hexadecenyl acetate,4-octadecylenic acid,7Z-octadecenoic acid,16E-octadecenoic acid,trans-2-oleic acid,cis-vaccenic acid,Dihydromalvalic acid,10Z-Hexadecenyl acetate,12Z-Hexadecenyl acetate,8E-Hexadecenyl acetate,Petroselaidic acid,17-octadecenoic acid,18:1(13E),13Z-octadecenoic acid,18:1(14Z),11-Cycloheptylundecanoic acid,7E-octadecenoic acid,trans-12-elaidic acid,17:1(4)(15Me),Cyclopentanetridecanoic acid,3Z-Hexadecenyl acetate,6E-Hexadecenyl acetate,5Z-octadecenoic acid,trans-vaccenic acid,2-methyl-16-heptadecenoic acid	kp1285_282.2561	{'Fatty Acyls [FA]'}	{'Fatty esters [FA07]', 'Fatty Acids and Conjugates [FA01]'}
310.0022	25.04	0.030922293686789594	-9.085404761963192		-2.555727233900967				
341.1184	37.58	0.0016679215388824033	31.767954966326155		1.8538279613955346				
341.1184	41.55	0.0033190304916018505	21.60016034235356		1.774713884081443				
