m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
218.0653	269.18	0.03815648450696184	-6.797976377421519		-1.4864265242603807	218.0653_M+H+	
132.1152	265.76	0.014163618370967615	-8.423657823573757		-1.6861894652132463	132.1152_M+H+	
132.1214	265.76	0.013305792283294338	-8.809609880865674		-1.6593332470843585	132.1214_M+H+	
219.0576	269.31	0.026790563252321205	-7.30414149741321	C13H11ClO,C11H10N2OS	-1.372740349801493	2-Benzyl-4-chlorophenol,(E,E)-1-Chloro-3,11-tridecadiene-5,7,9-triyn-2-ol,3-(Isothiocyanatomethyl)-1-methoxy-1H-indole	kp420_218.0504
233.0352	269.31	0.014163618370967615	-8.342700132254098	C14H10O	-1.4405267870252167	2-Hydroxyphenanthrene,1-Hydroxyphenanthrene,Anthrone,4-Hydroxyphenanthrene,anthracen-9-ol,9-Hydroxyphenanthrene,3-Hydroxyphenanthrene	kp342_194.0725
195.08	269.18	0.015373531088806453	-8.081701844091066	C14H10O	-1.6587823048569987	2-Hydroxyphenanthrene,1-Hydroxyphenanthrene,Anthrone,4-Hydroxyphenanthrene,anthracen-9-ol,9-Hydroxyphenanthrene,3-Hydroxyphenanthrene	kp342_194.0725
196.0833	269.18	0.015373531088806453	-8.054925356924945	C14H10O	-1.686010766495695	2-Hydroxyphenanthrene,1-Hydroxyphenanthrene,Anthrone,4-Hydroxyphenanthrene,anthracen-9-ol,9-Hydroxyphenanthrene,3-Hydroxyphenanthrene	kp342_194.0725
197.0757	269.18	0.014163618370967615	-8.45993154787269		-1.7014142188046506	197.0757_M+H+	
253.0854	187.8	0.013305792283294338	-9.31080206525071		-1.5130475278298086	253.0854_M+H+, 2x charged	
258.0884	269.18	0.013305792283294338	-9.036148300784733		-1.3802341408556842	258.0884_ACN	
213.0905	252.31	0.003630469123355988	-15.05008700027257	C14H12O2	-1.2099760464108194	Felbinac,Benzyl benzoate,5-Styrylresorcinol,4,4'-Dihydroxystilbene,2-([1,1'-Biphenyl]-2-yl)acetic acid,Benzoin,3-Biphenylacetic acid,Diphenylacetic acid	kp781_212.0832
314.138	269.04	0.012129145633525743	-11.359822927283222	C18H19NO4	-1.6304131325740343	Muricinine,N-Benzoyl-L-tyrosine ethyl ester,Kresoxim-Methyl,Laurelliptine,Moupinamide,N-cis-Feruloyltyramine,Laurolitsine	kp873_313.1308
315.1415	269.04	0.013305792283294338	-8.925444483369773	C18H19NO4	-2.0173657797703513	Muricinine,N-Benzoyl-L-tyrosine ethyl ester,Kresoxim-Methyl,Laurelliptine,Moupinamide,N-cis-Feruloyltyramine,Laurolitsine	kp873_313.1308
275.0673	187.8	0.013305792283294338	-10.170046002309933	C13H10N2O5	-1.357463459668331	5-Hydroxythalidomide,cis,trans-5'-Hydroxythalidomide,Thalidomide arene oxide	kp530_274.06
217.0618	269.18	0.013305792283294338	-8.773235586299586		-1.3199256793082341	217.0618_M+H+	
319.1054	70.72	0.013305792283294338	9.36626434204334	C17H16N2O3	3.9624059670536056	10-Acetoxy-10,11-dihydro-5h-dibenz[b,f]azepine-5-carboxamide,3-[(3-(2-Carboxyethyl)-4-methylpyrrol-2-YL)methylene]-2-indolinone	kp1241_296.1161
297.0492	187.41	0.013305792283294338	-8.83137901145507	C13H10N2O5	-1.3978705550287671	5-Hydroxythalidomide,cis,trans-5'-Hydroxythalidomide,Thalidomide arene oxide	kp530_274.06
342.1526	270.78	0.04314651248150211	-6.57949039931349		-1.2663700135256057	342.1526_M+H+	
451.1891	251.52	0.04977861909133574	-6.373475910142293	C24H31ClO6	-1.8485350571200847	Arnamiol	kp1294_450.1818
522.2032	340.34	0.03815648450696184	-6.77149344709586		-5.636526342108123	None	
