m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
176.0295	216.13	0.007939948969300722	-19.60776963066991		-2.576896011913089		
134.0813	41.57	0.0326551555127748	-8.275563109346372	C5H11NO3	-2.4035019079116147	Amyl nitrate,L-2-Amino-5-hydroxypentanoic acid,3-Hydroxynorvaline,N-Lactoyl ethanolamine,1,4-Dideoxy-1,4-imino-D-ribitol	kp72_133.0739
222.0956	191.25	0.03627818635326891	7.6564604066536965	C11H12N2O3	2.0288052696976457	N-hydroxy-L-tryptophan,p-Hydroxyl-ethotoin,4,4'-Dihydroxyantipyrine,5-Hydroxy-L-tryptophan	kp111_220.0849
184.097	161.51	0.03601936645945328	-7.7944890061596155		-3.499758905750083		
148.0393	27.97	0.03194960983612769	8.45631965273221		4.951134849747852		
235.0748	191.12	0.03627818635326891	7.605656286653294	C8H14N2O4S	3.1895326405191895	Hydroxyprolyl-Cysteine,Cysteinylhydroxyproline,N-Acetyl-S-(2-carbamoylethyl)-L-cysteine	kp464_234.0673
150.9768	199.52	0.0326551555127748	-8.102771467518016		-1.7301397596267272		
190.9927	267.86	0.03106589996157956	-8.576202193220182		-2.09572043893591		
152.0568	135.54	0.012006818217922995	-13.011607020111445		-1.4241985091434906		
153.0601	135.54	0.012250567963130662	-12.764875500475478		-1.476549121521419		
112.8961	200.86	0.036638247501966856	-7.5516162030538485		-0.4965449969237632		
197.1147	135.41	0.023808807382055975	-9.70985352615591		-1.495538963347581		
245.9478	225.19	0.010955832272549083	13.587068056079083		1.8585034467310102		
162.0551	35.89	0.018135435024834598	11.219711430059625		4.275681729100267		
118.0615	253.1	0.020774460058447432	10.53482733955372	C3H7N3O2	3.4871589734123773	Guanidoacetic acid,1-Ethyl-1-nitrosourea,n-ethyl-n'-nitrosourea,(Diaminomethylideneamino) acetate	kp761_117.0541
250.0935	34.97	0.04549343499981068	6.902209935031465		0.6489057994006728		
201.9839	225.05	0.009745210307905584	16.00379553308656	C3H7NO5S2,C3H7NO5S2	1.9357306441941624	Sulfocysteine,Cysteine-S-sulfate,Sulfocysteine,Cysteine-S-sulfate	kp4554_200.9767
253.0854	190.85	0.024256990649616214	9.438678838658111	C16H12O3	1.591553697372671	7-Hydroxy-2-methylisoflavone,2-Benzoyloxycinnamaldehyde,Anisindione	kp850_252.0783
203.0814	27.71	0.018135435024834598	11.27999408609061	C11H10N2O2	7.001674068274683	VASICINONE	kp134_202.0742
255.101	301.24	0.04358861676118997	7.086858509211511	C16H14O3	0.6846486160455996	Dexketoprofen,Ketoprofen,3,6-Dimethoxy-4-phenanthrenol,Fenbufen,2,6-Dimethoxy-4-phenanthrenol	kp901_254.0938
123.941	198.34	0.03986761454734833	-7.2880218131396575	KO3S	-0.51823802780779	Potassium bisulfite	kp720_118.9202
256.1045	301.24	0.025531442031638422	9.216952512899407	C16H14O3	0.690230122568753	Dexketoprofen,Ketoprofen,3,6-Dimethoxy-4-phenanthrenol,Fenbufen,2,6-Dimethoxy-4-phenanthrenol	kp901_254.0938
205.0683	191.12	0.008004863381054949	-17.614249160644906		-3.4495944457406225		
256.9825	200.6	0.010955832272549083	13.477574047435906		0.2400939964047879		
257.0567	190.98	0.0326551555127748	8.103721710807383		2.996022380536111		
166.9508	200.6	0.0072346651871988575	-22.34447706832127		-1.3652222644367775		
167.9542	200.99	0.007939948969300722	-18.614608533550363		-3.1302390960744155		
168.9489	200.6	0.007939948969300722	-19.28376183726822		-1.3612965565910677		
169.0691	47.77	0.007939948969300722	-18.12658674313993	C8H9NO3	-1.7717599397970467	4-Hydroxyphenylglycine,Isopyridoxal,Pyridoxal,3alpha,4,7,7alpha-Tetrahydro-4-hydroxy-1H-isoindole-1,3(2H)-dione,3-Methoxyanthranilate,3alpha,4,5,7alpha-Tetrahydro-5-hydroxy-1H-isoindole-1,3(2H)-dione,N-(4-Hydroxyphenyl)glycine,2-Hydroxy-N-(2-hydroxyphenyl)acetamide	kp964_167.0584
172.0718	300.72	0.04549343499981068	-6.838231441199601	C6H9N3O3	-2.57955628028488	6-Diazo-5-oxo-L-norleucine,Metronidazole	kp1069_171.0645
264.9278	200.86	0.012250567963130662	-12.6609735679003		-1.382067823677744		
266.0748	157.57	0.02366475995202128	-9.926821632266586	C9H13N3O5	-2.89325253235123	Cytidine,Arabinofuranosylcytosine,4-Amino-5-hydroxy-1-[(2R,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one,Cytarabine,gamma-Glutamyl-beta-cyanoalanine	kp688_243.0855
174.0388	134.32	0.04549343499981068	-6.931886869358892		-1.2427414798763223		
174.0551	28.5	0.04549343499981068	6.945345032947133	C10H7NO2,C5H8ClN5	3.8161518884897845	Quinoline-4-carboxylic acid,1-Nitroso-2-naphthol,N-Phenylmaleimide,Quinoline-3-carboxylic acid,1-nitronaphthalene,Quinaldic acid,Deisopropylatrazine	kp214_173.0476
275.0673	191.12	0.0326551555127748	8.097574179780052	C16H12O3	1.6520989952260798	7-Hydroxy-2-methylisoflavone,2-Benzoyloxycinnamaldehyde,Anisindione	kp850_252.0783
317.0035	200.6	0.03601936645945328	7.753679106590828		0.2645544435577598		
217.1185	284.47	0.02366475995202128	-9.852678467992384		-4.318352913242368		
