m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
146.0271	190.46	0.04749608998346361	13.598222447825528		3.184332365837026		
150.0775	198.21	0.04749608998346361	-13.661278861011358	C6H7N5	-0.27653474645732956	1-Methyladenine,3-Methyladenine,9-Methyladenine,6-Methyladenine,7-Methyladenine	kp271_149.0702
198.0876	251.39	0.013656832394117835	-22.2064368759571		-1.4619308313874164		
370.0577	269.31	0.014959596491803036	20.876530504042236		5.042852121496846		
332.2067	27.32	0.00881756294141998	36.08910817874887		2.8043862023158077		
382.2436	28.1	0.016812056943681358	19.252645311953316		2.704246609772891		
503.1176	361.19	0.00881756294141998	32.66212407950205		1.363538585463921		
639.6569	125.08	0.00999473009394697	28.068129063008563		6.252383023128001		
654.0853	127.97	0.00999473009394697	26.597336380077433		4.927385653913083		
813.707	152.81	0.04683902139118595	14.294026593793722		2.826488838141074		
855.5532	143.45	0.016812056943681358	19.02661642986247		2.7239440674462365		
816.077	181.37	0.01201053469869713	24.012205202596775		1.1714215027503414		
