m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
132.0446	28.24	0.007068125261883879	-9.155626318062133	C8H5NO	-2.7914709748987008	indol-2-one	kp3_131.0375
132.0527	159.14	0.01780565464553261	-5.906561759524265		-1.1980054451793904		
218.0653	269.18	0.0064405236919727795	-9.784497717217771		-0.9749770559476119		
132.1152	265.76	0.0064405236919727795	-9.775450189281244		-1.2069524561448155		
73.0848	209.69	0.018367538260810886	-5.828975136934335		-0.7751835916572674		
176.0295	216.13	0.002279771944424919	-19.39010541505401		-1.657699074834884		
132.9874	108.14	0.04712243491080303	-3.8723061729040977		-0.5428503853127111		
133.0861	26.79	0.007436389016301871	8.84714333811213		0.42004038560127555		
219.0267	204.67	0.023232934856603625	5.2401821884312		1.1197908114478992		
219.0576	269.31	0.007844730014547548	-8.573646134642456	C13H11ClO,C11H10N2OS	-0.9632639866927057	2-Benzyl-4-chlorophenol,(E,E)-1-Chloro-3,11-tridecadiene-5,7,9-triyn-2-ol,3-(Isothiocyanatomethyl)-1-methoxy-1H-indole	kp659_218.0508
133.1222	266.16	0.0058383945929304905	-10.620307722362327		-1.2263389247117615		
133.1247	265.76	0.0029469408629447646	-16.196199848827938		-1.2202702814240745		
134.0353	190.85	0.0064405236919727795	10.053925118763361	C5H8O2S	1.2945449738775103	3-Methyl sulfolene	kp21_132.0248
134.0813	41.57	0.006815703836816475	-9.446162361840937	C5H11NO3	-2.1914059032543562	Amyl nitrate,L-2-Amino-5-hydroxypentanoic acid,3-Hydroxynorvaline,N-Lactoyl ethanolamine,1,4-Dideoxy-1,4-imino-D-ribitol	kp72_133.0739
220.03	198.21	0.010219551431025877	7.537716954194756		1.2297677560574378		
220.03	204.67	0.02271922463342571	5.293811788478667		1.08643451132005		
220.03	210.74	0.030853890817174393	4.646209941041847		2.752913514252217		
220.0371	204.54	0.017963314827222014	5.881731189735781	C9H11NO3	1.5425700068705233	2-Amino-3-hydroxy-3-phenylpropanoic acid,D-Tyrosine,4-Hydroxy-4-(3-pyridyl)-butanoic acid,L-Threo-3-Phenylserine,Meta-Tyrosine,4,6,7-Trihydroxy-1,2,3,4-tetrahydroisoquinoline,Beta-Tyrosine,L-Tyrosine,o-Tyrosine	kp76_181.0739
135.0277	190.72	0.007475431862283999	8.778040793584472		1.2340916972219809		
178.0242	202.96	0.0029469408629447646	-16.312588062817678		-2.2600384432531655		
178.0711	191.12	0.013271241928051973	-6.673879487099927		-0.5867722486652269		
221.0248	198.21	0.01239239839577613	6.869612181133264		1.3315608819918516		
221.0248	204.67	0.020326607921824204	5.535552450158651		1.1546757914159222		
