m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
132.0446	28.24	0.023317013453206317	6.060090363937339	C8H5NO	3.4757827961016545	indol-2-one	kp1_131.0375
132.0527	159.14	0.016507386567460508	-6.909765987421481		-1.0914175584384793	132.0527_M+H+	
132.0809	155.99	0.0017722017581114314	-15.374357804119336		-2.545938513336427	132.0809_ACN	
218.0598	269.31	0.00015205399394572485	40.87145833426348		2.5240083176127257	218.0598_Na/H	
218.0653	269.18	0.005652344282109222	10.090894878304157		1.773029464086946	218.0653_M+H+	
132.1152	265.76	0.0026038706236438188	13.381120350405366		1.5252184575451793	132.1152_M+H+	
132.1214	265.76	0.00111851938236366	17.992804638132586		1.540680822283722	132.1214_M+H+	
73.0848	209.69	0.008608325699640691	-8.7740254490173		-1.289402870466283	None	
132.9874	110.9	0.043156975258158634	4.772141401166775		1.1794698539275608	None	
132.9874	112.74	0.02311573665248616	6.093798611738709		1.7523165628589403	None	
133.0319	190.85	0.0035774554080198885	-12.009390737452371	C5H8O2S	-1.8888468703963177	3-Methyl sulfolene	kp14_132.0246
133.0762	257.72	0.0008803992004765354	-19.843330650945795		-1.4402336002246194	133.0762_ACN	
218.9964	425.47	0.00012249865005291633	44.0750922098086	C7H6O6S	2.6184102030648972	5-Sulfosalicylic acid,3-hydroxybenzoic acid-3-O-sulphate,4-hydroxybenzoic acid-4-O-sulphate,4-Methylcatechol sulfate	kp3626_217.989
219.0576	269.31	0.004645600228412433	10.846815262103625	C13H11ClO,C11H10N2OS	1.653958225705832	2-Benzyl-4-chlorophenol,(E,E)-1-Chloro-3,11-tridecadiene-5,7,9-triyn-2-ol,3-(Isothiocyanatomethyl)-1-methoxy-1H-indole	kp420_218.0504
133.1185	265.63	0.005297650777500192	10.341773004529252		1.2981967041537459	133.1185_M+H+	
133.1185	267.47	0.0011120628974890243	18.08045079410111		4.724154295092463	None	
133.1222	266.16	0.00246140048547779	13.71850193639533		1.7195460757626755	None	
133.1247	265.76	0.0009272031373062431	19.526029146992776		1.6563858137915375	133.1247_M+H+	
134.0353	190.85	0.004771287836444283	-10.727957230754006	C5H8O2S	-1.843265587534546	3-Methyl sulfolene	kp14_132.0246
134.0813	41.57	0.00022865069105554395	34.11683593707945	C5H11NO3	2.709143472722584	Amyl nitrate,3-Hydroxynorvaline,1,4-Dideoxy-1,4-imino-D-ribitol,N-Lactoyl ethanolamine,L-2-Amino-5-hydroxypentanoic acid	kp48_133.0739
