m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
109.0285	24.93	0.002463105072202783	7.060686522822076		1.0066443385673303		
170.0701	49.85	0.0007763603013292648	9.233126434415896		0.5970950854742298		
171.0479	32.33	0.00013485999033003077	15.393073713842615		1.8312262818885472		
171.0769	292.24	0.021687688324745526	-4.1475792837452445	C7H12N2O3	-2.7204867320176263	Glycylproline,Glycyl-D-proline,Prolylglycine	kp98_172.0845
82.9531	34.82	0.006851928598680938	-5.417949826099412		-0.5511321725115153		
116.0061	297.63	0.002914126593878471	-6.7838108845551615		-2.685688952021053		
116.0478	209.92	0.008645988336283193	5.138836636856731		0.7620107903511979		
172.985	201.48	0.014173431517097467	-4.580986857166404		-0.936333660373105		
146.0814	180.11	0.028138815728137763	3.8627484204813642		0.30817612322163157		
172.9907	25.73	0.002180263228618131	7.404740834922658	C6H6O4S,C6H6O4S	0.8386700002800325	Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid	kp172_173.9979
172.9907	27.57	0.006318608145832947	5.5395634886148315	C6H6O4S,C6H6O4S	0.4795140325445608	Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid	kp171_173.9981
116.0936	210.05	0.023249816451446956	4.084445240072849		0.5914261455818135		
84.9502	34.69	0.007282912221510549	-5.3487649940182616		-0.6768608761305117		
147.0176	270.31	0.007970231163882662	-5.22994231801551		-4.367580144412592		
147.0667	197.78	0.0008325978150875332	9.105796944595767	C7H12OS	0.5744770213426449	S-(3-Methyl-2-butenyl) ethanethioate	kp61_144.0607
87.0441	192.1	0.031074958390621705	3.7763053273959724		0.25606803150373736		
117.0677	210.31	0.0004600786932759144	11.13333363142922		0.7224112138098207		
173.994	25.59	0.0005234382632600546	10.242906520930616	C6H6O4S,C6H6O4S	1.1029180049090286	Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid	kp172_173.9979
174.0114	259.25	0.002484423234399577	7.024335841056495	C7H7FO2S	1.2254322565426001	Phenylmethylsulfonyl fluoride,p-TOLUENESULFONYL FLUORIDE	kp186_174.0154
118.0746	210.31	0.0004600786932759144	10.631768462649925		0.7614242601960974		
149.0462	189.84	0.0004600786932759144	10.729862783317847		0.8345876071208309		
149.0462	191.05	0.007835578983705143	5.25136916022282		0.8045317825634442		
149.0599	34.69	0.0004600786932759144	10.911315588200088		1.1027149217705556		
174.9865	25.73	0.025110955972222935	3.9864745311988443		1.9590079402706984		
174.9865	27.57	0.00298054243725341	6.700699483070588		0.9100990540891196		
175.0718	305.9	0.03345015354607454	-3.7005491172149436		-1.022134492075974		
151.0586	50.11	0.001969733157949005	7.659031908394689		0.41275031493045944		
152.995	191.97	0.005453434016525358	-5.773637310082916	C3H7O5P	-2.385046093565432	2-Phosphonopropionic acid	kp330_154.0023
95.9751	191.05	0.006318608145832947	5.540963910051926		0.5969346489454743		
122.0601	49.85	0.009562934749740876	5.037219186577914		0.397768545903773		
97.9762	201.35	0.006148250332490782	-5.587789242351528		-0.4973171117845716		
155.8733	29.01	0.0033251238763532397	6.5176258640057885		1.2785138345979092		
100.0394	191.84	0.00013485999033003077	14.950049619221101		0.8244546482457302		
157.9933	201.61	0.02580432691128501	-3.954331959023079		-0.11412794989672648		
181.0594	192.63	0.00220895258810267	7.255690912933606		0.7587954179810623		
181.0594	213.59	0.007413204080060833	5.30820108183795		0.9417241350055825		
182.0428	221.47	0.0004955609976174231	10.417591753547786		1.139654271899456		
132.0115	165.25	0.013750074523713884	-4.611175667961962		-1.11977763973049		
132.0115	169.87	0.007381700429912539	-5.320104886033323		-1.2994506470819935		
132.0374	192.1	0.04186881318617362	3.4889772940992505		0.24433944411416775		
195.1386	26.52	0.000659784135332824	9.770127446202903		1.8157724439292267		
184.0585	210.31	0.026072078651147933	3.9357737243808897	C6H13NO4	0.3114378508788924	1-Deoxynojirimycin,2-Amino-4-ethoxy-3-hydroxybutanoic acid,Bicine	kp3405_163.0838
184.0585	215.17	0.002441806161351466	7.0841259360571245		1.1763064820445166		
196.8765	151.01	0.010605977308373893	-4.892761592675308		-0.7094838420812053		
160.0397	37.18	0.004381132497608317	-6.160547304815459		-0.9190823147967571		
160.0608	191.71	0.007381700429912539	-5.3181033272430005	C6H11NO4	-0.4323926415368149	3-Aminoadipic acid,N-methyl-L-glutamic Acid,(±)-2,2'-Iminobispropanoic acid,N-Acetylthreonine,Glutamic acid gamma-methyl ester,Aminoadipic acid,2-Aminoadipic acid,Carboxybetaine,hydroxybutyrylglycine,Acetylhomoserine	kp664_161.068
197.0619	221.47	0.0003843001817984599	11.814435992719108	C7H13NO4	1.1265095299131893	hydroxyvalerylglycine,(S)-Dimethyl 2-aminopentanedioate,Pegorgotein,Glabrin A,Calystegine B5,Calystegine B2,2-Aminoheptanedioic acid,N-Carboxyethyl-g-aminobutyric acid,2-(Carboxymethylamino)-3-methylbutanoic acid	kp625_175.0839
161.056	325.2	0.006664732529049125	-5.456562880427486		-2.662449666063832		
136.0478	35.74	0.01044328558659874	4.921772702900007		1.9504033323734156		
137.9857	163.67	0.005363707924622938	-5.797457580520303		-3.481794903572613		
187.0009	201.48	0.005966301763609229	-5.642855696076028	C5H10O5	-1.0230320838860116	alpha-D-Arabinofuranose,2-Deoxyribonic acid,D-Ribose,D-Ribulose,D-Xylose,alpha-L-arabinofuranose,L-Arabinose,L-Xylulose,2-Deoxypentonic acid,D-Arabinose,L-Ribulose,Arabinofuranose,D-Apiose,D-Threo-3-Pentulose,D-Xylulose,D-Arabinopyranose,(2R,3R,4R)-2,3,4,5-Tetrahydroxypentanal	kp735_150.0523
138.9521	273.99	0.00015338669607170596	-14.34622535978166		-5.164315744054097		
163.0393	34.95	0.003441995664002142	-6.470551463997166		-1.8493634959213558		
199.0332	222.39	0.049275459112043674	3.351635713489389		0.7162574470074539		
187.1334	34.82	0.001391677509352196	8.108797039173727		0.8969731291847332		
188.0559	297.76	0.04186881318617362	-3.491882814050534		-0.7116800131435639		
188.981	190.66	0.004337678114758506	6.1801775940463575		0.2794341595761942		
