m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
143.0535	152.45	0.041260368175122734	5.549774158763313		0.7188869575485839		
171.0479	32.33	0.012412165150944184	9.180554032899703		1.0073534868839111		
171.0769	292.24	0.030486495417224597	-6.2973587971563	C7H12N2O3	-2.8854498746625943	Glycyl-D-proline,Glycylproline,Prolylglycine	kp98_172.0845
172.0398	28.62	0.004032622252036162	16.06083332436432		5.703829022357585		
172.8276	1.56	0.028281454456524878	-6.684120927727006		-0.22025516100508824		
116.0061	297.63	0.0020369320514343307	-25.1732048227921		-3.27603656971084		
172.985	201.48	0.004433549287399569	-15.114167117236287		-0.7957390212198412		
172.9907	25.73	0.01204898346094401	-9.442436273563233	C6H6O4S,C6H6O4S	-0.738928037995759	Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid	kp172_173.9979
147.0176	270.31	0.02390820669260378	-7.13670466902502		-4.63556832979264		
174.0114	259.25	0.009530384143794562	-10.935927655021333	C7H7FO2S	-2.7583233985356657	p-TOLUENESULFONYL FLUORIDE,Phenylmethylsulfonyl fluoride	kp186_174.0154
149.0462	191.05	0.00755180755190204	-11.965861842400338		-0.8463282338839591		
175.0353	318.24	0.0402642797142954	-5.611558285417696		-0.9193467843651177		
150.0413	135.98	0.004032622252036162	-16.058399958992194		-1.4791742781630681		
175.8391	150.06	0.028281454456524878	-6.632865630145113		-0.6305832125036268		
151.0586	50.11	0.04674002197293361	5.237594265050936		0.48958773549238543		
152.8829	134.8	0.01108768850507662	9.918146132722669		0.2821239379151095		
152.995	191.97	0.011080002694027565	-10.10543614495856	C3H7O5P	-3.3763048414009624	2-Phosphonopropionic acid	kp330_154.0023
127.0754	191.71	0.010479324333662155	-10.430653648892841		-0.5395162410436534		
132.0115	165.25	0.01204898346094401	-9.36581644740021		-1.1985504521310268		
159.0556	28.09	0.031040528407343507	6.243034797349837		2.6406375245975404		
195.0605	269.53	0.00755180755190204	11.825615486902288		0.744717586454712		
195.1386	26.52	0.025964294462481267	6.859496163142934		1.1722477615735407		
160.0608	191.71	0.006747329231739657	-12.416136233748576	C6H11NO4	-0.5385641553626925	2-Aminoadipic acid,N-methyl-L-glutamic Acid,Aminoadipic acid,N-Acetylthreonine,hydroxybutyrylglycine,3-Aminoadipic acid,Glutamic acid gamma-methyl ester,Acetylhomoserine,(±)-2,2'-Iminobispropanoic acid,Carboxybetaine	kp664_161.068
135.9015	134.53	0.028281454456524878	6.590192466841538		0.4402924559991561		
186.0182	135.85	0.004032622252036162	-16.34744276142418		-1.5256002846900039		
187.0009	201.48	0.001144315933056542	-34.055178732420664	C5H10O5	-1.198150669298542	2-Deoxyribonic acid,Arabinofuranose,D-Xylulose,2-Deoxypentonic acid,(2R,3R,4R)-2,3,4,5-Tetrahydroxypentanal,D-Xylose,D-Threo-3-Pentulose,D-Arabinopyranose,D-Apiose,D-Arabinose,L-Arabinose,alpha-L-arabinofuranose,L-Ribulose,alpha-D-Arabinofuranose,D-Ribose,D-Ribulose,L-Xylulose	kp735_150.0523
138.9521	273.99	0.02155468211163931	-7.403784818497551		-4.168052626520964		
163.0393	34.95	0.012061109816775897	-9.324576876121029		-2.9669750700380746		
188.0559	297.76	0.01882306317519424	-7.876651843385218		-0.99023073430347		
188.9981	201.61	0.011080002694027565	-10.043430898139734		-1.4431367505042196		
189.0511	374.18	0.029502807622770275	-6.392849195908762	C7H9NO5	-2.52311837273907	1-(Malonylamino)cyclopropanecarboxylic acid,(1R,4R,5S,6R)-4-Amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid	kp698_187.0478
190.0716	183.53	0.0020369320514343307	-25.76769475254891	C7H13NO5	-5.09957837537717	Calystegine C1	kp862_191.0784
219.0619	373.92	5.2338704761671744e-05	-79.22393168978407		-5.184027619554502		
167.0536	47.88	0.01108768850507662	-9.933812295708199	C8H9NO3	-0.7342349131838191	Pyridoxal,3alpha,4,7,7alpha-Tetrahydro-4-hydroxy-1H-isoindole-1,3(2H)-dione,3-Methoxyanthranilate,4-Hydroxyphenylglycine,Isopyridoxal,3alpha,4,5,7alpha-Tetrahydro-5-hydroxy-1H-isoindole-1,3(2H)-dione,N-(4-Hydroxyphenyl)glycine,2-Hydroxy-N-(2-hydroxyphenyl)acetamide	kp842_167.0583
202.9969	191.71	0.045876931951756815	-5.28850157791303		-0.5740826913443193		
203.0016	30.59	0.017548103278909644	-8.079015208505021	C7H8O5S,C7H8O5S	-1.1944398055500152	3-Methylcatechol 2-sulfate,Sulfuric acid 4-methoxyphenyl ester,4-Methylcatechol 2-sulfate,4-Methylcatechol 1-sulfate,O-methoxycatechol-O-sulphate,3-Methylcatechol 1-sulfate,3-Methoxyphenol sulfate,3-Methylcatechol 2-sulfate,Sulfuric acid 4-methoxyphenyl ester,4-Methylcatechol 2-sulfate,4-Methylcatechol 1-sulfate,O-methoxycatechol-O-sulphate,3-Methylcatechol 1-sulfate,3-Methoxyphenol sulfate	kp947_204.0089
203.0669	369.06	0.0026170108533388496	-20.993059430299624		-2.9887188853852322		
204.005	30.59	0.0020369320514343307	-24.62576974079411	C7H8O5S,C7H8O5S	-2.5574883207959296	3-Methylcatechol 2-sulfate,Sulfuric acid 4-methoxyphenyl ester,4-Methylcatechol 2-sulfate,4-Methylcatechol 1-sulfate,O-methoxycatechol-O-sulphate,3-Methylcatechol 1-sulfate,3-Methoxyphenol sulfate,3-Methylcatechol 2-sulfate,Sulfuric acid 4-methoxyphenyl ester,4-Methylcatechol 2-sulfate,4-Methylcatechol 1-sulfate,O-methoxycatechol-O-sulphate,3-Methylcatechol 1-sulfate,3-Methoxyphenol sulfate	kp947_204.0089
221.0851	31.93	0.031604402707548586	6.169094665993887		0.5102662424605562		
193.0536	34.43	0.0026170108533388496	21.42931295470477		0.9164597301085102		
205.0357	32.33	0.01146350164574114	-9.786501663195367		-0.811757042452868		
193.0647	269.79	0.005001673781183192	14.13547314217884		0.8886413357321459		
243.0622	160.23	0.005001673781183192	-14.246848346291266	C9H12N2O6	-1.6297678960661166	Pseudouridine,Uridine,1-[(2R,3R,4S,5R)-3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxypyrimidin-2-one,1-[(2R,3S,5R)-3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione	kp1041_244.0695
194.0633	269.79	0.040732079395247464	5.581579330831994		0.9274781043043738		
194.0681	269.79	0.009753689392176404	10.744705230336097		0.8462100001840298		
244.0227	321.66	0.005111456192129566	-13.783112004123517		-2.0083352046188807		
244.0656	160.23	0.0385267824448048	-5.69363740944266	C9H12N2O6	-3.9605968933005116	Pseudouridine,Uridine,1-[(2R,3R,4S,5R)-3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxypyrimidin-2-one,1-[(2R,3S,5R)-3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione	kp1041_244.0695
207.0694	33.64	0.0058043513135097365	12.992834930183005		0.6008985681871692		
268.8012	134.53	0.021100541361498346	7.488555385075508		0.4508672864529437		
226.0831	231.09	0.0020369320514343307	-24.038340163317404		-4.303743922588312		
227.0392	36.13	0.021078745636353702	-7.568178625932127		-0.5212830641131454		
210.8419	134.8	0.04674002197293361	5.219133228169293		0.29720833773897226		
249.0396	321.79	0.014994250960120754	-8.604637832816522		-1.179501564872087		
252.0742	191.84	0.0258619823950493	6.906346443835313		1.581350073682028		
252.0742	210.57	0.018005547496045434	7.996677916777595		1.2308078936956655		
231.0503	189.45	0.013277629727491802	8.915734931219411		0.6481070905160422		
253.0665	191.58	0.028846257350781744	6.457119818372754		1.788021264868732		
253.0665	210.84	0.005111456192129566	13.717705145565523		1.2352811638980903		
253.0864	301.7	0.045876931951756815	5.288788555054083	C16H14O3	0.4709164754218662	Fenbufen,Dexketoprofen,Ketoprofen,2,6-Dimethoxy-4-phenanthrenol,3,6-Dimethoxy-4-phenanthrenol	kp1361_254.0938
254.0901	301.7	0.04142312419687341	5.497052369759062	C16H14O3	0.4436490366956676	Fenbufen,Dexketoprofen,Ketoprofen,2,6-Dimethoxy-4-phenanthrenol,3,6-Dimethoxy-4-phenanthrenol	kp1361_254.0938
214.0482	294.61	0.0385267824448048	-5.692610977155659	C10H11NO3	-0.8381788928102125	Betamipron,n-benzoyl-d-alanine,Actarit,2-Methylhippuric acid,Methyl hippurate,N-Formyl-dl-phenylalanine,p-Methylhippuric acid,Methyl n-acetylanthranilate,3-Carbamoyl-2-phenylpropionaldehyde,Phenylacetylglycine,4-Anilino-4-oxobutanoic acid,m-Methylhippuric acid,N-Formylphenylalanine,4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	kp958_193.0736
233.0777	369.06	0.031604402707548586	-6.1614217391837505		-1.7983997444806263		
276.0546	204.63	0.010655044326092602	-10.329854208109131		-3.468532659046094		
278.0438	204.24	0.016053499929947663	8.358851822893879		0.34432657952013557		
278.0883	213.46	0.004910276635015291	14.587097336651718		0.7887015424877468		
256.9908	258.6	5.2338704761671744e-05	80.5626829060537		3.3079608069279516		
279.0476	204.11	0.04755501660324029	5.183704536901938		0.5324880096801721		
279.0569	36.4	0.049464388343013935	5.0968660135250285	C11H12N4O3S	0.5048480531126387	Sulfamethoxypyridazine,Sulfameter,Sulfametopyrazine,Sulfamonomethoxine	kp1506_280.0642
217.0126	191.71	0.015148711590620223	-8.549431379618031		-0.7047361086006063		
217.036	192.5	0.028846257350781744	6.456495850857326		2.0377575576236957		
217.0827	340.83	0.01238409639538972	-9.223028394993268	C8H14N2O5	-4.85562933293269	Alanylglutamic acid,Serylhydroxyproline,N-gamma-L-Glutamyl-D-alanine,Glutamylalanine,gamma-Glutamylalanine,Hydroxyprolyl-Serine	kp1548_218.09
217.8577	149.8	0.049531493948710065	-5.085138236001867		-0.7334594662933291		
218.0222	204.24	0.028518660221406346	6.538213266210344	C9H11NO3	0.5322069757736756	2-Amino-3-hydroxy-3-phenylpropanoic acid,Meta-Tyrosine,4,6,7-Trihydroxy-1,2,3,4-tetrahydroisoquinoline,Beta-Tyrosine,4-Hydroxy-4-(3-pyridyl)-butanoic acid,L-Tyrosine,L-Threo-3-Phenylserine,o-Tyrosine,D-Tyrosine	kp512_181.0734
281.2488	26.91	0.009605086035622077	10.849714570781371	C18H34O2	2.192605538625635	Vaccenic acid,trans-10-Octadecenoic acid,7-Octadecenoic acid,Octadec-5-enoic acid,cis-15-Octadecenoic acid,cis-Vaccenic acid,Oleic acid,11-Aoctadecenoic acid,Octadecenoic acid,Ethyl 9-hexadecenoate,Octadec-9-enoic Acid,trans-14-Octadecenoic acid,trans-8-Elaidic acid,(Z)-13-Octadecenoic acid,7Z-octadecenoic acid,trans-15-Octadecenoic acid,trans-12-Octadecenoic acid,cis-12-Octadecenoic acid,Petroselinic acid,trans-16-Octadecenoic acid,Elaidic acid,6-Octadecenoic acid,trans-4-Octadecenoic acid	kp1575_282.2561
218.0667	284.36	0.01204898346094401	-9.445975332918579	C8H13NO6	-3.1002463805028206	O-Succinyl-L-homoserine	kp1578_219.074
281.8637	134.14	0.04140631917950125	-5.522824111090485		-0.36787094680735066		
282.0071	50.11	0.005111456192129566	13.617209250735021		0.43702878674775647		
282.0834	167.9	0.004032622252036162	-16.00305375350005	C17H13NO4	-2.8221891864056836	Piperolactam D	kp3583_295.0837
219.0193	204.11	0.02451002779141894	7.068296677055398		0.5482889330378242		
239.0595	149.4	0.04140631917950125	-5.510521434451993	C9H20OS3	-0.953453587248628	Propyl 1-(propylsulfinyl)propyl disulfide	kp1393_240.0665
239.0707	229.91	0.035493927149801555	5.9114523553687475	C15H12O3	1.6791025448013457	2,3-Dihydroflavon-3-ol,Lettucenin A,2',5'-Dihydroxychalcone,Chrysophanol-9-anthrone,3',4'-Dihydroxychalcone,Idronoxil,4'-Hydroxyflavanone,2,4-Dihydroxychalcone,2-Hydroxyflavanone,3'-Hydroxyflavanone	kp1623_240.078
261.073	308.0	5.117124876541103e-05	-104.86617415162266		-4.38719723849939		
262.8131	150.88	0.04140631917950125	-5.50917908720594		-0.8034080492680644		
241.181	28.22	0.013044450291724607	9.022010649539238		0.7422495368447137		
288.9692	297.76	0.002695502021424026	-20.421340708300594		-3.0342874913685094		
318.9801	268.74	0.0020369320514343307	-26.363373844626967		-3.0025392627658007		
318.9801	270.45	0.0167026902690902	-8.213282192907823		-2.599141756051175		
266.005	322.05	0.003908303824130552	-17.127384438712017		-1.046716470151452		
289.9686	298.02	0.003890715002766184	-17.39648272691312		-3.156622881823452		
319.077	189.58	0.01204898346094401	9.514684219808		0.5768937905531217		
300.1066	179.59	0.04298233783994476	5.429684541199358		0.41964204210183453		
290.9659	297.89	0.004433549287399569	-15.165980990850993		-3.15932848404875		
292.034	210.18	0.03181169958580608	-6.136030058214155	C9H16N3O2PS2	-0.9092946230609833	Pirimiphos	kp3667_293.0408
348.9352	297.76	0.004183850334642357	-15.65234190802981		-2.899172910252574		
325.0907	189.31	0.028518660221406346	6.520273538018069		0.5151039022874215		
325.1255	279.24	0.031040528407343507	6.222317777678302		1.0315593432213852		
349.0918	210.05	0.029502807622770275	-6.385082694468883	C18H22BrNO	-0.5734564818146666	Embramine	kp1899_347.0897
376.021	203.85	0.04762371900590387	5.171485869714214		0.7956089373982458		
305.9779	165.51	0.008332349402287007	-11.38815094472605		-1.7691333433138077		
351.0144	321.26	0.021100541361498346	-7.496617372796725	C18H8O8	-0.7553707231720956	Thelephoric acid	kp1901_352.0217
377.0238	189.05	0.019625677290249697	7.73796864624418		0.5850220039610221		
379.0007	32.46	0.02453135635047978	7.045641524837997		0.9145874909398799		
333.0596	191.97	0.011796141987789114	-9.66914512626123		-5.178364365145157		
333.0596	350.67	0.010362976764204246	-10.51879529151298	C9H19O11P	-1.246768944718692	Glycerophosphoinositol	kp2154_334.0671
