m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
108.9777	212.81	0.0006583706781010248	8.834818650029472		2.2717172688481924	108.9777	
109.0285	24.93	0.0027390222661587697	6.593860322864698	C3H8NO,CH6N4,C4H3N3O	0.8415187324994235	3-amino-propanal,Aminoguanidine,Imidazooxazole	3803
169.0692	50.11	0.0031455370624681547	6.352885008438529	C8H11NO3	0.3179942785743286	Norepinephrine,Pyridoxine,6-Acetyl-2,3-dihydro-2-(hydroxymethyl)-4(1H)-pyridinone,5-Hydroxydopamine,6-Hydroxydopamine	kp437_169.0733
170.0564	301.17	0.0010266608039522077	-8.082420069278827	C6H9N3O3,C6H11N3O4	-2.528737713287633	6-Diazo-5-oxo-L-norleucine,Metronidazole,Citramide,Asparaginylglycine,Glycyl-Asparagine,Caracemide,Glycylglycylglycine	4098
170.0564	309.57	0.001506280978429027	-7.4529245707485865	C6H9N3O3,C6H11N3O4	-2.098457395100855	6-Diazo-5-oxo-L-norleucine,Metronidazole,Citramide,Asparaginylglycine,Glycyl-Asparagine,Caracemide,Glycylglycylglycine	4099
170.0701	49.85	0.0004754860563196212	9.505408604650786		0.5093725288961117	170.0701	
74.0059	212.41	9.919620046135835e-07	31.750564403789294		7.043714050292795	74.0059	
171.0479	32.33	4.812131906650966e-05	15.037379259950791	C8H14O3S,C6H9N3OS	1.7342473385440655	Ethyl 4-(acetylthio)butyrate,Methioprim	4819
171.0769	292.24	0.018701284869309293	-4.254035426048803	C7H12N2O3,C7H14N2O4	-2.950467820416577	Prolylglycine,Glycylproline,Glycyl-D-proline,2-Amino-4-[(2-hydroxy-1-oxopropyl)amino]butanoic acid,N-(gamma-Glutamyl)ethanolamine,Diaminopimelic acid,Threonylalanine,Alanylthreonine,(2R,6S)-2,6-Diaminoheptanedioic acid	4920
171.5435	297.23	0.007952917902904857	-5.132322393886986		-3.0011281332980033	171.5435_M-H-, 2x charged	
144.0293	212.15	0.021239967137005034	-4.126273363079447		-0.7563564300688483	144.0293_M-H-	
115.0027	297.76	0.002822612066771631	-6.5330913444707095		-2.725549687660589	115.0027_M-H-	
82.9531	34.82	0.004466609164738437	-5.865906817481023		-0.6774160070485031	82.9531	
116.0061	297.63	0.002227629779087813	-6.858103621912842		-2.8828325626484137	116.0061_M-H-	
116.0478	209.92	0.00974565958733877	4.922181339848019	C5H8O3	0.6889026815401209	alpha-Ketoisovaleric acid,2-Methylacetoacetic acid,Methylacetoacetic acid,Glutarate semialdehyde,Levulinic acid,2-Oxovaleric acid,Acetoxyacetone,Ethyl pyruvate,3-Oxopentanoic acid	5801
172.985	201.48	0.011785276969893059	-4.703365757569152		-1.0229163221946465	172.985	
172.9907	25.73	0.00212447714364339	6.919765575367853	C6H6O4S,C6H6O4S	0.6678657307934834	Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid	5819
172.9907	27.57	0.010338135132191683	4.849170364416854	C6H6O4S,C6H6O4S	0.34623477552966975	Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid	5820
146.0814	180.11	0.04102304791182468	3.519355165118846		0.22322550425856136	146.0814	
116.0936	210.05	0.03596275336895986	3.6344631152489866		0.5632525409160998	116.0936	
84.9502	34.69	0.004505911214002175	-5.841337546557084		-0.7688424528908833	84.9502	
173.0083	259.39	0.005278555720498894	5.61303878789311	C6H6O6,C6H8O7,C7H7FO2S	0.7850927762786917	Dehydroascorbic acid,Aconitic acid,Dehydroascorbide(1-),trans-Aconitic acid,cis-Aconitic acid,dehydroascorbate (bicyclic form),Citric acid,Diketogulonic acid,Isocitric acid,(1R,2R)-Isocitric acid,D-threo-Isocitric acid,D-Glucaro-1,4-lactone,2,3-Diketo-L-gulonate,2,3-diketogulonate,Phenylmethylsulfonyl fluoride,p-TOLUENESULFONYL FLUORIDE	5996
147.0176	270.31	0.0071453526148672316	-5.253167810795973	C5H9NS2,C4H5NO5,C5H9NS2	-5.719628590335567	Prolinedithiocarbamate,Ibervirin,Pyrrolidine dithiocarbamate,N-Oxalylglycine,Prolinedithiocarbamate,Ibervirin,Pyrrolidine dithiocarbamate	6058
147.0667	197.78	0.000889023558046029	8.34225948429975	C6H12O4,C6H14O5,C6H11O4	0.5290945001872842	4,5-dihydroxyhexanoic acid,D-Digitoxose,2,3-dihydroxy-3-methylvalerate,(R)-2,3-Dihydroxy-3-methylvalerate,beta-tyvelose,Mevalonic acid,(2R,3R,4R,5S)-2-Methyl-tetrahydro-pyran-3,4,5-triol,Aldehydo-ascarylose,Glycerol 1-propanoate,Pantoic acid,(2-Methoxyethoxy)propanoic acid,1-Deoxy-D-glucitol,d-Fucitol,Rhamnitol,(2R,3R,4R)-Hexane-1,2,3,4,6-pentol,(R)-pantoate	6253
87.0441	192.1	0.047455482076284625	3.3776119654127585		0.16477179353058702	87.0441	
117.0677	210.31	0.0002731607751165723	10.680270588996391		0.7249709582346355	117.0677	
117.074	210.31	0.0005210308111795777	9.290163791463012	C6H14S	0.7460148937946016	1-Hexanethiol,Dipropyl sulfide,Diisopropyl sulfide	6444
173.994	25.59	0.0003706085488699007	10.003329019728385	C6H6O4S,C6H6O4S	0.9891045270562699	Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid	kp71_173.9979
148.9057	28.88	0.0010924673598652639	7.972063173270426		2.598087720043914	148.9057	
174.0114	259.25	0.0025003399223653237	6.713715175066357	C7H7FO2S	1.1898771720935777	Phenylmethylsulfonyl fluoride,p-TOLUENESULFONYL FLUORIDE	kp78_174.0154
149.0425	189.45	0.00570532784934915	5.514498962476758		2.4542910005628187	149.0425	
118.0746	210.31	0.00035321348364453117	10.090477247349991	C4H10N2O2	0.7506821278391591	N-Ethyl-N-(2-hydroxyethyl)nitrosamine,beta-N-Methylamino-L-alanine,Diaminobutyric acid,2,4-Diaminobutyric acid,4-Diaminobutyric acid,L-2,4-diaminobutyric acid,alpha-N-Methylamino-l-alanine	6713
118.0773	210.18	0.0002172840174489467	11.21907058713554	C6H14S	0.6689100475550092	1-Hexanethiol,Dipropyl sulfide,Diisopropyl sulfide	kp87_118.0812
149.0462	189.84	0.00035321348364453117	10.101986581603052	C5H10O5,C6H6N4O,C6H14S2	0.8316602879337509	alpha-D-Arabinofuranose,2-Deoxypentonic acid,D-Threo-3-Pentulose,(2R,3R,4R)-2,3,4,5-Tetrahydroxypentanal,D-Xylulose,L-Arabinose,L-Xylulose,D-Ribulose,L-Ribulose,D-Apiose,alpha-L-arabinofuranose,D-Ribose,D-Xylose,D-Arabinopyranose,2-Deoxyribonic acid,Arabinofuranose,D-Arabinose,9-Deazaguanine,1-Methylhypoxanthine,7-Methylhypoxanthine,Methyl pentyl disulfide,xi-1-(Propylthio)-1-propanethiol,Isopropyl propyl disulfide,Methyl isopentyl disulfide,Butyl ethyl disulfide,Dipropyl disulfide,1,6-Hexanedithiol,Diisopropyl disulfide	6763
149.0462	191.05	0.009504543304310891	4.946419817310331	C5H10O5,C6H6N4O,C6H14S2	0.88032724271687	alpha-D-Arabinofuranose,2-Deoxypentonic acid,D-Threo-3-Pentulose,(2R,3R,4R)-2,3,4,5-Tetrahydroxypentanal,D-Xylulose,L-Arabinose,L-Xylulose,D-Ribulose,L-Ribulose,D-Apiose,alpha-L-arabinofuranose,D-Ribose,D-Xylose,D-Arabinopyranose,2-Deoxyribonic acid,Arabinofuranose,D-Arabinose,9-Deazaguanine,1-Methylhypoxanthine,7-Methylhypoxanthine,Methyl pentyl disulfide,xi-1-(Propylthio)-1-propanethiol,Isopropyl propyl disulfide,Methyl isopentyl disulfide,Butyl ethyl disulfide,Dipropyl disulfide,1,6-Hexanedithiol,Diisopropyl disulfide	6764
149.0599	34.69	0.00035321348364453117	10.088041201751112		1.0081168386958552	149.0599	
174.9865	25.73	0.025687411494923717	3.940555512796943		2.107225046268262	174.9865	
174.9865	27.57	0.003152405364402056	6.346906685654408		0.8751532356924194	174.9865	
119.0491	198.3	0.002822612066771631	6.520978480283119	C6H5N3	1.0620386948778275	1H-Pyrazolo[4,3-b]pyridine,Imidazo[1,2-b]pyridazine,5H-Pyrrolo[2,3-b]pyrazine,1H-Benzotriazole,5H-Pyrrolo[3,2-d]pyrimidine,Pyrazolo[1,5-a]pyrimidine,4-Azabenzimidazole	7201
175.0718	305.9	0.03226271621909313	-3.7309470043606976	C6H12N2O4	-0.9664884560383484	Threonylglycine,(2S)-2-Amino-3-[(2S)-2-aminopropanoyl]oxypropanoic acid,N5-formyl-N5-hydroxy-L-ornithine,Alanylserine,Glycyl-Threonine,Serylalanine,Ethylenediamine-N,N'-diacetic acid	7366
91.0542	34.95	0.01895227225544348	-4.239191295799032		-3.3350032012796973	91.0542	
151.0586	50.11	0.0012737897396062493	7.6983984775621215		0.3252943485520987	151.0586_M-H-	
176.0193	329.14	0.041721062451900416	-3.5027599595913106		-0.2541063648767299	176.0193	
152.995	191.97	0.004466609164738437	-5.860528776410236	C4H6O4	-2.7613345523540183	Succinic acid,4-Hydroxy-2-oxobutanoic acid,xi-3-Hydroxy-2-oxobutanoic acid,Threonolactone,Methylmalonic acid,Erythrono-1,4-lactone	8010
176.0922	210.18	0.00017521316171789482	11.687592058662686	C5H12N4O3,C7H15NO4,C7H17NO5	0.9094354107415548	Nor-NOHA,Canavanine,N-Methyl-1-deoxynojirimycin,Methylglucamine,Meglumine	8024
153.0185	25.73	0.0011239206064149168	7.923040595017055	C2H6N4O2	0.9423013842606132	Biurea	8142
122.0601	49.85	0.010210067883871844	4.8684953234143835		0.3991247417958057	122.0601	
95.9751	191.05	0.0071453526148672316	5.257088601978922		0.7026654844807183	95.9751	
96.0274	32.85	0.04674717965643261	-3.395057530719333		-0.530278057442441	96.0274_M-H-	
124.0063	212.41	0.04854235870659543	-3.3513656649427945		-1.6425566503092348	124.0063	
178.8799	26.78	0.0007921562092961322	8.545142624537506		2.221710170880506	178.8799	
125.0347	34.95	0.005689576664793956	-5.5205193573546945		-0.9016703536541932	125.0347_M-H-	
97.9762	201.35	0.004722081560938539	-5.76584591266858		-0.5751099887896309	97.9762_M-H-	
155.8733	29.01	0.0030966639043043223	6.395636581702028	Sb	1.2212351874789817	Antimony	9531
127.0577	32.19	1.7660957454448692e-07	45.1009597577016		2.6725600296085865	127.0577	
179.8819	25.45	0.003128005774533933	6.38125580460265		1.5197551108390854	179.8819	
127.998	33.9	2.539868189987308e-06	25.744826448461776		6.01936538621883	127.998_M-H-	
100.0394	191.84	0.00011231020836584547	12.684755387275086		0.8021818141691419	100.0394	
157.0123	92.78	0.03187028953844538	3.7431746932668557	C4H3N3O4	3.854042897988247	Oxonic Acid	9974
157.9933	201.61	0.010900470922251975	-4.794839815359832		-0.1617320728254228	157.9933_M-H-	
181.0594	192.63	0.00211161880914873	6.935618603943607	C5H11NO6	0.8047174930595808	Pentaerythritol mononitrate	10424
181.0594	213.59	0.008614587584866124	5.04694482489878	C5H11NO6	0.8703038133671193	Pentaerythritol mononitrate	10426
130.05	182.35	0.0009805881994463344	-8.180487187694927		-1.3524871303786234	130.05	
158.0393	117.33	0.004227333097063778	5.938467922224218		1.1963496386651826	158.0393	
182.0428	221.47	0.0004821656686336388	9.436206847805625		1.179519920486495	182.0428_M-H-	
158.0603	25.86	0.003978372722806216	6.03151874147238	C8H6N4	1.6692067919719875	5,6-Dimethyl-2,3-pyrazinedicarbonitrile	11003
132.0115	165.25	0.009946838399530896	-4.89776234749328		-1.2327416198643455	132.0115	
132.0115	169.87	0.006400592377714262	-5.3901067759375945		-1.5975174948832418	132.0115	
183.0463	222.0	0.004651118157678027	5.786456749300378		1.6886460985696559	183.0463	
107.0491	25.32	0.0003057954413535782	10.42115700303448	C5H5N3	0.7325936601025091	1H-Imidazo[1,2-b]pyrazole	11606
158.9878	201.75	0.021497370860842385	-4.1133673549926675	C3H8O3S	-0.16415968472556486	1-Propanesulfonic acid,Ethyl methanesulfonate	11659
158.9933	201.75	0.022560233418569327	-4.068493905104588		-0.17811380182989112	158.9933	
184.0585	215.17	0.0025745548817522317	6.673354149035832		1.1312099894998333	184.0585	
195.1386	24.93	0.01800182884935676	4.295508107624763	C12H22O3,C12H20O2,C7H20N4	3.1974699661204085	4-Acetoxy-2-hexyltetrahydrofuran,3-Oxododecanoic acid,cis-3-Hexenyl trans-2-hexenoate,cis-3-Hexenyl trans-4-hexenoate,Linalyl acetate,alpha-Terpineol acetate,Bornyl acetate,(S)-Santolina acetate,(Z)-4-Hydroxy-6-dodecenoic acid lactone,alpha-Fenchyl acetate,(-)-Bornyl acetate,Allyl 3-cyclohexylpropionate,(¬±)-Isobornyl acetate,Dodecadienoic acid,alpha-Campholene acetate,(3R,3aR,7aS)-3-Butylhexahydro-1(3H)-isobenzofuranone,Geranyl acetate,Dihydrocarveol acetate,Yuzu lactone,cis-3-Hexenyl cis-3-hexenoate,Dihydro-5-(2-octenyl)-2(3H)-furanone,Fenchyl acetate,Isopulegol acetate,(+)-beta-Fenchyl acetate,7-Acetoxy-7-methyl-3-methylene-1-octene,6-Heptyl-5,6-dihydro-2H-pyran-2-one,Artemisia alcohol acetate,3,7-Dimethyl-2,6-octadien-1-ylacetate,Methyl 2-undecynoate,p-Menth-1-en-9-ol acetate,Ethyl 2Z,4E-decadienoic acid,cis-Sabinene hydrate acetate,(-)-Linalyl acetate,N,N'-Bis(2-aminoethyl)-1,3-propanediamine,(3-Aminopropyl)bis(2-aminoethyl)amine	12150
195.1386	26.52	0.0005224100171943558	9.254867249947024	C12H22O3,C12H20O2,C7H20N4	1.7671315724248409	4-Acetoxy-2-hexyltetrahydrofuran,3-Oxododecanoic acid,cis-3-Hexenyl trans-2-hexenoate,cis-3-Hexenyl trans-4-hexenoate,Linalyl acetate,alpha-Terpineol acetate,Bornyl acetate,(S)-Santolina acetate,(Z)-4-Hydroxy-6-dodecenoic acid lactone,alpha-Fenchyl acetate,(-)-Bornyl acetate,Allyl 3-cyclohexylpropionate,(¬±)-Isobornyl acetate,Dodecadienoic acid,alpha-Campholene acetate,(3R,3aR,7aS)-3-Butylhexahydro-1(3H)-isobenzofuranone,Geranyl acetate,Dihydrocarveol acetate,Yuzu lactone,cis-3-Hexenyl cis-3-hexenoate,Dihydro-5-(2-octenyl)-2(3H)-furanone,Fenchyl acetate,Isopulegol acetate,(+)-beta-Fenchyl acetate,7-Acetoxy-7-methyl-3-methylene-1-octene,6-Heptyl-5,6-dihydro-2H-pyran-2-one,Artemisia alcohol acetate,3,7-Dimethyl-2,6-octadien-1-ylacetate,Methyl 2-undecynoate,p-Menth-1-en-9-ol acetate,Ethyl 2Z,4E-decadienoic acid,cis-Sabinene hydrate acetate,(-)-Linalyl acetate,N,N'-Bis(2-aminoethyl)-1,3-propanediamine,(3-Aminopropyl)bis(2-aminoethyl)amine	12151
196.0103	212.67	0.0010634658985919398	8.018534852862242		2.103454386469217	196.0103	
159.9915	201.61	0.03426889769742817	-3.6808245283382215	C4H4ClN3O2	-0.1414806065280665	6-Amino-5-chloropyrimidine-2,4(1H,3H)-dione	12417
196.0723	252.66	7.91022164078423e-05	13.698417608516882	C8H11N3O3,C8H13N3O4	7.019395420820736	N-Acetylhistidine,(+/-)-(E)-Ethyl-2-[(E)-hydroxyimino]-5-nitro-3-hexeneamide	12442
196.8765	151.01	0.00696544892386082	-5.296024269182508		-0.751440056625416	196.8765_M-H-	
160.0397	37.18	0.0038451407337558806	-6.074540210009848	C9H9NO3,C9H7NO2	-0.9938141453659384	N-Acetyl-2-hydroxybenzamide,4-Acetamidobenzoic acid,Adrenolutin,2-Propenamide, 3-(3,4-dihydroxyphenyl)-,Erbstatin,Hippuric acid,Adrenochrome,1-(4-Methoxyphenyl)-2-nitroethylene,1-Methyl-1H-indole-3,5,6-triol,Methyl n-formylanthranilate,3-Succinoylpyridine,3-Hydroxyquinolin-2(1h)-One,1,5-Isoquinolinediol,Indole-5-carboxylic acid,2-Indolecarboxylic acid,3-Formyl-6-hydroxyindole,Quinoline-4,8-diol,2,8-Quinolinediol,2,4-Quinolinediol,4,6-Dihydroxyquinoline,Indole-3-carboxylic acid	12525
160.0608	191.71	0.00570532784934915	-5.512662936605923	C6H11NO4,C6H13NO5	-0.5594826079172464	Aminoadipic acid,N-methyl-L-glutamic Acid,2-Aminoadipic acid,3-Aminoadipic acid,(±)-2,2'-Iminobispropanoic acid,hydroxybutyrylglycine,Acetylhomoserine,Carboxybetaine,N-Acetylthreonine,Glutamic acid gamma-methyl ester,Fructosylamine,Glucosamine,1-Aminoglucose,Fructosamine,beta-D-Glucosamine,Tricine,(2R,3R,4S,5R)-2-Amino-3,4,5,6-tetrahydroxyhexanal,beta-D-Galactosamine	12549
185.0926	285.41	0.030196999282404605	-3.7985632035473325	C8H14N2O3,C8H16N2O4	-3.489781297632529	Prolyl-Alanine,Alanylproline,n-carboxymethyllysine,N-(3-Amino-2-hydroxy-3-oxopropyl)-L-valine,Carboxy methyl lysine,N6-Acetyl-5S-hydroxy-L-lysine,2-[(2S)-2,6-Diaminohexanoyl]oxyacetic acid,[(2S)-6-Amino-1-methoxy-1-oxohexan-2-yl]carbamic acid,Valylserine,Serylvaline,3,4-Dihydroxy-2-hydroxymethyl-1-pyrrolidinepropanamide,N6-Carboxymethyllysine,epsilon-(Carboxymethyl)lysine	12624
136.0478	35.74	0.010966899573844651	4.783413862425327		1.4382765602797605	136.0478_M-H-	
197.0619	221.47	0.00028341096371110945	10.554375185441122	C10H12ClNO	1.0606028763812745	Clephedrone,Beclamide	12983
161.056	325.2	0.0058979452389735865	-5.473556616569359	C5H10N2O4,C3H7N5O3	-2.9235294171611343	Glycyl-Serine,L-4-Hydroxyglutamine,Serylglycine,Glutamine hydroxamate,O-Glycylserine,(2S)-2-Amino-5-aminooxy-5-oxopentanoic acid,N-Ethyl-N'-nitro-N-nitrosoguanidine	13023
