m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
109.0285	24.93	0.031497755450346665	-5.063920489904233	C3H8NO,CH6N4,C4H3N3O	-3.4011616475291966	3-amino-propanal,Aminoguanidine,Imidazooxazole	3803
142.0653	156.03	0.001675195461953872	-14.777290709236452		-1.8367757344530915	142.0653	
143.0454	298.15	0.006867001121019886	-8.85394580656564		-3.101555956397352	143.0454	
143.0454	314.96	0.000922655150548251	-18.48328454565947		-4.750751335884818	143.0454	
73.0273	92.91	0.010586464957892509	7.597239579174837		1.4494513858418205	73.0273	
171.0195	203.72	0.046428877611752094	4.337813915697376	C9H6N2O3	1.3114886596744046	Nitroxoline,4-Nitroquinoline N-oxide	4647
171.0479	32.33	0.021564845583113425	5.808844455542172	C8H14O3S,C6H9N3OS	1.1339334694130976	Ethyl 4-(acetylthio)butyrate,Methioprim	4819
171.0769	292.24	0.0016024397374820316	-15.000604281965435	C7H12N2O3,C7H14N2O4	-2.9933049583135016	Prolylglycine,Glycylproline,Glycyl-D-proline,2-Amino-4-[(2-hydroxy-1-oxopropyl)amino]butanoic acid,N-(gamma-Glutamyl)ethanolamine,Diaminopimelic acid,Threonylalanine,Alanylthreonine,(2R,6S)-2,6-Diaminoheptanedioic acid	4920
171.5435	297.23	0.031497755450346665	-5.061848760410938		-0.7912243047592682	171.5435_M-H-, 2x charged	
144.0293	212.15	0.002980081081050693	-11.649944038568211		-1.654482621235836	144.0293_M-H-	
144.0446	26.12	0.0011938983444773137	-16.75826448524603	C6H8O4	-3.010905050403757	trans-2-Hexenedioic acid,Triacetic acid,2-Ethylbut-2-enedioic acid,Dimethyl maleate,2,3-Dimethylbut-2-enedioic acid,Methylglutamic acid,3-Hydroxyadipic acid 3,6-lactone,(E)-2-Methylglutaconic acid,3,6-Dimethyl-1,4-dioxane-2,5-dione,Maleic acid homopolymer,4-Ethoxy-4-oxobut-2-enoic acid,1,1-Cyclobutanedicarboxylic acid,3-Methylglutaconic acid,Ethyl hydrogen fumarate,Dimethyl but-2-enedioate,3-Hexenedioic acid,Dimethyl fumarate,2-Oxopropyl 2-oxopropanoate	5154
115.0027	297.76	0.00022733957387066297	-31.071560249734357		-2.0265316402219504	115.0027_M-H-	
