m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
108.9777	212.81	0.04052662199534171	4.837265220429415		1.8692383264461085	108.9777	
109.0285	24.93	0.02879627878312489	5.477836199006795	C3H8NO,CH6N4,C4H3N3O	3.025033221087888	3-amino-propanal,Aminoguanidine,Imidazooxazole	3803
142.0653	156.03	0.0020404738524369965	14.657863265446156		1.6290896079570878	142.0653	
170.0564	301.17	0.00019287433295185825	35.972493920949134	C6H9N3O3,C6H11N3O4	4.860476602109742	6-Diazo-5-oxo-L-norleucine,Metronidazole,Citramide,Asparaginylglycine,Glycyl-Asparagine,Caracemide,Glycylglycylglycine	4098
170.0564	309.57	4.4739502319682885e-05	78.45821321551524	C6H9N3O3,C6H11N3O4	7.033772308656978	6-Diazo-5-oxo-L-norleucine,Metronidazole,Citramide,Asparaginylglycine,Glycyl-Asparagine,Caracemide,Glycylglycylglycine	4099
143.0454	298.15	0.029267322386752247	5.433778943988054		3.9778893919966976	143.0454	
143.0454	314.96	0.004121198767139498	11.208411414306989		4.167408626824713	143.0454	
143.0535	152.45	0.011580122927156409	7.705657014901525	C7H12OS,C7H14O2S,C7H14O2S	1.0632871456891344	S-(3-Methyl-2-butenyl) ethanethioate,Ethyl 4-(methylthio)butyrate,3-Mercapto-3-methyl-1-butyl acetate,(+/-)-Ethyl 3-mercapto-2-methylbutanoate,Ethyl 3-(methylthio)butanoate,Ethyl 4-(methylthio)butyrate,3-Mercapto-3-methyl-1-butyl acetate,(+/-)-Ethyl 3-mercapto-2-methylbutanoate,Ethyl 3-(methylthio)butanoate	4389
171.0479	32.33	0.02789047570611263	5.566843017450914	C8H14O3S,C6H9N3OS	0.5637255720577627	Ethyl 4-(acetylthio)butyrate,Methioprim	4819
171.5435	297.23	0.0011143855511963163	18.853179676130218		1.8379339779443349	171.5435_M-H-, 2x charged	
144.0738	34.95	0.041334720361732816	4.8005148360043375		1.4018179594500282	144.0738_M-H-	
115.0027	297.76	0.013589234216223697	-7.253562200331084		-1.660169955230959	115.0027_M-H-	
172.0355	267.29	0.003798268155185989	11.68536513169193	C6H6N2O4	1.0269803085767037	1,5-Dinitrocyclohexa-1,4-diene,1,6-Dinitrocyclohexa-1,4-diene	kp436_170.0324
172.0398	28.62	0.00236506298987902	13.900814921333005	C5H8ClN5,C5H7N5,C7H9N2O,C10H9NO3,C10H7NO2	7.674693813430679	Deisopropylatrazine,Deoxyguanine,Pralidoxime,1-Methylnicotinamide,Noroxyhydrastinine,5-Hydroxyindoleacetic acid,1H-Indol-3-yl 2-hydroxyacetate,2-(3-Hydroxy-1H-indol-2-yl)acetic acid,5-Phenyl-1,3-oxazinane-2,4-dione,5-Methoxyindole-2-carboxylic acid,xi-2,3-Dihydro-2-oxo-1H-indole-3-acetic acid,2-(5-Hydroxy-1H-indol-2-yl)acetic acid,Quinaldic acid,Quinoline-4-carboxylic acid,N-Phenylmaleimide,1-nitronaphthalene,Quinoline-3-carboxylic acid,1-Nitroso-2-naphthol	5386
82.9531	34.82	0.001506446351295828	16.613678436453114		1.547392640995696	82.9531	
172.5373	267.29	0.006034652648722507	9.794134165365975		1.0097151495648085	172.5373	
115.0521	222.39	0.015379172723249335	6.913668102116267		4.6015992037061615	115.0521	
115.0584	222.26	0.006778965785112191	9.394180588237637	C6H14OS,C6H12S,C6H12S	2.336925836467806	(+/-)-3-(Ethylthio)butanol,mercaptohexanol,(+/-)-4-Mercapto-4-methyl-2-pentanol,3-Mercapto-1-hexanol,3-Mercapto-2-methylpentanol,6-Mercapto-1-hexanol,2-Mercapto-2-methyl-1-pentanol,4-Methoxy-2-methyl-2-butanethiol,2,5-Dimethyltetrahydrothiophene,Allylpropyl sulfide,2-Methyl-1-methylthio-2-butene,1-Propenyl propyl sulfide,2,5-Dimethyltetrahydrothiophene,Allylpropyl sulfide,2-Methyl-1-methylthio-2-butene,1-Propenyl propyl sulfide	5567
146.0272	132.43	0.02731539586205789	-5.619716013919023		-1.5668805476892302	146.0272	
116.0061	297.63	0.011348516142681769	-7.774493394716001		-1.7296886826986402	116.0061_M-H-	
116.0478	209.92	0.025214289408028397	5.80153443629036	C5H8O3	1.5959833976084639	alpha-Ketoisovaleric acid,2-Methylacetoacetic acid,Methylacetoacetic acid,Glutarate semialdehyde,Levulinic acid,2-Oxovaleric acid,Acetoxyacetone,Ethyl pyruvate,3-Oxopentanoic acid	5801
116.0593	222.39	0.013555083127033934	7.272913805003671	C4H8N2O2	2.5881297737552877	3-Amino-1-hydroxypyrrolidin-2-one,Biacetyl dioxime,Succinamide,N,N'-Diacetylhydrazine,N-NITROSOMORPHOLINE,N-Nitroso-3-hydroxypyrrolidine,3-Amino-4-oxobutanamide,2,3-Dinitrosobutanbildung	5816
172.9907	25.73	8.946876495763152e-05	51.360828619546865	C6H6O4S,C6H6O4S	1.8204256570593884	Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid	5819
172.9907	27.57	0.014785399969434688	7.029882694463835	C6H6O4S,C6H6O4S	0.4101102606164275	Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid	5820
84.9502	34.69	0.009385936581749483	8.39156205650764		1.6175545160699265	84.9502	
173.0333	267.43	0.011897919746542543	7.6296227726426835		1.0844813312905934	173.0333_M-H-, 2x charged	
147.0176	270.31	0.010415936558957036	-8.018807545114388	C5H9NS2,C4H5NO5,C5H9NS2	-2.67603007179563	Prolinedithiocarbamate,Ibervirin,Pyrrolidine dithiocarbamate,N-Oxalylglycine,Prolinedithiocarbamate,Ibervirin,Pyrrolidine dithiocarbamate	6058
173.0376	267.43	0.024556828069978706	5.87084204321265	C8H10O2	1.0791656038076916	1,3-Dimethoxybenzene,2-Methoxy-4-methylphenol,2-Phenoxyethanol,3-Acetyl-2,5-dimethylfuran,1,2-Dimethoxybenzene,4-Ethoxyphenol,1-(2-Furanyl)-1-butanone,1,4-Dimethoxybenzene,Tyrosol,4-Ethyl-1,2-benzenediol,styrene glycol (1-phenyl 1,2-ethanediol),4-Methoxybenzyl alcohol,2-Acetyl-3,5-dimethylfuran,1-(2-Furyl)butan-3-one,2,6-Dimethyl-1,4-benzenediol,3-Ethyl-1,2-benzenediol	6117
147.0667	197.78	0.009457063417098718	8.31004658382869	C6H12O4,C6H14O5,C6H11O4	0.9253375541204818	4,5-dihydroxyhexanoic acid,D-Digitoxose,2,3-dihydroxy-3-methylvalerate,(R)-2,3-Dihydroxy-3-methylvalerate,beta-tyvelose,Mevalonic acid,(2R,3R,4R,5S)-2-Methyl-tetrahydro-pyran-3,4,5-triol,Aldehydo-ascarylose,Glycerol 1-propanoate,Pantoic acid,(2-Methoxyethoxy)propanoic acid,1-Deoxy-D-glucitol,d-Fucitol,Rhamnitol,(2R,3R,4R)-Hexane-1,2,3,4,6-pentol,(R)-pantoate	6253
117.0069	297.49	0.009457063417098718	-8.318982990173074		-2.2027840757794515	117.0069	
173.5351	267.43	0.018793703413406863	6.4465117209796645		1.486786156592892	173.5351_M-H-, 2x charged	
117.0677	210.31	0.04090703159348528	4.818426992965644		0.9535037265039428	117.0677	
117.074	210.31	0.035665930071121	5.077114545344187	C6H14S	1.0099440000412159	1-Hexanethiol,Dipropyl sulfide,Diisopropyl sulfide	6444
173.994	25.59	0.021311029270011283	6.180119961827094	C6H6O4S,C6H6O4S	2.1047957312660053	Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid	kp71_173.9979
173.994	27.44	0.028694374878190564	5.487168804098719	C6H6O4S,C6H6O4S	0.41506788308227627	Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid	kp70_173.9979
118.0746	210.31	0.02760933842811256	5.590685529785623	C4H10N2O2	1.0048898142562415	N-Ethyl-N-(2-hydroxyethyl)nitrosamine,beta-N-Methylamino-L-alanine,Diaminobutyric acid,2,4-Diaminobutyric acid,4-Diaminobutyric acid,L-2,4-diaminobutyric acid,alpha-N-Methylamino-l-alanine	6713
118.0773	210.18	0.022249672466649408	6.088503923065851	C6H14S	1.5242059701898043	1-Hexanethiol,Dipropyl sulfide,Diisopropyl sulfide	kp87_118.0812
149.0599	34.69	0.01726117601935278	6.651396369472249		1.667851030870402	149.0599	
174.9865	25.73	0.04801638541073993	4.484590730670078		3.771957559613252	174.9865	
175.0353	318.24	0.0397114744602529	4.871829880765337	C5H8N2O5,C8H12S	0.6566039001952362	Ureidosuccinic acid,L-3-Amino-2-(oxalylamino)propanoic acid,L-2-Amino-3-(oxalylamino)propanoic acid,3,4-Diethylthiophene	7200
150.0413	135.98	0.00552422045607591	-10.116373109464657	C5H13NS2	-1.597584269647264	(S)-2-Amino-4-methylsulfanyl-butane-1-thiol	7226
176.0193	329.14	0.007943755238453231	8.869520990997943		2.0967359873451095	176.0193	
176.0346	225.84	0.03638336666965908	5.034410393823331	C9H9NO4,C9H7NO3	1.7333406344547804	4-Carboxyphenylglycine,L-Dopaquinone,Acetyl 4-aminosalicylic acid,4-Acetamidosalicylic acid,Leucodopachrome,2-Hydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one,1-3-(4,5-dihydrofuranone)-5-(hydroxymethyl)-pyrrole-2-carboxyaldehyde,2-Hydroxy-6,7-dimethoxybenzoxazole,Alpha-Hydroxyhippuric acid,Benzoic acid, 2-(acetyloxy)-5-amino-,4-Hydroxyhippuric acid,Salicyluric acid,Dopaquinone,1,2-Epoxy-3-(p-nitrophenoxy)propane,3-Hydroxyhippuric acid,N-acetyl-5-aminosalicylic acid,4-Acetyl-2(3H)-benzoxazolone,Benzoxazine-6-carboxylic acid	7844
