m/z	rtime	p-value	t-score	custom_id
114.1028	0.79	0.7473029456397905	1.3330504795957618	
183.0781	23.19	0.8837723651410146	0.6856446453267935	
237.1272	113.22	0.6641760923863056	1.761346877918357	
116.0622	38.62	0.7233640734809793	1.566206306773378	
237.9547	2.24	0.6763565179392791	1.703611458248365	
237.9779	2.89	0.7473029456397905	1.3199902668018373	
238.1201	26.76	0.9047578154294049	-0.5228240873109933	
117.0741	23.19	0.8754871013797113	0.7536884556413209	
238.2276	0.79	0.9246765437163198	-0.39928476570237703	
184.8889	20.04	0.5170919392868246	2.238319572822058	
294.1555	27.81	0.9163018451806905	0.4382731853057477	
294.2789	215.88	0.8042629173812651	-1.0770856394554926	
294.2789	220.63	0.833649081033034	-0.9951613841225581	
239.1754	0.66	0.7873513336409127	-1.1609716011386622	
239.1754	21.75	0.9599430838154233	-0.1594157876891902	
294.9386	21.09	0.9470071052759931	-0.22995562682475393	
119.0492	27.15	0.8681857289214717	-0.864660728298477	C8H6O
119.0492	30.87	0.9422014364875609	-0.2802161381099825	
295.1515	25.29	0.9047578154294049	-0.5392348114054931	
295.9419	21.09	0.8958079706778597	-0.5886370378686302	
240.1804	24.51	0.4996455332558448	2.2762774160851165	
296.2073	24.64	0.8681857289214717	-0.8842838041675223	
185.1648	0.79	0.9554287042514163	-0.18607918665085124	
240.2683	78.69	0.1314415801276976	4.273963607277008	
240.9668	21.09	0.9771146512425037	0.09085204281688121	
120.0809	24.51	0.7473029456397905	1.388198504982253	
241.1042	24.51	0.8071235664630054	-1.064502737965095	
298.0829	26.5	0.7473029456397905	-1.3020856484823116	
298.0829	68.03	0.9163018451806905	-0.4377715076314615	
186.1681	0.79	0.9504744720718392	-0.2024736889834223	
241.1545	0.79	0.7559155424494781	-1.281493474623783	
298.1861	24.64	0.869802147471828	-0.8318104607264332	
121.0649	30.74	0.9355995243556267	0.32278230323175877	C8H8O
241.1838	24.51	0.4558932241995897	2.383235941037844	
121.0843	24.77	0.7473029456397905	1.4298225068375445	
