m/z	rtime	p-value	t-score	custom_id
114.1028	0.79	0.8298338228462234	-2.731601160688999	
183.0781	23.19	0.8873652217826288	0.5145563178869346	
237.1272	113.22	0.8298338228462234	1.0634212240663665	
116.0622	38.62	0.9745228308884799	0.14954612630339392	
237.9547	2.24	0.9664715712349283	0.19896616258559596	
237.9779	2.89	0.8298338228462234	-1.2646196557064788	
238.1201	26.76	0.9530062498199612	0.2879137131470334	
117.0741	23.19	0.8298338228462234	2.0463914675090518	
238.2276	0.79	0.960958261053231	0.25310304950844115	
184.8889	20.04	0.9944242292726041	-0.06532040454489522	
294.1555	27.81	0.9846937116234822	-0.116066790141925	
294.2789	215.88	0.8298338228462234	0.949498785699324	
294.2789	220.63	0.8298338228462234	1.3665868286180265	
239.1754	0.66	0.9944242292726041	-0.06488844206669961	
239.1754	21.75	0.8298338228462234	1.2580978279757127	
294.9386	21.09	0.8298338228462234	1.4386064660136932	
119.0492	27.15	0.8298338228462234	-1.180956935668908	C8H6O
119.0492	30.87	0.8906046601867588	-0.49244972015948807	
295.1515	25.29	0.8590130186018422	-0.6608251510959647	
295.9419	21.09	0.8298338228462234	1.8502100508370931	
240.1804	24.51	0.8298338228462234	-1.5421490208845055	
296.2073	24.64	0.8298338228462234	-1.5893688554087142	
185.1648	0.79	0.9944242292726041	0.033737689002367434	
240.2683	78.69	0.8298338228462234	0.9256176098570025	
240.9668	21.09	0.8298338228462234	1.3406219721376185	
120.0809	24.51	0.9944242292726041	-0.08256372107499466	
241.1042	24.51	0.8738094546953717	-0.581825449711895	
298.0829	26.5	0.8298338228462234	-1.6175534109936256	
298.0829	68.03	0.8563896071204178	0.6917723450912451	
186.1681	0.79	0.9944242292726041	-0.049562743049647216	
241.1545	0.79	0.9944242292726041	0.03535109287250623	
298.1861	24.64	0.8298338228462234	-1.6089166053075135	
121.0649	30.74	0.9621580597334388	-0.2468021295200908	C8H8O
241.1838	24.51	0.98186651490999	0.1300644347855315	
121.0843	24.77	0.9944242292726041	-0.046967195537394285	
298.2737	36.91	0.8298338228462234	1.1009689704147447	C18H35NO2
298.2737	48.78	0.8298338228462234	0.9078399581129811	C18H35NO2
299.0886	24.11	0.9944242292726041	-0.08530250652446947	
299.1483	36.52	0.9520472505897664	-0.31039830557452913	
299.2771	36.91	0.8298338228462234	0.9667717575542739	C18H35NO2
299.2771	48.78	0.8298338228462234	0.9828032720752707	C18H35NO2
242.1861	0.79	0.8415880661438032	-0.7719805032948753	
122.0686	30.61	0.8298338228462234	-1.4225988548485358	C8H8O
122.0686	65.25	0.9356701577562792	0.36119577761991084	C8H8O
242.9253	22.8	0.8298338228462234	1.386188048902307	
188.0705	24.51	0.8298338228462234	-0.9712843532735194	
300.9046	20.17	0.8415880661438032	0.7765018380409022	
301.0945	26.63	0.8298338228462234	-1.2274443011149412	
301.1044	24.51	0.9907297867832335	-0.1053918078119253	
243.1826	21.09	0.2007327193423795	6.500431289455957	
188.1756	23.19	0.8563896071204178	0.6806768085412438	
243.6844	20.7	0.4098613797815854	5.386728904868379	
243.9415	22.14	0.8298338228462234	1.6753202577739181	
189.0522	22.93	0.9944242292726041	0.044642001333950986	
189.0732	22.14	0.9971479846989347	-0.01886107230103723	
303.1197	26.1	0.8298338228462234	-2.5371307394739735	
244.0342	22.27	0.8874824228049272	-0.5038730079100506	
189.1022	0.66	0.9974437748824467	-0.010849040196308118	
189.112	108.19	0.8298338228462234	-3.250620787490043	C9H16O4
189.123	22.01	0.8298338228462234	1.1199109906831657	C6H13NO3
244.2137	610.37	0.98186651490999	0.1300561647999976	
190.0862	24.51	0.9846937116234822	-0.11622131925475561	
244.2632	36.39	0.916810179854565	0.4148716090709124	
244.2632	41.14	0.9245780876292109	0.38541800106790003	
244.2632	44.29	0.8298338228462234	1.1468931231067323	
305.0992	24.64	0.8298338228462234	-1.2308472870620317	
305.1355	26.37	0.8298338228462234	-1.8607372854389277	
245.0993	22.27	0.8430843200617194	-0.7411164158076066	
190.1224	108.85	0.8298338228462234	-1.40898368901359	
124.0245	1.05	0.8298338228462234	1.2699244718699683	
124.0587	23.19	0.8726788158787705	0.60941067054122	
306.2279	25.97	0.8298338228462234	-3.070900440824305	
246.1012	22.41	0.8298338228462234	-1.056390557153857	
307.892	20.04	0.8298338228462234	1.246444781569196	
308.1429	69.34	0.8298338228462234	2.5847164508829996	
308.1965	0.66	0.9085856569915591	-0.4406604463151328	
308.1965	36.91	0.9056723412504953	0.45677306613375257	
309.1459	69.6	0.8298338228462234	1.3030597502820482	
309.2279	31.4	0.8298338228462234	1.9191219470412875	
309.2279	33.1	0.8370102727367094	0.8461064565220378	
310.9124	22.93	0.8298338228462234	1.1877482159220674	
248.237	36.52	0.9971479846989347	-0.017850558656322423	
248.237	41.14	0.9929793132293082	0.09227254091809443	
311.0887	24.11	0.9944242292726041	0.06656152093488406	
311.1462	25.03	0.8298338228462234	-1.3429573792712293	
311.1462	26.76	0.9245780876292109	0.3854129960852059	
193.1012	41.14	0.8997533591207266	-0.47427941132882	
249.1118	30.61	0.8373309469337445	-0.8246713873817388	
193.1699	0.79	0.9745228308884799	-0.1528648488687996	
311.9292	22.14	0.8298338228462234	1.4317382074676273	
312.1656	0.79	0.8298338228462234	-1.0673528688716443	
312.2528	66.06	0.8507217709919813	0.7190129627249977	
312.3257	218.24	0.8298338228462234	0.9857039801706272	
313.1044	24.24	0.8298338228462234	1.3378589114510575	
313.162	24.64	0.9664715712349283	0.20477190778328225	
313.329	217.98	0.8298338228462234	1.0471367388405435	
314.1607	27.15	0.8415880661438032	-0.7724386273312877	
314.3323	218.24	0.8298338228462234	1.1841629177350816	
315.1739	79.21	0.8298338228462234	-1.1220329077314806	
252.1706	0.79	0.9056723412504953	-0.45475241366655833	
316.2116	21.75	0.8563896071204178	0.6900490430171307	
316.2485	28.2	0.9402165942263095	-0.34862081417077856	
316.2842	36.52	0.8298338228462234	1.1216093623325307	C19H33NO2
317.1145	26.5	0.8298338228462234	-1.7437658225890333	
317.2149	21.75	0.8430843200617194	0.7397931873605282	
253.1192	21.22	0.9228731690048038	0.3957763785122467	
318.1917	25.29	0.8298338228462234	-1.880268177324615	
