m/z	rtime	p-value	t-score	custom_id
114.1028	0.79	0.6281590137794545	-1.1822540798420598	
183.0781	23.19	0.3630483285444565	2.156628862287031	
237.1272	113.22	0.07203032329933587	6.57126880008834	
116.0622	38.62	0.6397435911490389	1.1193147790163376	
237.9547	2.24	0.5231728232696301	1.5617236553956995	
237.9779	2.89	0.8333747334695659	-0.5612535764009549	
238.1201	26.76	0.5996124835197639	-1.2842859871573358	
117.0741	23.19	0.3630483285444565	2.195337024210455	
238.2276	0.79	0.9641783923001325	-0.11797174732478624	
184.8889	20.04	0.28721463711626855	2.7823089689686364	
294.1555	27.81	0.9002744429340037	0.3441792494261496	
294.2789	215.88	0.9464641464787517	-0.18294887346318248	
294.2789	220.63	0.8194184459788655	0.6034229930909084	
239.1754	0.66	0.46413289221312715	-1.7581019173508543	
239.1754	21.75	0.5434264636689219	1.4765524168311202	
294.9386	21.09	0.6729730867174032	1.0389409010900221	
119.0492	27.15	0.20526701533168049	-3.7640240911039515	C8H6O
119.0492	30.87	0.5887383977886684	-1.3213253655235053	
295.1515	25.29	0.6184621011110004	-1.2235471519420618	
295.9419	21.09	0.5449305601403547	1.4688652244570168	
240.1804	24.51	0.8061656696920507	-0.6371264855888094	
296.2073	24.64	0.560739094460779	-1.428780245734642	
185.1648	0.79	0.9641841633347422	-0.10889142272970939	
240.2683	78.69	0.21203357358462432	3.652157849749552	
240.9668	21.09	0.6346046131096407	1.1545464806750834	
120.0809	24.51	0.6996882090227705	0.9501707296194963	
241.1042	24.51	0.3630483285444565	-2.1776165317598153	
298.0829	26.5	0.013892628834500638	-13.296503950918417	
298.0829	68.03	0.9425700029906977	0.22103032089883626	
186.1681	0.79	0.9446039707685568	-0.20314603070696857	
241.1545	0.79	0.6823056172301137	-1.0076216169986496	
298.1861	24.64	0.6356798299354574	-1.143565398007321	
121.0649	30.74	0.9663141725946497	0.10154218540013789	C8H8O
241.1838	24.51	0.15971011855658082	4.289070214448207	
121.0843	24.77	0.6320339293183899	1.1725917709509521	
298.2737	36.91	0.45192200419817746	-1.8155218327747817	C18H35NO2
298.2737	48.78	0.6401546045867411	-1.1158353018974778	C18H35NO2
299.0886	24.11	0.9641783923001325	0.11409883073825054	
299.1483	36.52	0.9016725127713585	0.32631348089276674	
299.2771	36.91	0.3630483285444565	-2.182982546174044	C18H35NO2
299.2771	48.78	0.6437413045607375	-1.105458950539152	C18H35NO2
242.1861	0.79	0.6864556163253532	-0.9996135468244627	
122.0686	30.61	0.7175339130229922	0.9075484024524657	C8H8O
122.0686	65.25	0.4134617756096723	-1.9758996159114108	C8H8O
242.9253	22.8	0.6028234640364011	1.2750365532939085	
188.0705	24.51	0.735581803731312	0.8296344642164857	
300.9046	20.17	0.14171759770745562	4.601226600617094	
301.0945	26.63	0.2321693030644611	-3.306724352688623	
301.1044	24.51	0.8195241746021076	-0.5943280640133635	
243.1826	21.09	0.06851317899299685	7.045180031723281	
188.1756	23.19	0.6184621011110004	1.2248405698385212	
243.6844	20.7	0.08970973816032103	5.718379052248895	
243.9415	22.14	0.848983350377482	-0.5274380147021948	
189.0522	22.93	0.5887383977886684	-1.3141042696027176	
189.0732	22.14	0.6247822742101198	1.1883278899504433	
303.1197	26.1	0.12009804684591034	-5.05465804115478	
244.0342	22.27	0.9163853147544949	0.29583279277830843	
189.1022	0.66	0.9464641464787517	0.18037073181908653	
189.112	108.19	0.998787669611937	-0.011588022619297152	C9H16O4
189.123	22.01	0.3639795133539744	2.14882426297185	C6H13NO3
244.2137	610.37	0.7327432885433758	-0.8543953630433935	
190.0862	24.51	0.4148626658453177	1.9704325705417693	
244.2632	36.39	0.07110321194355172	6.905158840977812	
244.2632	41.14	0.31798845076773685	2.508865807259983	
244.2632	44.29	0.1399723997104108	4.76844438228993	
305.0992	24.64	0.2208691634372236	-3.5288730271033026	
305.1355	26.37	0.2747038871347727	-3.0156040471447634	
245.0993	22.27	0.9461194882249426	0.18851749049475686	
190.1224	108.85	0.6565105236760164	-1.0735149362889396	
124.0245	1.05	0.8721415324695485	0.43073882170025424	
124.0587	23.19	0.9448538906627315	-0.20097240383989512	
306.2279	25.97	0.258132264282462	-3.1611724211106247	
246.1012	22.41	0.8828856970812293	0.39866034399761635	
307.892	20.04	0.6798456114253748	1.0200606046427585	
308.1429	69.34	0.14135495212201046	4.685815567789172	
308.1965	0.66	0.6343201940742793	-1.1563911547580117	
308.1965	36.91	0.8067818508635927	-0.634125644213222	
309.1459	69.6	0.07203032329933587	6.662051190534214	
309.2279	31.4	0.5061294505960189	1.6275218764853194	
309.2279	33.1	0.821560072887693	0.5896497273405376	
310.9124	22.93	0.6390063169078143	1.131706177352469	
248.237	36.52	0.3630483285444565	2.1879291137655	
248.237	41.14	0.5179850342584547	1.5859527336240897	
311.0887	24.11	0.7581014953365753	0.7841049841636858	
311.1462	25.03	0.5309226838276112	-1.5290949324916914	
311.1462	26.76	0.9471284844640094	0.1734478590709029	
193.1012	41.14	0.20526701533168049	-3.754993375529319	
249.1118	30.61	0.9009246238656707	-0.3383456077723419	
193.1699	0.79	0.8721415324695485	-0.4637596734669644	
311.9292	22.14	0.5903656311489267	1.3069729329094324	
312.1656	0.79	0.3630483285444565	-2.196879052372401	
312.2528	66.06	0.42845603141041266	-1.9225591776301474	
312.3257	218.24	0.9461194882249426	-0.18652587622473174	
313.1044	24.24	0.5621305012989536	1.4197895234941047	
313.162	24.64	0.5689787801329637	-1.4038662680502871	
313.329	217.98	0.9641739883447473	-0.12458686051021495	
314.1607	27.15	0.9636295748555213	-0.1291091600194049	
314.3323	218.24	0.9699764221270626	-0.08859413193457849	
315.1739	79.21	0.015147350780946834	-12.807235767862775	
252.1706	0.79	0.5887383977886684	-1.3233306892536818	
316.2116	21.75	0.43718732168474905	1.8697479777253325	
316.2485	28.2	0.7222332332881876	0.8895466530664907	
316.2842	36.52	0.6320339293183899	-1.1747254177470416	C19H33NO2
317.1145	26.5	0.011670000984190337	-14.965285405077916	
317.2149	21.75	0.4295023197220482	1.9092596200196672	
253.1192	21.22	0.8721415324695485	0.458145575123283	
318.1917	25.29	0.3630483285444565	-2.169028399595078	
318.1917	29.65	0.8616845537591442	-0.4949001574586518	
318.2172	21.88	0.32822941009236706	2.460784364919048	
318.228	26.37	0.7119249294348498	0.9233463209448455	
319.0938	25.71	0.6325456239355204	-1.165346711899993	
196.0968	21.88	0.24304154423239874	3.2511844133888705	
254.1604	24.64	0.8919700407780334	0.37638227987905126	
320.2073	25.84	0.5745686022079629	-1.380601860097885	
254.2476	29.91	0.9821847872240675	-0.06302774613518054	
254.2476	36.52	0.7690076542334568	-0.7385880257492936	C16H31NO
254.2476	44.03	0.8976281315657466	-0.35243469550512535	C16H31NO
254.8997	20.17	0.17997657519023424	4.030554520561037	
255.1205	27.94	0.5803387056428387	-1.3522832629549089	
255.1233	0.66	0.7222332332881876	-0.891286248722985	
129.0546	30.87	0.8721415324695485	-0.4351176558995141	
322.0772	2.1	0.8721415324695485	0.44194770949402024	
322.1865	0.79	0.9207883176377808	-0.28070321631833806	
322.1865	27.55	0.6184621011110004	-1.2209093377154956	
322.2228	25.84	0.9641783923001325	-0.12014842011057683	
129.1386	0.79	0.7222332332881876	-0.8857492424343081	
257.0571	26.5	0.011670000984190337	-17.473592032158457	
257.0793	1.32	0.8721415324695485	-0.43057901175104674	
325.1618	25.16	0.6184621011110004	-1.2269635913602719	
257.1391	25.16	0.5402276020343915	-1.4896872580327338	
326.1609	0.66	0.9663152796260607	-0.09614197853860153	
326.1967	0.79	0.8274343194577699	-0.5753318412253502	
131.0491	26.37	0.2965621314264924	-2.6511021442547764	
131.0491	47.2	0.8094689149234332	-0.6252870607756627	
326.3415	224.31	0.9202228927919154	-0.2824571285988552	
258.0605	26.5	0.006942414422224515	-21.27163431391043	
327.1201	24.51	0.9641739883447473	0.12310423081606006	
327.1376	41.01	0.9425700029906977	0.21910036452885304	
