m/z	rtime	p-value	t-score	custom_id
166.0515	1.84	0.426908537920972	-2.5325941949548456	C10H8O
167.0894	24.51	0.39663943421818765	2.9912956105600093	
265.1066	27.15	0.6537473576981419	-1.2049673555032168	
265.1066	31.0	0.9530316223776515	0.11716595112526668	
265.9621	20.04	0.7371434804926595	0.888291500814269	
216.9226	22.14	0.618180229940562	1.4664026841265425	
217.1044	22.41	0.5816100778841982	-1.684721355890075	
267.1223	30.74	0.8634558220895656	-0.385543481634378	
267.1586	26.37	0.7323642224369045	-0.9170655794855687	
267.1814	24.38	0.7853956402463801	-0.6249194222527571	
268.1257	30.74	0.8962918043274257	-0.2868412365673788	
170.0811	23.98	0.4411154833545806	2.430058408156727	
268.176	24.51	0.7636788030112523	0.7071478850769981	
268.2116	24.51	0.9807594057538157	0.04713263873435133	
116.0622	38.75	0.6555910540273893	1.1868091193035688	
268.2712	229.69	0.17043499193365527	-8.450427333839839	
268.2712	234.45	0.2535191130132996	-5.609952459791175	
268.2712	241.32	0.33928304959540534	-3.583247981200264	
170.1731	0.79	0.3527789343804182	3.3902200022386895	
218.9196	22.14	0.626368377179427	1.411878788398679	
218.9817	22.8	0.8130016709173468	0.5488401579498983	
269.136	24.51	0.4548003131448262	-2.3348812390299516	
269.1388	26.37	0.7864421769924442	0.6204781951266847	
219.1127	21.88	0.7681270151653902	-0.6794348479908435	
219.1127	24.51	0.8801492665275517	-0.33699643148236025	
117.0741	23.33	0.5225826629573388	2.001052741129301	
172.0942	21.49	0.9029424146150817	-0.2681022699295611	
271.2052	284.25	0.9311758319317023	0.17844546939845116	
221.096	41.14	0.8794189638919327	0.34754719805932555	
173.0783	22.41	0.652109774254001	-1.24089487716896	
119.0492	27.15	0.7323642224369045	-0.9096502967400296	
119.0492	30.74	0.6366404193894284	-1.3013294622926073	
173.096	36.26	0.7636788030112523	-0.7294857573987453	
173.096	243.95	0.6189575697661935	-1.4580651024557838	
222.0986	41.27	0.8941159325293859	-0.2967742398194246	C16H22O2
222.0986	93.83	0.2832174696961736	5.008915605681352	C16H22O2
120.0809	24.51	0.3527789343804182	3.387938368885637	
273.2573	610.1	0.626368377179427	1.4116999389081961	
273.2573	611.02	0.5252683943317576	1.98184437854384	
273.9451	20.44	0.842701515096953	0.45550289299085955	
274.0836	26.37	0.8506784522938192	-0.42259720266438044	
121.0649	30.74	0.8451798153895168	-0.4512335351839668	
174.938	22.67	0.4485807914438444	2.380566451028976	
274.1656	24.77	0.8351112322483764	-0.4731782106905624	
121.0843	24.77	0.5592340977092853	1.768311527195798	C21H39NO5
175.0014	23.06	0.4253662101949184	2.5418204474360704	
274.2737	34.15	0.6719432315103075	-1.1430723654344468	
274.9415	20.3	0.8506784522938192	0.4201190740823708	
275.0874	26.37	0.9060256459449213	0.25981601101276125	
275.0999	21.36	0.6268849338569888	-1.4024271636937993	
122.0686	30.74	0.75798610095744	0.7753714944056707	
122.0686	65.67	0.9359769013970795	0.1623085485260711	
175.119	1.58	0.429962846365448	-2.494553481522891	
175.119	24.51	0.4735812572806668	2.2275438461797816	
224.1581	24.77	0.9359769013970795	0.16303764476925345	
176.0657	23.98	0.8426956178164012	0.45783732378211894	
275.9553	280.14	0.624028943064975	1.4360795736564236	
225.1207	21.49	0.3429550807763357	-3.4972266003852552	
124.0587	23.33	0.5550427160916286	1.7842903882399552	
277.9333	2.63	0.7634919383899739	-0.7518778514897905	
226.0448	23.06	0.6360924109310552	1.344010434171849	
177.1637	38.49	0.626368377179427	1.4152743385877922	
226.1549	0.66	0.6362445384823153	1.3372985785620972	
226.1913	0.79	0.4296655152855681	2.502218997294314	
226.9513	21.62	0.47501938494540846	-2.208852394937855	
278.9311	2.37	0.652109774254001	-1.2301993619825267	
278.9648	20.83	0.8506784522938192	-0.42174629001053887	
227.0419	22.93	0.6681048176775138	1.1543142083917342	
279.1222	36.39	0.830913359382559	0.4877853728154669	
227.1753	0.66	0.4098798130067774	2.862405021663007	
227.1753	24.51	0.9209051015929833	0.20851626187489877	
179.0815	0.66	0.7234538320061186	0.9680743611380842	
227.9547	21.62	0.4411154833545806	-2.427412303073723	
228.2685	58.39	0.46435156435228386	-2.288279614425356	
228.9556	21.62	0.4098798130067774	-2.8551167687097436	
280.2632	36.91	0.7636788030112523	0.7143355694453088	
280.2632	48.91	0.2832174696961736	-4.699476404336392	
281.1012	30.87	0.9060256459449213	-0.25161018735313934	
281.1379	34.94	0.8130016709173468	-0.5481985177436043	
281.2665	36.91	0.8459121597232478	0.4457195359418463	
281.2665	48.78	0.2535191130132996	-5.9695589378114615	
129.0698	38.23	0.7681270151653902	0.6805296067776275	
181.0096	22.01	0.8862084517813889	0.3144758804475842	
129.1386	0.79	0.4503240257648494	2.3613465785860246	
283.0939	24.38	0.3023674548202672	4.120697200465772	
283.1173	26.76	0.8856181451636935	-0.3175041944629276	
283.1173	29.39	0.8972813579138491	-0.2832999053932662	
232.112	44.68	0.9196279078665142	-0.2124502368722041	
232.1189	0.66	0.7525260522952137	0.8536168556510348	C13H21NO6
232.1447	0.66	0.6250697278794158	1.422772748093352	
232.8965	22.8	0.4565339898393922	2.326362435105515	
232.9173	20.04	0.6189575697661935	-1.4567092968592825	
284.1207	26.76	0.6555910540273893	-1.1892541335648081	
284.1207	29.65	0.6170427673610985	-1.472716769672966	
182.0297	25.29	0.8323595484107978	-0.4802674210573722	
131.0491	26.37	0.6084540273380512	1.5068050186761222	
131.0491	47.07	0.7371434804926595	-0.8889974827489924	
182.0811	23.06	0.5301352548336279	1.959791483795556	
284.2064	24.51	0.5459602124556666	1.8506688553873543	
233.0783	22.8	0.9538482142178549	-0.1149291473619725	
