m/z	rtime	p-value	t-score	custom_id
114.0894	37.7	0.924862999961351	0.3591343630101245	
114.0894	68.42	0.7032025546275069	1.296096260533998	
114.0894	83.28	0.7159967099914056	1.241794493778346	
114.0894	111.78	0.7835430253051272	-1.030239574001173	
114.0894	115.87	0.7007007904131307	1.3344160814966541	
114.0894	139.04	0.7548228472974488	1.1164251685158555	
114.0894	198.9	0.8886055589304565	0.5812236018157342	
114.0894	208.9	0.8766743992393348	0.641506281007952	
114.0894	214.17	0.9993072964563133	-0.003220123609627602	
114.0894	261.48	0.7032025546275069	1.297514031491095	
114.0894	289.62	0.8670883608288485	0.686155990831977	
114.0894	659.17	0.8276843964284271	0.8904910185155139	
114.0894	660.23	0.5716769696144276	1.993291866140094	
114.0894	666.31	0.7537095258180014	-1.1226720306310252	
114.0894	669.85	0.5654440569994695	2.1608090621535134	
114.0894	676.07	0.9032615221653116	-0.4885272311597837	
114.1028	0.79	0.7061301917215905	1.2786604122864107	
114.1047	0.92	0.700463772331427	1.4106583104024641	
183.0781	23.19	0.8655494067551607	0.6935251226328681	
237.0657	691.25	0.7007007904131307	-1.3546803189775678	
237.0657	692.83	0.642836019239545	-1.7659080227772948	
237.0657	697.32	0.732774150181359	-1.198424214922398	
237.0657	699.03	0.7574670529528397	-1.1067259428804395	
237.0657	703.26	0.7696407516447376	-1.067314421451211	
237.0657	706.84	0.700132148098694	-1.492650479872033	
237.0657	708.41	0.7777737214545792	-1.0424246557667642	
237.0657	709.86	0.7870845928028499	-1.0206933310533908	
237.0657	713.3	0.7904737999570743	-0.9963940073688557	
115.0887	24.77	0.9704293306775338	-0.1310421242301548	
237.1272	113.22	0.6393140102821825	1.7779553042216607	
115.0949	24.64	0.9142595513344032	-0.42624877403345174	
115.1061	0.79	0.9613941083532667	-0.1832922901568166	
116.0622	38.62	0.6760451171938635	1.6881802059368645	
116.0708	23.19	0.9127606628587902	0.4484925004465371	
237.9547	2.24	0.6597645517522964	1.7285094466416397	
237.9779	2.89	0.7007007904131307	1.3316582636826086	
184.0456	1.05	0.960847632338845	-0.19113531029989744	
293.1725	28.2	0.7007007904131307	-1.332565862424567	
238.0928	32.45	0.1816160933328231	3.8005246836049635	
238.1201	26.76	0.8964404774163371	-0.5211287687026878	
117.0741	23.19	0.8521701733170087	0.759860140454094	
238.2276	0.79	0.9210747762247155	-0.4069835494741306	
184.8889	20.04	0.5523318897339514	2.208967713179522	
184.9803	23.85	0.8389887252315688	0.7991586927374954	
294.1555	27.81	0.914090478169105	0.43106378182523825	
239.0888	24.77	0.8178816350805538	0.909964881723792	
294.1783	55.64	0.7481932681141072	-1.1494122386809975	
294.181	0.66	0.99521899720738	-0.04089171968846176	
294.1918	24.77	0.867006443542644	-0.6869814052210771	
