m/z	rtime	p-value	t-score	custom_id
114.1028	0.79	0.40644299919947224	-1.3139827807996636	
183.0781	23.19	0.08962347068914564	3.0157548753581778	
237.1272	113.22	0.0650191375027002	3.4123875426460257	
116.0622	38.62	0.7328898718423835	0.5310499812521712	
237.9547	2.24	0.2311206229040338	2.022103787391766	
237.9779	2.89	0.3472517085186036	1.5461445525509092	
238.1201	26.76	0.9005808400742233	-0.19572995227651982	
117.0741	23.19	0.741568113213092	0.5000572684014248	
238.2276	0.79	0.4120599499153564	-1.2988782827247365	
184.8889	20.04	0.04689288124885777	3.851405931465105	
294.1555	27.81	0.3844516654617845	1.4025911414266206	
294.2789	215.88	0.18820722572760581	-2.2289481465168803	
294.2789	220.63	0.3949011092516415	-1.3550831264908567	
239.1754	0.66	0.5059939126893329	-1.0121025605357503	
239.1754	21.75	0.6212148716673839	-0.7605978454904044	
294.9386	21.09	0.07129563848566683	-3.3097068336699293	
119.0492	27.15	0.03182749292708934	-4.340679154719599	C8H6O
119.0492	30.87	0.19664242322259487	-2.1671706370108224	
295.1515	25.29	0.01670502778531457	-5.381754970672142	
295.9419	21.09	0.05442388542225672	-3.678205570902382	
240.1804	24.51	0.14495321026937577	-2.5274282143105045	
296.2073	24.64	0.41831647085730833	-1.2790333962856852	
185.1648	0.79	0.3472517085186036	-1.5443737823931578	
240.2683	78.69	0.6881949132101651	-0.6118995287669567	
240.9668	21.09	0.0975329847341122	-2.9208146967609876	
120.0809	24.51	0.014463462862737423	-5.7017744212904935	
241.1042	24.51	0.46122368864123997	-1.1534718652125924	
298.0829	26.5	0.39181649667400487	-1.3646203306266593	
298.0829	68.03	0.8978728083185766	-0.20111054603792242	
186.1681	0.79	0.24617559882955847	-1.9561001204329724	
241.1545	0.79	0.4615704588298154	-1.1507638601237389	
298.1861	24.64	0.1659051961889552	-2.3783807597309012	
121.0649	30.74	0.39164927166218777	-1.3691254365494125	C8H8O
241.1838	24.51	0.1614636274898795	-2.4084460247458015	
121.0843	24.77	0.2980124448788292	-1.7183910326266025	
298.2737	36.91	0.01062191124140432	-6.187570917500835	C18H35NO2
298.2737	48.78	0.00904348667015721	-6.485996263316152	C18H35NO2
299.0886	24.11	0.3261361686383898	-1.6176411135265736	
299.1483	36.52	0.16960137390392535	2.3389580631944704	
299.2771	36.91	0.039078505019344206	-4.081365598536183	C18H35NO2
299.2771	48.78	0.00762798648198106	-6.9633908855357864	C18H35NO2
242.1861	0.79	0.4265155228777022	-1.254404852959668	
122.0686	30.61	0.7198340644862238	0.5536248894956366	C8H8O
122.0686	65.25	0.35385247864523156	-1.5203943962566449	C8H8O
242.9253	22.8	0.08043406968435449	-3.178406671138708	
188.0705	24.51	0.3209208125102444	1.6414518647117307	
300.9046	20.17	0.018717077712824486	5.22262331398113	
301.0945	26.63	0.8644458642155564	-0.2616020152652963	
301.1044	24.51	0.09978674714501651	-2.902235520798319	
243.1826	21.09	0.4675949753639878	1.1170308746682829	
188.1756	23.19	0.06087514847348863	-3.494238961776641	
243.6844	20.7	0.36527004676732655	1.465504888032188	
243.9415	22.14	0.8661294720394989	0.2565799359666187	
189.0522	22.93	0.5093667916586255	-0.9994205149391983	
189.0732	22.14	0.09339363699319116	2.9800843259788032	
303.1197	26.1	0.4960375376589385	-1.033110492263527	
244.0342	22.27	0.6191278228275843	0.7715326880145857	
