m/z	rtime	p-value	t-score	custom_id
166.0515	1.84	0.9939642081090521	-0.07598365773961695	C10H8O
167.0894	24.51	0.9939642081090521	0.14132205428292932	
265.1066	27.15	0.9939642081090521	0.7297207387239353	
265.1066	31.0	0.9543494598641938	1.0107967205624182	
265.9621	20.04	0.9939642081090521	0.3807359200274725	
216.9226	22.14	0.9543494598641938	1.0041778736253066	
217.1044	22.41	0.9939642081090521	0.14808988401145695	
267.1223	30.74	0.9939642081090521	-0.6221738786256776	
267.1586	26.37	0.9939642081090521	-0.20455874729790977	
267.1814	24.38	0.915867385920161	1.6442696423064573	
268.1257	30.74	0.9939642081090521	0.028283866683909368	
170.0811	23.98	0.9939642081090521	-0.1588632183869888	
268.176	24.51	0.9939642081090521	-0.06969799635881657	
268.2116	24.51	0.9939642081090521	0.28377848656246973	
116.0622	38.75	0.9939642081090521	-0.3441558507739057	
268.2712	229.69	0.9939642081090521	0.16592850687196092	
268.2712	234.45	0.915867385920161	1.5425721146427667	
268.2712	241.32	0.9161113511051089	1.3181651794823706	
170.1731	0.79	0.9939642081090521	0.751890288513828	
218.9196	22.14	0.9577458188775686	0.9550320841502353	
218.9817	22.8	0.9939642081090521	-0.2136845193592276	
269.136	24.51	0.9677101036038377	-0.8780619986290484	
269.1388	26.37	0.9161113511051089	1.249958788916086	
219.1127	21.88	0.9939642081090521	0.7535370058084426	
219.1127	24.51	0.9939642081090521	0.1541382611932904	
117.0741	23.33	0.9939642081090521	0.5577433301615878	
172.0942	21.49	0.9303054964461644	-1.1890817823308122	
271.2052	284.25	0.9939642081090521	0.3102303832345111	
221.096	41.14	0.9948707964644187	0.006661507520616626	
173.0783	22.41	0.9939642081090521	-0.04709538488320774	
119.0492	27.15	0.9939642081090521	0.36713329747451084	
119.0492	30.74	0.9939642081090521	0.09432818772629367	
173.096	36.26	0.9939642081090521	-0.3347172993331563	
173.096	243.95	0.9939642081090521	-0.01120156018662455	
222.0986	41.27	0.9939642081090521	0.03770250479213682	C16H22O2
222.0986	93.83	0.9939642081090521	-0.6081210846410549	C16H22O2
120.0809	24.51	0.9939642081090521	0.02927758124650272	
273.2573	610.1	0.9939642081090521	0.6258628676570783	
273.2573	611.02	0.9939642081090521	0.6365828780635954	
273.9451	20.44	0.9543494598641938	-0.9884435350553573	
274.0836	26.37	0.9939642081090521	0.0920283718153699	
