m/z	rtime	p-value	t-score	custom_id
114.1028	0.79	0.6678005938673315	0.8187394528684211	
183.0781	23.19	0.25194771043576775	2.56901003400399	
237.1272	113.22	0.07267457652053497	6.142253779671703	
116.0622	38.62	0.3287589740106847	2.06039120335675	
237.9547	2.24	0.6439058372407915	0.8862769949252872	
237.9779	2.89	0.5759884638960411	1.0782546801585622	
238.1201	26.76	0.7179718252313337	-0.6756381732921365	
117.0741	23.19	0.11989750919088726	4.142824170179869	
238.2276	0.79	0.40414568504028253	1.619965491904757	
184.8889	20.04	0.9755440310436664	0.07095409501580516	
294.1555	27.81	0.5642339212679456	-1.1190658139977194	
294.2789	215.88	0.15198571036200606	3.488267891310037	
294.2789	220.63	0.6648816360463643	0.826687499141656	
239.1754	0.66	0.2916680254739313	2.296011707572932	
239.1754	21.75	0.6536326714469859	0.8588660447291683	
294.9386	21.09	0.11147698923416173	-4.5743975551555	
119.0492	27.15	0.1127124584543731	-4.423802868202306	C8H6O
119.0492	30.87	0.11989750919088726	-3.9549608642000718	
295.1515	25.29	0.22603094083867137	-2.754291715339966	
295.9419	21.09	0.11989750919088726	-4.048741060816349	
240.1804	24.51	0.8476705851743888	0.3721346711678786	
296.2073	24.64	0.711991342187544	-0.6930846540640664	
185.1648	0.79	0.38381729989214336	1.7438048425622474	
240.2683	78.69	0.002373478133935737	-24.919768778857637	
240.9668	21.09	0.12054421554291746	-3.906195252995854	
120.0809	24.51	0.11989750919088726	3.947327625094207	
241.1042	24.51	0.39735101961938335	-1.6552238157622374	
298.0829	26.5	0.7226513948839759	-0.6631631334268709	
298.0829	68.03	0.9268802796529625	-0.18586782703785545	
186.1681	0.79	0.3657473326544354	1.8365740206269967	
241.1545	0.79	0.6465342928593407	0.8797132631912635	
298.1861	24.64	0.18141037485857245	-3.152222736305229	
121.0649	30.74	0.5100712219593901	-1.3047958659310634	C8H8O
241.1838	24.51	0.8766294582565537	0.30442499186947686	
121.0843	24.77	0.11989750919088726	4.015761194715433	
298.2737	36.91	0.9515457866797328	-0.1255318454422736	C18H35NO2
298.2737	48.78	0.10761394777012379	-4.917644420539558	C18H35NO2
299.0886	24.11	0.461822975541965	1.4431438525266673	
299.1483	36.52	0.9515457866797328	-0.12753033568824937	
299.2771	36.91	0.9898679277706612	0.022384125919181555	C18H35NO2
299.2771	48.78	0.10761394777012379	-4.961043602137647	C18H35NO2
