m/z	rtime	p-value	t-score	custom_id
114.0894	83.28	0.5926433080550954	0.8709693876555185	
114.0894	139.04	0.7225441406745684	0.5914186413397694	
114.0894	214.17	0.5065229846383323	-1.060828190303421	
114.0894	261.48	0.8180487607122854	0.3752921299951891	
114.0894	279.61	0.2811107970273907	1.9392918364126952	
114.0894	285.17	0.8354971452542782	0.34082121776780794	
114.0894	300.63	0.33980032116386966	1.6944786411703843	
114.0894	305.64	0.3877675043877102	1.4909569735014587	
114.1028	0.79	0.4185747556976873	-1.3163679262674892	
183.0614	1.84	0.8867175969105503	-0.2441780318433978	
183.0781	23.19	0.10215931693233586	3.116295719633515	
115.0887	24.77	0.8331055133936253	-0.3459626589017957	
237.1272	113.22	0.04658836124369949	4.109020210522294	
115.0949	24.64	0.13249817976080228	-2.8288799883798017	
115.1061	0.79	0.7658707185490594	-0.49365917610285526	
116.0622	38.62	0.6843960459289335	0.6714441991585187	
116.0708	23.19	0.9406243337604576	0.1329259295201307	
292.2632	214.83	0.8975802651011543	0.21892935477602826	
237.9547	2.24	0.1954367214101654	2.3885132132046034	
237.9779	2.89	0.31788059774593225	1.7728168470292474	
184.0456	1.05	0.740007141311692	0.5507842789737107	
293.1725	28.2	0.1553413626866478	-2.6632363762365716	
238.1201	26.76	0.9243254234706018	-0.1645046577933644	
117.0741	23.19	0.7517948141580493	0.5255796529965812	
293.8683	22.27	0.39106883230726674	1.46414263448584	
238.2276	0.79	0.4202199005110424	-1.3113797356913985	
184.8889	20.04	0.06269562325131539	3.771609793975033	
294.1555	27.81	0.400941701196226	1.4061864475131773	
239.0888	24.77	0.9326321603600786	-0.14712065361248228	
294.1783	55.64	0.16262039113102125	-2.6087913003487224	
294.1918	24.77	0.2921666517626503	-1.8879569658983875	
294.2789	195.75	0.3742196035744969	1.5859638597070922	
294.2789	215.88	0.18232578151847212	-2.473406993740754	
294.2789	220.63	0.4073774894060365	-1.3576940332437757	
294.9386	21.09	0.08138564543586493	-3.4365076251445617	
295.1148	24.38	0.4270660658509895	-1.2898489429501143	
119.0492	27.15	0.027336114890465595	-4.9083358332664675	C8H6O
119.0492	30.87	0.20787892291823845	-2.305059001846963	C8H6O
295.1515	25.29	0.01109835626567697	-6.493086243912981	
239.1754	0.66	0.5251335304234664	-1.0147400547786896	
239.1754	2.24	0.6405096568596084	-0.7683589305855127	
239.1754	21.75	0.6456280226114298	-0.7593124056183229	
239.2309	0.79	0.3958656249829784	-1.4283284918175962	
295.9419	21.09	0.07109622309688268	-3.5854258931950684	
119.0835	44.42	0.4063397564345347	-1.3622240297755432	
185.1648	0.79	0.38187482988955535	-1.5597256166865041	
296.2073	24.64	0.4520340744661772	-1.216997821555298	
120.0526	27.15	0.1465444146590039	-2.727027623980451	C8H6O
120.0526	30.17	0.28409326194334344	-1.9257919976563773	C8H6O
240.1804	24.51	0.19078488049956027	-2.4149434760426747	
120.0809	24.51	0.011833628559958875	-6.317960915728272	
297.1322	24.38	0.3478308675380579	-1.668442505783216	
240.2683	78.69	0.7272989362992932	-0.5794142220838259	
186.1681	0.79	0.27326258283571714	-1.9765935994334423	
297.9162	2.63	0.6274629050453558	0.7992185124904491	
240.9668	21.09	0.11431932924876932	-2.9933196409059057	
121.0649	30.74	0.3914195385874296	-1.4610917531801295	C8H8O
121.0649	65.25	0.05907660533894029	-3.84895685739237	C8H8O
298.0829	26.5	0.4095076820295558	-1.3484503758703492	
298.0829	68.03	0.910110442359053	-0.19213850871251567	
241.0022	9.62	0.7503975176019242	0.5297021976299962	
186.9118	20.17	0.560124127662808	0.944430077444567	
298.1861	24.64	0.19802659691666394	-2.3674792404291876	
121.0843	24.77	0.3369587374250902	-1.703837112326365	
241.1042	24.51	0.48234212677676486	-1.132556150789504	
241.1545	0.79	0.4727455721872695	-1.1612432172838696	
298.2737	36.91	0.011833628559958875	-6.335389551958585	C18H35NO2
298.2737	48.78	0.01066952394857937	-6.564357382661027	C18H35NO2
241.1838	24.51	0.20787892291823845	-2.303151213910362	
241.1909	0.66	0.6899223563376231	0.6591052440867186	
241.2027	21.09	0.7680755065412536	0.48672702381127836	
298.31	92.25	0.02135080125935606	-5.309459551390555	
298.31	216.93	0.42468187643097033	-1.3015887610841104	
122.0686	30.61	0.7375960673986526	0.5551252411447977	C8H8O
122.0686	65.25	0.3877675043877102	-1.4942670857468703	C8H8O
299.0886	24.11	0.3817430460019718	-1.5606361664401789	
299.1483	36.52	0.20035274071159886	2.3489158690084473	
299.2771	36.91	0.046561609701547824	-4.112843389020376	C18H35NO2
299.2771	48.78	0.008987731839623756	-7.018785603495743	C18H35NO2
242.1861	0.79	0.4370154054661641	-1.2584598407430134	
242.1861	24.51	0.383280830307658	-1.554488619869795	
123.0441	22.93	0.1840735977422165	2.4653872618982753	
300.1994	21.49	0.3877675043877102	1.5243141761889063	
300.1994	23.85	0.3958656249829784	1.4289534338897174	
123.0554	23.19	0.2496815458717757	-2.0995260162127862	
188.0705	24.51	0.29647984713837916	1.8628273667574347	
300.2274	0.66	0.3665479966532945	-1.6078527125709778	
242.8732	1.45	0.5805298255193201	0.9030119231296744	
188.1069	708.67	0.7311481691933747	-0.5690092882204444	
188.1069	713.17	0.24858911265868353	-2.110978765345781	
188.1069	715.14	0.5686898523800846	-0.9247199947449755	
242.9253	22.8	0.10189927662665384	-3.12648197989161	
300.9046	20.17	0.016821686263216753	5.744152373742218	
243.0158	23.19	0.3877675043877102	1.5212713069576185	
188.1756	23.19	0.07802386480248209	-3.4853564200024953	
124.0245	1.05	0.8268643523683468	0.35732496195159147	
301.0945	26.63	0.9555505376456935	-0.09856514692100463	
301.1044	24.51	0.1363011860631185	-2.803249697241548	C15H18O5
124.0587	23.19	0.3877675043877102	-1.5118095650699215	
301.1838	25.71	0.3877675043877102	1.5185038838194826	
301.1838	27.02	0.3877675043877102	1.5147936133255158	C30H56O9
301.1838	27.81	0.39106883230726674	1.4642236991945803	
189.0522	22.93	0.5558239264652433	-0.9514723771581902	
189.0732	22.14	0.1138934820102297	3.0026188079861535	
301.9	22.14	0.13146302939562107	2.8367942084380076	
124.1203	28.47	0.8001522706076857	0.4190142764599996	
302.1857	32.18	0.8829693988310121	0.2502640196155729	
243.1702	0.66	0.9015169916843329	0.21118716851428	
243.1702	2.24	0.9497886596621247	-0.11398443455358799	
243.1826	21.09	0.46802531206762465	1.1799502862778326	
189.1022	0.66	0.6831710440084542	-0.674781364819872	
189.112	108.19	0.1783659038568392	2.499054146940691	C9H16O4
189.123	22.01	0.07076194831362705	-3.6221339844735154	C6H13NO3
243.6844	20.7	0.3877675043877102	1.5196124523281462	
243.9415	22.14	0.8628343581090925	0.2897573858993037	
302.9362	23.72	0.6843960459289335	-0.6706651291718722	
125.0597	24.9	0.3614966437401442	-1.622970638989526	C7H8O2
303.1197	26.1	0.597069748787224	-0.8617560564203316	
303.2314	126.14	0.026945412590518712	-4.944424621048172	C20H30O2
303.2314	136.28	0.7026076584093719	-0.6394672223481317	C20H30O2
190.0766	22.01	0.27717722311125714	1.9560073088549066	
190.0862	24.51	0.39995952563057185	1.4138330105401202	
244.0342	22.27	0.6256570185027056	0.8030276415198214	
304.1234	26.1	0.6046185723160798	-0.8479406583916288	
304.1759	27.68	0.24337269540767673	-2.1478755765711743	
304.2348	125.75	0.037289407335172	-4.371575571697928	C20H30O2
190.1224	108.85	0.39142802324036746	-1.4603732969765013	
244.2137	610.37	0.7035471778928872	-0.6321123748168493	
244.2632	36.39	0.48765633749435966	1.1073105287583689	
244.2632	41.14	0.4837329648009629	1.1223811327341313	
244.2632	44.29	0.39294843168387933	1.4541239526396963	
305.0992	24.64	0.051963487171592604	-4.001350731488809	
305.1355	26.37	0.2012720339481593	-2.337871897205253	C15H22O5
245.0376	22.27	0.7026076584093719	0.6389124710367897	
191.0814	0.79	0.7503975176019242	-0.5308164023895955	
305.1787	27.55	0.6781465119630208	0.6896233780285389	
305.2473	150.25	0.6781601763929049	0.6870747513433743	
245.0993	22.27	0.429040853975634	1.2808424138702867	
306.1917	24.9	0.3958656249829784	-1.4251981969270107	
306.2279	25.97	0.673278645939497	-0.7014806869474208	
307.1148	24.51	0.9604852589152123	-0.09069132777694608	
246.1012	22.41	0.3906250170161929	1.4754585547402497	
307.263	97.68	0.8520896102813929	0.3143537883536481	C20H34O2
307.892	20.04	0.6497886371722393	0.7512152304490605	
307.892	23.33	0.5299183256792988	-1.0032636442108007	
308.1429	69.34	0.29022897523513635	1.8990257797889116	
308.1965	0.66	0.41122690211298635	-1.3356896242768712	
308.1965	36.91	0.7302716018067411	-0.5715027785379154	
308.2579	205.61	0.647690274627904	-0.7561537589308369	
308.2579	210.89	0.7236550089832797	-0.5872392495766011	
309.1459	25.97	0.40550716095816375	-1.376499584077696	
309.1459	28.6	0.08698107789871976	-3.3541360653683503	
309.1459	69.6	0.3338831383718201	1.7159043071171574	
129.0546	30.87	0.7735383420763731	-0.4715614383223649	
309.2279	31.4	0.2496815458717757	-2.1001568168370293	
309.2279	33.1	0.23188561959149478	-2.202845812102975	
309.2785	192.43	0.009297266781479666	-6.932661344697507	C20H36O2
193.1012	41.14	0.3505627982390075	-1.6595225956042878	
129.1386	0.79	0.27534274471622694	-1.9680302260180609	
193.1574	22.14	0.31788059774593225	1.771853753454239	
310.9124	22.93	0.16262039113102125	-2.609108429557662	
193.1699	0.79	0.39118620257193903	-1.4628558582781543	
130.0499	23.85	0.8812307023149943	0.25393704096287417	
311.0887	24.11	0.4464021187043757	-1.233486947251029	
311.1462	25.03	0.06538381810507325	-3.7077496215622388	C14H24O6
311.1462	26.76	0.03774508666293002	-4.353972825414954	
311.2	36.26	0.19846452327177705	-2.3637379605511315	C21H26O2
248.237	36.52	0.2887217386457604	1.9049462776377437	
248.237	41.14	0.25570214429699645	2.0477994570861338	
249.0608	23.85	0.3944720025312114	-1.4471946796692359	
249.1118	30.61	0.5081150514561307	-1.0579409565623414	
311.2771	214.7	0.3906250170161929	-1.4731613542482453	C19H35NO2
130.1337	0.79	0.7319526709860618	0.5670721899979543	
131.0491	26.37	0.09745313039667322	-3.203381805975592	
131.0491	47.2	0.8975802651011543	-0.22000205580216114	
311.9292	22.14	0.5679332981854182	0.926736990687276	
312.1525	21.09	0.7183515394446506	-0.6024920305239145	
312.1656	0.79	0.48552762690376505	-1.1181680121835638	C27H53O11P
312.2032	0.66	0.9957498878792028	-0.01717125706289647	
312.2032	36.26	0.2006492660400843	-2.3410544976353975	C21H26O2
312.2172	0.66	0.6580228749104671	-0.7325319857751448	
312.2376	24.64	0.8048807885923206	-0.4024723856096438	
312.2528	66.06	0.23057120471346434	-2.2144240447808246	
312.3257	218.24	0.3899373428479938	-1.4818840663733888	
132.0031	21.88	0.3394231166822016	-1.6959579684028838	
313.1044	24.24	0.21185671748071355	-2.2871313580963704	
313.162	24.64	0.3202646583984991	-1.762760378249333	
195.1326	0.79	0.5198969131834263	1.0300007023578686	C24H34O4
195.1856	0.92	0.3588315244026902	-1.6320714420447446	
132.0888	38.36	0.7692405900300311	0.48455185702764664	
313.329	217.98	0.39032963632029166	-1.4786103483419692	
132.1019	24.11	0.010806411429477336	-6.53597124144084	C6H13NO2
250.2525	328.65	0.11405265497751765	-2.999973701594546	C17H31N
314.1607	27.15	0.6820427893944446	-0.6794075218076323	
196.0968	21.88	0.3371171338165564	-1.7027963942055193	
251.1259	24.9	0.7289881576317995	0.5735733240116299	C12H20O4
251.163	0.66	0.400941701196226	-1.4025436230772255	C30H44O6
133.0981	41.53	0.30636263536489755	-1.8248568786551393	
133.0981	103.19	0.7031218631557214	-0.6368589303431269	
314.305	79.87	0.019467825856284496	-5.483343501877669	
314.3323	218.24	0.3877675043877102	-1.4933063884187352	
133.1052	23.85	0.012378751108226706	-6.2217271593010794	C6H13NO2
315.1739	79.21	0.008987731839623756	-6.989875160119019	
315.1813	0.66	0.40546198270269784	-1.3772271277557568	
315.1813	25.97	0.7289881576317995	-0.574773933164231	
315.1813	64.85	0.75458612478656	-0.5186299868297244	
315.8891	2.37	0.2527908335551343	2.060017351985359	
252.1706	0.79	0.41040783422030763	-1.3405782186438382	
316.2116	21.75	0.312884302133881	1.798909111107029	C14H26O5
197.0943	24.51	0.3877675043877102	1.5202440624535378	C12H14O
316.2485	28.2	0.8628343581090925	0.28923475193958575	
316.2842	36.52	0.015697390208512896	-5.851013705486176	C18H37NO3
316.348	134.05	0.21853456343990607	-2.2556660136302575	C20H43NO
317.1145	26.5	0.6325254154608194	-0.7884035477108222	
317.2149	21.75	0.24043695457146347	2.166036821946598	C14H26O5
253.1192	21.22	0.3979846521881713	-1.4196756859876558	
318.1179	26.63	0.5920359073456672	0.873736619542734	
135.1209	1.32	0.5550498933804857	-0.9540375293868482	
135.1209	21.75	0.8705920901353666	0.27039399053018615	
318.1917	25.29	0.3237242291972207	-1.7509701580743675	
318.1917	29.65	0.08138564543586493	-3.4358689228423156	
318.2172	21.88	0.25117276039162223	2.0679562531703337	C14H26O5
318.228	26.37	0.6274002025340846	-0.8002182046028157	
198.0977	24.64	0.5802915831196758	0.90382018422952	C12H14O
253.9512	2.76	0.8377790113661258	0.3372208528375426	
319.0938	25.71	0.2072379171314783	-2.3084213374939577	
319.1148	24.77	0.5850016605065929	-0.8939847327144729	
319.1943	25.71	0.8444074546735583	-0.3252418523585616	
319.1943	29.78	0.7836662923210304	-0.44754548000063715	
319.2626	101.75	0.4063397564345347	1.3611802802335438	
136.1201	38.36	0.9124933947923952	0.18620605806564244	C10H14
254.1604	24.64	0.04649370997217247	-4.117387611936892	
320.0654	26.37	0.07928046041209048	-3.466598086675177	
320.2073	25.84	0.30615167500380736	-1.8283254501535613	
137.0457	22.54	0.07109622309688268	-3.575928802319974	
254.2476	29.91	0.833082043618791	-0.34681111390684277	
254.2476	36.52	0.03074428840358159	-4.711899508915399	C16H31NO
254.2476	44.03	0.03817576296666342	-4.337132858655211	C16H31NO
254.8997	20.17	0.03274043242832683	4.55305706851315	
137.0709	22.41	0.6387848003109501	0.7752904244932217	
137.0728	23.19	0.3877675043877102	1.4902304216637816	
255.1205	24.9	0.24554205975523377	-2.13354041673561	
255.1205	27.94	0.06129263123092351	-3.7986476060572234	
255.1233	0.66	0.47956392458076313	-1.1424297872881273	
199.1011	24.64	0.8119138759413265	0.3871092955959791	C12H14O
138.0489	22.54	0.11431932924876932	-2.995518120598986	
322.0772	2.1	0.48109558576180583	-1.1381612831256958	
322.1865	0.79	0.46587513291033245	-1.185938972349618	
322.1865	27.55	0.39199763840957874	-1.4582408976270838	
322.2228	25.84	0.7026253346252237	-0.6384215211662112	
199.1917	3.02	0.43807067026915597	-1.2561735562513991	
322.8872	20.17	0.3442365015594721	-1.6819817046996084	
323.1097	24.38	0.15969241029912584	-2.6390847834336593	
200.0358	2.89	0.3958656249829784	1.4285562731623593	
200.0358	23.46	0.03183556293798286	4.634882990552599	
