m/z	rtime	p-value	t-score	custom_id
114.0894	30.17	0.6836603920812785	0.7463996854419521	
114.0894	66.98	0.3056250574026235	2.439239644105248	
114.0894	68.42	0.3572608090599446	1.991389518061837	
114.0894	111.78	0.7044387859054715	0.6908638716217251	
114.0894	115.87	0.20420628170835767	3.260768755080956	
114.0894	121.26	0.40359935320142754	1.6129942190505495	
114.0894	139.04	0.7031698598698557	0.695536012569405	
114.0894	198.9	0.9529695798908729	-0.1387578558644623	
114.0894	214.17	0.9751054155166505	-0.07018949560362148	
114.0894	279.61	0.3791837883525202	1.7678010167935931	
114.0894	285.17	0.5663604089887146	1.0666020190968655	
114.0894	300.63	0.8554157606752247	0.35034836427214333	
114.0894	305.64	0.9332164462446592	-0.18093960504539167	
114.0894	309.45	0.3585191874049144	1.9341075600176687	
114.0894	654.57	0.3572608090599446	1.9943116537572803	
114.0894	679.48	0.7432744030681308	0.6046904323985737	
114.0894	686.89	0.7692753946980082	-0.552515041233482	
114.1028	0.79	0.6788644392095816	0.7552541412762606	
183.0614	1.84	0.4675285676906979	-1.3824584013754486	
183.0739	21.09	0.7031698598698557	0.6963214706659745	
183.0781	23.19	0.28716810452340635	2.5570097755433188	
183.0844	23.19	0.21096476646581247	3.1786084080996813	
114.8929	23.33	0.3793521285625664	1.761068883082845	
237.0868	24.11	0.33951606570116727	2.2460355796756697	
237.1272	113.22	0.10800958728684118	5.314516071779722	
115.0949	24.64	0.5483171449435782	1.1082759203546175	
116.0622	38.62	0.3572608090599446	1.951982832184126	
116.0708	23.19	0.14882703284542845	4.167678277492453	
237.9547	2.24	0.704829703246055	0.6875391906214466	
237.9779	2.89	0.6204844755539569	0.9170938058284113	
293.1725	28.2	0.5335301140794697	-1.1614869621188737	
238.0928	32.45	0.5691550546220231	-1.0591902084131024	
238.1201	26.76	0.6838963664288379	-0.7392782757794124	
117.0741	23.19	0.14882703284542845	4.1567948777191015	
238.2276	0.79	0.40579546403782907	1.6050958795897372	
184.8889	20.04	0.9833124467597041	0.04800402537825993	
294.1555	27.81	0.5288502517809253	-1.1862296074346683	
294.1783	55.64	0.812456379274155	0.4451154820707727	
294.1918	24.77	0.16577831876527738	-3.7318913350582825	
118.075	23.46	0.3572608090599446	1.9991084625722404	
294.2789	195.75	0.3907499615379573	1.685396543288897	
